Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
21,Saliva contains:,Amylases,Bile,Vitamins,Trypsin,A
22,What is the range in hertz of normal human hearing?,0-2000 Hz,20 Hz to 20 kHz,40 Hz to 40 kHz,None of the above,B
23,The blue color of the sky is due to ______ of light.,Spread,Scattering,Reflection,Refraction,B
24,The scientific study of teeth is called:,Ornithology,Odontology,Pedagogy,Orthoepy,B
25,MTCR stands for:,Missile Technology Control Regime,Missile Triple Category Rationalization,Multiple Technology Control Regime,Missile Technology Control Regulation,A
26,The SI unit of electric charge is the ____.,Coulomb,Volt,Ampere,Ohm,A
27,Greenland & Antarctica contain ____ of the world's total ice:,99 percent,97 percent,95 percent,92 percent,A
28,Which of the following is a type of force?,Magnetism,Kinetic energy,Light,Heat,A
29,Which prophet is called Naji Allah?,Hazrat Idris (A.S.),Hazrat Yahya (A.S.),Hazrat Nuh (A.S.),Hazrat Ibrahim (A.S.),C
30,Who among the following scientists is responsible for binomial nomenclature?,Charles Darwin,Carolus Linnaeus,Theophrastus,"Hooker, J.D.",B
31,Which of these organelles do plant cells have that animal cells typically do not?,Cell wall,Vacuoles,Both A and B,None of these,C
32,When did Muhammad (PBUH) make his second business trip to Syria?,12th year of the Elephant,15th year of the Elephant,20th year of the Elephant,24th year of the Elephant,D
33,Who invented the process of efficiently processing iron ore into steel?,Henry Bessemer,Eli Whitney,Oliver Smithies,Carl Wilhelm Siemens,A
34,Where does the oxygen that keeps us alive come from?,Carbon dioxide,Carbonates absorbed from the soil,Oxides of minerals,Water,D
35,"Whom did the Prophet (PBUH) want to send as an envoy to Quraysh at Hudaybiyyah, before that person suggested Uthman (RA) instead?",Abu Bakr (RA),Ali (RA),Umar (RA),None of these,A
36,An electric current can produce a:,Chemical effect,Magnetic effect,Heating effect,All of these,D
37,Pig iron is also called ______.,Stainless steel,Cast iron,Wrought iron,Crude iron,D
38,The 'Ghassanids' and 'Lakhmids' were Arab client kingdoms of which two rival empires?,Rome and Persia,Abyssinia and Yemen,Egypt and Syria,Persia and India,A
39,Leukocytes are produced in the:,Lymph nodes,Spleen,Bone marrow,Ribs,C
40,A newspaper can be recycled approximately:,5 to 7 times,10 times,12 times,15 times,A
41,The heating element of an electric heater is made of:,Nichrome,Chromium,Graphite,None of the above,A
42,The salinity of seawater is the amount of dissolved salts (like sodium chloride) in grams per _______ of seawater.,10 grams,10 kg,1 gram,1 kg,D
43,An example of an abiotic component in an ecosystem is ______.,plants,soil,animals,bacteria,B
44,The orbital period of the planet Mercury around the Sun is:,88 days,365 days,2 years,98 days,A
45,Infectious diseases are caused by:,Pathogens,Viruses,Bacteria,All of these,D
46,A woman's voice is shriller than a man's due to:,Higher frequency,Higher amplitude,Lower frequency,Weak vocal chords,A
47,Saliva contains the enzyme ______.,trypsin,amylase,bile,None of the above,B
48,The unit for measuring electric current is the:,Kelvin,Candela,Ampere,None of them,C
49,Which theory related with the evolution of solar system begins with the blast:,Nebular Hypothesis,Planetesimal Hypothesis,Big Bang Theory,Steady State Theory,C
50,Who started the system of the Islamic Calendar?,Hazrat Umar,Hazrat Ali,Hazrat Hamza,None of these,A
51,"Nuclear energy, when released, converts:",Proton into neutrons,Chemical into heat,Nuclear into thermal,None of these,C
52,Water has its maximum density at:,4.8°C,4°C,4 K,0°C,B
54,"To measure the specific gravity of milk, the instrument used is a:",Hygrometer,Barometer,Lactometer,Hydrometer,C
55,"The total pressure exerted by air on an average-sized person is about 14.7 lbs per square inch, but the person feels comfortable. This is because of:",An equal and opposite pressure acting from inside the body,The height of the person,Gravity,The Earth pulling the person upward,A
56,From which word is 'Aqeeda' derived?,Aqd,Aqaid,Aqleed,Taqleed,A
57,"In fractional distillation, crude oil is heated in a furnace up to:",450°C,350°C,300°C,400°C,D
58,Formic acid is obtained from:,Vinegar,Orange,Ant,Fat,C
59,Who saw the palaces of Caesar and Khosrow at night on the birth of Muhammad (PBUH)?,Abdul Muttalib,Halimah Saadia,Thawbah,Hazrat Aminah,D
60,"A man walks 2 km north, then turns east and walks 10 km. He then turns south and walks 2 km. How far is he from his starting point?",10 km,13 km,15 km,14 km,A
61,"The cytoplasm contains several types of structures, which are called:",Protoplasm,Nucleus,Cytochromes,Organelles,D
62,Which of the following are the ingredients of gunmetal?,"Copper, tin, and zinc","Iron, brass, and tin",Iron and tin,"Iron, zinc, and titanium",A
63,A photoelectric cell is an instrument used for the:,Detection of light,Measurement of light,Both of these,None of these,C
64,The living part of a plant cell is composed of a nucleus and:,Cytoplasm,Protoplasm,Both A and B,None of these,C
65,"Osteomalacia, the softening of bones, is caused by a deficiency in:",Protein,Calcium,Iodine,Iron,B
66,The most abundant element in the Earth’s crust is:,Carbon Dioxide,Silicon,Hydrogen,Oxygen,D
67,What is the most dominant color of Earth when viewed from space?,Black,Green,Blue,Red,C
68,Diseases associated with the secretion of exotoxins include:,Tetanus,Tuberculosis,Food poisoning,AIDS,A
69,Hazrat Ibrahim's (AS) grave is found in:,Saudi Arabia,Iraq,Syria,Palestine,D
70,A Geiger-Muller counter is used to detect:,Neutrons,Protons,Ionizing radiation,Photons,C
71,Air contains approximately what volume of carbon dioxide?,0.30 percent,0.03 percent,3 percent,0.20 percent,B
72,Umar (R.A.) levied Zakat on:,Ox,Horses,Camels,Goats,B
73,The unit of torque in the International System of Units is the:,Kilogram,Meter,Newton-meter,Meter,C
74,The most significant effect of the Moon on Earth is that it ______.,causes weather changes,affects the tides of the ocean,causes solar and lunar eclipses,causes earthquakes,B
75,How many undesirable (Makruh) acts of Ihram are there?,6,7,5,8,A
76,The carbohydrate content in potato is about ______.,12 percent,22 percent,32 percent,42 percent,B
77,"A famous book on physics, 'The First Three Minutes,' was written by:",Dr. Abdus Salam,Salimuzzaman Siddiqui,Raziuddin Siddiqui,Steven Weinberg,D
78,A verse of the Holy Quran mentions which companion by name?,Sa'd,Zayd,Uthman,Mu'adh,B
79,Which term describes the emission of light by a living organism?,Illumination,Mimicry,Bioluminescence,None of the above,C
80,"The sun appears red at sunrise and sunset, while it appears white at noon because:",Of diffraction leading to the red end of the spectrum reaching the earth.,It is cooler at sunrise and at sunset,Of scattering of light due to dust particles and air molecules,Of refraction,C
81,Which acid is produced in the gastric juice of the stomach?,Nitric Acid,Hydrochloric Acid,Sulphuric Acid,None of these,B
82,"Of the following, which provides the maximum amount of energy in the present-day world?",Hydroelectric power resources,Atomic energy,Liquid fuels,None of these,C
83,Jupiter has ______ known moons.,62,73,79,95,D
84,Which of the following scales was devised by Celsius?,Absolute,Centigrade,Fahrenheit,Romer,B
85,How is ammonia synthesized commercially?,Refrigeration process,Haber process,Contact process,All of these,B
86,Glycogen is an example of a:,Carbohydrate,Peptide,Lipid,Steroid,A
87,What do calories measure?,Weight,Energy,Movement,Temperature,B
88,The Sun rises in the East and sets in the West due to the:,Rotation of the Earth around the Moon,Rotation of the Sun around the Earth,Rotation of the Sun on its axis,Rotation of the Earth on its axis,D
89,"Coke contains 98 percent of carbon, and the rest is:",Iron,Copper,Coal,Gas,D
90,Which is the least conductor of electricity among the following?,Silver,Iron,Copper,Wood,D
91,The teeth of the Holy Prophet (SAW) were martyred in the Battle of:,Badr,Hunain,Uhad,Khandaq,C
92,What amount of fat provides approximately 9.3 kcal of energy?,1.0 g,2.0 g,4.1 g,0.5 g,A
93,What is the diploid number of a man's chromosomes?,46,48,62,74,A
94,Who was the first person to take the pledge of allegiance (Bay'ah) to Uthman (RA) as Caliph?,Ali ibn Abi Talib (RA),Amir Muawiya (RA),Abd al-Rahman ibn Awf (RA),Sa'd ibn Abi Waqqas (RA),C
95,Air is completely removed from an electric bulb to prevent:,Oxidation of tungsten filament,Bursting of the bulb,Loss of light due to absorption,None of the above,A
96,Bronze is an alloy of:,Copper-Zinc,Chromium-Tin,Nickel-Copper,Copper-Tin,D
97,Fahrenheit is a unit of:,Luminous intensity,Electric dipole moment,Temperature,Intensity of sound,C
98,The Mercury Thermometer was invented by?,Ian Tunning,James Gosling,Daniel Gabriel Fahrenheit,None of these,C
99,Day and night are caused by the rotation of the Earth from:,West to East,East to West,North to South,South to North,A
100,Who had custody of the seal used on the Prophet PBUH's letters?,Hazrat Hudhaifah (R.A),Hazrat Hanzala (R.A),Hazrat Zubair (R.A),None of these,A
101,Fresh fruits and vegetables contain more:,Proteins,Fat,Vitamins,Carbohydrates,C
102,Why should a parachute have a hole in it?,"If there is no hole, the parachute will be torn.","While descending, the changing currents may cause oscillation of the parachute; the hole allows the air to run out.","If there is no hole, descending is not possible because the upward thrust of the air will be balanced with the downward pull of the earth.",None of these,
103,Who was the commander of the Infidels in the Battle of Uhud?,Abu Lahab,Abu Sufyan,Abu Jahl,Utbah,B
104,A flower is said to be 'complete' when it has:,Corolla,Androecium and gynoecium,Calyx and corolla only,All four whorls,D
105,Ascorbic acid is also known as Vitamin ____.,Vitamin C,Vitamin E,Vitamin D,None of these,A
106,"Who was a famous historian, jurist, philosopher, and politician?",Shams-ud-din Ibn Khallikan,Abd al-Rahman Ibn Khaldun,Abu Bakr Muhammad ibn Yahya,None of these,B
107,The bonds present in solid N2O5 are:,Only ionic,Covalent and coordinate,Only covalent,Covalent and ionic,D
108,Sphygmomanometer is an instrument used to measure:,Humidity in the Air,Blood Pressure,Purity of Milk,Thickness of Water,B
109,Hazrat Bilal (R.A) was a slave and his master was:,Umayyah bin Khalaf,Umayyah bin Jahim,Umayyah bin Jahash,Umayyah bin Thaqif,A
110,Substances used to bring relief from pain are called?,Antipain,Antipyretics,Antibiotics,Analgesics,D
111,"When sugar is added to water, its boiling point:",Remains unchanged,Decreases,Increases,None of these,C
112,"The ""Book of Healing"" (Kitab al-Shifa) is a major philosophical and scientific encyclopedia written by:",Ibn Rushd,Al-Ghazali,Ibn Sina,Al-Farabi,C
113,The Big Dipper is an asterism within which constellation?,The Great Bear,Ursa Minor,Ursa Major,Both A and C,D
114,"____ is the clear, yellowish fluid portion of blood that contains clotting factors like fibrinogen.",Serum,Plasma,Lymph,None of these,B
115,Photophobia is a fear of:,Light,Dogs,Wealth,Bathing,A
116,The primary source of energy for the brain is:,Salts,Triglycerides,Ketones,Glucose,D
117,Which of the following is used for the measurement of pressure?,Saccharimeter,Ammeter,Manometer,Lactometer,C
118,"Which mineral is essential for building bones and teeth, muscle functioning and blood clotting:",Magnesium,Calcium,Iron,Sodium,B
119,What is the size of a MAC Address?,48-bits,64-bits,16-bits,32-bits,A
120,The respiratory center is situated in the:,Cerebrum,Cerebellum,Medulla oblongata,Diencephalon,C
121,A drawing on transparent paper is a:,Blueprint,Negative,Transparency,Red Print,C
122,Substances which bring down body temperature are known as?,Antipyretics,Analgesics,Antibiotics,None,A
123,Heat rollers make the copy by:,Heating it,Melting the toner,Drying it,All of the above,B
124,"Among the following, which is the richest source of ascorbic acid (Vitamin C)?",Apple,Bean,Carrot,Guava,D
125,Which of the following Umm-ul-Momineen has Jewish descent?,Safiyyah bint Huyayy (R.A.),Sawdah (R.A.),Juwayriyyah (R.A.),None of these,A
126,"According to many, including the Guinness Book of World Records, the world’s rarest mineral is:",Taaffeite,Jadeite,Benitoite,Painite,D
127,"Of the following, which provides the maximum amount of energy in the present-day world?",Hydroelectric power resources,Atomic energy,Liquid fuels,None of these,C
128,"Under the Islamic law of inheritance, what would be the share of the wife from her husband's property in the presence of children?",Half,One-third,One-eighth,One-fourth,C
129,Vitamin C deficiency leads to:,Cold,Rickets,Scurvy,Cancer,C
130,The coldest planet of the solar system is:,Venus,Earth,Neptune,Pluto,C
131,The Ten Commandments are associated with which religion?,Islam,Christianity,Judaism,Religion of Ibrahim (A.S),C
132,An anemometer is used to measure:,wind speed,air pressure,water pressure,None of these,A
133,1 nanometer = ?,10⁻⁹ m,10⁻⁶ m,10⁻¹² m,None of these,A
134,Which of the following are the names of major Jewish tribes of Madinah?,"Banu Qaynuqa, Banu Nadir, Banu Qurayza",All tribes,None,"Banu Aws, Banu Khazraj",A
135,Which of the following is a diverse group of hydrophobic molecules?,Lipids,Proteins,Nucleic acids,Carbohydrates,A
136,A very high temperature is measured by a:,Barometer,Thermometer,Pyrometer,None of these,C
137,"The ""Timurid Empire,"" founded by Timur (Tamerlane), had its capital in which city?",Herat,Bukhara,Samarkand,Isfahan,C
138,Which resistive component is designed to be temperature-sensitive?,Thermistor,Rheostat,Potentiometer,Photoconductive cell,A
139,Which form of drug abuse involves the most risk of infection with the HIV (AIDS) virus?,Taking too much aspirin,Using alcohol,Injection of heroin,None of these,C
140,A megawatt is how many watts?,One million,Ten,One thousand,One hundred,A
141,The most splendid and magnificent constellation in the sky is:,Canis Major,Orion,Taurus,None of these,B
142,One of the devastating effects of the Krakatoa eruption was the tsunami that was produced. How high were the waves believed to have reached?,10 ft,120 ft,50 ft,90 ft,B
143,What is responsible for diphtheria and influenza?,"Virus and bacteria, respectively","Bacteria and virus, respectively",Bacteria only,Water pollution,B
144,What type of clock was invented by Christiaan Huygens?,Digital Clock,Analog Clock,Binary Clock,Pendulum Clock,D
145,Artificial selection was practiced by the:,Arabs,Chinese,Romans,None of these,C
146,Which of the following is the least infectious?,Leprosy,Hepatitis,Tuberculosis,Conjunctivitis,A
147,The study of maps and features of the Universe is called:,Metaphysics,Cosmography,Cosmology,Cartography,B
148,Who invented the safety pin?,Steward Hartshorn,A. Rose,Charles Goodyear,Walter Hunt,D
149,"The gas commonly known as ""laughing gas"" is:",Carbon dioxide,Sulfur dioxide,Nitrous oxide,Sodium oxide,C
150,Name the honoured angelic messenger who brought revelations.,Izra'il (AS),Jibra'il (AS),Israfil (AS),Mika'il (AS),B
151,The gases which are used by deep-sea divers as an artificial atmosphere are helium and:,Oxygen,Carbon monoxide,Nitrogen,Neon,A
152,CT Scan stands for:,Computer Topography Scan,Computed Topography Scan,Computed Tomography Scan,Computer Tomography Scan,C
153,"The theological school of ""Murji'ah"" believed that a believer's sin:",Requires immediate repentance,Nullifies their faith,"Does not affect their faith status, which is left to God's judgment",Is a sign of hypocrisy,C
154,An instrument used to measure atmospheric pressure is a:,Electrometer,Bolometer,Hydrometer,Barometer,D
155,Which of the following is not a source of vitamin A?,Potato,Tomato,Guava,Milk,A
156,What number of Caliph was Umar ibn al-Khattab (RA)?,First Caliph,Second Caliph,Third Caliph,Fourth Caliph,B
157,Bronze is an alloy made of which metals?,Copper and tin,Copper and silver,Copper and zinc,Copper and nickel,A
158,"In a simple cylindrical projection, the complete map is:",Rectangular in outline,Triangular in outline,Square in outline,None of these,A
160,The science of studying and managing forests and related natural resources is ______.,taxonomy,forestry,cryptography,None of these,B
161,A quartz crystal in a quartz watch works on the principle called the:,Photoelectric effect,Stark effect,Thermionic effect,Piezoelectric effect,D
162,The water escaping from the surface of water is:,Condensation,Evaporation,Sublimation,None of these,B
163,An oasis is associated with a ____.,Desert,Volcano,Fertile land,Glacier,A
164,Which element is essential for human life to survive beyond a few minutes?,Helium,Nitrogen,Carbon,Oxygen,D
165,The second layer of Earth’s atmosphere is the:,Thermosphere,Stratosphere,Troposphere,Mesosphere,B
166,"Of the following, which provides the maximum amount of energy in the present-day world?",Hydroelectric power resources,Atomic energy,Liquid fuels,None of these,C
167,SONAR is used to measure:,Ocean depth,Ocean length,Ocean width,All of the above,A
168,"In a chemical battery, chemical energy is directly converted into mechanical energy.",Right,Wrong,Ambiguous,No idea,B
169,How many pounds are there in one metric ton?,"2,205 lbs","2,110 lbs","2,004 lbs","2,305 lbs",A
170,The neutron was discovered by,Moseley,Rutherford,Thomson,Chadwick,D
171,Another name for platelets is:,Leukocytes,Thrombocytes,Erythrocytes,None of these,B
172,The companion who was martyred at the Battle of Yamama and was the brother of Caliph Umar (RA) was:,Abdullah ibn al-Khattab,Abd al-Rahman ibn al-Khattab,Nu'man ibn al-Khattab,Zayd ibn al-Khattab,D
173,"Which scientist first coined the electrical terms ""positive"" and ""negative""?",Michael Faraday,Georges Claude,Anders Celsius,Benjamin Franklin,D
174,A slow-running pendulum clock can be speeded up by:,Increasing the length of the rod,Increasing the weight of the bob,Reducing the length of the rod,Reducing the weight of the bob,C
175,Which Ghazwa is mentioned in Surah Al-Imran?,Khaybar,Khandaq,Uhud,None of these,C
176,The first translation of the Holy Quran into a Western language was made into Latin. It was done by Robert of Ketton and Hermann of Carinthia in:,in 1143,in 1215,in 1288,in 1347,A
177,One torr is equivalent to how many millimeters of mercury (mmHg)?,100 mm,1 mm,0.1 mm,10 mm,B
178,On what occasion are all the Kalimahs recited by a Muslim?,Birth,Death,Migration,Nikah,D
179,The function of hemoglobin is:,Utilization of energy,Prevention of anemia,Destruction of bacteria,Transportation of oxygen,D
180,"During the combustion of petrol in a car engine, the primary energy converted is:",Chemical energy,Electrical energy,Mechanical energy,Thermal energy,A
181,How many days are forbidden for fasting in a year?,Two days,Three days,Five days,None of these,C
182,Who discovered the laws of motion and gravity?,Faraday,Einstein,Newton,None of these,C
183,The Periodic Table was made by:,Dmitri Mendeleev,Dimitri Medvedev,Collins Mendeleev,None of the above,A
184,Cyclones are formed in areas of:,High heat,Low pressure,High humidity,All of these,D
185,"The liver stores many substances, including ______.",iron,cobalt,iodine,None of these,A
186,"Gold, Silver and Copper are ______ metals.",Natural,Coinage,Hard,Pure,B
187,Mercury is also known as:,Slippery Silver,Slow Silver,Quicksilver,Shine Silver,C
188,____ do not act as a source of energy.,Vitamins,Minerals,Proteins,All of the above,A
189,Which of the following glands secrete tears?,Thyroid,Lachrymal,Pancreas,Pituitary,B
190,An autopsy is taking an organ from a:,Living person,Dead body,Inebriate,None of these,B
191,"The Prophet said that an accepted Hajj (Hajj Mabrur), free from sin, is rewarded with:",Paradise,Money,Bounties,Blessings,A
192,"Diamond, an expensive ornament, is composed of which single element?",Carbon,Gold,Silver,Platinum,A
193,What is it called when the Earth is closest to the Sun?,Perihelion,Apoapsis,Periapsis,Aphelion,A
194,Rihla is a genre of Arabic literature that focuses on:,History,Poetry,Travelogues,Philosophy,C
195,Gynecology is a branch of:,Medicine,Geology,Physics,Chemistry,A
196,The magnitude of an earthquake is measured using the ______.,temblor scale,Richter scale,seismic scale,earthquake scale,B
197,"After drinking contaminated water, you would be most apt to develop symptoms of ______.",malaria,typhoid fever,schistosomiasis,yellow fever,B
198,"If you have dental caries (cavities), which doctor should you consult?",Orthopaedist,Dentist,Neurologist,None of the above,B
199,Liquids which evaporate quickly are known as:,Volatile,Condensed,Evaporated,None of these,A
200,How much blood does the human body contain:,3-4 liters,5-6 liters,6-7 liters,None of these,B
201,Which gas can be accumulated in poorly ventilated buildings:,Xenon,Hydrogen,Radon,Helium,C
202,Optical fibers are fine strands of:,Glass,Iron,Calcium,Mercury,A
204,A short-sight defect could be corrected by a ____ lens.,Converging,Concave,Convex,None of these,B
205,"The Aurora Borealis, a light display in the Northern Hemisphere, is caused by solar radiation interacting with the:",Ionosphere,Mesosphere,Stratosphere,Troposphere,A
206,Whom did the Quraysh send to negotiate with the Prophet (PBUH) before the conquest of Makkah?,Ikrimah ibn Abi Jahl,Abu Sufyan,Amr ibn Salim,Budayl ibn Warqa,B
207,Vitamin B6 is also known as:,Retinol,Scurvy,Pyridoxine,Tocopherol,C
208,How many millimeters (mm) are in 1 centimetre (cm)?,100 mm,1000 mm,10 mm,0.1 mm,C
209,"The purpose of testing, according to the Holy Quran, is",Patience,Learning,Abstaining,None of these,A
210,"The dense, fluid-filled region in the chloroplast is the ______.",grana,stroma,thylakoid,None of these,B
211,The Margalla Hills are a branch of the:,Karakoram range,Hindukush range,Himalayan range,Nanga Parbat range,C
213,A reptile with a four-chambered heart is the ______.,lizard,crocodile,turtle,snake,B
214,The energy of food is measured in:,Kelvin,Calories,Bushels,None of these,B
215,"Vitamins A, D, E, and K are called:",Water-soluble vitamins,Primary vitamins,Basic vitamins,Fat-soluble vitamins,D
216,One Astronomical Unit is equal to how many km in whole numbers?,130 million km,140 million km,150 million km,160 million km,C
217,What is the body’s natural or acquired ability to resist certain diseases?,Exocrine system,Endocrine system,Immunity,All of these,C
218,"An old man, unable to apply a large force, wishes to use a screw jack for lifting his car wheels. If L is the length of the rod used to turn the jack and p is the pitch of the jack screw, then he should use a jack in which:",L is large and p is large,L is small and p is large,L is large and p is small,L is small and p is small,C
219,The ozone layer is present about 30 miles in the atmosphere above Earth. The stratum of the atmosphere in which the ozone layer lies is called the:,Exosphere,Mesosphere,Stratosphere,Ionosphere,C
220,Inhaled air passes through which of the following last?,Bronchi,Trachea,Bronchiole,None of these,A
221,The Earth rotates around an axis pointing towards the:,Pole star,Sun,Moon,Venus,A
222,What is the correct sequence of the inner planets of our solar system?,"Jupiter, Saturn, Uranus, Neptune","Mercury, Mars, Earth, Venus","Mercury, Venus, Earth, Mars",None of these,C
223,How many eyes are found in an earthworm?,No eyes,Many,Two,One,A
224,"____ is the clear, yellowish fluid portion of blood that contains clotting factors like fibrinogen.",Serum,Plasma,Lymph,None of these,B
225,The gauss is a unit of ______.,energy,magnetic induction,magnetic flux,temperature,B
226,The process by which a substance absorbs moisture upon exposure to the atmosphere is called:,Deliquescence,Efflorescence,Dehydrogenation,Desalination,A
227,"What is meant by an ""equinox""?",A month-long day,Equal duration of day and night,The shortest day,The longest day,B
228,The primary macronutrients for plants are:,Nitrogen,Potassium,Phosphorus,All of these,D
229,Who invented the first known printing press:,Henry Ford,Henry Morton,Johann Gutenberg,Leo Tolstoy,C
230,Which of the following vitamins is also known as niacin?,Vitamin B1,Vitamin B3,Vitamin B12,Vitamin B6,B
231,Who is often credited with the discovery of sulfuric acid?,Jabir ibn Hayyan,Ibn al-Haytham,Ibn Sina,None of these,A
232,"For water purification, we use ______.",bromine,chlorine,fluorine,None of the above,B
233,Which of the following is a 'Greenhouse Gas'?,Sulfur dioxide,Nitrous oxide,Nitrogen,Oxygen,B
235,By which hormone can a high blood sugar level be controlled?,Insulin,Norepinephrine,Thyroxine,Glucagon,A
236,Which one of the following statements is correct? A slab of ice kept in a room:,Does not radiate heat,Does not radiate heat but absorbs heat from the surrounding,Radiates heat but absorbs more heat from the surrounding,Radiates heat more than that absorbed by it from the surrounding,C
238,What is the symbol for gold?,Au,S,Zn,None of the above,A
239,A clear sky is blue because:,red light is scattered more than blue,ultra violet light has been absorbed,blue light is scattered more than red,blue light has been absorbed,C
241,Is a light-year a measure of time?,Right,Wrong,Ambiguous,No idea,B
242,Which of the following is not an important Aristotelian work?,Poetics,Psychology,Rhetoric,Physics,B
243,The Abbasid vizier and famous calligrapher who codified the six classical scripts of Arabic calligraphy (`al-Aqlam al-Sittah`) was:,Yaqut al-Musta'simi,Ibn al-Bawwab,Al-Farahidi,Ibn Muqlah,D
244,The approximate daily Calorie (kcal) intake for an active adult man is:,3000,4000,5000,6000,A
245,Which of the following statements is correct?,Calculations must be made before any experiment,Scientific work must be accurate; precision is not essential,Scientific work must be precise; accuracy is not essential,Precision and accuracy should go side-by-side in scientific work,D
246,The melting point of ice is:,0°C,100°C,40°C,None of these,A
247,"The atmosphere exerts enormous pressure on us, but we do not feel it because:",We are used to it,Our bones are very strong and can withstand this pressure,The surface area of our head is very small,Our blood exerts a pressure slightly more than that of the atmosphere,D
248,Wood is the main raw material for the manufacture of:,Gunpowder,Paper,Ink,Paint,B
249,The gases used in different types of welding would include ______.,"oxygen, acetylene, and argon",oxygen and acetylene,"oxygen, hydrogen, acetylene, and nitrogen",oxygen and hydrogen,D
250,How many Surahs are titled with the names of prophets?,4,5,6,None of these,C
251,A monsoon is caused by:,Seasonal reversal of winds,Revolution of the Earth,Movement of clouds,A rise in temperature,A
252,"Which one of the following raw materials is used in the manufacture of foam used in mattresses, cushions, etc.?",Methanol,Ethanol,Urea,Phenol,D
253,Which two groups are mentioned in Surah Al-Anfal?,Arabs and non-Arabs,Disbelievers and hypocrites,Muslims and Jews,Abu Sufyan and Abu Jahl,D
254,A tidal bore is caused by a:,Friction from prevailing winds,Spring tide and strong winds,Unequal heating of oceans,Rising tide meeting river currents,D
255,"When the quantity of charge on each of two bodies is doubled, the force between them becomes:",One-fourth,Half,Twice,Four times,D
256,"The ""Brethren of Purity"" (Ikhwan al-Safa) were a secret society of philosophers based in which city?",Cairo,Baghdad,Basra,Cordoba,C
257,Which of these countries lies on the equator?,Kenya,China,Bhutan,El Salvador,A
258,"During a total solar eclipse, the rate of photosynthesis:",Remains constant,Increases,Decreases,None of these,C
259,Hazrat Haleema ka talluq kis qabeela se tha?,Banu Asad,Banu Quraysh,Banu Hawazin,In mein se koi nahi,C
260,The Big Bang theory explains the:,Origin of the Sun,Origin of the Universe,Laws of physics,None of these,B
261,"The protons and neutrons are found in the center of the atom, which is called the ______ of the atom.",Headquarters,Hub,Nucleus,None of these,C
262,The cow's milk contains how much water in terms of percentage?,60 percent,65 percent,72 percent,80 percent,D
263,Dry ice is:,Methane hydrate,Liquid Nitrogen,Solid Carbon dioxide,Frozen Water,C
264,UV light falls into the category of:,Non-ionizing radiation,Ionizing radiation,Visible light,None of these,A
265,The largest cell in the human body is the:,Nerve cell,Muscle cell,Liver cell,Kidney cell,A
266,Is it possible to design a machine that can go on working forever without the expenditure of energy?,No,Yes,In due course time,Very soon,A
267,"In medicine, what is the most widespread parasitic infection?",Pneumonia,Malaria,Diabetes,Typhoid,B
268,Liquefied petroleum gas (LPG) consists of:,Butane and propane,Ethane and hexane,Ethane and nonane,None of these,A
269,Who invented the motorcycle?,G. Daimler of Cannstatt,Percy L. Spencer,Sir George Cayley,E. H. Armstrong,A
