Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
41,Which of the following sentences is grammatically correct?,One should do his duty,One should do one's duty,One should do their duty,None of these,B
42,Mona is afraid ______ spiders.,of,by,to,at,A
43,Choose the correct preposition: There was a notice ______ the door that said: Keep out!,On,With,At,In,A
44,Antonym of Spendthrift is:,Mean,Bold,Cautious,Miser,D
45,"Complete the sentence: While the ____ grows, the steed starves.",Leave,Twig,Grass,Bush,C
46,Statue is to sculptor as symphony is to _______.,Composer,Pen,Chisel,Canvas,A
47,Choose the correct preposition in the following sentence: The birds are sitting ______ the trees.,on,in,over,into,B
48,Choose the correct sentence:,She is having a car that she loves.,She has a car that she loves.,She has been having a car that she loves.,None of these,B
49,"What is the meaning of the proverb ""By fits and starts""?",Suddenly,Irregularly,Successfully,Incompletely,B
50,Select the most appropriate meaning of the given idiom Poke one's nose,Tease or irritate,Not be careful about one's health,To praise someone,To take interest in other affairs,A
51,The children were so absorbed ____ their game that they did not notice the passage of time.,into,for,in,None of these,C
52,"The hand has five fingers. In this sentence, ""five"" is:",Noun,Adverb,Adjective,None of these,C
53,"Choose the correct form of verb: She asked me if I wanted to go to the theatre, but I ____ in the garden the whole day and all I wanted to do was go to bed.",Was working,Had worked,Had been working,Worked,C
54,Synonym of SURREPTITIOUS:,Abstract,Secret,Open,Mysterious,B
55,Choose the best meaning of the idiomatic phrase: A burning question,A confusing question,A simple question,A forgotten issue,An important question,D
56,Laudable means:,Profitable,Lovable,Affectionate,Commendable,D
57,Which type of sentence contains verb and is not converted into passive voice.,Transitive,Intransitive,Linking,None of these,B
59,"The sentence given below has a blank. Below the sentence are given four options, one of which can complete it meaningfully. Spot it. ______ the loud speaker we are told that the plane was ready to leave.",In,On,Through,None of these,B
60,The disease spread around the globe is termed as:,Epidemic,Pandemic,Endemic,Zoonotic,B
62,Mural means:,Ancient writings,Imagination,Piece of artwork,None of these,C
63,The synonym of Fable is:,Allegory,Truth,Sense,None of these,A
65,Synonym of susceptible:,Vulnerable,Resistance,Dark,Noble,A
66,"The antonym of ""forbid"":",Daly,Understand,Dislike,Allow,D
68,Which word is wrongly spelled in the following set of words:,Veriety,Ability,Energy,Capacity,A
69,"Choose the most appropriate conjunction to fill in the following sentence: ______ he worked hard enough, he couldn’t pass the exam.",Even,In case,So,Although,D
71,He is good ______ mathematics.,in,at,on,into,B
72,I _____ the gym daily.,goes to,went to,go to,None of these,C
74,"In the sentence ""The son amused himself,"" ""himself"" is a:",Noun,Adverb,Pronoun,None of these,C
75,The antonym of concord is:,Discord,Unity,Concurrence,None of these,A
76,Choose the best one-word substitution from the given options: A group of fish,Aqua-group,Swarm,Fisheries,None of these,D
77,You can go neither by train ____ by bus.,or,nor,no,and,B
78,Select the meaning of the given idiom. Man of straw:,A very active person,A man whose character is weak,A worthy fellow,An unreasonable person,B
79,Do not change ____ in midstream:,Ideas,Plans,Horses,Hounds,C
80,The antonym of Scent is:,Stench,Odor,Smell,None of these,A
81,The antonym of Kith:,Stranger,Friend,Waste,Realistic,A
82,His ______ of the subject was so good that students had no doubts at the end.,Clarity,Exposition,Picturization,None of these,B
84,The synonym of Adjacent is:,Apart,Remote,Alongside,None of these,C
85,"Choose one-word substitution for ""One who loves books"":",Bibliophobe,Bibliographer,Bibliophile,Bibliophagist,C
87,Each one of ____ will design suits tailored to ______ strength and weaknesses.,us/our,our/us,them/their,None of these,A
88,Most of the guests arrived ______ buses.,by,with,in,through,A
90,Choose the correct sentence.,I have two brother in law.,I have two brothers in law.,I have two brothers in laws.,None of these,B
91,The antonym of Enormous is ______.,Fragile,Weak,Tiny,Soft,C
93,"He lived ____ Model Town, Lahore.",at at,in at,of at,None of these,B
94,Choose the synonym: Caesarean,Short tempered,Surgical operation,Craftiness,None of these,B
95,He was ____ on success.,Scant,Elated,Gloomy,Meagre,B
96,The antonym of Innocent is:,Honest,Guilty,Upstanding,None of these,B
97,Write down __ your name and roll number.,Either,Both,Neither,Nor,B
98,Nobody was ____ by her excuse.,Taken,Taken in,Taken into,None of these,B
