Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
40,"Kyle bought a $2,000 government bond that yields 6 percent in simple interest each year. Write the equation that gives the total amount A, in dollars, Kyle will receive when he sells the bond after t years.","A = 2,000(1 + 0.06)t","A = 2,000(1 + 0.06t)","A = 2,000(1 + 0.06)t",None of these,B
41,"ax+2y=5 & 3x-6y=20. In the system of equations above, a is a constant. If the system has one solution, which of the following CANNOT be the value of a?",-1,1,2,-3,A
43,"Complete: 10, 20, 40, 80, ____.",120,140,160,180,C
44,A profit of rupees 12300 is distributed among the three partners in the ratio 4/3:7/6:11/12. Find the share of the third partner?,4200,3300,4600,None of these,B
46,√3 / √12 is:,Natural number,Integer,Rational number,Irrational number,C
47,"If a:b = 2:3 and b:c = 4:3, then find a:b:c.",8:12:09,2:03:08,2:03:09,2:03:12,A
49,"When a student weighing 45 kg left a class, the average weight of the remaining 59 students increased by 200g. What is the average weight of the remaining 59 students?",57 kg,58 kg,59 kg,60 kg,A
50,"Find the value of x when y = 5, if x varies directly as 4y-1 and x = 14 when y = 2:",10,28,35,38,D
52,"A volleyball team won 5 matches, which accounts for 25 percent of the total matches they played. Determine the total number of matches the team participated in:",15,20,25,45,B
53,"When 3⁵ⁿ⁻⁹ = 3ⁿ⁺¹, then n is:",5,6,4,None of these,C
55,"A shopkeeper raises the price of a cycle by 5 percent above the market price and charges 12 percent sales tax on the market price. As a result, a customer has to pay Rs. 4,680 for the cycle. What is the market price of the cycle?",4000,4200,3950,4500,A
56,There are 56 boys in a class of 140 students. What percent of the students are boys?,30 percent,35 percent,40 percent,55 percent,C
58,"A tank is 25 m long, 12 m wide and 6 m deep. The cost of plastering its walls and bottom at 75 paise per sq. m is:",456,458,558,568,C
59,"A company invited applications for 100,000 shares and received applications for 150,000 shares. Applications for 30,000 shares were rejected, and the remaining applicants were allotted shares on a pro rata basis. How many shares will an applicant for 3,000 shares","2,500 Shares","3,600 Shares","4,500 Shares","2,000 Shares",A
61,Mark the co-prime numbers:,"2, 4","3, 6","4, 110","2, 9",D
62,"35 workers are employed to complete a construction project in 16 days. Before the project starts, the boss of the company is told that he needs to complete the project in 14 days. Assuming that all the workers work at the same rate, how many more workers",3,4,5,9,C
63,"A man spends 35 percent of his income on food, 25 percent on children's education, and 80 percent of the remaining on house rent. What percent of his income is he left with?",6 percent,8 percent,10 percent,12 percent,B
64,What is the LCM of the 6th and 7th term in a_n = 3n+2?,360,460,520,620,B
65,"A bag contains 50 paise, 1 rupee and 2 rupee coins in the ratio 2:5:8. If the total amount is Rs. 352, find the total number of coins in the bag.",160,200,250,240,D
66,A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is:,Rs. 690,Rs. 650,Rs. 698,Rs. 700,C
67,a³ + b³ =,(a + b) (a² – ab + b²),(a - b) (a² - ab + b²),(a - b) (a² + ab - b²),None of these,A
68,"Complete the series 1, 0, 3, 2, 5, 4, ____.",9,8,7,10,C
69,"If a machine makes 4 yards of cloth in two minutes, how many yards of cloth will the machine make in 50 minutes?",25 yards,50 yards,75 yards,100 yards,D
70,"If 100 kg of meat is divided into packages of 4/7 kg each, the total number of packages will be:",125,175,100,150,B
71,"A ladder 15 meters long just reaches the top of a vertical wall. If the ladder makes an angle of 60° with the wall, find the height of the wall.",7 m,7.5 m,8 m,8.5 m,B
72,"There are two sections A and B of a class, consisting of 36 and 44 students respectively. If the average weight of section A is 40kg and that of section B is 35kg, find the average weight of the whole class.",30 kg,35 kg,37.25 kg,42.50 kg,C
73,"Complete the number series: 4, 9, 13, 22, 35, ____",57,63,70,75,A
74,Simplify: 0.04 x 0.0162 x 0.001 = ?,6.48 x 10⁻³,6.48 x 10⁻⁵,6.48 x 10⁻⁶,6.48 x 10⁻⁷,D
75,"When you divide 0.7 by 10, you will get:",7,0.07,70,0.007,B
76,"The price of a car, including a 6 percent sales tax, is Rs. 154431.40. What is the market price of the car without tax?",145500,145000,150000,145690,D
77,"If 40 percent of a number is equal to two-thirds of another number, what is the ratio of the first number to the second number?",0.210416667,0.129861111,0.29375,None of these,A
78,Solve: 5 ÷ 0.5 = ?,2.5,25,10,1,C
79,The farthest number from -1 on the number line is:,-10,10,5,1,B
80,"The total cost of 12 pens and 5 pencils is equal to 111. Also, the cost of 1 pencil is 5 less than the cost of 1 pen. What will be the cost of 8 pens and 9 pencils?",89,97,91,78,C
81,"In how many ways can a President, Vice President, and a water boy be selected from a group of ten people?",10C3,10P3,240,None of these,B
82,0.5x0.06=,0.3,0.03,0.003,3,B
83,"If the average of 7 numbers is 40, what was the sum of the numbers?",400,70,700,280,D
84,"H = 100 - 4T. The equation above can be used to model the number of hours H until a gallon of milk held at a temperature of T, in degrees Celsius, goes sour. Based on the model, which of the following is the best interpretation of the number 4 in the equation?",An increase of 1 degree Celsius will make a gallon of milk go sour 4 hours faster.,An increase of 1 degree Celsius will make 4 gallons of milk go sour 1 hour faster.,An increase of 4 degrees Celsius will make a gallon of milk go sour 1 hour faster.,An increase of 4 degrees Celsius will make a gallon of milk go sour 4 hours faster.,A
85,LCM stands for what?,Least count multiple,Less common multiple,Least common multiple,None of these,C
86,"Aaron has 3 times as much money as Josh. If Aaron gives Josh $50, Josh will then have 3 times as much money as Aaron. How much money do the two of them have together?",$100,$110,$135,$150,A
87,Solve (√2 - 1/√2)^2 =,1,'1/2,'1/4,'1/6,B
89,4.036 divided by 0.04 =,10.9,100.9,109,None of these,B
90,The value of 1/3 of 24 is:,8,5,12,None of these,A
91,"Complete the series: 1, 4, 9, 27, 64, 125, ______?",144,225,256,none of these,C
92,"If 1 day work = 1/20, then the time required to finish the job (in days) is:",20,10,25,30,A
93,Time and work: 12 men can do a piece of work in 10 days. How many men would be required to do the same work in 8 days:,12,13,14,15,D
94,"If a man's salary is increased by 1/5 and his current pay is 60,000, what will be the increased pay?",70000,72000,75000,80000,B
95,"If x – 4 = 9, what is the value of x² – 4?",21,77,81,165,D
96,A train covers a distance in 5 hours at 45 km/h. What speed is required to cover the same distance in 3 hours?,60 km/h,70 km/h,75 km/h,85 km/h,C
97,"At the end of a conference, the 10 people present all shake hands with each other once. How many handshakes will there be altogether?",20,35,45,55,C
98,"If A is two years older than B and B is twice as old as C. If the sum of the ages of A, B and",10,9,is 27 then how old is B? 11,12,A
99,The area of a 2x2 tile is 2x2 feet. Then how many tiles are required to fill a 17x12 floor?,47,51,59,63,C
101,To fill a tank 25 buckets of water are required. How many buckets of water will be required to fill the same tank if the capacity of the bucket is reduced to two-fifths of its present capacity?,30,35,62.5,None of these,C
102,A TV is purchased at Rs. 5000 and sold at Rs. 4000. Find the loss percent:,10 percent.,20 percent.,25 percent.,28 percent.,B
104,12 water pumps can make a water tank empty in 20 minutes. But 2 pumps are out of order. How long will the remaining pumps take to make the tank empty?,20 minutes,24 minutes,28 minutes,None of these,B
105,Samar bought a shirt for Rs. 250 and sold it for Rs. 295. Find the profit percentage.,16 percent,18 percent,20 percent,None of these,B
107,"Jerry estimates that there are 'm' marbles in a jar. Harry, who knows the actual number of marbles in the jar (let's call this 'n'), notes that 'n' is within 10 marbles (inclusive) of Jerry's estimate 'm'. Which of the following inequalities represents this relationship?",n + 10 < m < n - 10,m - 10 < n < m + 10,n < m < - 10m,m/10 < n < - 10m,B
108,The volume of a right circular cylinder in cm³ having a radius of 2 cm and height of 7 cm is:,14 cm³,28 cm³,88 cm³,7 cm³,C
109,"The average value of A and B is 50,000, that of B and C is 60,000, and the average of A and C is 55,000. Find the value of B.",50000,55000,60000,None of these,B
110,A horse runs around a ground twice and covers a distance of 8 km. One side of the square ground is:,8 km,4 km,2 km,1 km,D
111,Find the relationship. Left : Right :: East : __?,South,North,West,Coast,C
112,"Two numbers are in the ratio 3:5. If 9 is subtracted from each, the new numbers are in the ratio 12:23. The smaller original number is:",31,33,35,None of these,B
113,"1/2, 2/3, 3/4, and 4/5 are like fractions are:","30/60, 40/60, 45/60 and 48/60","40/60, 30/60, 45/60 and 48/60","40/60, 30/60, 48/60 and 45/60",None of these,A
114,"A school has only four classes that contain 10, 20, 30, and 40 students respectively. The pass percentages of these classes are 20 percent, 30 percent, 60 percent, and 100 percent respectively. Find the pass percent of the entire school.",0.76,0.66,0.56,None of these,B
115,"If 3x - 8 = -23, what is the value of 6x - 7?",-30,-38,-37,-39,C
116,The measures of the angles of a triangle are in the ratio 5:4:3. Find the smallest angle of the triangle:,45°,60°,75°,105°,A
117,"Think of a number, divide it by 4, and add 9 to it. If the result is 15, what is the number?",20,24,26,28,B
118,Three numbers are in the ratio 4:5:6 and their average is 30. The largest number is:,28,32,36,42,C
119,"A tank can be filled in 0.8 seconds. In two hours, how many such tanks can be filled?",9000,8000,7000,None of these,A
120,"If 1000 tickets were bought at the price of $5 and 800 tickets were bought at $15, then the demand curve shift is:",1,80,Jan-80,-0.0125,D
121,9 is 1/3 percent of what number?,2700,300,27,30,A
122,Solve: √(1.44),0.8,1.2,8,12,B
123,"What is 3.4 percent (calculated percentage) of the number 1,000?",24,34,38,40,B
124,"If a 162 km long road can be constructed in 9 months, how many months are required to construct a 306 km long road?",15,17,19,None of these,B
125,A shopkeeper buys a watch for Rs. 350/- and sells it for Rs. 392/-. Find his percentage of profit.,9 percent,10 percent,11 percent,12 percent,D
126,Two numbers are respectively 20 percent and 50 percent more than a third number. The ratio of the two numbers is:,2:03,3:04,4:05,5:06,C
127,"When 20 percent of a number is added to itself to give 102, find the number.",85,90,75,185,A
128,What is the square root of 0.16?,0.4,0.5,0.6,0.7,A
129,"A and B together can complete a work in 3 days. They start together but, after 2 days, B left the work. If the work is completed after 2 more days, B alone could do the work in:",04 days,06 days,08 days,None of these,B
130,A mason fixed black tiles of square shape around a square room. There are 21 tiles on each side of the room. How many tiles did he need altogether?,88,76,80,None of these,C
131,"If the radius of a circle is 1 cm, then the area of the circle is:",314 mm,314 cm²,314 mm²,None of these,C
132,"Complete the series: 1, 8, 4, 27, 9, ____",8,9,64,16,C
133,"A rectangular lawn 80 meters by 60 meters has two roads, each 10 m wide, running in the middle of it, one parallel to the length and the other parallel to the breadth. Find the cost of gravelling them at Rs. 30 per square meter.",3900,39000,30000,None of these,B
134,One kilometer is equal to ______ meters.,10,100,1000,10000,C
135,"If Mary traveled 116 miles on day 1, 130 miles on day 2, and 114 miles on day 3, how many miles per day did she average?",120,115,116,114,A
136,"A milkman adds 10 litres of water to 10 litres of milk. His son takes 15 litres of this mixture and adds 5 litres of water to it. Find the amount of water, in litres, in the final mixture:",11,11.5,12,12.5,D
137,Find the average of all numbers between 6 and 34 which are divisible by 5:,15,20,25,30,B
138,"In a 60-liter mixture, the ratio of milk and water is 2:1. How much water must be further added to make it 1:2?",60 liters,50 liters,40 liters,None of these,A
139,A square region has an area of 2304 m². Find its perimeter.,24 m,96 m,144 m,192 m,D
140,"The average of 20 students is 12 years. If the teacher's age is included, the average increases by one. The age of the teacher is:",30 years,28 years,33 years,35 years,C
141,"A car that gets 15 miles per gallon of gasoline can travel 250 miles on a full tank. If the same car got 20 miles per gallon, how many miles could it travel on a full tank?",150,300,250,None of these,D
142,"A steam shovel excavates 2 cubic yards every 40 seconds. At this rate, the amount excavated in 45 minutes is:",90 Cu Yd,135 Cu Yd,270 Cu Yd,1200 Cu Yd,B
143,'Laila is four times as old as her 2-year-old brother Mansoor. How old will Mansoor be when he is half the age of his older sister Laila?,4,6,5,7,B
144,A photograph measuring 5 cm by 7 cm is enlarged in the ratio of 7:5. What is the new length and width of the picture?,7 cm by 5 cm,7.6 cm by 9.8 cm,7 cm by 9.8 cm,7 cm by 8.8 cm,A
145,A stenographer has been asked to fill out 500 forms. She fills 25 forms by the end of half an hour. Then she is joined by another stenographer who fills the forms at the rate of 45 per hour. The entire assignment will be carried out in _____.,5 hours,5 ½ hours,4 ½ hours,6 hours,B
146,Solve: 7500 + (1250 / 50),7500,7525,7550,8000,B
147,"Find the average of 8, 13, 25, 43, and 11.",20,32,27,19,A
148,"There are two sections A and B of a class, consisting of 36 and 44 students respectively. If the average weight of section A is 40kg and that of section B is 35kg, find the average weight of the whole class?",37 kg,37.25 kg,37.5 kg,None of these,B
149,"Complete the series: 36, 34, 30, 28, 24, ____",20,22,23,26,B
150,An army camp of 200 men has enough food for 60 days. How long will the food last if the number of men in the camp is reduced to 160?,80 days,75 days,70 days,85 days,B
151,A right cylinder and a right circular cone have the same radius and the same volume. What is the ratio of the height of the cylinder to that of the cone?,1:03,3:01,2:03,3:02,A
152,The sum of the reciprocals of A's ages (in years) 2 years ago and 2 years from now is 2/3. The present age of A is?,2 years,7 years,4 years,5 years,C
153,The angle of elevation of a ladder leaning against a wall is 60° and the foot of the ladder is 4.6 m away from the wall. The length of the ladder is:,8.2 m,9.2 m,10.2 m,None of these,B
154,What is the value of compound interest after n years is?,P=A(1-r/n)^(n+1),A=P(1+r/n)^n,A=P(1-r/n)^n,None of these,B
155,"Which number will come next: 5, 3, 6, 2, 7, 1...",5,7,8,9,C
156,"A is 4 times as fast as B and therefore is able to finish the work in 45 days less than B. A and B, working together, can complete the work in how many days?",12 days,15 days,18 days,None of these,A
157,"Find the odd one out: 8, 27, 64, 100, 125, 216, 343",27,100,125,343,B
158,I spend 20 hours to clean my garden. How long will it take if 4 people come to join me?,3 hours,6 hours,5 hours,4 hours,C
159,"If log 2 = 0.312, log 10 = 1, then log 5 512 is?",3.875,4.252,5.751,None of these,A
161,"A chemical solution has 8 percent acid. If the acid is 15 mL, the total volume of the solution is:",180.5 mL,187.5 mL,179.5 mL,None of the above,B
162,"Five years ago, the average age of P and Q was 15 years. Now, the average age of P, Q, and R is 20 years. What would be the age of R after 10 years?",30 years,40 years,33 years,50 years,A
163,A batsman in his 12th innings makes a score of 80 runs and thereby increases his average score by 3. What is his average after the 12th innings?,45,46,47,None of these,C
164,"The sum of the ages of a father and his son is 100 years now. 5 years ago, their ages were in the ratio of 2:1. The ratio of the ages of father and son after 10 years will be:",10:07,5:03,4:03,None of these,B
165,"The price of a bicycle is Rupees 6480, inclusive of 8 percent GST. What is the original price of the bicycle?",6000,5900,6200,None of these,A
166,0.26 ÷ 100 = ?,0.026,0.0026,26,0.00026,B
167,"The length and breadth of a rectangular drawing room of a house are 18 ft and 13 ft respectively. The height of the house is 10 ft. If the cost of painting the four walls is Rs. 40 per square ft, find the cost of painting the drawing room.","Rs. 76,860","Rs. 68,160","Rs. 24,800","Rs. 7,686",C
168,"'If 2^x/2^y=2^3, then the value of x is:",y+3,y³,3-y,3y,A
169,"Which one of the numbers completes the series: 2, 5, 8, 11, 14, ____.",18,17,19,16,B
170,What is meant by a linear equation?,First degree,Second degree,Third degree,None of these,A
171,7 percent of 42 is:,2.94,3.94,1.94,2.2,A
172,"After spending 88 percent of his income, a man had Rs. 2160 left. Find his income:",Rs0.18 ,Rs0.19 ,"Rs.20,000","Rs.22,000",A
173,"A is the father of B, but B is not the son of A. Then what is B?",Daughter,Nephew,Daughter-in-law,Nephew-in-law,A
175,A tank in the shape of a cylinder of diameter 2.4 m and height 6.4 m contains oil up to the brim. Find the number of complete cylindrical containers of base radius 8.2 cm and height 28 cm that can be filled by the oil in the tank?,4895,8316,4136,4761,A
176,"Find the value of x and y by solving the given equations: 2x+y=20, 6x-5y=12","x=5, y=6","x=7, y=6","x=4, y=5","x=9, y=8",B
177,The sum of ages of 5 children born at the intervals of 3 years each is 50 years. What is the age of the youngest child?,4 years,8 years,10 years,12 years,A
178,A man's annual production sells for 75000. A 10 percent levy of this amount will be:,6500,5500,4500,None of these,D
179,"If one of the angles of a triangle is 90 degrees, what would be the value of the other two angles?",60 and 30 degrees,50 and 40 degrees,70 and 20 degrees,45 and 45 degrees,D
180,Simplify: 2² × 3 × 2⁴ × 2² × 2,3 × 2⁸,3 × 2¹⁶,3 × 2³²,3 × 2⁹,D
181,"What is the missing number in the sequence: 4, 6, 10, 18, _____, 66.",22,34,45,54,B
182,"What number comes in the series: 5, 4, 9, 13, 22, 35, ______?",53,60,57,63,C
184,"Julie has a square fence that enclosed her garden. She decided to expand her garden by making each side of the fence 10 percent longer. After this expansion, the area of Julie's garden will have increased by what percent?",21,23,25,27,A
185,A toy is sold for Rs. 220. What was the cost if the rate of profit was 10 percent of the cost?,198,202,200,201,C
187,"If k ≤ x ≤ 3k + 12, which of the following must be true?\nI. x - 12 ≤ 3k\nII. k ≥ -6\nIII. x - k ≥ 0",I only,I and II only,II and III only,"I, II and III",D
188,The sum of two numbers is 25 and their difference is 13. What is their product?,100,114,126,138,B
190,"Complete the series: 2, 4, 3, 9, 4, 16, 5, 25, 6, ____.",30,33,36,40,C
191,"In a class, 3/4 of the students do not know either English or Hindi. But 1/6 of the students know English. How many students know both English and Hindi if students who know Hindi are 1/8 of the total students in the class?",Jan-24,100/24,10-Apr,¼,A
193,"If books bought at prices ranging from Rs. 150 to Rs. 300 are sold at prices ranging from Rs. 250 to Rs. 350, what is the greatest possible profit that might be made in selling 15 books?",Rs. 2000,Rs. 2500,Rs. 3000,Rs. 3500,C
194,"10 men have ration for 21 days in the camp. If 3 men leave the camp, for how many days will the ration be sufficient for the remaining men?",20 days,30 days,45 days,None of these,B
196,Simplify: (√50 - √18) / √2 = ?,1,2,3,4,B
197,What is the smallest ratio of 0.35 / 0.65?,May-13,Jul-13,Sep-13,None of these,B
199,"'Solve and find the value of x, if (30x + 70) / x = 100:",2,4,1,3,B
200,How many pieces of 13.2 cm can be cut from a 330 cm long rod?,250,25,43.56,2.5,B
202,"What is the next number in the series: 5, 13, 25, 41, 61?",75,85,80,90,B
203,"A mason fixed black, square-shaped tiles around a square room. There are 21 tiles on each side of a room. How many tiles did he need altogether?",66,78,80,None of these,C
205,A is twice as good a workman as B and together they finish a piece of work in 18 days. In how many days will B alone finish the work?,27 days,54 days,56 days,68 days,B
206,"2x - 10 = 20, then x - 5 = ?",5,10,15,20,B
207,888 ÷ 0.8 x 8 = ?,8880,0.8007,8800,88.8,A
208,"Working 5 hours a day, A can complete a work in 8 days, and working 6 hours a day, B can complete the same work in 10 days. Working 8 hours a day, they can jointly complete the work in:",3 days,4 days,4.5 days,None of these,A
209,"If x:y = 5:2, then (8x+9y):(8x+2y) is:",26:61,29:22:00,22:29,None of these,B
211,"The average of five numbers is 27. If one number is excluded, the average becomes 25. The excluded number is:",35,40,45,None of these,A
212,"Complete the number series: 6, 3, 12, 6, 24, ____",12,18,30,40,A
214,"Find the missing term 16, 24, ___, 54",30,36,48,50,B
215,"If the cost of tiles is Rs. 5 for 50 sq.m, what will be the cost of 400 sq.m?",Rs. 30,Rs. 40,Rs. 50,Rs. 80,B
216,The average of the first five multiples of 9 is:,20,27,28,None of these,B
217,The number whose 7 percent is 42 is:,300,400,500,600,D
218,Simplify (60)² = ? x 72,3600,3528,0.02,50,D
219,"If A:B:C = 2:3:4, then A/B : B/C : C/A is equal to:",'4:9:16,'8:9:12,'8:9:24,None of these,C
220,Two concentric circles are of radii 10 cm and 06 cm. Find the length of the chord of the larger circle which touches the smaller circle.,8 cm,12 cm,16 cm,09 cm,C
221,"On a 20 percent discount sale, an article costs 596. What was the original price of the article:",720,735,745,775,C
222,"The length and breadth of a rectangle are in the ratio 3:1. If the breadth is 7 cm, then the length of the rectangle is:",14 cm,16 cm,18 cm,21 cm,D
223,'Simplify: (−20) + (−8) ÷ (−2) × 3,8,-8,6,24,B
224,'Solve: 100 ÷ 50 x 2 = ?,1,2,3,4,D
225,"If 3ˣ⁺³ + 7 = 250, then x is equal to?",5,3,2,None of these,C
226,"The line y = -2x - 2 is perpendicular to line l. If these two lines have the same y-intercept, which of the following could be the equation of line l?",y = -2x - 2,y = 2x - 2,y = 1/2 x - 2,y = -1/2 x - 2,C
227,"If x = 7 - 4√3, then find the value of x + (1/x).",1,14,7 + 4√3,None of these,B
228,Solve: √64 + 3 =,8,3,4,11,D
229,"When 20 percent of itself is added to a number, it gives 102. Find the number.",85,90,75,185,A
230,"The mean of 5 numbers is 34. Three of these numbers are 29, 26, and 35. If the remaining two numbers are in the ratio 1:3, find the numbers?","10, 40","20, 60","35, 45",None of these,B
231,How many cubes of 1 cm side length can be cut from a cuboid of the dimensions 10cm x 12cm x 15cm?,180,1800,160,1600,B
232,"Complete the series: 1, 1, 8, 4, 27, 9, __________.",64,20,60,16,A
233,A trader mixes 26 kg of rice at Rs. 20 per kg with 30 kg of rice of another variety at Rs. 36 per kg and sells the mixture at Rs. 30 per kg. His profit percent is?,5 percent,8 percent,10 percent,None of these,A
234,"In 7 years, Asim will be twice as old as he was 8 years ago. How old is he now?",12,21,32,23,D
235,A 5 m long ladder is placed against a wall with its foot 2 m from the wall. How high up the wall does the ladder reach?,√16 m,√17 m,√19 m,√21 m,D
236,"If 3/4 of the Police employees are not graduates, the ratio of graduates to non- graduates employees in the police department is:",0.04375,0.129861111,0.127777778,0.16875,A
237,"A man's annual production sells for 3,481,600. A 10 percent share of this will be ____.",35000,34816,34670,None of these,B
238,"What is x in the series 24, 29, 36, 41, x, 53?",45,47,48,46,C
239,A ratio equivalent to 3:7 is:,3:09,6:10,9:21,18:49,C
240,"If a – b = 3 and a² + b² = 29, what is the value of ab?",10,12,15,18,A
241,"A man walks 3 km to his East, then turns left and walks 3 km towards North, then turns left and walks 3 km towards West. Indicate the correct direction in which he is in relation to his starting point?",East,West,North,None of these,C
242,"The value of an article is 12,000. Each year it depreciates by 5 percent. What will be the value of the article after 4 years of depreciation?",10870,9774,8990,9765,B
243,A speed of 14 meters per second is the same as:,45.5 km/h,50.4 km/h,52.2 km/h,55.5 km/h,B
244,423 is divisible by:,21,47,17,43,B
245,X and Y can do a piece of work in 20 days and 12 days respectively. X started the work alone and then after 4 days Y joined him till the completion of the work. How long did the work last?,6 days,10 days,15 days,20 days,B
246,1/Log_3(60) + 1/Log_4(60) + 1/Log_5(60) =,0,1,5,None of these,B
247,A farmer bought toffees at 6 for a rupee. How many for a rupee must he sell to gain 20' percent?,3,5,4,6,B
248,"If 35 laborers dig 805 cubic meters of earth in 5 hours, how much earth will 30 laborers dig in 6 hours?",728 m³,828 m³,928 m³,None of these,B
249,280 - 120 - (-320) + 50 = ?,480,680,530,378,C
250,The sum of all the exterior angles in a polygon is equal to:,180,360,380,None of these,B
251,"The ages of A and B are in the ratio 6:5, and the sum of their ages is 44 years. What will be the age of B after 8 years?",20,25,28,None of these,C
252,"The salaries of A, B and C are in the ratio 1:3:4. If the salaries are increased by 5 percent, 10 percent and 15 percent respectively, then the increased salaries will be in the ratio?",21:66:92,0.7878125,32:67:93,None of these,A
253,The principal which will amount to Rs. '270.40 in 2 years at the rate of 4' percent per annum compound interest is?,Rs. 150,Rs. 200,Rs. 250,None of these,C
254,The world spins at ______:,10°/hr,12°/hr,15°/hr,None of these,C
255,"The total number of students in a class is 95. If the total number of girls in the class is 45, then the ratio of the total number of boys to the total number of girls is:",9:10,7:08,10:09,9:11,C
256,The square of the standard deviation is called:,Variance,Dispersion,Range,Mean,A
257,"When 52416 is divided by 312, the quotient is 168. What will be the quotient when 52.416 is divided by 0.0168?",3.12,312,3120,None of these,C
258,"If Amir is to the North of Bilal, and Saad is to the West of Bilal, in which direction is Amir with respect to Saad?",West South,West-North,North-East,North,C
259,"In the xy-plane, points (-3,5) and (6,8) lie on line l. Which of the following points is also on line l?","(0,6)","(3,8)","(9,10)","(12,11)",A
260,"If 40 men can do a piece of work in 25 days, in how many days can 12 men do the same job?",79 days,85 days,78 days,None of these,D
261,"Shahwaiz has 20 football cards, and Azhaan has 44 baseball cards. They agree to trade such that Azhaan gives Shahwaiz 2 baseball cards for every card Shahwaiz gives to Azhaan. After how many such trades will Shahwaiz and Azhaan each have an equal",11,12,14,8,D
263,"If the number of legs of goats in a grass field is '3,004,008, then the total number of goats is what?","651,002","751,002","851,002",None of these,B
264,"In a cyclic group of infinite order, identity has order:",1,3,2,7,A
266,30 percent of 100 is equal to 3 percent of which digit?,100,10,1000,10000,C
