question,option_a,option_b,option_c,option_d,correct_answer,question_type,year,page
"16. In fish liver oil, there is:",Vitamin A only,Vitamin D only,Vitamin A and Vitamin E,Vitamin A and Vitamin D,D,multiple_choice,2024,23
17. One degree of longitude on the equator is equal to a distance of:,49 miles,69 miles,39 miles,60 miles,B,multiple_choice,2024,23
18. When are day and night equal?,23rd February and 21st September,21st March and 23rd September,23rd March and 21st September,None of these,B,multiple_choice,2024,24
19. The ionosphere is located within the thermosphere and extends:,From 60 to 300 km above the Earth's surface,From 50 to 200 km above the Earth's surface,From 50 to 300 km above the Earth's surface,None of the above,A,multiple_choice,2024,24
"20. If the radius of a circle is increased three times, then its area is increased:",Three times,Six times,Nine times,None of these,C,multiple_choice,2024,25
What is the formula for the total surface area of a cone?,πr²h,πrl,πr(r + l),2πr² + 2πrh,C,multiple_choice,2023,26
Most deadly bacteria for humans as declared by WHO is,Virus,E.Coli,Dengue,None of these,B,multiple_choice,2023,26
What is a Nematode?,An insect,A crustacean,A mammal,A worm,D,multiple_choice,2023,26
"In the presence of H2O2, which of the following is more acidic?",H2O,H2O2,CO2,O2,B,multiple_choice,2023,27
What is the mass of the heaviest Neutron star compared to the mass of the Sun?,2.35 times greater,2.35 times lower,Half of the Sun,Twice the mass of the Sun,A,multiple_choice,2023,27
What type of rock is marble?,Igneous,Metamorphic,Sedimentary,Volcanic,B,multiple_choice,2023,27
Exciton is a pair between,Electron-Proton,Proton-Proton,Electron-Hole,None of these,C,multiple_choice,2023,28
What material is used to make LEDs?,Gallium Arsenide,Copper and silver,Gold and silver,Silver and aluminum,A,multiple_choice,2023,28
"Electromagnetic waves, which are used for satellite communication, are:",Radio waves and Microwaves,Infrared and Ultraviolet,Gamma rays and X-rays,Visible light and Radio waves,A,multiple_choice,2023,28
"10. What is the most dangerous infectious disease in the world, according to the World Health Organization (WHO)?",Cholera,Malaria,Tuberculosis,"HIV/AIDS essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",C,multiple_choice,2023,29
11. What are synoptic weather charts used for?,To predict the weather,To identify air masses,To locate pressure systems,To detect areas of precipitation,A,multiple_choice,2023,31
12. White coal is another name of,Geothermal energy,Hydroelectricity,Biofuel,None of these,B,multiple_choice,2023,31
13. What does monochromatic mean?,A variety of colours,A single wavelength,A single colour,A variety of wavelengths,B,multiple_choice,2023,31
"14. Mauna Loa, one of the world's largest active volcanoes, is located in",Hawaii,Green Island,Malta Island,None of these,A,multiple_choice,2023,32
"15. Which type of cloud is a dense, towering vertical cloud associated with thunderstorms and lightning?",Stratus,Cumulus,Nimbostratus,Cumulonimbus,D,multiple_choice,2023,32
16. A dark cloud of great vertical extent charged with electricity is:,Cumulus Cloud,Nimbus Cloud,Stratus Cloud,Cumulonimbus Cloud,D,multiple_choice,2023,32
17. Which of the following is not one of the five types of Hepatitis?,Hepatitis F,Hepatitis A,Hepatitis C,Hepatitis E,A,multiple_choice,2023,33
18. Which of the following can grow on Wood saw dust,Mushrooms,Peas,Grass,None of these,A,multiple_choice,2023,33
20. Most hazardous waste is,Hospital waste,Material waste,Chemical waste,Nuclear waste,D,multiple_choice,2023,34
What method may not be considered a food preservation method?,Freezing,Irradiation,Sleeping,None of these,C,multiple_choice,2022,35
Which of the following is not an electromagnetic wave?,Sound waves,Radio waves,Light waves,None of these,A,multiple_choice,2022,35
Which one of the following may be considered as a factor influencing intelligence?,Heritability,Dressing,Smiling,None of these,A,multiple_choice,2022,35
For what terminology is the abbreviation GPS being used globally?,Geo Pakistan System,Global Positioning System,Global Path System,None of these,B,multiple_choice,2022,36
Which one can be considered as the unit of distance?,Footpath,Heavy Year,Light Year,None of these,C,multiple_choice,2022,36
What is the scientific name for atoms of the same element with different mass numbers?,Subshells,Isotopes,Orbitals,None of these,B,multiple_choice,2022,36
The combining of two non-metal atoms by sharing one or more pairs of electrons is called:,Ionic Bond,Covalent Bond,Metallic Bond,None of these,B,multiple_choice,2022,37
Which one can be considered in representing the geographic coordinate system?,Aptitude,Latitude,Attitude,None of these,B,multiple_choice,2022,37
Which of the following cannot be considered a renewable source of energy?,Coal,Wind,Solar,None of these,A,multiple_choice,2022,38
10. What does RNA stand for?,Ribonucleic Acid,Russian National Assembly,Red Nitric Acid,None of these,A,multiple_choice,2022,38
11. Which one is not a part of a cell phone's structure?,LCD,Battery,Water,None of these,C,multiple_choice,2022,38
12. Which one is not a planet?,Earth,Venus,Moon,None of these,C,multiple_choice,2022,39
13. A deficiency of iron in the human diet causes:,Hepatitis,Malaria,Anemia,None of these,C,multiple_choice,2022,39
14. COVID-19 is caused by a:,Bacterium,Virus,Injection,None of these,B,multiple_choice,2022,39
15. Which of the following may be said to be the most harmful radiation emitted by the sun?,Infrared,Visible light,Ultraviolet,None of these,C,multiple_choice,2022,40
16. Which part of the body will be mainly affected by fluoride pollution?,Brain,Liver,Teeth,None of these,C,multiple_choice,2022,40
17. Which of the following is not a part of the quantities used to discuss computer memory?,Bite,Bit,Byte,None of these,A,multiple_choice,2022,41
18. How can we symbolically write ozone gas?,O2,O3,CO2,None of these,B,multiple_choice,2022,41
19. In which direction does the Earth rotate on its axis?,East to West,West to East,North to South,None of these,B,multiple_choice,2022,41
20. Sound waves... The plotting of the vibration caused by an earthquake on paper is called,Photograph,Earthograph,Seismograph,None of these,C,multiple_choice,2022,42
A collection of system programmes that controls and coordinates the overall operations of a computer system is called?,Operating System,Hardware,Software,None of these,A,multiple_choice,2021,43
The place of environment where plants or animals naturally or normally live and grow is known as?,Environment,Atmosphere,Habit,Habitat,D,multiple_choice,2021,43
Rotation of the earth is what causes,Day,Night,Both a and b,None of these,C,multiple_choice,2021,43
The energy which is unavailable in a system is called,Increased,Decreased,Entropy,None of these,C,multiple_choice,2021,44
Which atmospheric layer contains ions and helps in the wireless communication?,Thermosphere,Stratosphere,Mesosphere,None of these,A,multiple_choice,2021,44
Which of the following produces seeds but not fruits?,Gymnosperms,Mint,Maize,None of these,A,multiple_choice,2021,44
Covalent bond is between two atoms when they?,Share one or more proton,Share one or more electron,Both a and b,None of these,B,multiple_choice,2021,45
The blue color of the sky is due to?,Reflection of light rays,Refraction of light rays,Scattering of light,None of these,C,multiple_choice,2021,45
What is the name of tropical cyclone in the China Sea?,Typhoon,Tornadoes,Hurricane,None of these,A,multiple_choice,2021,46
10. Diseases that spread from one person to another are called?,Communicable Diseases,Degenerative Diseases,Non-communicable Diseases,None of these,A,multiple_choice,2021,46
"12. A light sensitive device that converts drawing, printed texts, or other images into digital form are?",Scanner,Printer,Bluetooth,None of these,A,multiple_choice,2021,47
13. The Ozone layer is present in?,Mesosphere,Stratosphere,Thermosphere,Ionosphere,B,multiple_choice,2021,47
14. The weight of an object on the moon is the weight of the object on the earth,One-sixth,One-seventh,One-eighth,None of these,A,multiple_choice,2021,47
15. Which is the hottest planet in our solar system?,Saturn,Mercury,Venus,Earth,C,multiple_choice,2021,48
16. Spanish Influenza of 1918-19 was caused by which influenza virus?,H1N2,H3N1,H1N1,None of these,C,multiple_choice,2021,48
17. Excess bleeding during an injury is a defeciency of,Vitamin B,Vitamin K,Vitamin C,Vitamin A,B,multiple_choice,2021,49
18. What time of the year is the earth closest to the Sun?,In winter,In summer,In autumn,None of these,A,multiple_choice,2021,49
19. Night blindness is caused due to the deficiency of,Vitamin A,Vitamin B,,,A,true_false,2021,49
20. Artificial noise is a,Vibration,Vocal cords,Both a and b,"None of these essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",A,multiple_choice,2021,50
Karnal Bunt is a disease of:,Barley crop,Wheat crop,Bajra crop,Jowar crop,B,multiple_choice,2020,52
The gas used in the manufacture of vanaspati ghee from vanaspati oil is:,Hydrogen,Oxygen,Nitrogen,Carbon dioxide,A,multiple_choice,2020,52
"Different types of electromagnetic radiation (X-rays, infrared, radio, etc.):",Travel at different speeds in a vacuum,Have different amounts of energy for each photon,Have the same wavelength,Do not always obey the inverse square law,B,multiple_choice,2020,52
Which one of the following is not a sedimentary rock?,Limestone,Sandstone,Granite,None of these,C,multiple_choice,2020,53
What is the shape of our galaxy?,Elliptical,Spiral,Lenticular,Irregular,B,multiple_choice,2020,53
"Of the following diseases, which one is caused by an insect bite?",Scurvy,Dengue,Pneumonia,Asthma,B,multiple_choice,2020,53
The bonds present in N2O5 are:,Only ionic,Covalent and coordinate,Only covalent,Covalent and ionic,B,multiple_choice,2020,54
A set of programs with a full set of documentation is considered:,Database packages,File package,Software,Software packages,D,multiple_choice,2020,54
The WHO-permitted concentration of arsenic in drinking water is:,1 or 2 µg/l,10 µg/l,12 µg/l,200 µg/l,B,multiple_choice,2020,54
10. Polio is caused by:,Fungus,Bacteria,A virus with single-stranded RNA,A virus with single-stranded DNA,C,multiple_choice,2020,55
11. Which cell organelle is called the powerhouse of the cell?,Endoplasmic reticulum,Mitochondria,Vacuoles,Lysosomes,B,multiple_choice,2020,55
"12. Impurities like boron, aluminum, gallium, or indium are added to an intrinsic semiconductor to form:",N-type doped semiconductor,P-type doped semiconductor,A junction diode,All of these,B,multiple_choice,2020,56
13. The temperature is lowest at the:,Stratosphere,Mesopause,Tropopause,Stratopause,B,multiple_choice,2020,56
14. What is the size of a MAC Address?,16-bits,32-bits,48-bits,64-bits,C,multiple_choice,2020,56
15. Which of the following is an example of an unsaturated fatty acid?,Lauric acid or dodecanoic acid,Linolenic acid,"Palmitic acid, or hexadecanoic acid",Myristic acid (tetradecanoic acid),B,multiple_choice,2020,57
16. Humidity is measured with a:,Barometer,Thermometer,Hygrometer,None of these,C,multiple_choice,2020,57
17. The high-level language ____ has now become the dominant AI programming language.,Ada,Lisp,AI pro,High AI,B,multiple_choice,2020,58
18. The vitamin essential for blood clotting is:,Vitamin A,Vitamin B,Vitamin C,Vitamin K,D,multiple_choice,2020,58
19. The two planets between the Earth and the Sun are:,Mars and Jupiter,Mercury and Venus,Mercury and Saturn,Venus and Jupiter,B,multiple_choice,2020,58
20. The following disease is waterborne:,Typhoid,Tuberculosis,Hepatitis B,Scurvy,A,multiple_choice,2020,59
How many bones are in the adult human body?,204,205,206,208,C,multiple_choice,2019,60
How many bits are required to store the hexadecimal word AF?,2 bits,4 bits,8 bits,12 bits,C,multiple_choice,2019,60
Which control rods are used in a nuclear reactor?,Cadmium,Copper,Graphite,None of these,A,multiple_choice,2019,60
Blood contains:,Red blood cells,White blood cells,Platelets,All of these,D,multiple_choice,2019,61
What is anthracite?,Carbon,Carbon-rich coal,Ammonia,None of these,B,multiple_choice,2019,61
What is not included in the earth's environment?,Lithosphere,Stratosphere,Biosphere,None of these,D,multiple_choice,2019,61
Which of the following is an example of a warm-blooded animal?,Reptiles,Dolphin,Frog,None of these,B,multiple_choice,2019,62
Which vessel provides blood to the liver?,Hepatic artery,Veins,Arteries,None of these,A,multiple_choice,2019,62
Bronze is an alloy made up primarily of which metals?,"Copper, nickel","Copper, tin","Copper, silver","Copper, zinc",B,multiple_choice,2019,62
10. What organelles are characteristic of plant cells?,Cell wall,Vacuoles,Cell wall and vacuoles,None of these,C,multiple_choice,2019,63
11. The loudness of a sound depends on its:,Wavelength,Frequency,Amplitude,All of these,C,multiple_choice,2019,63
12. The atomic number is also called the:,Proton number,Electron number,Both of these,None of these,A,multiple_choice,2019,64
13. Permanent hardness of water is due to the presence of:,Sodium bicarbonate,Calcium sulphate,Calcium bicarbonate,None of these,B,multiple_choice,2019,64
14. A light-year is the unit of:,Light,Distance,,,B,true_false,2019,64
15. H+ ions are yielded by:,Acids,Alkalis,Both of these,None of these,A,multiple_choice,2019,65
16. Which country lies on the equator?,Kenya,China,Bhutan,San Salvador,A,multiple_choice,2019,65
17. What is a pre-released software's version called?,Beta,Alpha,Gamma,None of these,A,multiple_choice,2019,65
18. What is the main waste product of protein metabolism in humans?,Urea,Ammonia,Magnesium,None of these,A,multiple_choice,2019,66
19. The unavailability of a system's thermal energy for conversion into mechanical work is a measure of:,Thermodynamic,Entropy,Negentropy,None of these,B,multiple_choice,2019,66
20. The macronutrients of plants are:,Nitrogen,Potassium,Phosphorous,All of these,D,multiple_choice,2019,67
Antibiotics are used to fight against:,Pathogens,Virus,Bacteria,Proteins,C,multiple_choice,2018,68
How many calories should you eat per day to lose weight?,2000,2500,1500,3000,C,multiple_choice,2018,68
Proteins are made up of:,Polynucleotide,Polypeptide,Oxoacetylene,None of these,B,multiple_choice,2018,68
Time interval to complete one revolution of earth around its own axis is,24 hours,23 hours,24 hours,23 hours 56 minutes,D,multiple_choice,2018,69
Cyclones:,Experience Coriolis effects that deflect air to the right in the Southern Hemisphere.,Are associated with super geostrophic winds.,Are typically regions of fair weather.,Are associated with low-pressure systems,D,multiple_choice,2018,69
Rainbow formation is due to:,Absorption of sunlight by water droplets,Diffusion of sunlight through water droplets,Ionization of water droplets,Refraction and reflection of sunlight by water droplets,D,multiple_choice,2018,69
The use of antibiotic is a very effective way of killing disease causing bacteria. Sometime people don't finish all of their pills. This can result in:,Some bacteria left unkilled,Production of more bacteria,Bacteria becoming sensitive to antibiotics,Bacteria becoming resistant to antibiotics,D,multiple_choice,2018,70
Ionic bond is between two atoms is:,Complete transfer of valence electron,Half transfer of valence electron,Complete transfer of electron and proton,None of these,A,multiple_choice,2018,70
Rotation in which Earth rotates is from:,West to east,East to west,North to south,South to north,A,multiple_choice,2018,71
10. How is dengue fever transmitted?,Bite of an infected mosquito,Bite of an infected male Aedes mosquito,Bite of an infected female Anopheles mosquito,"Bite of an infected female Aedes mosquito essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",D,multiple_choice,2018,71
11. Collection of water droplets which are suspended in air are called:,Wind,Cloud,Gases,Sleet,B,multiple_choice,2018,73
12. Enzyme in human bodies are:,Protein,Virus,Bacteria,None of these,A,multiple_choice,2018,73
13. Barometer is used for measuring:,Temperature,Humidity,Pressure,None of these.,C,multiple_choice,2018,73
"14. The principle used in radar is the same as that of Sonar. In radar we use radio waves, whereas in sonar we use:",Red waves,Infrared waves,Ultrasonic,Supersonic,C,multiple_choice,2018,74
15. Astronomical unit of light year is used to measure:,Distance,Time Period,light intensity,Time,A,multiple_choice,2018,74
"16. During combustion of petrol in car engine, energy is converted in:",Chemical,Mechanical,Electrical,None of these,B,multiple_choice,2018,74
17. Radio waves broadcasted by Radio Broadcasting is reflected back by:,Ionosphere,Stratosphere,Mesosphere,None of these,A,multiple_choice,2018,75
18. Which distance is bigger - an astronomical unit (AU) or a light-year (LY)?,An astronomical unit (AUJ),Neither one is a measurement of distance,They're both about the same distance,A light-year (LY),D,multiple_choice,2018,75
19. The sky is blue because of:,Rayleigh scattering,Reflection,Mie scattering,Absorption,A,multiple_choice,2018,76
20. Layer of atmosphere in which Ozone layer lies is:,Exosphere,Mesosphere,Troposphere,Stratosphere,D,multiple_choice,2018,76
The gas used for artificial ripening of green fruit is:,Ethylene,Ethane,Carbon dioxide,Acetylene,A,multiple_choice,2017,77
The catalyst to convert oil into ghee is:,Nickel,Aluminium isopropoxide,Phosphonium borate,None of these,A,multiple_choice,2017,77
Radar receives waves called:,Electromagnetic waves,Mechanical waves,Radio waves,None of these,C,multiple_choice,2017,77
"In a certain code language, COMPUTER is written as RFUVQNPC. How will MEDICINE be written in that code language?",MFEDJJOE,EOJDEJFM,MFEJDJOE,EOJDJEFM,D,multiple_choice,2017,78
Plaster of Paris is obtained from:,Brochantite,Gypsum,Chalcanthite,None of these,B,multiple_choice,2017,78
Sonar is used to measure?,The speed of sound,Ocean depth,Water properties of temperature,None of these,B,multiple_choice,2017,78
The name of the disease called lockjaw is?,Arthritis,Hyperopia,Tetanus,None of these,C,multiple_choice,2017,79
Newspaper can be recycled:,5 to 7 times,5 times,4 times,None of these,A,multiple_choice,2017,79
The branch of physics which deals with atomic nuclei is called?,Nuclear physics,Atomic physics,Particle physics,Modern physics,A,multiple_choice,2017,80
10. Sulfuric acid was first prepared by?,Johann Glauber,Peregrine Phillips,Jabir ibn Hayyan,None of these,C,multiple_choice,2017,80
11. The conversion of oil into ghee is:,Crystallisation,Hydrogenation,Oxidation,None of these,B,multiple_choice,2017,80
12. Blood clotting happens in which part of the human body?,Veins,Heart,Brain,All of the above,D,multiple_choice,2017,81
13. The blue color of the sky is due to:,Rayleigh scattering,Mie scattering,Sky saturation,None of these,A,multiple_choice,2017,81
14. The stone used in whitewash is:,Claystone,Limestone,Sandstone,None of these,B,multiple_choice,2017,81
15. Phosphorus helps the plant growth of:,Leaves,Seeds,Roots,None of these,C,multiple_choice,2017,82
16. A told B that C is his father's nephew. D is A's cousin but not the brother of C. What is the relationship between D and C?,Father,Brother & Sister,Mother,Aunt,B,multiple_choice,2017,82
17. The lens used to correct short-sightedness is:,Convex lens,Concave lens,Concave mirror,None of these,B,multiple_choice,2017,83
18. The longest and largest bone in the human body is the:,Spinal Cord,Humerus,Fibula,Femur,D,multiple_choice,2017,83
20. What is the Closest Planet to Earth?,Mars,Venus,Mercury,None of these,B,multiple_choice,2017,84
"Among the following, the only secondary pollutant is:",Sulfur Trioxide,Sulfur dioxide (SO_2),Ozone,None of these,C,multiple_choice,2016,85
The ozone layer protects the Earth from which rays sent by the sun:,Ultraviolet rays,Infrared rays,Gamma rays,Radioactive rays,A,multiple_choice,2016,85
The pineapple variety suitable for canning is:,Queen,Kew,Mauritius,Smooth Cayenne,D,multiple_choice,2016,85
Prevailing winds affect a region's climate by:,creating desert areas.,causing more precipitation on one side of a mountain.,affecting how much precipitation it receives.,controlling the amount of solar energy it receives.,C,multiple_choice,2016,86
The ozone layer is present in the atmosphere above Earth. The stratum (layer) of the atmosphere in which the ozone layer lies is called:,Exosphere,Mesosphere,Stratosphere,Ionosphere,C,multiple_choice,2016,86
Which refrigerant is commonly used in cold storage in our country?,Ethylene,Carbide,Liquid Ammonia,Sodium Benzoate,C,multiple_choice,2016,86
The carbohydrate content in potato is:,12 percent,20 percent,25 percent,32 percent,B,multiple_choice,2016,87
The richest source of Riboflavin is:,Papaya,Mango,Bael,Karonda,C,multiple_choice,2016,87
Those at greatest risk for food-borne illness include:,Infants and children.,Pregnant women.,Immunosuppressed individuals.,All of the above.,D,multiple_choice,2016,88
10. The gas associated with global warming is:,CO2,H2S,CH4,SO2,A,multiple_choice,2016,88
11. The mango variety having a strong flavor is:,Sindhri,Chaunsa,Langra,Fazli,C,multiple_choice,2016,88
12. Which of the following are air pollutants?,Aerosols,Sewage,DDT,Fertilizers,A,multiple_choice,2016,89
13. The Pakistani population receives the largest dose of ionizing radiation from:,Natural sources.,Fallout from nuclear weapons testing.,Nuclear medicine.,Nuclear power plants.,A,multiple_choice,2016,89
14. Which of the following groups of plants can be used as indicators of SO_2 pollution in the air?,Epiphytic lichens.,Ferns.,Liverworts.,Hornworts.,A,multiple_choice,2016,89
15. One of the following is a water-soluble vitamin:,Vitamin A,Vitamin D,Vitamin K,Vitamin C,D,multiple_choice,2016,90
16. Which of the following does not cause soil erosion?,Wind,Overgrazing,Sun,Water,C,multiple_choice,2016,90
"17. In water pollution, industries are said to be:",Line sources,Point sources,Area sources,None of these,B,multiple_choice,2016,91
18. One of the main functions of the Earth's ozone layer is to:,Prevent global warming,Filter out ultraviolet rays,Absorb pollution,All of the above,B,multiple_choice,2016,91
19. Which of the following does not vary predictably with the depth of the aquatic environment?,Salinity,Temperature,Penetration by sunlight,None of these,A,multiple_choice,2016,91
20. Proteins are made up of:,Polynucleotides,Polypeptides,Oxyacetylene,"None of these essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",B,multiple_choice,2016,92
The Shape of the Earth is:,Spherical,Elliptical,Round,None of these,A,multiple_choice,2015,94
The luster of diamond is due to:,Reflection,Total internal reflection,Refraction,None of these,B,multiple_choice,2015,94
Bromine is used in the preparation of:,Fire extinguishing compounds,Fire proofing agents,Dyes and antiknock compounds,All of these,D,multiple_choice,2015,95
In how much time Earth rotates around its axis:,in 1 year,in 1 day,in 12 hours,in 6 months,B,multiple_choice,2015,95
Rearing of honey bees for honey production is called:,Sericulture,Apiculture,Viticulture Bees culture,None of these,B,multiple_choice,2015,95
Scientific Name of Human is:,Homo sapiens,Mono sapiens,Bio sapiens,Cosmopolitan,A,multiple_choice,2015,96
Fat soluble vitamins are:,Vitamin A,Vitamin E,Vitamin D,All of these,D,multiple_choice,2015,96
Very High Frequency (VHF) have ________ wavelengths?,Shorter,Shortest,Longer,Longest,A,multiple_choice,2015,96
10. How Asthma is provoked:,Allergy,Anti allergic,Antibiotics,All of these,A,multiple_choice,2015,97
11. Insufficient blood supply in human body is referred as:,Ischemia,Hyperemia,Hemostasia,Hemorrhage,A,multiple_choice,2015,97
12. The fuel used in rockets is:,Liquid oxygen,Nitrogen tetraoxide,Hydrogen peroxide,All of these,D,multiple_choice,2015,98
13. Jelly fish looks like:,Umbrella,Star,Both a & b,None of these,A,multiple_choice,2015,98
14. Vitamin C prevent which disease:,Scurvy,Beriberi,,,A,true_false,2015,98
15. Horticulture is the study of:,Flowers,Plants,Fruits,None of these,B,multiple_choice,2015,99
"16. For a fixed mass of gas at constant temperature, if we decrease volume, the pressure will:",Decrease,Increase,Constant,None of these,B,multiple_choice,2015,99
17. Which metal is added to steel to make it stainless steel:,Chromium,Aluminium,Carbon,None of these,A,multiple_choice,2015,99
18. Which creature is the symbol of Medicine:,Cat,Lizard,Snake,None of these,C,multiple_choice,2015,100
19. X-rays were discovered in by:,Einstein,Newton,Galileo,Roentgen,D,multiple_choice,2015,100
20. The solid and liquid can be separated by the process of:,Distillation,Magnetism,Filtration,None of these,C,multiple_choice,2015,101
21. Entomology is the study of:,Animals,Insects,Plants,None of these,B,multiple_choice,2015,101
22. Soft drink contains which gas:,CO2,CO,,,A,true_false,2015,101
23. Arthritis is:,Inflammation of joints,Disorder of brain,Biological death of a man,None of these,A,multiple_choice,2015,102
24. The protein content of edible part of egg is:,13 percent,13.30 percent,14 percent,14.50 percent,A,multiple_choice,2015,102
25. Ombrophobia is fear of:,Rain,Snow,Smog,None of these,A,multiple_choice,2015,102
26. Chemical name of Table salt is:,Ammonium chloride,Sodium nitrate,Calcium chloride,Sodium chloride,D,multiple_choice,2015,103
27. The source of energy for brain is:,Fats,Glucose,Starch,Carbohydrates,B,multiple_choice,2015,103
28. Galileo discovered that falling bodies have same:,Density,Acceleration,Mass,All of these,B,multiple_choice,2015,104
29. Which material conduct heat and electricity:,Liquid,Gas,Solid,None of these,C,multiple_choice,2015,104
30. The post-mortem examination of a body is called:,Etymology,Autopsy,Anatomy,None of these,B,multiple_choice,2015,104
31. The thinking part of brain is:,Medulla oblongata,Cerebellum,Cerebrum,None of these,C,multiple_choice,2015,105
32. In how much time Earth complete its round to sun:,in 1 year,in 1 day,in 12 hours,in 6 months,A,multiple_choice,2015,105
33. The relative motion between observer and frequency is called:,Relative velocity,Uniform velocity,Doppler effect,None of these,C,multiple_choice,2015,105
34. Which finest filament grow from skin:,Hair,Nail,Brain,None of these,A,multiple_choice,2015,106
35. Accessory gland close of digestive system close to duodenum is:,Pituitary gland,Liver,Pancreas,None of these,C,multiple_choice,2015,106
36. The slope low lying area of ocean near highland is:,Costal Plane,Desert plane,Ocean belt,None of these,A,multiple_choice,2015,106
37. The type of glass used in making lenses and prism is:,Pyrex glass,Jena glass,Flint glass,Soft glass,C,multiple_choice,2015,107
38. P-waves is a term associated with:,Earthquakes,Oceans,Wind,None of these,A,multiple_choice,2015,107
