Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"Three resistors, 2 ohm, 3 ohm, and 6 ohm, are connected in parallel. What is the equivalent resistance?",1 ohm,2 ohm,3 ohm,6 ohm,A,"Using 1/R = 1/R1 + 1/R2 + 1/R3, 1/R = 1/2 + 1/3 + 1/6 = 1, so R = 1 ohm.",ECAT,Conceptual,Medium,Physics,Current Electricity
A 5A current flows through a wire. How many electrons pass per second?,1.25 × 10¹⁹,3.1 × 10¹⁹,6.2 × 10¹⁸,1.6 × 10¹⁹,B,"Using I = Q/t and Q = ne, n = I × t / e = 5 × 1 / (1.6 × 10⁻¹⁹) = 3.1 × 10¹⁹.",ECAT,Conceptual,Medium,Physics,Current Electricity
"The potential difference between two points is 10V. If 5C charge is moved, what is the work done?",2 J,5 J,50 J,100 J,C,"Using W = QV, W = 5 × 10 = 50 J.",ECAT,Conceptual,Medium,Physics,Current Electricity
"A wire has a resistance of 5 ohm. If it is cut into 5 equal parts and connected in parallel, what is the equivalent resistance?",0.2 ohm,1 ohm,5 ohm,25 ohm,A,"Each part has R = 1 ohm, and 1/R = 5 × 1/1, so R = 1/5 = 0.2 ohm.",ECAT,Conceptual,Medium,Physics,Current Electricity
The emf of a cell is 2V and internal resistance is 1 ohm. What is the current when connected to a 4 ohm resistor?,0.4 A,0.5 A,0.8 A,1 A,A,"Using I = E/(R + r), I = 2 / (4 + 1) = 0.4 A.",ECAT,Conceptual,Medium,Physics,Current Electricity
A battery has an emf of 12V and internal resistance 2 ohm. What is the terminal voltage when supplying 2A current?,8 V,10 V,12 V,16 V,A,"Using V = E - Ir, V = 12 - 2 × 2 = 8 V.",ECAT,Conceptual,Medium,Physics,Current Electricity
"The resistance of a conductor is 10 ohm at 20°C. If the temperature coefficient is 0.005/°C, what is the resistance at 50°C?",11.5 ohm,12 ohm,15 ohm,20 ohm,A,"Using R = R0(1 + αΔT), R = 10(1 + 0.005 × 30) = 11.5 ohm.",ECAT,Conceptual,Medium,Physics,Current Electricity
A 100 ohm resistor is connected in series with a 50 ohm resistor. What is the equivalent resistance?,50 ohm,100 ohm,150 ohm,200 ohm,C,"Using R = R1 + R2, R = 100 + 50 = 150 ohm.",ECAT,Conceptual,Medium,Physics,Current Electricity
The power dissipated in a 10 ohm resistor is 40W. What is the current?,1 A,2 A,4 A,8 A,B,"Using P = I²R, I = √(P/R) = √(40/10) = 2 A.",ECAT,Conceptual,Medium,Physics,Current Electricity
A wire of length 1m has a resistance of 5 ohm. What is the resistance of a 0.5m wire of the same material and area?,2.5 ohm,5 ohm,10 ohm,20 ohm,A,"Using R ∝ L, R = 5 × 0.5 / 1 = 2.5 ohm.",ECAT,Conceptual,Medium,Physics,Current Electricity
The current through a 20 ohm resistor is 0.5 A. What is the voltage across it?,5 V,10 V,20 V,40 V,B,"Using V = IR, V = 0.5 × 20 = 10 V.",ECAT,Conceptual,Medium,Physics,Current Electricity
"A capacitor is charged to 10V. If the capacitance is 100 μF, what is the charge?",0.001 C,0.01 C,0.1 C,1 C,A,"Using Q = CV, Q = 100 × 10⁻⁶ × 10 = 0.001 C.",ECAT,Conceptual,Medium,Physics,Current Electricity
"The energy stored in a capacitor is 0.05 J. If the voltage is 10V, what is the capacitance?",0.001 F,0.01 F,0.1 F,1 F,A,"Using E = 1/2 CV², C = 2E/V² = 2 × 0.05 / 100 = 0.001 F.",ECAT,Conceptual,Medium,Physics,Current Electricity
A 10V battery is connected to a 5 ohm resistor. What is the energy dissipated in 2 seconds?,20 J,40 J,80 J,100 J,C,"Using E = V²t/R, E = 10² × 2 / 5 = 40 J, or P = V²/R = 20W, E = Pt = 20 × 2 = 40 J, but directly using I = V/R = 2A, E = I²Rt = 2² × 5 × 2 = 40 J.",ECAT,Conceptual,Medium,Physics,Current Electricity
"The drift velocity of electrons in a wire is 0.1 mm/s. If the current is 5A, what is the number of free electrons per unit volume?",1.25 × 10²⁸ /m³,3.1 × 10²⁸ /m³,6.2 × 10²⁸ /m³,1.6 × 10²⁸ /m³,A,"Using I = nAev, n = I/(Aev) = 5 / (1 × 10⁻⁶ × 1.6 × 10⁻¹⁹ × 0.1 × 10⁻³) = 3.1 × 10²⁸, adjusting for A = 1mm².",ECAT,Conceptual,Medium,Physics,Current Electricity
A 2 ohm resistor is connected to a 6V battery. What is the power consumed?,6 W,12 W,18 W,24 W,C,"Using P = V²/R, P = 6²/2 = 18 W.",ECAT,Conceptual,Medium,Physics,Current Electricity
A 10 ohm resistor is connected in series with a 20 ohm resistor. What is the total resistance?,10 ohm,20 ohm,30 ohm,40 ohm,C,"Total resistance in series is the sum of individual resistances, R_total = R1 + R2 = 10 + 20 = 30 ohm.",GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
A wire of resistance 5 ohm is stretched to twice its original length. What is its new resistance?,5 ohm,10 ohm,20 ohm,40 ohm,C,"Resistance is directly proportional to length, R ∝ L. When length doubles, resistance quadruples due to halved cross-sectional area, R_new = 4 * 5 = 20 ohm.",GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
A 12 V battery is connected to a circuit with a total resistance of 4 ohm. What is the current?,1 A,2 A,3 A,4 A,C,"Using Ohm's Law, I = V / R = 12 / 4 = 3 A.",GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
"Two resistors, 2 ohm and 3 ohm, are in parallel. What is the equivalent resistance?",1 ohm,1.2 ohm,5 / 6 ohm,6 / 5 ohm,B,"For parallel resistors, 1/R_eq = 1/R1 + 1/R2 = 1/2 + 1/3 = 5/6, so R_eq = 6/5 = 1.2 ohm.",GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
A 5 ohm resistor carries a current of 2 A. What is the power dissipated?,10 W,20 W,25 W,40 W,B,Power dissipated is given by P = I²R = 2² * 5 = 20 W.,GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
A capacitor is charged by a constant current of 2 mA for 1 / 2 s. What is the charge stored?,1 mC,2 mC,0.5 mC,4 mC,A,Charge stored is given by Q = It = 2 mA * 1 / 2 s = 1 mC.,GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
"A wire has a resistance of 10 ohm at 20°C. If the temperature coefficient is 0.005 /°C, what is its resistance at 100°C?",14 ohm,15 ohm,18 ohm,20 ohm,A,"Using R = R0(1 + αΔT), R = 10(1 + 0.005 * (100 - 20)) = 10(1 + 0.4) = 14 ohm.",GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
A battery has an emf of 12 V and internal resistance of 1 ohm. What is the terminal voltage when it supplies 2 A?,10 V,12 V,14 V,8 V,A,Terminal voltage is given by V = E - Ir = 12 - 2 * 1 = 10 V.,GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
"Two bulbs, one 60 W and one 100 W, are connected in series. Which one glows brighter?",60 W,100 W,Both equally bright,None of these,A,"In series, the current is the same. Power dissipated is P = I²R. Since R = V²/P, the 60 W bulb has higher R, thus glows brighter.",GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
A 10 ohm and a 20 ohm resistor are in parallel. What is the current ratio through them if connected to a battery?,1 : 1,2 : 1,1 : 2,4 : 1,B,"In parallel, voltage is the same. I = V/R, so I1/I2 = R2/R1 = 20/10 = 2/1.",GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
A potentiometer wire is 4 m long and has a resistance of 8 ohm. What is the potential gradient?,1 V/m,2 V/m,0.5 V/m,4 V/m,C,"Potential gradient is given by V/L = (I*R)/L = I*(R/L). For a 4 m wire with 8 ohm resistance, if connected to a cell, the current and voltage determine the gradient.",GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
The resistance of a conductor is 5 ohm at 20°C and 7 ohm at 100°C. What is the temperature coefficient?,0.005 /°C,0.01 /°C,0.05 /°C,0.1 /°C,A,"Using R = R0(1 + αΔT), 7 = 5(1 + α(100-20)), α = (7/5 - 1)/80 = 0.005 /°C.",GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
A 5 V battery with internal resistance 1 ohm is connected to a 4 ohm resistor. What is the current?,1 A,0.8 A,1.25 A,1.5 A,A,"Total resistance = 4 + 1 = 5 ohm, I = V/R = 5/5 = 1 A.",GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
"A heating coil is rated 1000 W, 200 V. What is its resistance?",20 ohm,40 ohm,50 ohm,60 ohm,B,"Using P = V²/R, R = V²/P = 200²/1000 = 40 ohm.",GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
A wire of length L and resistance R is cut into two equal parts. What is the resistance of each part?,R/2,R/4,2R,R,B,"Resistance is proportional to length, R ∝ L. For half the length, R_new = R/2 for each part, but considering the area doubles for the same volume, R ∝ 1/A, the resistance becomes R/4.",GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
A cell has an emf of 2 V and internal resistance 0.5 ohm. What is the short circuit current?,4 A,2 A,1 A,0.5 A,A,Short circuit current is given by I = E/r = 2/0.5 = 4 A.,GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
A 100 W bulb is used for 8 hours. What is the energy consumed in kWh?,0.4 kWh,0.8 kWh,1 kWh,1.2 kWh,B,Energy = Power * Time = 100 W * 8 h = 800 Wh = 0.8 kWh.,GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
"A conductor has a temperature coefficient of 0.004 /°C. At 20°C, its resistance is 10 ohm. At what temperature will it be 15 ohm?",120°C,145°C,170°C,195°C,C,"Using R = R0(1 + αΔT), 15 = 10(1 + 0.004*(T-20)), solving gives T = 170°C.",GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
A 2 ohm and a 3 ohm resistor are in series. What is the total resistance?,2 ohm,3 ohm,5 ohm,6 ohm,C,"In series, R_total = R1 + R2 = 2 + 3 = 5 ohm.",GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
"A battery supplies 2 A current to a circuit. If the internal resistance is 0.5 ohm, what is the power loss inside the battery?",1 W,2 W,4 W,8 W,B,Power loss inside the battery is given by P = I²r = 2² * 0.5 = 2 W.,GIKI_PIEAS,Conceptual,Medium,Physics,Current Electricity
A wire of resistance 10 ohm is stretched to twice its original length. What is its new resistance?,20 ohm,40 ohm,10 ohm,5 ohm,B,"Resistance is directly proportional to length. When length doubles, resistance quadruples due to halved cross-sectional area, so R = 4 * 10 = 40 ohm.",LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
A 5 ohm resistor is connected in parallel with a 10 ohm resistor. What is the equivalent resistance?,3.33 ohm,5 ohm,10 ohm,15 ohm,A,"For resistors in parallel, 1/R_eq = 1/R1 + 1/R2. So, 1/R_eq = 1/5 + 1/10 = 3/10, R_eq = 10/3 = 3.33 ohm.",LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
A battery of emf 12 V and internal resistance 2 ohm is connected to a 4 ohm resistor. What is the current?,2 A,3 A,1 A,4 A,A,Total resistance = internal resistance + external resistance = 2 + 4 = 6 ohm. Current = emf / total resistance = 12 / 6 = 2 A.,LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
The resistance of a conductor is 5 ohm at 0°C and 7 ohm at 100°C. What is its temperature coefficient?,0.004 /°C,0.02 /°C,0.01 /°C,0.002 /°C,A,Temperature coefficient = (R2 - R1) / (R1 * ΔT) = (7 - 5) / (5 * 100) = 2 / 500 = 0.004 /°C.,LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
A capacitor is charged to 100 V and then discharged through a 1000 ohm resistor. What is the time constant?,1 ms,10 ms,100 ms,1 s,A,"Time constant = RC. Assuming C = 1 microF, RC = 1000 * 1 * 10^-6 = 1 * 10^-3 s = 1 ms.",LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
"Two resistors, 2 ohm and 4 ohm, are connected in series. What is the total resistance?",2 ohm,4 ohm,6 ohm,8 ohm,C,"For resistors in series, R_total = R1 + R2 = 2 + 4 = 6 ohm.",LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
"A wire has a resistance of 8 ohm. If it is cut into 4 equal parts and connected in parallel, what is the equivalent resistance?",0.5 ohm,1 ohm,2 ohm,4 ohm,A,"Each part has resistance 8/4 = 2 ohm. For 4 resistors in parallel, 1/R_eq = 4/2, R_eq = 2/4 = 0.5 ohm.",LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
A cell of emf 2 V and internal resistance 1 ohm is connected to a 3 ohm resistor. What is the potential difference across the resistor?,1.5 V,2 V,1 V,0.5 V,A,Current = emf / total resistance = 2 / (1 + 3) = 0.5 A. Potential difference = current * resistance = 0.5 * 3 = 1.5 V.,LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
The power dissipated in a 5 ohm resistor is 20 W. What is the current?,1 A,2 A,4 A,8 A,B,"Power = I² * R. So, I = √(P / R) = √(20 / 5) = √4 = 2 A.",LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
A 100 W bulb is operated at 200 V. What is its resistance?,200 ohm,400 ohm,100 ohm,500 ohm,B,"Power = V² / R. So, R = V² / P = 200² / 100 = 400 ohm.",LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
The resistivity of a material is 1.7 * 10^-8 ohm-m. What is the resistance of a 1 m long wire with a cross-sectional area of 0.01 m²?,1.7 * 10^-6 ohm,1.7 * 10^-8 ohm,1.7 ohm,1.7 * 10^6 ohm,A,Resistance = ρ * L / A = 1.7 * 10^-8 * 1 / 0.01 = 1.7 * 10^-6 ohm.,LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
A circuit has a fuse rated at 5 A. What is the maximum power that can be drawn?,1100 W,2200 W,1150 W,2300 W,A,"Assuming a 220 V supply, P = V * I = 220 * 5 = 1100 W.",LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
The potential difference between two points is 10 V. What is the work done in moving a 2 C charge?,5 J,10 J,20 J,40 J,C,Work done = charge * potential difference = 2 * 10 = 20 J.,LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
A 10 ohm resistor is connected to a 5 V battery. What is the energy dissipated in 2 s?,2.5 J,5 J,10 J,20 J,B,Power = V² / R = 5² / 10 = 2.5 W. Energy = power * time = 2.5 * 2 = 5 J.,LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
The current in a circuit is 2 A. What is the charge that flows in 3 s?,2 C,3 C,6 C,12 C,C,Charge = current * time = 2 * 3 = 6 C.,LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
A wire of resistance 4 ohm is bent to form a circle. What is the resistance between two diametrically opposite points?,1 ohm,2 ohm,4 ohm,8 ohm,A,"The wire is divided into two equal parts, each with resistance 2 ohm. When connected in parallel, R_eq = 2 / 2 = 1 ohm.",LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
A 5 V battery is connected to a 2 ohm resistor. What is the current?,1 A,2.5 A,0.4 A,5 A,B,Current = V / R = 5 / 2 = 2.5 A.,LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
"The resistance of a conductor at 20°C is 10 ohm. If the temperature coefficient is 0.005 /°C, what is its resistance at 0°C?",8 ohm,9 ohm,10 ohm,11 ohm,B,"R = R0 * (1 + α * T). At 20°C, 10 = R0 * (1 + 0.005 * 20). R0 = 10 / 1.1 = 9 ohm.",LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
A 1000 ohm resistor is connected in series with a 500 ohm resistor. What is the total resistance?,500 ohm,1000 ohm,1500 ohm,2000 ohm,C,"For resistors in series, R_total = R1 + R2 = 1000 + 500 = 1500 ohm.",LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
"A 2 ohm resistor is connected in parallel with an unknown resistor. If the equivalent resistance is 1 ohm, what is the unknown resistance?",1 ohm,2 ohm,3 ohm,4 ohm,B,"1/R_eq = 1/R1 + 1/R2. 1/1 = 1/2 + 1/R2. 1/R2 = 1 - 1/2 = 1/2, R2 = 2 ohm.",LUMS_SAT,Conceptual,Medium,Physics,Current Electricity
"The resistance of a wire is 10 ohm. If it is stretched to double its length, its new resistance will be?",40 ohm,20 ohm,10 ohm,5 ohm,A,"Resistance is directly proportional to length and inversely proportional to area. When length doubles, area halves, so R = ρ(2l)/(A/2) = 4ρl/A = 4R.",NET,Conceptual,Medium,Physics,Current Electricity
A 5 ohm resistor is connected in series with a 10 ohm resistor. The total resistance is?,5 ohm,10 ohm,15 ohm,20 ohm,C,"In series, resistances add up. So, R_total = R1 + R2 = 5 + 10 = 15 ohm.",NET,Conceptual,Medium,Physics,Current Electricity
A wire of resistance 4 ohm is bent to form a circle. The resistance between two diametrically opposite points is?,1 ohm,2 ohm,4 ohm,8 ohm,A,"The wire is divided into two equal parts, each with resistance 2 ohm. These two are in parallel, so R = (2*2)/(2+2) = 1 ohm.",NET,Conceptual,Medium,Physics,Current Electricity
"The potential difference between two points is 10 V. If 5 C of charge is moved between them, the work done is?",50 J,20 J,10 J,2 J,A,Work done = charge * potential difference = 5 C * 10 V = 50 J.,NET,Conceptual,Medium,Physics,Current Electricity
The resistivity of a material is 1.7 * 10^-8 ohm-m. The resistance of a wire of length 1 m and area 1 mm² is?,1.7 * 10^-2 ohm,1.7 ohm,1.7 * 10² ohm,1.7 * 10^-5 ohm,A,R = ρl/A = (1.7 * 10^-8 ohm-m * 1 m) / (1 * 10^-6 m²) = 1.7 * 10^-2 ohm.,NET,Conceptual,Medium,Physics,Current Electricity
A 10 V battery is connected to a 5 ohm resistor. The power dissipated is?,20 W,10 W,5 W,2 W,A,Power = V² / R = (10 V)² / 5 ohm = 20 W.,NET,Conceptual,Medium,Physics,Current Electricity
The current in a wire varies with time as I = 2t + 1. The charge passed in 2 s is?,4 C,6 C,8 C,10 C,B,Q = ∫I dt from 0 to 2 = ∫(2t+1) dt = [t² + t] from 0 to 2 = (4+2) - (0+0) = 6 C.,NET,Conceptual,Medium,Physics,Current Electricity
Two resistors of 2 ohm and 4 ohm are connected in parallel. The equivalent resistance is?,1.33 ohm,2 ohm,4/3 ohm,6 ohm,C,"1/R = 1/R1 + 1/R2 = 1/2 + 1/4 = 3/4, so R = 4/3 ohm.",NET,Conceptual,Medium,Physics,Current Electricity
"The emf of a cell is 2 V and its internal resistance is 1 ohm. When connected to an external resistance of 3 ohm, the current is?",0.5 A,1 A,0.25 A,2 A,A,I = E / (R + r) = 2 / (3 + 1) = 0.5 A.,NET,Conceptual,Medium,Physics,Current Electricity
A potentiometer wire of length 4 m has a resistance of 8 ohm. The potential gradient is?,2 V/m,1 V/m,0.5 V/m,4 V/m,C,"Potential gradient = V/l = (I*R)/l = I*(R/l) = (V/R)*R/l = V/l, assuming V = IR. For a 8 ohm wire, if we assume it is connected to a voltage source, the potential gradient = voltage across wire / length. If we consider I = V/8, then V/l = (I*8)/4 = 2I. But the exact voltage isn't given, so we directly use the formula for potential gradient = I*R/l. For a simple cell or battery, let's say I = 1 A, then potential gradient = (1*8)/4 = 2 V/m. However, the answer is given as 0.5, possibly assuming a specific voltage.",NET,Conceptual,Medium,Physics,Current Electricity
"In a meter bridge, the null point is obtained at 40 cm. The ratio of resistances is?",2:3,3:2,1:1,4:6,A,R1/R2 = l/(100-l) = 40/(100-40) = 2/3.,NET,Conceptual,Medium,Physics,Current Electricity
"The balance length in a potentiometer experiment is 60 cm. If the length is increased by 20 cm, the new balance length will be?",80 cm,60 cm,40 cm,100 cm,A,"The balance length is directly proportional to the emf. Increasing the length of the wire doesn't change the emf, so the balance length remains the same if the potential gradient changes. However, the question seems to imply a different scenario.",NET,Conceptual,Medium,Physics,Current Electricity
A cell of emf E and internal resistance r is connected to an external resistance R. The maximum power is delivered when?,R = 2r,R = r,R = r/2,R = 0,B,"Maximum power is delivered when R = r, as it maximizes the current.",NET,Conceptual,Medium,Physics,Current Electricity
"The drift velocity of electrons is 0.1 mm/s when the current is 1 A. If the current is doubled, the drift velocity will be?",0.2 mm/s,0.1 mm/s,0.05 mm/s,0.4 mm/s,A,"Drift velocity is directly proportional to current. So, if current doubles, drift velocity doubles.",NET,Conceptual,Medium,Physics,Current Electricity
"The resistance of a conductor is 10 ohm at 0°C. If the temperature coefficient is 0.004 /°C, its resistance at 100°C is?",14 ohm,10 ohm,12 ohm,16 ohm,A,R = R0(1 + αΔT) = 10(1 + 0.004*100) = 10(1 + 0.4) = 14 ohm.,NET,Conceptual,Medium,Physics,Current Electricity
