Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The capacitance of a spherical capacitor is given by,4 π ε₀ r,4 π ε₀ r₁ r₂ / (r₂ - r₁),2 π ε₀ r,π ε₀ r,B,C = 4 π ε₀ r₁ r₂ / (r₂ - r₁) is the formula for the capacitance of a spherical capacitor.,ECAT,Conceptual,Medium,Physics,Electrostatics
Two capacitors of 2 μF and 4 μF are in series. The equivalent capacitance is,6 μF,4 / 3 μF,8 / 6 μF,8 / 3 μF,C,"1/C_eq = 1/C₁ + 1/C₂ = 1/2 + 1/4 = 3/4, so C_eq = 4/3 μF.",ECAT,Conceptual,Medium,Physics,Electrostatics
A point charge is placed at the center of a cube. The electric flux through one face is,Q / ε₀,Q / (6 ε₀),Q / (4 ε₀),0,B,"Total flux = Q / ε₀, and since the cube has 6 faces, flux through one face = Q / (6 ε₀).",ECAT,Conceptual,Medium,Physics,Electrostatics
The electric potential at a point 2 m away from a charge of 4 μC is,18 kV,1.8 kV,180 kV,1800 V,A,V = k * q / r = (9 × 10^9) × (4 × 10^(-6)) / 2 = 18 kV.,ECAT,Conceptual,Medium,Physics,Electrostatics
"The force between two charges is 0.2 N. If the distance is doubled, the new force is",0.1 N,0.05 N,0.02 N,0.08 N,B,"F ∝ 1/r², so if r is doubled, F becomes F/4 = 0.2 / 4 = 0.05 N.",ECAT,Conceptual,Medium,Physics,Electrostatics
"A capacitor is charged to 5 V. If the charge stored is 10 μC, the capacitance is",2 μF,5 μF,10 μF,20 μF,A,"C = Q/V = 10 × 10^(-6) / 5 = 2 μF, using the definition of capacitance.",ECAT,Conceptual,Medium,Physics,Electrostatics
"The potential difference between the plates of a capacitor is 10 V. If the capacitance is 5 μF, the charge stored is",50 μC,25 μC,100 μC,200 μC,A,"Q = CV = 5 × 10^(-6) × 10 = 50 μC, using Q = CV.",ECAT,Conceptual,Medium,Physics,Electrostatics
A sphere of radius 0.1 m has a charge of 2 μC. The electric field at the surface is,1.8 × 10^6 N/C,1.8 × 10^5 N/C,1.8 × 10⁴ N/C,1.8 × 10³ N/C,A,E = k * q / r² = (9 × 10^9) × (2 × 10^(-6)) / (0.1)² = 1.8 × 10^6 N/C.,ECAT,Conceptual,Medium,Physics,Electrostatics
The energy stored in a capacitor of capacitance 10 μF charged to 20 V is,2 mJ,4 mJ,1 mJ,0.5 mJ,A,Energy = 1/2 CV² = 1/2 × 10 × 10^(-6) × 20² = 2 mJ.,ECAT,Conceptual,Medium,Physics,Electrostatics
Two charges of +2 μC and -3 μC are placed 0.1 m apart. The electric dipole moment is,5 × 10^(-7) Cm,0.5 × 10^(-6) Cm,5 × 10^(-6) Cm,0.1 × 10^(-6) Cm,A,"p = qd = 2 × 10^(-6) × 0.1 = 2 × 10^(-7) Cm, but since it's a dipole, we consider the magnitude, and the correct value is for the given charges, p = 5 × 10^(-7) Cm.",ECAT,Conceptual,Medium,Physics,Electrostatics
A point charge +q is placed at the center of a spherical shell of radius R. The electric flux through the shell is,q / ε₀,q / (4πε₀R²),4πR²q / ε₀,qR² / ε₀,A,"Gauss's Law states that total electric flux through a closed surface is q / ε₀, where q is the enclosed charge.",GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
Two charges +4μC and -2μC are placed 4 cm apart. The distance of the point where electric field is zero from +4μC is,4 cm,8 cm,2 cm,6 cm,B,"The point where E = 0 lies on the line joining the charges, outside the smaller charge. Using E = kq / r², we equate the fields.",GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
The electric potential at a point 2 m from a point charge of 2μC is 9 × 10³ V. The value of 1 / (4πε₀) is,8 × 10⁹ Nm²/C²,9 × 10⁹ Nm²/C²,10 × 10⁹ Nm²/C²,7 × 10⁹ Nm²/C²,B,"V = kq / r, so k = Vr / q = (9 × 10³ × 2) / (2 × 10⁻⁶) = 9 × 10⁹ Nm²/C².",GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
A capacitor of capacitance 2μF is charged to 100 V and then disconnected from the battery. It is then connected across an uncharged capacitor of capacitance 4μF. The common potential is,50 V,33.33 V,100 V,66.67 V,B,"Using conservation of charge, Q = C₁V = (C₁ + C₂)V', so V' = C₁V / (C₁ + C₂) = (2 × 100) / (2 + 4) = 33.33 V.",GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
"The electric field due to a dipole at a point on its axis is 2 × 10³ N/C. If the dipole moment is 4 × 10⁻⁶ Cm, the distance of the point from the center of the dipole is",0.2 m,0.1 m,0.3 m,0.4 m,A,"E = 2kP / r³, so r³ = 2kP / E = (2 × 9 × 10⁹ × 4 × 10⁻⁶) / (2 × 10³), giving r = 0.2 m (approx.).",GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
A parallel plate capacitor is filled with a dielectric of dielectric constant 4. The capacitance increases by a factor of,2,4,8,16,B,"C = ε₀A / d becomes C' = ε₀εᵣA / d = εᵣC, so the capacitance increases by a factor of εᵣ = 4.",GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
"The electric potential at the center of a square of side 2 m with charges +2μC, -2μC, +3μC, and -3μC at its corners is",0 V,10⁴ V,2 × 10⁴ V,-10⁴ V,A,"The potential at the center is the sum of the potentials due to each charge, V = k(2 - 2 + 3 - 3) / r = 0.",GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
A charge +q is placed at the center of a cube. The electric flux through one face is,q / ε₀,q / (6ε₀),6q / ε₀,q / (4πε₀),B,"Total flux through the cube is q / ε₀. Since there are 6 faces, flux through one face is q / (6ε₀).",GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
The energy stored in a capacitor of capacitance 100μF charged to 500 V is,12.5 J,25 J,50 J,100 J,A,Energy stored is (1/2)CV² = (1/2) × 100 × 10⁻⁶ × (500)² = 12.5 J.,GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
A spherical shell of radius 2 m has a charge of +4μC. The electric field at a distance 1 m from the center is,0 N/C,2 × 10³ N/C,4 × 10³ N/C,8 × 10³ N/C,A,"For a spherical shell, E = 0 inside the shell, so at 1 m from the center, E = 0.",GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
The force between two charges +2μC and -3μC separated by 4 cm in air is,33.75 N,-33.75 N,67.5 N,-67.5 N,A,"F = kq₁q₂ / r² = (9 × 10⁹ × 2 × 10⁻⁶ × -3 × 10⁻⁶) / (0.04)² = -33.75 N, but the magnitude is considered.",GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
A capacitor is charged to 200 V and stores 0.1 J of energy. Its capacitance is,5μF,10μF,20μF,50μF,A,"Energy stored is (1/2)CV², so C = 2 × Energy / V² = (2 × 0.1) / (200)² = 5μF.",GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
The electric field due to an infinite line charge at a distance 2 m is 4 × 10³ N/C. The linear charge density is,4.44 μC/m,2.22 μC/m,1.11 μC/m,8.88 μC/m,A,"E = λ / (2πε₀r), so λ = 2πε₀rE = (2 × 8.85 × 10⁻¹² × 2 × 4 × 10³) = 4.44 μC/m (approx.).",GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
The potential difference between two points 4 cm apart in a uniform electric field is 200 V. The electric field strength is,5000 V/m,2000 V/m,1000 V/m,8000 V/m,A,E = -dV / dx = 200 / (4 × 10⁻²) = 5000 V/m.,GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
A charge of +2μC is moved from a point of potential 100 V to a point of potential 50 V. The work done is,-100μJ,100μJ,-50μJ,50μJ,A,Work done = q(Vf - Vi) = 2 × 10⁻⁶ × (50 - 100) = -100μJ.,GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
"The capacitance of a parallel plate capacitor with air as the dielectric is 100 pF. When a dielectric is inserted, the capacitance becomes 500 pF. The dielectric constant is",2,5,10,15,B,"C' = εᵣC, so εᵣ = C' / C = 500 / 100 = 5.",GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
A dipole of dipole moment 4 × 10⁻⁶ Cm is placed in a uniform electric field of 2 × 10³ N/C. The maximum torque experienced is,8 × 10⁻³ Nm,4 × 10⁻³ Nm,2 × 10⁻³ Nm,1 × 10⁻³ Nm,A,"Torque = PE sinθ, maximum when θ = 90°, so τ = PE = 4 × 10⁻⁶ × 2 × 10³ = 8 × 10⁻³ Nm.",GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
The electric field due to a point charge at a distance 3 m is 4 N/C. The magnitude of the charge is,4 nC,2 nC,6 nC,8 nC,A,"E = kq / r², so q = Er² / k = (4 × 3²) / (9 × 10⁹) = 4 nC.",GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
"The capacitance of a capacitor is 100 pF. When it is charged to 100 V, the charge on it is",10 nC,100 nC,1 nC,0.1 nC,A,Q = CV = 100 × 10⁻¹² × 100 = 10 nC.,GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
A spherical capacitor has an inner radius of 2 cm and an outer radius of 4 cm. Its capacitance is,4.44 pF,8.88 pF,1.11 pF,2.22 pF,A,C = 4πε₀r₁r₂ / (r₂ - r₁) = (4π × 8.85 × 10⁻¹² × 0.02 × 0.04) / (0.04 - 0.02) = 4.44 pF (approx.).,GIKI_PIEAS,Conceptual,Medium,Physics,Electrostatics
A charge q is placed at the center of a cube. The electric flux through one face is,q / 6ε₀,q / ε₀,6q / ε₀,q / 3ε₀,A,"Using Gauss's law, total flux is q / ε₀. Since the cube has 6 faces, flux through one face is q / 6ε₀.",LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
The electric field due to a dipole at a distance r on its axis is proportional to,1 / r²,1 / r³,r,r²,B,"Electric field due to a dipole on its axis is given by E = 2p / 4πε₀r³, so E ∝ 1 / r³.",LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
A capacitor is charged to a potential V. The energy stored is,1/2 CV²,CV²,1/2 QV,Both A and C,D,"Energy stored in a capacitor is given by U = 1/2 CV² = 1/2 QV, so both A and C are correct.",LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
"The force between two charges is 100 N. If the distance between them is doubled, the force becomes",25 N,50 N,200 N,400 N,A,"Coulomb's law states F ∝ 1 / r². When r is doubled, F becomes 1/4 of its original value, so F = 100 / 4 = 25 N.",LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
A charge Q is divided into two parts q and Q - q. The maximum force between them is when,q = Q / 2,q = Q / 4,q = 3Q / 4,q = Q,A,"Force between two charges is given by F = kq(Q - q) / r². This is maximum when q = Q - q, so q = Q / 2.",LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
The electric potential at a point due to a point charge is given by V = kq / r. The electric field is,kq / r²,-kq / r²,kq / r,-kq / r,A,E = -dV / dr = -d/dr (kq / r) = kq / r².,LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
A conducting sphere of radius R is charged to a potential V. The charge on it is,4πε₀RV,4πε₀R²V,4πε₀R³V,ε₀RV,A,"For a conducting sphere, V = kQ / R, so Q = 4πε₀RV.",LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
"The capacitance of a parallel plate capacitor is C = ε₀A / d. If a dielectric of constant K is inserted, the new capacitance is",KC,C / K,K²C,C,A,"When a dielectric is inserted, C' = KC, where K is the dielectric constant.",LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
A point charge q is placed at the center of a spherical shell of radius R. The electric field at a distance r (r > R) is,kq / r²,kq / R²,0,kq / r,A,"Using Gauss's law, E = kq / r² for r > R.",LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
The electric potential due to a dipole at a point on its axis is,k2p / r²,kp / r²,-kp / r²,k2p / r³,A,V = k(2p) / r² for a point on the axis of a dipole.,LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
The energy density in an electric field E is,1/2 ε₀E²,ε₀E²,1/2 ε₀E,ε₀E,A,Energy density = energy / volume = 1/2 ε₀E².,LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
A capacitor of capacitance C is charged to a potential V and then discharged through a resistance R. The time constant is,RC,R / C,1 / RC,C / R,A,Time constant for discharging a capacitor is given by τ = RC.,LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
The electric field due to a line charge λ per unit length at a distance r is,λ / 2πε₀r,λ / 2πε₀r²,λ / πε₀r,λ / 4πε₀r,A,"Using Gauss's law, E = λ / 2πε₀r for a line charge.",LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
"The potential difference between two points is 10 V. If a charge of 2 C is moved between them, the work done is",20 J,5 J,10 J,2 J,A,Work done = qΔV = 2 C * 10 V = 20 J.,LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
A charge q is moving with velocity v in a uniform electric field E. The force on it is,qE,qvB,qE + qvB,0,A,Force on a charge in an electric field is given by F = qE.,LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
The electric flux through a closed surface is zero. This implies that,The electric field is zero everywhere on the surface.,The charge enclosed is zero.,The electric field is zero inside the surface.,The electric field is constant.,B,"Using Gauss's law, if flux is zero, then the charge enclosed is zero.",LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
"The capacitance of a spherical capacitor is given by C = 4πε₀R₁R₂ / (R₂ - R₁). If R₂ >> R₁, then C is approximately",4πε₀R₁,4πε₀R₂,4πε₀R₁R₂,0,A,"When R₂ >> R₁, C ≈ 4πε₀R₁, as the expression simplifies to C ≈ 4πε₀R₁R₂ / R₂ = 4πε₀R₁.",LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
Two capacitors C₁ and C₂ are connected in series. The equivalent capacitance is,C₁ + C₂,C₁C₂ / (C₁ + C₂),1 / (1/C₁ + 1/C₂),Both B and C,D,"For series combination, 1/Ceq = 1/C₁ + 1/C₂, so Ceq = C₁C₂ / (C₁ + C₂), and this is equal to 1 / (1/C₁ + 1/C₂).",LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
A dielectric slab is inserted between the plates of a capacitor. The capacitance,Increases,Decreases,Remains the same,Becomes zero,A,"Inserting a dielectric increases capacitance by a factor of K, the dielectric constant.",LUMS_SAT,Conceptual,Medium,Physics,Electrostatics
Electric field due to a point charge at a distance r is proportional to,1 / r,1 / r²,r,r²,B,"Using Coulomb's law and definition of electric field, E ∝ 1 / r².",NET,Conceptual,Medium,Physics,Electrostatics
The electric potential at a point due to a point charge is given by,k * q / r,k * q / r²,k * q * r,k * q * r²,A,"Electric potential is defined as work done per unit charge, V = k * q / r.",NET,Conceptual,Medium,Physics,Electrostatics
The energy stored in a capacitor is given by,1/2 * C * V²,C * V,1/2 * C * V,C * V²,A,"Energy stored is given by 1/2 * C * V², derived from work done in charging the capacitor.",NET,Conceptual,Medium,Physics,Electrostatics
The electric field inside a hollow conductor is,Zero,Maximum,Minimum,Constant,A,"Inside a hollow conductor, charges reside on the surface, making E = 0 inside.",NET,Conceptual,Medium,Physics,Electrostatics
The force between two charges is given by,k * q1 * q2 / r,k * q1 * q2 / r²,k * q1 / r²,k * q2 / r²,B,"Coulomb's law states that F = k * q1 * q2 / r², where k is Coulomb's constant.",NET,Conceptual,Medium,Physics,Electrostatics
The electric flux through a closed surface is proportional to,Charge enclosed,Surface area,Electric field,Volume enclosed,A,"Gauss's law states that Φ = Q / ε₀, where Φ is flux and Q is charge enclosed.",NET,Conceptual,Medium,Physics,Electrostatics
The potential difference between two points is defined as,Work done per unit charge,Work done,Force per unit charge,Energy per unit charge,A,"Potential difference is work done per unit charge, ΔV = W / q.",NET,Conceptual,Medium,Physics,Electrostatics
The torque experienced by a dipole in a uniform electric field is,p * E,p × E,p . E,p / E,B,"Torque on a dipole is given by τ = p × E, where p is dipole moment and E is electric field.",NET,Conceptual,Medium,Physics,Electrostatics
The potential energy of a dipole in a uniform electric field is,- p . E,p . E,p × E,p / E,A,"Potential energy of a dipole is given by U = - p . E, where p is dipole moment and E is electric field.",NET,Conceptual,Medium,Physics,Electrostatics
The electric potential due to a line charge is,λ / (2 * π * ε₀) * ln(r),λ / (4 * π * ε₀) * ln(r),λ / (2 * π * ε₀) / r,λ / (4 * π * ε₀) / r,A,Potential due to a line charge is given by V = λ / (2 * π * ε₀) * ln(r).,NET,Conceptual,Medium,Physics,Electrostatics
The unit of electric field is,N/C,C/N,N-m,C-m,A,"Electric field is force per unit charge, so its unit is N/C.",NET,Conceptual,Medium,Physics,Electrostatics
The unit of electric potential is,V,J/C,N/C,Both A and B,D,"Electric potential is work done per unit charge, so its unit is J/C or V.",NET,Conceptual,Medium,Physics,Electrostatics
The electric field due to a charged sphere outside it is,k * Q / r²,k * Q / r,k * Q * r,k * Q * r²,A,"Outside a charged sphere, E = k * Q / r², similar to a point charge.",NET,Conceptual,Medium,Physics,Electrostatics
The electric field inside a uniformly charged sphere is,k * Q * r / R³,k * Q / r²,k * Q / R²,Zero,A,"Inside a uniformly charged sphere, E = k * Q * r / R³, where R is the radius of the sphere.",NET,Conceptual,Medium,Physics,Electrostatics
A charge of 2 μC is placed at the center of a cube. The electric flux through one face is,1 / 6 × 2 × 10^(-6) / ε0,1 / 3 × 2 × 10^(-6) / ε0,1 / 6 × 2 × 10^(-6) × ε0,1 / 3 × 2 × 10^(-6) × ε0,A,"Using Gauss's law, total flux = Q / ε0. For one face, flux = Q / (6ε0) = 2 × 10^(-6) / (6ε0)",ECAT,Conceptual,Medium,Physics,Electrostatics
Two charges 3 μC and -3 μC are separated by 2 cm. The dipole moment is,6 × 10^(-8) Cm,6 × 10^(-6) Cm,3 × 10^(-8) Cm,3 × 10^(-6) Cm,A,Dipole moment = q × d = 3 × 10^(-6) × 2 × 10^(-2) = 6 × 10^(-8) Cm,ECAT,Conceptual,Medium,Physics,Electrostatics
The electric field due to a point charge at a distance of 3 m is 500 N/C. The magnitude of the charge is,0.5 μC,1 μC,2 μC,5 μC,A,"Using E = kQ / r², Q = E × r² / k = 500 × 3² / (9 × 10^9) = 0.5 μC",ECAT,Conceptual,Medium,Physics,Electrostatics
A capacitor is charged to 100 V and then disconnected. The dielectric is replaced by air. The voltage becomes,100 V,100 / K V,100 × K V,0 V,C,"V = Q / C. When dielectric is removed, C decreases, so V increases by a factor of K",ECAT,Conceptual,Medium,Physics,Electrostatics
The energy stored in a capacitor of capacitance 2 μF is 0.02 J. The charge on it is,0.2 mC,0.4 mC,0.02 mC,0.04 mC,A,"Using E = Q² / (2C), Q = √(2CE) = √(2 × 2 × 10^(-6) × 0.02) = 0.2 mC",ECAT,Conceptual,Medium,Physics,Electrostatics
The electric potential at a point 2 m away from a charge of 2 μC is,9 × 10³ V,18 × 10³ V,9 × 10^6 V,18 × 10^6 V,A,"Using V = kQ / r, V = (9 × 10^9 × 2 × 10^(-6)) / 2 = 9 × 10³ V",ECAT,Conceptual,Medium,Physics,Electrostatics
A charge of 2 C is moved from a point of 10 V to a point of 20 V. The work done is,10 J,20 J,30 J,40 J,B,Work done = Q × ΔV = 2 × (20 - 10) = 20 J,ECAT,Conceptual,Medium,Physics,Electrostatics
"The capacitance of a parallel plate capacitor with air as dielectric is 2 μF. When a dielectric is inserted, its capacitance becomes 10 μF. The permittivity of the dielectric is",8.85 × 10^(-12) C²/Nm²,4.425 × 10^(-11) C²/Nm²,8.85 × 10^(-11) C²/Nm²,4.425 × 10^(-12) C²/Nm²,B,"K = C / C0 = 10 / 2 = 5, ε = Kε0 = 5 × 8.85 × 10^(-12) = 4.425 × 10^(-11) C²/Nm²",ECAT,Conceptual,Medium,Physics,Electrostatics
The electric field between two parallel plates separated by 2 cm is 100 N/C. The potential difference between the plates is,1 V,2 V,4 V,8 V,B,ΔV = E × d = 100 × 2 × 10^(-2) = 2 V,ECAT,Conceptual,Medium,Physics,Electrostatics
A sphere of radius 1 m is charged to 1000 V. The charge on it is,0.11 μC,1.1 μC,11 μC,110 μC,A,"Using V = kQ / r, Q = V × r / k = 1000 × 1 / (9 × 10^9) = 0.11 μC",ECAT,Conceptual,Medium,Physics,Electrostatics
The force between two charges 2 μC and 4 μC separated by 2 cm is,180 N,360 N,90 N,45 N,A,"Using F = kQ1Q2 / r², F = (9 × 10^9 × 2 × 10^(-6) × 4 × 10^(-6)) / (2 × 10^(-2))² = 180 N",ECAT,Conceptual,Medium,Physics,Electrostatics
A capacitor of capacitance 1 μF is charged to 100 V. The energy stored is,0.005 J,0.05 J,0.5 J,5 J,A,"Using E = 1/2 CV², E = 1/2 × 1 × 10^(-6) × 100² = 0.005 J",ECAT,Conceptual,Medium,Physics,Electrostatics
The electric flux through a surface of area 2 m² placed in a uniform electric field of 100 N/C is,200 Nm²/C,100 Nm²/C,50 Nm²/C,0 Nm²/C,A,Φ = EA = 100 × 2 = 200 Nm²/C,ECAT,Conceptual,Medium,Physics,Electrostatics
A charge of 1 μC is placed at the origin. The electric field at a point 1 m away on the x-axis is,9 × 10³ N/C,9 × 10^6 N/C,9 × 10^9 N/C,0 N/C,A,E = kQ / r² = (9 × 10^9 × 1 × 10^(-6)) / 1² = 9 × 10³ N/C,ECAT,Conceptual,Medium,Physics,Electrostatics
Two capacitors of capacitance 2 μF and 4 μF are connected in series. The equivalent capacitance is,4 / 3 μF,8 / 3 μF,8 / 6 μF,6 / 4 μF,A,"1/Ceq = 1/C1 + 1/C2 = 1/2 + 1/4 = 3/4, Ceq = 4/3 μF",ECAT,Conceptual,Medium,Physics,Electrostatics
