Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The equation of the ellipse with major axis 6 and minor axis 4 is,x² / 9 + y² / 4 = 1,x² / 4 + y² / 9 = 1,x² / 9 + y² / 4 = 1 or x² / 4 + y² / 9 = 1,None of these,C,"The standard equation of an ellipse is x² / a² + y² / b² = 1, where a = 3 and b = 2 (or vice versa).",NET,Conceptual,Medium,Mathematics,Conic Sections
The distance between the foci of the ellipse 25x² + 9y² = 225 is,8,6,4,10,A,"First, convert the equation to standard form: x² / 9 + y² / 25 = 1. Then, c = √(25 - 9) = 4, so 2c = 8.",NET,Conceptual,Medium,Mathematics,Conic Sections
"The slope of the tangent to the parabola x² = 4y at (2, 1) is",1,-1,2,-2,A,"Differentiating implicitly, we get 2x = 4(dy / dx), so dy / dx = x / 2 = 2 / 2 = 1 at (2, 1).",NET,Conceptual,Medium,Mathematics,Conic Sections
The asymptotes of the hyperbola 9x² - 4y² = 36 are,y = ±(3 / 2)x,y = ±(2 / 3)x,y = ±(4 / 3)x,y = ±(3 / 4)x,A,"The asymptotes of x² / a² - y² / b² = 1 are y = ±(b / a)x, where a = 2 and b = 3.",NET,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the chord of contact of the tangents drawn from (2, 3) to the circle x² + y² = 4 is",2x + 3y = 4,2x + 3y = 2,x + y = 2,x + y = 4,A,"The equation of the chord of contact is given by T = 0, where T = xx1 + yy1 - r², and (x1, y1) = (2, 3).",NET,Conceptual,Medium,Mathematics,Conic Sections
The eccentricity of the ellipse 4x² + 9y² = 36 is,√5 / 3,√5 / 2,√3 / 2, 1 / 2,A,"First, convert the equation to standard form: x² / 9 + y² / 4 = 1. Then, e = √(1 - b² / a²) = √(1 - 4 / 9).",NET,Conceptual,Medium,Mathematics,Conic Sections
The vertex of the parabola y = x² - 4x + 3 is,"(2, -1)","(2, 1)","(-2, -1)","(-2, 1)",A,"Complete the square: y = (x - 2)² - 1, so the vertex is (2, -1).",NET,Conceptual,Medium,Mathematics,Conic Sections
The length of the transverse axis of the hyperbola 9x² - 16y² = 144 is,8,6,4,10,A,"First, convert the equation to standard form: x² / 16 - y² / 9 = 1. Then, the length of the transverse axis is 2a = 2 * 4 = 8.",NET,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the tangent to the ellipse x² + 4y² = 4 at (2cosθ, sinθ) is",xcosθ + ysinθ = 1,xcosθ + 2ysinθ = 2,xcosθ / 2 + ysinθ = 1,xcosθ + ysinθ = 2,C,"Using the equation of the tangent to an ellipse: (xx1 / a²) + (yy1 / b²) = 1, where (x1, y1) = (2cosθ, sinθ).",NET,Conceptual,Medium,Mathematics,Conic Sections
The radius of the circle x² + y² + 2x + 4y + 1 = 0 is,√5,√6,2,3,C,"The radius is given by √(g² + f² - c), where g = 1, f = 2, and c = 1, so √(1 + 4 - 1) = √4 = 2.",NET,Conceptual,Medium,Mathematics,Conic Sections
The eccentricity of the ellipse 9x² + 16y² = 144 is,√7 / 4,√5 / 4,√7 / 3,√5 / 3,A,"The given ellipse is x²/16 + y²/9 = 1, here a² = 16, b² = 9, e = √(1 - b²/a²) = √(1 - 9/16).",ECAT,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the tangent to the ellipse x²/a² + y²/b² = 1 at point (a cosθ, b sinθ) is",x cosθ / a + y sinθ / b = 1,x sinθ / a + y cosθ / b = 1,x cosθ / a - y sinθ / b = 1,x sinθ / a - y cosθ / b = 1,A,"The equation of the tangent to the ellipse at point (a cosθ, b sinθ) is x cosθ / a + y sinθ / b = 1.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
The distance between the foci of the hyperbola x²/9 - y²/16 = 1 is,10,5,2√7,2√5,A,"For the hyperbola x²/a² - y²/b² = 1, the distance between foci is 2c, where c = √(a² + b²) = √(9 + 16) = 5.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the normal to the parabola y² = 4ax at point (at², 2at) is",y + tx = 2at + at³,y = tx + 2at + at³,y + tx = 2at - at³,y = tx + 2at - at³,A,"The equation of the normal to the parabola y² = 4ax at point (at², 2at) is y + tx = 2at + at³.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
The asymptotes of the hyperbola x²/a² - y²/b² = 1 are,y = ± (b/a)x,y = ± (a/b)x,y = ± (b²/a)x,y = ± (a²/b)x,A,The asymptotes of the hyperbola are given by y = ± (b/a)x.,ECAT,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the chord of contact of the tangents drawn from (x1, y1) to the circle x² + y² = a² is",xx1 + yy1 = a²,xx1 + yy1 = a,xx1 - yy1 = a²,xx1 - yy1 = a,A,"The equation of the chord of contact of the tangents drawn from (x1, y1) to the circle is xx1 + yy1 = a².",ECAT,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the ellipse with foci (±3, 0) and vertices (±5, 0) is",x²/25 + y²/16 = 1,x²/16 + y²/25 = 1,x²/25 + y²/9 = 1,x²/9 + y²/25 = 1,A,"Here a = 5, c = 3, b² = a² - c² = 25 - 9 = 16, so the equation is x²/25 + y²/16 = 1.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
The focus of the parabola x² = -8y is,"(0, -2)","(0, 2)","(2, 0)","(-2, 0)",A,"For the parabola x² = -4ay, the focus is (0, -a), here 4a = 8, so a = 2.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the tangent to the hyperbola x²/a² - y²/b² = 1 at point (a secθ, b tanθ) is",x secθ / a - y tanθ / b = 1,x secθ / a + y tanθ / b = 1,x tanθ / a - y secθ / b = 1,x tanθ / a + y secθ / b = 1,A,"The equation of the tangent to the hyperbola at point (a secθ, b tanθ) is x secθ / a - y tanθ / b = 1.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
The latus rectum of the ellipse x² + 4y² = 4 is, 1/2,1,2,4,B,"The given ellipse is x²/4 + y²/1 = 1, here a² = 4, b² = 1, latus rectum = 2b²/a = 2*1/2 = 1.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the circle with center (0, 0) and radius 5 is",x² + y² = 25,x² + y² = 5,x² - y² = 25,x² - y² = 5,A,"The general equation of a circle with center (0, 0) and radius r is x² + y² = r².",ECAT,Conceptual,Medium,Mathematics,Conic Sections
The length of the conjugate axis of the hyperbola x²/9 - y²/16 = 1 is,8,6,4,2,A,"For the hyperbola x²/a² - y²/b² = 1, the length of the conjugate axis is 2b, here 2b = 2*4 = 8.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
The vertex of the parabola y² = 4ax is,"(0, 0)","(a, 0)","(0, a)","(-a, 0)",A,"The vertex of the parabola y² = 4ax is (0, 0).",ECAT,Conceptual,Medium,Mathematics,Conic Sections
The equation of the director circle of the hyperbola x²/a² - y²/b² = 1 is,x² + y² = a² + b²,x² + y² = a² - b²,x² - y² = a² + b²,x² - y² = a² - b²,B,The equation of the director circle of the hyperbola is x² + y² = a² - b².,ECAT,Conceptual,Medium,Mathematics,Conic Sections
The foci of the ellipse x²/25 + y²/9 = 1 are,"(±4, 0)","(±3, 0)","(0, ±4)","(0, ±3)",A,"Here a² = 25, b² = 9, c = √(a² - b²) = √(25 - 9) = 4, so foci are (±4, 0).",ECAT,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the tangent to the parabola y² = 4ax at (at², 2at) is",ty = x + at²,y = tx + at²,tx = y + at²,t²y = x + at³,A,"The tangent to y² = 4ax at (at², 2at) is given by ty = x + at², using the point-slope form and the slope at the given point.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
The radius of the director circle of the ellipse x²/a² + y²/b² = 1 is,√(a² + b²),√(a² - b²),a + b,a - b,A,"The director circle of an ellipse has the equation x² + y² = a² + b², hence its radius is √(a² + b²).",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
The eccentricity of the hyperbola x²/a² - y²/b² = 1 is,√(1 + b²/a²),√(1 - b²/a²),√(a² + b²)/a,√(a² - b²)/a,A,"For the hyperbola x²/a² - y²/b² = 1, b² = a²(e² - 1), so e = √(1 + b²/a²).",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
The length of the latus rectum of the parabola y² = 4ax is,4a,2a,a,8a,A,"For y² = 4ax, the length of the latus rectum is 4a, derived from the definition of the parabola.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the normal to the ellipse x²/a² + y²/b² = 1 at (acosθ, bsinθ) is",(a²x secθ - b²y cosecθ) = a² - b²,(a²x secθ + b²y cosecθ) = a² + b²,(a²x cosθ + b²y sinθ) = a² + b²,(a²x sinθ - b²y cosθ) = a² - b²,A,"The normal to the ellipse at (acosθ, bsinθ) is given by (a²x secθ - b²y cosecθ) = a² - b², using the slope of the normal.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
The condition for the line y = mx + c to be a tangent to the ellipse x²/a² + y²/b² = 1 is,c² = a²m² + b²,c² = a²m² - b²,c = am + b,c = am - b,A,"The line y = mx + c is a tangent to the ellipse if c² = a²m² + b², derived from the condition that the discriminant of the quadratic equation in x is zero.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the chord of contact of the tangents drawn from (x₁, y₁) to the circle x² + y² = a² is",xx₁ + yy₁ = a²,xx₁ + yy₁ = x₁² + y₁²,xx₁ - yy₁ = a²,xx₁ - yy₁ = x₁² + y₁²,A,"The chord of contact for tangents from (x₁, y₁) to x² + y² = a² is xx₁ + yy₁ = a², derived from the tangent equation.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
The length of the major axis of the ellipse 9x² + 4y² = 36 is,6,4,12,8,A,"The given ellipse is x²/4 + y²/9 = 1, so 2a = 6, hence the length of the major axis is 6.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
The foci of the hyperbola 9x² - 16y² = 144 are,"(±5, 0)","(0, ±5)","(±4, 0)","(0, ±4)",A,"For 9x² - 16y² = 144, we have x²/16 - y²/9 = 1, so a² = 16, b² = 9, and c² = a² + b² = 25, hence c = 5.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the tangent to the hyperbola x²/a² - y²/b² = 1 at (asecθ, btanθ) is",(x secθ)/a - (y tanθ)/b = 1,(x tanθ)/a - (y secθ)/b = 1,(x cosθ)/a - (y sinθ)/b = 1,(x sinθ)/a - (y cosθ)/b = 1,A,"The tangent to the hyperbola at (asecθ, btanθ) is given by (x secθ)/a - (y tanθ)/b = 1, derived using the point-slope form.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
The latus rectum of the ellipse x²/16 + y²/9 = 1 is, 9/2, 9/4, 18/4, 27/4,A,"For the ellipse x²/16 + y²/9 = 1, a² = 16, b² = 9, so the latus rectum is 2b²/a = 2*9/4 = 9/2.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
The equation of the directrix of the parabola x² = -4ay is,y = a,y = -a,x = a,x = -a,A,"For x² = -4ay, the directrix is y = a, since the parabola opens downwards.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
The eccentricity of the ellipse x²/a² + y²/b² = 1 (a > b) is,√(1 - b²/a²),√(1 + b²/a²),√(a² + b²)/a,√(a² - b²)/a,A,"For the ellipse, b² = a²(1 - e²), so e = √(1 - b²/a²).",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
The length of the transverse axis of the hyperbola x²/a² - y²/b² = 1 is,2a,2b,2c,2√(a² + b²),A,"The transverse axis of the hyperbola x²/a² - y²/b² = 1 is 2a, by definition.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the normal to the parabola y² = 4ax at (at², 2at) is",y + tx = 2at + at³,y = tx + 2at + at³,y - tx = 2at + at³,y = -tx + 2at + at³,A,"The normal to y² = 4ax at (at², 2at) is y + tx = 2at + at³, derived using the slope of the normal.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
The condition for the line y = mx + c to be a tangent to the hyperbola x²/a² - y²/b² = 1 is,c² = a²m² - b²,c² = a²m² + b²,c = am + b,c = am - b,A,"The line y = mx + c is a tangent to the hyperbola if c² = a²m² - b², derived from the condition that the discriminant of the quadratic equation in x is zero.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
The distance between the foci of the ellipse x²/25 + y²/9 = 1 is,8,4,10,6,A,"For x²/25 + y²/9 = 1, a² = 25, b² = 9, so c² = a² - b² = 16, hence 2c = 8.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the tangent to the circle x² + y² = a² at (acosθ, asinθ) is",xcosθ + ysinθ = a,xcosθ - ysinθ = a,xsinθ + ycosθ = a,xsinθ - ycosθ = a,A,"The tangent to x² + y² = a² at (acosθ, asinθ) is xcosθ + ysinθ = a, derived using the point-slope form.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the circle with center (2, 3) and radius 4 is?",(x-2)² + (y-3)² = 16,(x+2)² + (y+3)² = 16,(x-2)² + (y+3)² = 16,(x+2)² + (y-3)² = 16,A,"The standard form of a circle's equation is (x-h)² + (y-k)² = r², where (h, k) is the center and r is the radius.",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
"The parabola y² = 4ax passes through (2, 4). What is 'a'?",1,2, 3/2, 2/3,B,"Substitute (2, 4) into y² = 4ax to get 16 = 8a, so a = 16/8 = 2.",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
The ellipse 9x² + 4y² = 36 has a major axis of length?,6,4,12,8,A,Rewrite the equation as x²/4 + y²/9 = 1. The major axis is 2*3 = 6 since 3 is the semi-major axis.,LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
The hyperbola x² - y² = 1 has asymptotes?,y = ±x,y = ±2x,y = ±x/2,y = ±2x (2),A,"For x² - y² = 1, the asymptotes are y = ±x because the coefficients of x² and y² are the same.",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the tangent to the circle x² + y² = 25 at (3, 4) is?",3x + 4y = 25,3x - 4y = 25,4x + 3y = 25,4x - 3y = 25,A,"The tangent at (x1, y1) to x² + y² = r² is xx1 + yy1 = r². Here, it's 3x + 4y = 25.",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
The focus of the parabola x² = 4y is?,"(0, 1)","(0, -1)","(1, 0)","(-1, 0)",A,"For x² = 4ay, the focus is (0, a). Here, 4a = 4, so a = 1 and the focus is (0, 1).",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
The eccentricity of the ellipse x²/9 + y²/4 = 1 is?,√5/3,√5/2, 1/3, 2/3,A,"For x²/a² + y²/b² = 1, e = √(1 - b²/a²). Here, e = √(1 - 4/9) = √5/3.",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
The vertices of the hyperbola y²/9 - x²/4 = 1 are?,"(0, ±3)","(0, ±2)","(±3, 0)","(±2, 0)",A,"For y²/a² - x²/b² = 1, vertices are (0, ±a). Here, a = 3, so vertices are (0, ±3).",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
The radius of the circle x² + y² + 2x + 4y + 1 = 0 is?,2,3,4,5,A,"Rewrite the equation as (x+1)² + (y+2)² = 4 by completing the square. So, radius = √4 = 2.",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
The directrix of the parabola y² = -8x is?,x = 2,x = -2,y = 2,y = -2,A,"For y² = -4ax, the directrix is x = a. Here, 4a = 8, so a = 2 and the directrix is x = 2.",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
The length of the latus rectum of the ellipse x²/16 + y²/9 = 1 is?, 9/2, 9/4, 18/4, 27/4,A,"For x²/a² + y²/b² = 1, the latus rectum is 2b²/a. Here, it's 2*9/4 = 9/2.",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the tangent to the parabola y² = 4x at (1, 2) is?",x + y = 3,x - y = -1,y = x + 1,x - y + 1 = 0,B,"The tangent at (x1, y1) to y² = 4ax is yy1 = 2a(x + x1). Here, it's y = x + 1, or x - y = -1.",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
The asymptotes of the hyperbola x²/4 - y²/9 = 1 are?,y = ±3x/2,y = ±2x/3,y = ±3x,y = ±2x,A,"For x²/a² - y²/b² = 1, asymptotes are y = ±b/a*x. Here, b/a = 3/2, so y = ±3x/2.",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the normal to the circle x² + y² = 25 at (3, 4) is?",4x - 3y = 0,3x + 4y = 0,4x + 3y = 25,3x - 4y = 0,A,"The normal at (x1, y1) to x² + y² = r² is y1*x = x1*y. Here, it's 4x = 3y, or 4x - 3y = 0.",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
The foci of the ellipse x²/25 + y²/9 = 1 are?,"(±4, 0)","(±3, 0)","(0, ±4)","(0, ±3)",A,"For x²/a² + y²/b² = 1, foci are (±√(a²-b²), 0). Here, √(25-9) = 4, so foci are (±4, 0).",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
The equation of the director circle of the ellipse x²/9 + y²/4 = 1 is?,x² + y² = 13,x² + y² = 12,x² + y² = 11,x² + y² = 10,A,"The director circle of x²/a² + y²/b² = 1 is x² + y² = a² + b². Here, it's x² + y² = 9 + 4 = 13.",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
The latus rectum of the parabola y² = 8x is?,4,8,6,2,B,"For y² = 4ax, the latus rectum is 4a. Here, 4a = 8, so the latus rectum is 8.",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
The eccentricity of the hyperbola x²/9 - y²/16 = 1 is?, 5/3, 4/3, 3/2, 2/3,A,"For x²/a² - y²/b² = 1, e = √(1 + b²/a²). Here, e = √(1 + 16/9) = √(25/9) = 5/3.",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
The length of the major axis of the ellipse 4x² + y² = 16 is?,8,4,6,2,A,Rewrite the equation as x²/4 + y²/16 = 1. The major axis is 2*4 = 8 since 4 is the semi-major axis.,LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
The conjugate axis of the hyperbola y²/9 - x²/4 = 1 has length?,4,6,8,2,A,"For y²/a² - x²/b² = 1, the conjugate axis is 2b. Here, 2b = 2*2 = 4.",LUMS_SAT,Conceptual,Medium,Mathematics,Conic Sections
"The parabola y² = 4ax passes through (2, 4). The value of a is",1,2, 1 / 2,4,C,"Substitute (2, 4) into y² = 4ax to get 16 = 8a, so a = 2 / 2 = 1 / 1 * 2 / 2 = 2 / 2 = 1.",NET,Conceptual,Medium,Mathematics,Conic Sections
The eccentricity of the ellipse x² / 25 + y² / 9 = 1 is, 4 / 5, 3 / 5, 2 / 5, 1 / 5,A,"For ellipse x² / a² + y² / b² = 1, e = √(1 - b² / a²) = √(1 - 9 / 25).",NET,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the tangent to the ellipse x² / 4 + y² = 1 at (1, √3 / 2) is",x + √3y = 2,x + 2√3y = 4,x / 4 + √3y / 2 = 1,x + √3y / 2 = 1,C,"The tangent at (x1, y1) is xx1 / a² + yy1 / b² = 1, with (x1, y1) = (1, √3 / 2).",NET,Conceptual,Medium,Mathematics,Conic Sections
The hyperbola with equation x² / 9 - y² / 16 = 1 has asymptotes,y = ± 4x / 3,y = ± 3x / 4,y = ± 4x / √9,y = ± 3x / √16,A,Asymptotes of x² / a² - y² / b² = 1 are y = ±bx / a.,NET,Conceptual,Medium,Mathematics,Conic Sections
The radius of the director circle of x² + y² = 25 is,5√2,5,10,0,A,"The director circle of a circle x² + y² = a² is x² + y² = 2a², so radius = a√2.",NET,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the normal to the parabola y² = 4x at (1, 2) is",y + x = 3,y = x + 1,x + y = 3,y = -x + 3,C,"The normal at (at², 2at) is y + tx = 2at + at³, with t = 1.",NET,Conceptual,Medium,Mathematics,Conic Sections
The length of the latus rectum of the ellipse x² / 16 + y² / 9 = 1 is, 9 / 2, 9 / 4, 18 / 4, 9 / 8,A,"For ellipse, length = 2b² / a.",NET,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the tangent to the circle x² + y² = 25 at (3, 4) is",3x + 4y = 25,3x - 4y = 25,4x + 3y = 25,4x - 3y = 25,A,"The tangent at (x1, y1) is xx1 + yy1 = a².",NET,Conceptual,Medium,Mathematics,Conic Sections
The eccentricity of the hyperbola x² / 4 - y² / 12 = 1 is,√2,2,√3 / 2,2 / √3,B,"For hyperbola, e = √(1 + b² / a²).",NET,Conceptual,Medium,Mathematics,Conic Sections
The equation of the directrix of the parabola y² = 8x is,x = -2,x = 2,y = -2,y = 2,A,"For y² = 4ax, the directrix is x = -a.",NET,Conceptual,Medium,Mathematics,Conic Sections
The center of the circle x² + y² + 2x + 4y + 1 = 0 is,"(-1, -2)","(1, 2)","(-2, -1)","(2, 1)",A,"The center = (-g, -f) for x² + y² + 2gx + 2fy + c = 0.",NET,Conceptual,Medium,Mathematics,Conic Sections
The vertices of the hyperbola 9x² - 16y² = 144 are,"(±4, 0)","(0, ±4)","(±3, 0)","(0, ±3)",A,"For x² / a² - y² / b² = 1, vertices = (±a, 0).",NET,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the tangent to the ellipse x² + 4y² = 4 at (2, 0) is",x = 2,y = 0,x + y = 2,x - y = 2,A,"The tangent at (x1, y1) is xx1 / a² + yy1 / b² = 1.",NET,Conceptual,Medium,Mathematics,Conic Sections
The foci of the ellipse 25x² + 9y² = 225 are,"(0, ±4)","(±4, 0)","(0, ±3)","(±3, 0)",A,"For ellipse y² / a² + x² / b² = 1, foci = (0, ±√(a² - b²)).",NET,Conceptual,Medium,Mathematics,Conic Sections
The asymptotes of the hyperbola x² - 4y² = 4 are,y = ±x / 2,y = ±2x,y = ±x,y = ±4x,A,"For x² / a² - y² / b² = 1, asymptotes are y = ±b/a * x.",NET,Conceptual,Medium,Mathematics,Conic Sections
The latus rectum of the parabola x² = 4y is,4,2,1,8,A,"For x² = 4ay, the latus rectum = 4a.",NET,Conceptual,Medium,Mathematics,Conic Sections
The radius of the circle x² + y² - 4x + 6y + 4 = 0 is,3,√3,√7,√13,A,Radius = √(g² + f² - c) for x² + y² + 2gx + 2fy + c = 0.,NET,Conceptual,Medium,Mathematics,Conic Sections
"The parabola y² = 4ax passes through (2, 4), find 'a'", 1 / 2,2,1,4,B,"Substitute (2, 4) into y² = 4ax to get 16 = 8a, then solve for 'a' to get a = 2.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
The eccentricity of the ellipse x²/16 + y²/9 = 1 is,√7 / 4, 1 / 4, 7 / 16,√7 / 16,A,"For ellipse x²/a² + y²/b² = 1, e = √(1 - b²/a²). Here, a² = 16, b² = 9, so e = √(1 - 9/16) = √7 / 4.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
"The equation of the tangent to the parabola y² = 8x at (2, 4) is",x - y + 2 = 0,x + y - 6 = 0,x - y + 4 = 0,x + y + 2 = 0,A,"The tangent to y² = 4ax at (at², 2at) is ty = x + at². For y² = 8x, a = 2, so at t = 1, the point is (2, 4) and the tangent is y = x + 2.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
The length of the latus rectum of the ellipse x²/25 + y²/16 = 1 is, 32 / 5, 25 / 4, 16 / 5, 5 / 2,A,"For ellipse x²/a² + y²/b² = 1, length of latus rectum = 2b²/a. Here, a = 5, b = 4, so length = 2*16 / 5 = 32 / 5.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
The foci of the hyperbola x²/16 - y²/9 = 1 are,"(±5, 0)","(±4, 0)","(0, ±5)","(0, ±4)",A,"For hyperbola x²/a² - y²/b² = 1, foci are (±√(a² + b²), 0). Here, a² = 16, b² = 9, so √(a² + b²) = √25 = 5.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
The equation of the director circle of the ellipse x²/9 + y²/4 = 1 is,x² + y² = 13,x² + y² = 9,x² + y² = 4,x² + y² = 5,A,"The director circle of an ellipse x²/a² + y²/b² = 1 is x² + y² = a² + b². Here, a² = 9, b² = 4, so x² + y² = 13.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
The asymptotes of the hyperbola x²/9 - y²/16 = 1 are,y = ±4x / 3,y = ±3x / 4,y = ±4x / √9,y = ±3x / √16,A,"For hyperbola x²/a² - y²/b² = 1, asymptotes are y = ±b/a*x. Here, a = 3, b = 4, so y = ±4x / 3.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
The radius of the circle x² + y² + 4x - 6y + 4 = 0 is,3,√3,4,√13,A,"The given equation can be rewritten as (x + 2)² + (y - 3)² = 9, so radius = √9 = 3.",ECAT,Conceptual,Medium,Mathematics,Conic Sections
