Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
22,What is the primary function of the Angel Mika'il (AS)?,To manage rain and the provision of food,To take souls at death,To bring revelations to Prophets,To blow the trumpet on Judgment Day,A
23,Who developed algebra?,Muhammad ibn Musa al-Khwarizmi,Ibn Sina,Euclid,Jabir ibn Hayyan,A
24,"During the migration from Makkah to Madinah, the Holy Prophet (PBUH) and Hazrat Abu Bakr Siddiq (R.A.) took shelter in the:",Cave of Hira,Dar al-Arqam,Cave of Thawr,Holy Kaaba,C
25,How many obligatory (Fard) acts are there in Hajj?,3,3 or 4 depending on the school of thought,5,2,B
26,Wealth obtained from a mine is liable to:,Zakat,Khums,Sulus,Rubah,B
27,How many times is Salat mentioned in the Holy Quran?,690,700,730,None of these,D
28,Who among the following requested Allah to free him till the Day of Judgement?,Iblees,Dajjal,Munkir,Nakeer,A
29,In which Surah of the Holy Quran Bismillah is added twice?,Surah Baqarah,Surah Namal,Surah Yaseen,None of these,B
30,What is the literal meaning of Ijtihad?,Assessment,Feasibility,Devotion,Exertion,D
31,Who was/were killed by a dreadful earthquake?,People of Sodom,People of Gomorrah,Both of these,None of these,C
32,"In Islamic finance, ""Gharar"" refers to:",Excessive uncertainty or ambiguity in a contract,Interest or Riba,Gambling or Maysir,Hoarding,A
33,"What is meant by the name of Allah ""Al-Waris""?",The Supreme Inheritor,The Merciful,The Opener,The Honourer,A
34,The first Islamic flag was given to Hazrat Hamza. What was its color?,Green,White,Red,Black,B
35,Hazrat Umar (R.A.) ruled for,"2 years, 3 months","10 years, 6 months, 4 days","4 years, 7 months",None of these,B
36,The incident of Mi'raj (the Night Journey) is discussed in which Surah?,Al-Baqarah,Al-Isra,Al-Tawbah,Yunus,B
37,The prayer for rain is called:,Salat al-Istisqa,Salat al-Kusuf,Salat al-Ishraq,None of these,A
38,How many Surahs in the Quran are named after cities?,One,Two,Three,Five,A
39,The Holy Quran was first translated in the subcontinent into which language?,Urdu,Sindhi,Punjabi,Persian,D
40,How many Holy Books are mentioned by name in the Quran?,1,2,3,4,D
41,Hazrat Umar was martyred in which month of the Islamic calendar?,Muharram,Saffar,Zil-e-Hajj,None of these,A
42,Bayt al-Hikmah was a:,Translation bureau,Observatory,Medical university,None of these,A
43,Wealth obtained from a mine is liable for what type of deduction?,Zakat,Khums (one-fifth),Sulus (one-third),Rubah (one-fourth),B
44,Meaning of Wahi is:,Inspiration,Expression,Excitation,Revelation,D
45,A tradition (hadith) whose chain of narrators is traced back only to a Companion of the Prophet (PBUH) is known as:,Mutawatir,Mawquf,Marfu',Maqtu',B
46,Zaboor was revealed to:,Hazrat Musa (AS),Hazrat Isa (AS),Hazrat Dawood (AS),None of these,C
47,"The ""Treaty of Adrianople"" marked a significant loss of territory in Europe for which Islamic empire?",Ottoman Empire,Mughal Empire,Safavid Empire,Umayyad Caliphate,A
48,Which companion of the Prophet (PBUH) was awarded the title 'the Lion of Allah?,Hazrat Abu Bakr R.A.,Hazrat Umar Farooq R.A.,Hazrat Usman R.A.,Hazrat Ali R.A.,D
49,How many pillars of Islam are there?,3,5,7,None of these,B
50,"The ""Timurid Empire,"" founded by Timur (Tamerlane), had its capital in which city?",Herat,Bukhara,Samarkand,Isfahan,C
51,"After the Treaty of Hudaybiyyah, which companion fled from Makkah and was initially returned, but then escaped and formed a group at Al-Is?",Abu Hudhayfah (RA),Abu Jandal (RA),Abu Basir (RA),Abu Ikrimah (RA),C
52,Which Caliph standardized the script and text of the Quran and sent official copies to major Islamic centers?,Uthman (RA),Abu Bakr (RA),Umar (RA),Ali (RA),A
53,The 'Battle of Mu'tah' was fought between:,Muslims and Jews,Muslims and Romans,Muslims and Quraysh,Muslims and false prophets,B
54,Which Surah of the Holy Quran throws light on the Halal and Haram of sacrificial animals?,Al-Ma'idah,Al-Imran,Al-Naml,Al-Ra'd,A
55,Which pillar of Islam is the Key to Paradise?,Hajj,Salat,Zakat,Soam,B
56,Which Ayat of Surah Baqarah is the longest?,284,285,282,255,C
57,Shawwal is which month of the Islamic calendar?,10th,9th,7th,8th,A
58,How many primary prohibitions and restrictions of Ihram are there?,5,8,13,10,B
59,"Among the following prophets, whose nation was awarded with ""Mann-o-Salwa""?",Hazrat Daud,Hazrat Isa,Hazrat Musa,Hazrat Yunus,C
60,'The age of Hazrat Noah (A.S.) was:,750 years,850 years,950 years,None of these,C
61,How many Chapters (Para) are there in the Holy Quran?,14,30,114,6.666,B
62,The total number of Makki Surahs is,80,86,88,92,B
63,Who dug the grave of the Holy Prophet (PBUH)?,Hazrat Abu Zubair (R.A.),Hazrat Abu Talha Ansari (R.A.),Hazrat Aws (R.A.),Hazrat Abu Saleh (R.A.),B
64,"The longest Ayah (verse) of the Holy Quran, the Verse of the Loan (Ayat al-Dayn), is in which Surah?",Al-Ma'arij,Al-Haqqah,Al-Baqarah,Al-Takwir,C
65,Which relative(s) of the Holy Prophet (PBUH) embraced Islam just before the conquest of Makkah?,Abu Sufyan ibn al-Harith,Abdullah ibn Abi Umayyah,Both of these,None of these,B
66,"The ""Thuluth"" script is a style of Arabic calligraphy known for its:",Angular form,Use in early Qurans,Small size for daily use,"Large, cursive style often used for architectural inscriptions",D
67,Ijma Sukuti (silent consensus) is when a companion makes a ruling and:,No other prominent companion objects to it,All other companions explicitly agree,The ruler enforces it,It is recorded in a book,A
68,Which prophet earned his living by making wallets?,Hazrat Dawud (AS),Hazrat Hud (AS),Hazrat Sulayman (AS),Hazrat Yahya (AS),C
69,"The ""Damascus Document"" is an important text associated with which ancient Jewish sect?",Sadducees,Pharisees,Essenes (Qumran community),Zealots,C
70,What was the age of Prophet Muhammad (PBUH) when the Qur'an was first revealed to him through Hazrat Jibra'il (A.S.)?,30 years,40 years,42 years,41 years,B
71,"What does the term ""Taqleed"" mean in Islamic jurisprudence?",Independent reasoning,Following a qualified jurist or school of thought,Scholarly consensus,Interpretation of the Quran,B
72,Iblees _____ mein se tha?,Jinnon,Parindon,Insanon,In mein se koi nahi,A
73,Which method is used to prove the correctness of the matn of a hadith?,Riwayat,Dirayat,Sanad,None of these,B
74,The literal meaning of Zakat is,To conceal,To revert,To purify,None of these,C
75,Who was the sixth caliph of the Umayyad dynasty during the Debal incident?,Yazid bin Muawiya,Umar bin Abdul Aziz,Walid bin Abdul Malik,None of these,C
76,How many Surahs in the Holy Quran begin with Haroof-e-Muqatta'at?,27,28,29,None of these,C
77,"The ""Treaty of Deul"" was signed between the forces of Muhammad bin Qasim and the ruler of Sindh, named:",Prithviraj Chauhan,Raja Jaipal,Raja Dahir,Rana Sanga,C
78,Hazrat Salih (A.S.) was sent to:,Banu 'Ad,Banu Thamud,Banu Israel,None of these,B
79,Who first arranged and wrote the Qur'an on paper in book form?,Hazrat Uthman (RA),Hazrat Zayd ibn Thabit (RA),Hazrat Abu Bakr (RA),Hazrat Hafsa (RA),B
80,The social boycott of Banu Hashim took place in the ______ year of Prophethood (Nabvi).,6th,7th,8th,None of these,B
81,"In 9 AH, a severe famine and drought struck which region, making it difficult to fund the Tabuk expedition?",Makkah,Khyber,Yemen,The Hijaz (including Madinah),D
82,"The ""Maristan"" was an institution in the medieval Islamic world that functioned as a:",Observatory,Courthouse,Hospital and medical school,Library,C
83,Which Prophet is mentioned in the Quran the most times?,Hazrat Isa (AS),Hazrat Ibrahim (AS),Hazrat Musa (AS),Hazrat Lut (AS),C
84,The Battle of Siffin was fought between the armies of Ali (RA) and:,Aisha (RA),Muawiya ibn Abi Sufyan (RA),The Kharijites,Yazid ibn Muawiya,B
85,The oldest revealed divine book is:,Tawrat,Zaboor,Injeel,Quran,A
86,Who gave Hajr-e-Aswad to Hazrat Ismaeel (A.S) during the rebuilding of the House of Allah?,Hazrat Adam (A.S),Hazrat Jibrael (A.S),Hazrat Ibrahim (A.S),None of these,B
87,"The ""Thalathiyyat"" are a special category of Hadith in a collection distinguished by having only:",Three repetitions of a phrase,Three words in the text,Three narrators in the chain back to the Prophet (PBUH),Three topics covered,C
88,"Who was the first writer of ""Wahi"" in the Quraysh?",Hazrat Abd al-Rahman ibn Awf (R.A.),Hazrat Zayd ibn Thabit (R.A.),Hazrat Abdullah ibn Zubayr (R.A.),Hazrat Ibn Mas'ud (R.A.),B
89,"The ""Qur'an Gate"" (Darvazeh Qur'an) is a historical landmark in which Iranian city?",Tehran,Isfahan,Shiraz,Yazd,C
90,Imam Dar al-Hijrah is the title of:,Imam Ahmad,Imam Malik,Imam Shafi'i,None of these,B
91,Which Surah is also known as Fatihat-ul-Qur'an?,Al-Falaq,Yasin,Al-Alaq,Al-Fatihah,D
92,Which was the agreement that was titled 'Fath-um-Mubeen' without fighting a battle?,Treaty of Makkah,Meesaq-e-Madinah,Treaty of Hudaibiya (Sulh-e-Hudaibiya),None of the above,C
93,Allah ne kis qoum ko un ke gunahon samait samandar mein gharq kar diya?,Firaun ki qoum,Namrood ki qoum,Shamr ki qoum,In mein se koi nahi,A
94,"The ""Hashimiyya"" movement was an early Shia group that played a key role in the:",Qarmatian revolt,Fatimid rise to power,Abbasid Revolution,Zaydi imamate,C
95,The people of which country were the first to request Ali (RA) to accept the office of Caliph after the assassination of Uthman (RA)?,Egypt,Syria,Iran,Iraq,A
96,"The ""Naskh"" style of calligraphy, known for its clarity and readability, was standardized by the Abbasid vizier:",Yaqut al-Musta'simi,Al-Farahidi,Ibn al-Bawwab,Ibn Muqlah,B
97,The tenure of Khilafat of Hazrat Ali (RA) was:,4 years and one month,3 years,5 years,None of these (4 years and 9 months),D
98,Which nation unanimously acknowledged Hazrat Dawood (A.S.) as their king?,Bani Aad,Bani Israel,Bani Thamud,None of these,B
99,"Ifrad, ""Qiran,"" and ""Tamattu"" are the three types of:",Hajj,Salah,Zakat,Sawm,A
100,Who is generally credited with introducing the vowel marks (tashkil) into the Arabic script?,Al-Farahidi,Abu al-Aswad al-Du'ali,Ibn Muqlah,Yahya ibn Ya'mar,A
101,Heads of Zakat are mentioned in Surah:,Al-Quraysh,Al-e-Imran,Al-Tawbah,Al-Baqarah,C
102,How many Ayats are regarding Ushr?,3,4,5,6,B
103,Sahihain refers to which two collections of Hadith?,Muwatta and Musnad Ahmad,The Meadows of Gold and The History of Prophets,Sahih al-Bukhari and Sahih Muslim,None of these,C
104,"The garden of ""Fadak"" was bestowed upon the Holy Prophet (PBUH) as:",Fay (land acquired without fighting),Booty,Gift,Loan,A
105,Who was the commander of the Muslim army in the Battle of Qadisiyyah?,Hazrat Khalid bin Waleed,Hazrat Saad bin Abi Waqqas,Hazrat Ali,Hazrat Ikrimah,B
106,Name the first scribe of the wahi in Makkah.,Hazrat Abu Bakr (R.A.),Hazrat Usman (R.A.),Shurahbil ibn Hasanah Kindi,None of these,C
107,The police force was set up during the Caliphate of:,Hazrat Abu Bakr (RA),Hazrat Umar (RA),Hazrat Uthman (RA),Hazrat Ali (RA),B
108,Masarif-e-Zakat are in which surah?,Surah Maidah,Surah Tawbah,Surah Baqarah,None of the above,B
109,Hazrat Isa (AS) was the cousin of ______.,Hazrat Zakariya (AS),Hazrat Yahya (AS),Hazrat Yunus (AS),Hazrat Lut (AS),B
110,A person who performs prayer alone is called ________.,Maqtadi,Munfarid,Masbooq,Imam,B
111,Who is called 'Sani as-Nain' ?,Hazrat Nuh,Hazrat Abu Bakr,Hazrat Yahya,Hazrat Ibrahim,B
112,Who was the first prominent leader of Makkah to embrace Islam on the eve of the conquest?,Abu Dujanah,Abu Darda,Abu Umayr,Abu Sufyan,D
113,Which Surah of the Qur'an has Bismillah twice?,Al-Nahl,Al-Naml,Al-Ahzab,Al-Nur,B
114,How many thousand Muslims left Madinah to participate in the Tabuk expedition?,10000,20000,40000,30000,D
115,Name the first Sahabi who called the Adhan for the first time.,Hazrat Ali (RA),Hazrat Bilal (RA),Hazrat Umar (RA),Hazrat Zayd (RA),B
116,"The ""Mathnawi"" is the most famous poetic work of which Sufi mystic?",Fariduddin Attar,Hafiz Shirazi,Jalal ad-Din Rumi,Ibn Arabi,C
117,Jizya means ______.,Religious tax,Poll-tax on non-Muslims,Lands cultivated by non-Muslims,Income from the minorities,B
118,Who was appointed as custodian of the Bayt al-Mal by Hazrat Umar (R.A.)?,Abdullah ibn Arqam (R.A.),Abdullah ibn Umar (R.A.),Abdullah ibn Masud (R.A.),Abdullah ibn Zubayr (R.A.),C
119,A person who is liable to pay Zakat is known as:,Sahib-e-Taufeeq,Sahib-e-Hisab,Sahib-e-Zakat,Sahib-e-Nisab,D
120,"According to a Hadith, the most beloved places to Allah are the:",Eidgahs,Bazaars,Mosques,Homes,C
121,"Which companion was given the title ""Sayf-ullah al-Maslul"" (The Drawn Sword of Allah)?",Khalid ibn al-Walid (RA),Ali ibn Abi Talib (RA),Hamza ibn Abd al-Muttalib (RA),Zubayr ibn al-Awwam (RA),A
122,"What is the semi-circular, low-walled area adjacent to the Kaaba called?",Hateem,Multazam,Mawaqeet,Makkah,A
123,What was the approximate age of Ali (RA) when he embraced Islam?,8 years,10 years,12 years,14 years,B
124,The religious book(s) of Buddhism are:,Vinaya Pitaka,Sutta Pitaka,Abhidhamma Pitaka,All of these,D
125,The first Ghazwa of Islam is:,Abwa,Badr,Uhud,Tabook,A
126,"The Quranic term ""Taqwa"" is best translated as:",Faith,Worship,Love,God-consciousness or piety,D
127,"'The Holy Book ""Zaboor"" was revealed on which Prophet of Allah?",Hazrat Musa (A.S.),Hazrat Ibrahim (A.S.),Hazrat Dawood (A.S.),Hazrat Ishaq (A.S.),C
128,Makkah was conquered in which Hijri year?,5 AH,10 AH,2 AH,8 AH,D
129,"The ""Seven Sleepers of Ephesus"" (Ashab al-Kahf) are mentioned in which Surah of the Quran?",Al-Kahf,Yusuf,Al-Imran,Al-Anbiya,A
130,The Hajj pilgrims are required to wear Ihram at a place called:,Mina,Meeqat,Marwa,Arafat,B
131,Which Prophet of ALLAH had the minimum age?,Hazrat Ibraheem (A.S.),Hazrat Muhammad (S.A.W.),Hazrat Musa (A.S.),Hazrat Eesa (A.S.),D
132,Hazrat Ibrahim AS was born in:,Iran,Iraq,Syria,Jordan,B
133,The Battle of Qadisiyyah was fought between Muslims and Persians in:,Rajab 14 Hijri,Shawal 14 Hijri,Muharram 14 Hijri,None of these,D
134,"The ""Iddah"" period for a widowed woman is:",Three months,Three menstrual cycles,Four months and ten days,"Until she gives birth, if pregnant",C
135,The duty of Angel Izra'il is ______.,To blow the trumpet on the Day of Judgment,Taking the life of living creatures,Both of them,None of them,B
136,"During Hajj, the ritual of symbolically stoning the pillars is known as:",Tawaf,Sa'ee,Rami,Wuquf,C
137,Which angel is known as the guardian or keeper of Paradise?,Ridwan,Ra'd,Malik,Qahhar,A
138,Which Prophet's story is mentioned most frequently in the Quran?,Prophet Ibrahim (AS),Prophet Musa (AS),Prophet Isa (AS),Prophet Yusuf (AS),B
139,When was the law of inheritance revealed?,3 A.H.,4 A.H.,5 A.H.,None of these,A
140,Who had Bait al-Maqdis constructed with the help of jinns?,Hazrat Sulaiman (AS),Hazrat Khidr (AS),Hazrat Ibrahim (AS),None of these,A
141,"The ""Battle of Siffin"" ended with a controversial:",Decisive victory for Muawiya (RA),Decisive victory for Ali (RA),Arbitration (Tahkim),Treaty of surrender,C
142,"According to Shah Waliullah, what is the primary function of the Qur'an?",Subject (under authority),Mu'tazilah,Reminder of Allah,None of these,C
143,Which gift was given by Allah to the Holy Prophet (SAW) during Mi'raj?,Roza,Nimaz,Hajj,None of these,B
144,"If a wife has no children, her husband's share in her inheritance is:",One-fourth,One-third,One-half,One-sixth,C
145,Name the Prophet whose name is mentioned and discussed most in the Qur'an:,Isa (A.S.),Musa (A.S.),Ya'qub (A.S.),Sulayman (A.S.),B
146,"In which battle was Hazrat Khalid bin Waleed given the title ""Sword of Allah""?",Battle of Tabuk,Battle of Mu'tah,Battle of the Trench (Khandaq),Battle of Uhud,B
147,When was the Qibla changed?,1 Hijri,2 Hijri,3 Hijri,None of these,B
148,How many mosques are mentioned in the Qur'an?,3,5,10,15,B
149,"The philosophical concept of ""Emanation,"" where existence proceeds from a ""First Cause,"" is central to the thought of:",Al-Farabi,Al-Ghazali,Ibn Khaldun,Ibn Taymiyyah,A
150,Which Ghazwa is mentioned in Surah Al-Imran?,Khyber,Khandaq,Uhad,Badr,C
151,Hajj is the fifth and last act of worship prescribed by Islam. What is the literal meaning of Hajj?,To will or desire to visit,To walk briskly,To purify oneself,Holy journey,A
152,What was the kunya (teknonym) of Uthman (RA)?,Abu Amr,Abu Turab,Abu Hurairah,Abu Abdullah,A
153,Which companions were in the front line to duel the pagan champions at the Battle of Badr?,All companions,"Ali, Hamza, Ubaydah","Abu Bakr, Umar, Ali",None,B
154,"The ""Buyid"" dynasty was a Shia dynasty of Persian origin that captured Baghdad and controlled the Abbasid Caliphs as:",Puppet masters,Viziers,Sultans,Amirs,C
155,Which companion was the standard-bearer for the Muhajirun at the conquest of Makkah?,Sa'd ibn Abi Waqqas,Ali ibn Abi Talib,Zubayr ibn al-Awwam,Abu Ubaidah ibn al-Jarrah,C
156,The name of which companion of the Holy Prophet (SAW) is mentioned in the Quran?,Zayd ibn Thabit (R.A.),Zayd ibn Harithah (R.A.),Usman ibn Affan (R.A.),None of these,B
157,Imam Al-Nasai was born in:,212 Hijri,214 Hijri,216 Hijri,None of these,B
158,Which books are called Sahihain?,Bukhari Sharif and Sunan Abu Dawood,Muslim Sharif and Tirmidhi,Bukhari Sharif and Sunan Ibn Majah,Bukhari Sharif and Muslim Sharif,D
159,Mount Uhud is located in:,Makkah,Madinah,Ta'if,Tabuk,B
160,"Which country is often called the ""Land of Prophets""?",Iraq,Saudi Arabia,Palestine,Syria,C
161,"The ""Devshirme"" system was an Ottoman practice of:",Granting land to soldiers,Recruiting civil servants,A naval tax,Recruiting non-Muslim boys for state service,D
162,The Nisab of Zakat in silver is:,40 Tolas,50 Tolas,50 ½ Tolas,52 ½ Tolas,D
163,When was gambling banned?,1 A.H.,2 A.H.,3 A.H.,4 A.H.,B
164,"As a result of Hazrat Zakariya's (AS) prayer, the following prophet was born:",Hazrat Isa (AS),Hazrat Yahya (AS),Hazrat Imran (AS),Hazrat Uzair (AS),B
165,The first mosque of Islam is _____.,Masjid-e-Haram,Masjid-e-Nabawi,Masjid-e-Qiblatain,Masjid-e-Quba,D
166,Which prophet is known as Dhul-Nun?,Hazrat Yunus (A.S.),Hazrat Shoaib (A.S.),Hazrat Dhul-Kifl (A.S.),None of these,A
167,After how many months of the Hijrah to Medina were the orders for the change of Qibla received?,15 months,17 months,19 months,20 months,B
168,When did the Battle of Badr take place?,1 AH,2 AH,3 AH,None of these,B
169,In which battle was Zaid martyred?,Battle of Tabuk,Battle of Mu'tah,Battle of Hunayn,None of these,B
170,Name the first Muslim ruler who established a navy.,Hazrat Umar (RA),Hazrat Uthman (RA),Hazrat Ali (RA),Hazrat Ameer Muawiyah (RA),B
171,"Which act of worship is often called ""Hajj-e-Asghar"" (the minor pilgrimage)?",Umrah,Sa'i,Tawaf,Travel to Madinah,A
172,What is the meaning of Sariyyah?,A poetess,A famous Arabian saint,A battle not attended by the Holy Prophet (PBUH),None of these,C
173,Name the brother of Hazrat Yousaf (A.S.) to whom Hazrat Yousaf (A.S.) disclosed that he was his lost brother.,Hazrat Daniyal (A.S.),Hazrat Luqman (A.S.),Hazrat Binyamin (A.S.),Hazrat Dhul-Qarnayn (A.S.),C
174,"Who was a famous historian, jurist, philosopher, and politician?",Shams-ud-din Ibn Khallikan,Abd al-Rahman Ibn Khaldun,Abu Bakr Muhammad ibn Yahya,None of these,B
175,"The ""Nasiriyya,"" a Sufi order and zawiya in Tamegroute, is a famous center of learning in:",Tunisia,Algeria,Libya,Morocco,D
176,Which paternal uncle of Muhammad (PBUH) died before Prophethood?,Hazrat Abu Talib,Hazrat Ali (R.A.),Hazrat Zubair (R.A.),None of these,D
177,Fatwa Qazi Khan is an authoritative text in which school of Fiqh?,Fiqh Hanbali,Fiqh Maliki,Fiqh Shafi'i,Fiqh Hanafi,D
178,Who is called Umar-e-Sani?,Hazrat Umar bin Abdullah,Hazrat Umar bin Khattab,Hazrat Abdullah bin Umar,Hazrat Umar bin Abdul Aziz,D
179,What was the name of the slave of Hazrat Khadijah who travelled to Syria with the Holy Prophet (PBUH)?,Abu Quhafah,Maysarah,Zayd,Bilal,B
180,Where was Hazrat Yousaf (A.S.) settled?,Syria,Egypt,Palestine,Israel,B
181,The Holy Prophet (SAW) mentioned as the Last Prophet in which Surah of the Holy Quran?,Surah Ahzab,Surah Muhammad,Surah Al Imran,Surah Al Baqarah,A
182,Who was killed by Hazrat Hamza in the Battle of Badr?,Utbah bin Rabi'ah,Shaibah,Abu Jahl,None of these,A
183,Munh bolay betay ka zikr Quran Pak ki kis Surah mein aaya hai?,Surah Al-Ahzab,Surah Al-Baqarah,Surah Quraish,In mein se koi nahi,A
184,Who was the Prophet's deputy in Madinah during the Tabuk expedition?,Ali (RA),Umar (RA),Abu Bakr (RA),Uthman (RA),A
185,How many heads of Zakat are mentioned in the Holy Quran?,5,7,8,10,C
186,"The legal concept of ""Shura"" emphasizes the importance of:",Consultation in governance,Obedience to the ruler,Hereditary succession,Military strength,A
187,"Who was the first person appointed as ""Amir-ul-Hajj"" (Leader of the Pilgrimage)?",Abu Bakr (RA),Ali (RA),Uthman (RA),Umar (RA),A
188,Hazrat Usman (R.A.) ruled for,"4 years, 3 months","10 years, 5 months",12 years,None of these,C
189,What is the most important rite of Hajj after the Wuquf at Arafat?,Sa'i,Tawaf al-Ifadah,Rami,Sacrifice,B
190,Name the son of Hazrat Ismail (AS) who stayed in Hijaz:,Qedar,Azabil,Manshi,None of these,A
191,Who led the funeral prayer of Hazrat Abu Bakr (RA)?,Hazrat Abdur Rahman bin Abu Bakr,Hazrat Umar (RA),Hazrat Sa'd bin Abi Waqqas (RA),None of these,B
192,What is Fiqh?,The science of Islamic Law,The science of the Qur'an,The science of the Sunnah,None of them,A
193,Who recited the first Adhan in the Ka'batullah?,Hazrat Zayd ibn Harithah (R.A.),Hazrat Abu Dujana (R.A.),Hazrat Bilal (R.A.),Hazrat Umar (R.A.),C
194,How long did Prophet Muhammad (PBUH) receive the revelation of the Qur'an in Madinah?,10 years,8 years,11 years,7 years,A
195,What was the relation between Prophet Isma'il (A.S.) and Prophet Ishaq (A.S.)?,Father-Son,Brothers,Grandfather and Grandson,None of these,B
196,The interval between the first and the second revelation was:,2 years and six months,3 years and six months,1 year and six months,Six months,A
197,What type of location is Badr?,A village,A valley,A mountain,An island,B
198,When did the five prayers become Farz?,in the 12th Nabvi,in the 10th Nabvi,in the 13th Nabvi,in the 11th Nabvi,B
199,Makkah was also called:,Ummul Qura,Baladul Ameen,Bakkah,All of these,D
200,"The ""Sultanate of Malacca"" was a key center for the spread of Islam in which region?",East Africa,West Africa,Southeast Asia (Malay Archipelago),The Balkans,C
201,Where was Hazrat Ishaq buried?,Makkah,Medina,Hebron,Cairo,C
202,Which companions stood guard to protect Uthman (RA) during the siege of his house?,All companions,A group of companions,Only Ali (RA),None,B
203,Which of the following was the first Commander-in-Chief of the Islamic Army?,Hazrat Ali (R.A.),Hazrat Hamza (R.A.),Hazrat Umar (R.A.),Hazrat Usman (R.A.),B
204,In which year was Sadaqat-ul-Fitr (Fitrana) made obligatory?,In 2 AH,In 3 AH,In 4 AH,In 5 AH,A
205,"What is the meaning of the name of Muhammad (PBUH), ""Nazir""?",The Warner,The Leader,The Messenger,None of these,A
206,"In the Islamic political system, the concept of sovereignty belongs to:",Parliament,Majlis-e-Shoora,The Khalifa,None of these,D
207,"In which year after Hijrah was the commandment to change the Qiblah revealed, directing Muslims to pray towards the Kaaba in Mecca instead of Jerusalem?",1 Hijri,2 Hijri,3 Hijri,4 Hijri,B
208,In which fort did the powerful Jewish warrior Marhab reside during the Battle of Khyber?,The Fort of Na'im,The Fort of Zubayr,The Fort of Abi,The Fort of Zanar,A
209,The splitting of the moon occurred in:,Arafat,Mina,Muzdalifah,Haram-e-Pak,B
210,Which wife of the Holy Prophet (SAW) was a great scholar?,Hazrat Khadija (RA),Hazrat Ayesha (RA),Hazrat Umm Salma (RA),None of these,B
211,Hazrat Muhammad ne rehlat se qabl konsi namaz ki imamat karwayi?,Namaz Zuhr,Namaz Asr,Namaz Maghrib,Namaz Isha,C
212,Which angel is in charge of bringing rain and sustenance by Allah's command?,Jibra'il (AS),Izra'il (AS),Israfil (AS),Mika'il (AS),D
213,Approximately how many miles from Makkah is Arafat located?,Seven mi,Nine mi,Twelve mi,Ten mi,B
214,Whom did the Prophet (SAW) marry in the 4th Hijri year?,Zaynab,Maria,Maymunah,None of these,D
215,The Abbasid Caliphate made which city its capital?,Damascus,Baghdad,Cairo,Kufa,B
216,Who was the commander of infidels in the battle of Ditch (Khandaq)?,Abu Sufyan,Abu Jahl,Abu Lahb,Utba,A
217,The Hadith comprising the wording of Allah is called?,Taqriri,Qawli,Qudsi,None of these,C
218,"How many times has the name ""Muhammad"" (PBUH) been mentioned in the Quran?",Two times,Four times,Six times,Seven times,B
219,"The term ""Ahl al-Sunnah wa al-Jama'ah"" was consolidated to differentiate from groups like the Shia and:",Sufis,Hanafis,Malikis,Kharijites,D
