Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
118,An optical disk is an electronic data storage medium that can be written to and read from using a ______ beam.,high-powered laser,low-powered laser,medium-powered laser,None of these,B
119,To edit an embedded Excel worksheet object in a Word document:,Use the Excel menu bar and toolbars inside the Word application.,Edit the hyperlink.,Edit the data in the Excel source application.,Use the Word menu bar and toolbar.,A
120,What is the shortcut key to extend your current selection by one word to the left?,Alt+Shift+Left Arrow,Ctrl+Shift+Up Arrow,Ctrl+Shift+Left Arrow,Alt+Ctrl+Left Arrow,C
121,Which command is used to establish a link between a source document and a destination document?,"Tools, Link, Documents","Tools, Link","Edit, Link","Edit, Paste Special",D
122,"Which statement describes ""Hackers""?",All have the same motive,Break into other people's computers,May legally break into computers as long as they do not do any damage,Are people who are allergic to computers,B
123,Which shortcut key is used to insert a new slide in PowerPoint presentation?,Ctrl + S,Ctrl + M,Ctrl + N,Ctrl + B,B
124,"If a formula references a cell that contains text instead of a numerical value, then what error does Excel display?",'#VALUE!,'#NUM!,'#REF!,None of these,A
125,Who is the father of computer networking?,Ray Noorda,Vint Cerf,Google,Novell,B
126,The header and footer command are located on the Insert tab in Ms Word.,Home,Insert,View,Header,B
127,Which key is typically pressed to finalize text entry in a spreadsheet cell?,Enter,Tab,Space,None of these,A
128,Ctrl+PageDown is used to:,Move the cursor one paragraph down,Move the cursor one page down,Move the cursor one line down,Move the cursor one screen down,B
129,Which of the following is a storage device?,Tape,Hard disk,Floppy disk,All of the above,D
130,Ctrl + E Shortcut key is used in Ms Word to:,Exit Application,Select All,Clear All,Align Center,D
131,Which of the following statements is not true?,"Holding down the Shift key while you draw an object creates perfect squares, circles and straight lines",The text in a text box can't be formatted,"The drawing toolbar contains tools for drawing shapes, lines, arrows, and more",Ctrl+S saves the document,B
132,In the topology computer is directly linked to a centre computer:,Bus,Node,Star,Ring,A
133,Which key is used to check spelling mistakes?,Ctrl+F7,F7,F9,None of these,B
134,From which menu can you insert Header and Footer:,Insert menu,View menu,Format menu,Tools menu,A
135,Word has Web authoring tools that allow you to incorporate hyperlinks on Web pages.,Bullets,Hyperlinks,Sounds,All of the above,D
136,Which of the following is not one of PowerPoint's views?,Outline view,Slide sorter,Slide show view,Normal,D
137,Which of the following is not a way to cut text?,Select the text and press the delete button,"Select the text and select Edit, Cut from the menu",Select the text and click the Cut button on the toolbar,Select the text and press Ctrl + X,A
138,Loading an Operating System in a Personal Computer is called:,Processing,Installation,Booting,None of these,C
139,Which of the following are system tools?,Backup,Disk defragment,Virus scanning,All of these,D
140,Microsoft word is application software.,Application,Compiler,System,Programming,A
141,Which protocol provides an e-mail facility among different hosts?,TELNET,SNMP,SMTP,None of these,C
142,"In Microsoft Word, the shortcut key CTRL+W is used for:",Open the Print dialog box,Update the current Web page,Close the current window,None of these,C
143,"In MS-Word, to insert a mathematical sign we use the option:",Symbol,Objects,Shape,Equation,D
144,Which option in PowerPoint allows you to carry slides from one computer to another?,Save As,Save and Go,Pack and Go,Web and Go,C
145,What is the full form of Wi-Fi?,Wireless Fidelity,Wired Fidelity,Wireless Focus,Wireless Field,A
146,One MB (Megabyte) is equal to:,1024 Byte,1024 Kilobytes,1000 Bits,1024 Gigabyte,B
147,"In MS Excel, the function to return one value if a condition is true and another value if it's false is:",IF function,SUM function,DECIMAL function,INFO function,A
148,Which character is used before a fraction in MS Excel so that data is not read as a date?,@,"Space (e.g., 0 1/2)",#,*,B
149,Google+ was presented as an alternative to which of the following websites?,Facebook,Amazon,Flickr,Bing,A
150,"In MS Word, a character that is raised and is smaller above the baseline is called:",Outline,Raised,Superscript,Subscript,C
151,Microsoft Word is ______ software.,System,Application,Programming,Built-in,B
152,"In banks, data check on cheques is read by the following device:",OCR,OMR,MICR,None of these,C
153,The hanging indent marker indents all the lines of a paragraph except the first line in Ms Word.,First Line Indent Marker,Hanging Indent Marker,Left Indent Marker,Right Indent Marker,B
154,Programs that duplicate the functionality of one system on another system is known as:,Emulators,Simulators,Evaluator,PCB,A
155,"""Ctrl + Delete"" Shortcut key is used in Ms Word to:",Delete the word just after the cursor,Delete the word just before the cursor,Delete the single letter just after the cursor,Delete the single letter just before the cursor,A
156,You can use the format painter multiple times before you turn it off by ____.,You can use the format painter button only one time when you click it,Double-clicking the format painter button,Pressing the Ctrl key and clicking the format painter button,None of these,B
157,The circular device used for storage is often referred to as a:,Motherboard,Disk,RAM,ROM,B
158,A combination of two or more topologies are called:,Hybrid,Star,Bus,Ring,A
159,A wireless technology built-in electronic gadgets used for exchanging data over short distances is:,Bluetooth,Modem,Wi-Fi,USB,A
160,BCC stands for:,Binary Common Copy,Basic Carbon Copy,Blind Carbon Copy,Business Common Copy,C
161,Microsoft Office is an example of a:,Horizontal market software,Open source software,Vertical market software,Closed source software,A
162,Cookies are used to identify a user who returns to a Website.,Cookies,Plug-ins,Scripts,ASPS,A
163,"Who invented the high-level language ""C""?",Dennis M Ritchie,Niklaus Writh,Seymour Papert,Donald Kunth,A
164,Latency time is ____.,Time to spin data under sector,Time to spin the needed data under head,Time to spin the needed data under track,All of these,B
165,"The shortcut to quit Microsoft Word, PowerPoint, Access, Excel, etc. is:",Alt + F4,Ctrl + W,Shift + F4,Alt + W,A
166,"A repository for data, usually covering a specific topic, is:",Database,Data requisition,Databank,None of these,A
167,When was MS Word launched?,1983,1980,1979,None of these,A
168,"Cloud Computing is a type of computing that performs computation, storage and even applications as a service across a network.",Cloud Computing,Distributed Computing,Parallel Computing,Virtual Computing,A
169,The title page of a Microsoft Word document is often created using a feature called:,Start page,Cover page,Front page,None of these,B
170,What lets you create a new presentation by selecting ready-made font colors and graphic effects in PowerPoint?,Presentation Template,Master Slide,Design Template,Animation Scheme,C
171,Which of the following combination of keys is used to close the active window?,CTRL + F1,CTRL + F2,CTRL + F3,CTRL + F4,D
172,Disk Defragmenter is a windows utility program that locates and eliminates unnecessary fragments and rearranges filed and unused disk space to optimize operations.,Backup,Disk cleanup,Disk Defragmenter,Restore,C
173,The network is overloaded with enormous data sent by many computers within the network. The inability of the network to deliver the data is termed as:,Access control,Congestion,Error propagation,Deadlock,B
174,Which shortcut key is used to select the whole document in MS Word?,Ctrl+A,Ctrl+H,Ctrl+T,Ctrl+Q,A
175,"Although it is not shown in normal view, to view a header, click View on the menu bar and then click Header and Footer.",View,Edit,Format,Tools,A
176,"In MS Word 2016, which of the following shortcut keys is used to use paste special?",CTRL + ALT + V,CTRL + V,CTRL + TAB + V,ALT + V,A
177,Which shortcut key is used to move the cursor one Page Down:,Ctrl + PageDown,PageDown,Shift + PageDown,Alt + PageDown,B
178,Which program runs first after the computer is booted and loading the GUI?,Desktop Manager,File Manager,Windows Explorer,Authentication,D
179,The hardware parts of a computer are:,Firmware components,Physical components,Logical components,All of these,B
180,1GB is equal to 1 billion bytes.,1 million bytes,1 trillion bytes,1 billion bytes,None of these,C
181,"Which of the following buttons will allow you to add, delete, or change records in your Data Source?",'Data Source' button,'Edit' button,'Edit Data Source' button,'Data Editing' button,C
182,"When you save a file as a Web page, Word converts the contents of the document into:",Java,Perl,HTML,Unix,C
183,RAM is also known as:,Read Only Memory,Programmable Read Only Memory,Read-Write Memory,Erasable Programmable Read Only Memory,C
184,Which of the following shortcut keys is used to select the whole document?,Ctrl + C,Ctrl + V,Ctrl + A,Ctrl + S,C
185,Excel is a program that is used to prepare a:,Database,Text document,Spreadsheet,Workbook,C
186,Shortcut key for page break in MS Word is:,Ctrl+Enter,Shift+Enter,Alt+Enter,None of these,A
187,The Illustrations group is in which tab?,Insert,Page layout,Home,All of these,A
188,MS Access is used for ____.,Create web pages,Tool development,Data table,None of these,C
189,"A program with a graphical user interface for displaying HTML files, used to navigate the World Wide Web, is a:",Search engine,Web browser,Comment,None of These,B
190,An Excel workbook is a collection of _______.,Worksheets & Charts,Slides,Pages,Documents,A
191,"'In Microsoft Windows 7, _ can give you information about weather:",File,Gadgets,Windows Explorer,Both A and B,B
192,KB stands for:,Kernel Boot,Kit Bit,Kilo Byte,Key Block,C
193,The hardware or software used to stop unwanted network traffic information is:,Firewall,Gateway,Virus checker,Router,A
194,"To write 2 in x² in Word, we use the key combination:",CTRL+SHIFT+=,CTRL+SHIFT+_,CTRL+SHIFT++,None of these,A
195,Which shortcut is used to save the document?,Ctrl+A,Ctrl+S,Ctrl+B,Ctrl+I,B
196,Which one is an action tab in MS PowerPoint?,Home,End,Help,All of these,A
197,Which of the following is not a font style?,Bold,Italic,Regular,Superscript,D
198,"In MS-Excel, the short cut key is used for hiding rows is:",Ctrl+H,Ctrl+7,Ctrl+9,None of these,C
199,Ctrl + H Shortcut key is used in Microsoft Word to:,Open Find and Replace Dialog box with activating Replace Tab,Open Format Dialog box activating Insert Hyper Link tab,Open Insert Dialog box activating Insert Hyper Link Tab,Open Insert Hyper Link Dialog box,A
200,"With a Graphical User Interface, users interact with menus and visual images such as icons, buttons, and other objects to issue commands.",Command-Line Interface,Menu-Driven Interface,Graphical User Interface,Performance-Monitor Interface,C
201,Which one is a digital device? Select from the choices below.,Digital Clock,Automobile analog speed meter,Clock with a dial and two hands,All of them,A
202,Ctrl+S Shortcut key is used in Ms Word to:,Scenarios,Size,Save,Spelling Check,A
203,"The purpose of ____ is to act as a holding area, enabling the CPU to manipulate data before transferring it to a device.",ROM,Compiler,Buffer,Tabulator,C
204,In which type of language is a source program typically written?,English,Symbolic language,High-level language,None of these,C
205,The orientation of the page in MS Word can be changed from:,Design tab,Layout tab,Insert tab,View tab,B
206,API stands for:,Algorithmic Protocol Interface,Application programming Interface,Adapter Protocol Interface,Accelerated Programming Interface,B
207,In which language is the source program written?,English,Symbolic,High level,None of these,C
208,The language used for artificial intelligence is:,Cobol,Lisp,Assembly,Fortran,B
209,There are 52 cards in a standard deck of cards.,46,44,52,56,C
210,Digital computers operate essentially by counting.,Portable computer,Hybrid computer,Analog computer,Digital computer,D
211,The physical part of a computer is called:,Hardware,Software,CPU,None of these,A
212,"Ctrl, Shift and Alt are called modifier keys.",Alphanumeric,Function,Modifier,None of These,C
213,Which of these keys are used in ms excel to insert the current time in a workbook?,Ctrl + Shift + ;,Ctrl+!,Ctrl+*,None of these,A
214,An application program that allows a user to set page numbers and spell-check a document is known as:,Notepad application,WordPad,Email application,Word Processor,D
215,"In MS Word, the shortcut key for Split a window or remove the split view is:",Alt+Ctrl+S,Ctrl+Alt+V,Ctrl+Alt+O,Ctrl+Alt+N,A
216,Which one is an output device?,Keyboard,Printer,Scanner,None of these,B
217,The transfer of data from one place to another is called:,Data processing,Data distribution,Data communication,Data encryption,C
218,Which key is used for Help in PowerPoint?,F1,F2,F3,None of these,A
219,"What is the name given to those applications that combine text, sound, graphics, motion video, and/or animation?",Motionware,Anigraphics,Videoscapes,Multimedia,D
220,Computer crime is defined as any crime completed through the use of computer technology.,Computer forensic,Computer crime,Hacking,Cracking,B
221,Identify the true statement about a computer.,"Computers are 100 percent accurate but it can suffer from GIGO (Garbage In, Garbage Out)",Computers are reliable because they use an electronic component which has a very low failure rate,A computer is never tired and does not suffer from boredom,All of the above,D
222,From where can you access the Save command in Microsoft Word?,Home tab,Insert tab,Review tab,None of above,D
223,Window key + E:,Windows Explorer,Utility Manager,Show Desktop (toggle),Run,A
224,Which among these ensures the authentication of an email?,Password,Encryption,Digital signature,Spam alert,C
225,"In computing, what does BIOS stand for?",Basic 'Input/Output System,Binary 'Input/Output System,Basic 'Internet/Output System,Broad 'Internet/Output System,A
226,Which of the following will happen when data is entered into a memory location?,It will erase the previous content,It will change the address of one memory location,It will add to the content of solution,None of these,A
227,What type of connection would be used to connect a printer directly to a network?,USB,Serial,Firewire,Ethernet cable,D
228,The Clipboard in Home is used for?,Cut and paste,Copy and paste,Storage of letters,None of these,B
229,Which Act for the first time made it possible for Indians to take some share in the administration of their country:,Indian Councils Act 1861,Indian Councils Act 1909,Government of India Act 1935,None of these,A
230,The _____ option is used to save automatically after 10 minutes in MS Word.,Instant recover,AutoRecover,Save draft,None of these,B
231,Animation means:,Updating images,Displaying a sequence of static images rapidly to create the illusion of movement,Accelerated static images,None of these,B
232,The primary function of the BIOS is to set up the hardware and load and start an operating system.,System Programs,BIOS,CPU,Memory,B
233,______ occurs when a person sends a message (or many messages) with angry or antagonistic content.,Flaming,Phishing,Email bankruptcy,Email fatigue,A
234,Which among the following is a software application?,Assembler,Compiler,Operating system,Microsoft Office,D
235,How many different documents can you open at one time?,Not more than three,Only one,As many as your computer memory will hold,As many as your taskbar can display,C
236,"To move to the previous cell in a table inserted in a document, press:",The Tab key,Alt + Tab,Shift + Tab,Backspace,C
237,_____ developed the idea for the Universal Turing Machine which became the basis for the first computer?,Bill Gates,Alan Turing,Charles Babbage,None of these,B
238,What is the purpose of inserting a header and footer in a document?,To enhance the overall appearance of the document,To mark the starting and ending of a page,To make a large document more readable,To allow page headers and footers to appear on the document when printed,D
239,A Kilobyte is equal to:,10000 bytes,1024 bytes,1 million bytes,10 million bytes,B
240,File Management is the responsibility of the:,Task Manager,RAM,BIOS,Operating system,D
241,"In a computer spreadsheet, the function which is used to count the numbers of entries in a given range is called:",Length,Counter,Counting,Count,C
242,MIS is designed to provide the information needed for effective decision-making by:,Consumers,Workers,Foremen,Managers,D
243,"In Ms Word, when inserting a page number in the footer, it appeared as '1' but you wish to show 'a'. How can you do that?","From the Insert menu, choose Page Number and specify necessary settings","From the format menu, choose bullets and Numbering and configure necessary settings",Click on Page Number Format tool and specify the required setting,All of above,C
244,To start the Microsoft PowerPoint application:,Click on Start > Programs > All Programs > Microsoft PowerPoint,Hit Ctrl + R then type POWERPNT.EXE and Enter,Click Start > Run then type powerpnt then press Enter,All of these,D
245,"What is the shortcut key for ""Clear All formatting"" the selected text?",Ctrl+Del,Ctrl+Enter,Ctrl+Spacebar,Shift+F3,C
246,Who invented the World Wide Web (WWW) with Robert Cailliau?,Laszlo Nestorov,Tom Burns,Tim Berners-Lee,Fred Zuckerberg,C
247,Where is a list of all functions displayed:,Text box,Dialog box,Function box,Category box,C
248,Which one of the following is presentation software?,MS Word,MS Excel,MS PowerPoint,None of these,C
249,How many pins in DDR3 Memory?,240,128,195,228,A
250,Which shortcut key is used for selecting the whole document?,Ctrl+A,Ctrl+B,Ctrl+C,Ctrl+D,A
251,Which option in MS Word enables the user to send the same letter to different recipients?,Macros,Indent,Template,Mail merge,D
252,Which of the following will not advance the slides in a slide show view?,The esc key,The space bar,The enter key,The mouse button,A
253,"'ALU is a component of a processor, which consists of:",AU (Arithmetic Unit),LU (Logic Unit),Both A and B,None of these,C
254,BIOS stands for:,Basic input output system,Binary input output system,Basic input off system,All of above,A
255,MS Excel is generally used for:,Information,Organizing data,Database,None of these,B
256,Which of the following keystrokes updates a bibliography field?,F3,F5,F7,F9,D
257,"If you need to hide some paragraphs, how can you do it in Ms Word?",From the Paragraph dialog box,From the Font dialog box,From the Options Dialog box,None of above,B
258,"In MS Excel, you can use the horizontal and vertical scroll bars to:",Split a worksheet into two panes,View different rows and columns,Edit the contents of a cell,View different worksheets,B
259,Ctrl + N Shortcut key is used in Ms Word to:,Save Document,Open Document,New Document,Close Document,C
260,Which of the following sections does not exist in a slide layout?,Charts,Animations,Lists,None of these,B
261,One way to open the Help menu quickly is to press this shortcut key:,F6,F2,F12,F1,D
262,Numeric pad is present in:,Keyboard,Mouse,Joystick,All of these,A
263,Where are data and programs stored when the processor uses them?,Main memory,Secondary memory,Disk memory,Programme memory,A
264,Which function key is used for opening Help?,F1,F2,F3,F4,A
265,Which key is used to refresh the current window?,F1,F3,F5,F7,C
266,CPU is an example of:,Software,Hardware,Output unit,Program,B
