Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
109,John Stuart Mill's On Liberty gives support to the ____________ feminist argument related with abortion.,Suicide,Killing,involuntary euthanasia,Assisting suicide,A
110,Corporate codes of ethics:,are always externally audited,create guidelines for employees to work by,are always compliance based,none of these,B
111,An important section of a business plan is:,The Financials,The Executive Summary,Management & Organization,Operations,B
112,The two-factor theory of Motivation was developed by Herzberg.,a.h.maslow,douglas mc. gregor,herzberg,none of these,C
113,"According to Kant, what is the main problem with the golden rule?",It depends on desires,Culture to culture,People to people,State to state,A
114,Which among the following are advantages of managing business ethics in the workplace?,cultivate strong team work and productivity,avoid criminal acts,lower fines,all of these,A
115,____________ is an effective desire.,Will,wish,Motive,Conduct,B
116,"According to functional foremanship, the speed boss, inspector, foreman and gang boss are entrusted with the doing aspect of work.",planning,organizing,doing,none of these,B
117,The term Good is connected with the German term:,goto,gutte,gud,gut,D
118,Bentham recognizes moral obligation to pursue general happiness by:,The external sanctions only,The internal sanction only,Neither external nor internal sanctions,Both the external sanctions and internal sanctions of consciousness,A
119,Training is the act of increasing the knowledge and skills of an employee for doing a job.,training,induction,absorption,none of these,B
120,Which ethical theory emphasizes the importance of developing good habits and character traits?,The principle of beneficence,The principle of non-maleficence,The principle of autonomy,The principle of veracity,D
121,Responsibility is the obligation of a subordinate to perform the duty assigned by his superior.,authority,responsibility,division of labour,none of these,A
122,Dr. Jack Kevorkian built a ____________.,Assisted suicide,Suicide machine,Murder,None of these,B
123,The word 'Ethics' is derived from the Greek adjective,ethikos,mores,rectus,psych,A
124,Which of the following is not one of the four main principles of medical ethics?,The principle of beneficence,The principle of non-maleficence,The principle of autonomy,The principle of veracity,D
125,Scientific management is the art of knowing exactly what you want men to do and then seeing that how they do it in the best and cheapest way.,general management,scientific management,administration,none of these,C
126,Values related to non-violence is:,tolerance,happiness,optimism,none of these,A
127,Knowing one's self' is the real ____________ formation.,Integral,Mutual,Spiritual,Physical,C
128,"The individuals who raise ethical concerns to others, inside or outside the organization are known as:",Entrepreneur,Whistle blowers,Social entrepreneur,None of these,B
129,"The basic object of the Right to Information Act is to empower the citizens, to promote transparency and accountability in the working of the Government.",transparency and accountability,honesty and integrity,fairness and justice,none of these,B
130,The conditions referred to as 'safe exit' is/are:,loss of senses,loss of earning capability,loss of voluntary activities,none of the these,B
131,How should your Statement of Mission describe your company?,Commitment to quality,Service and customer relationship,Price positioning,All of the above,D
132,Stockholders have a concern for:,Financial return,Make profits,Encourage business,None of these,A
133,Which ethical principle requires individuals to keep their promises and commitments?,The principle of beneficence,The principle of non-maleficence,The principle of autonomy,The principle of veracity,D
134,It has been estimated that about ____________ each year result from euthanasia in the Netherlands.,Deliberately,Passively,2300,None of these,C
135,"According to Mill, pleasures differ from one another in:",Quantity,Quality,Utility,time,B
136,Maslow's theory of motivation is:,theory x and y,two factor theory,achievement theory,none of these,C
137,Which theory is against Capital Punishment?,Deterrent,Retributive,Reformative,All of these,B
138,Who is insisting that the development from the embryo to the infants is a gradual process?,Assisted suicide,Suicide,Liberal,None of these,C
139,"According to Hedonism, hedone or ____________ is the ultimate standard of morality.",Pleasure,Will,Good will,reason,A
140,____________ is the acquired habit of controlling the natural instincts and impulses in order to realize definitely conceived ends.,Character,Conduct,Wish,Desire,A
141,Most companies begin the process of establishing organizational ethics programs by developing:,ethics training programs,codes of conduct,ethics enforcement mechanisms,hidden agendas,B
142,A thing is generally said to be good when it is valuable for:,some end.,some practice,some action,some facts,A
143,"The basic rule of professionalism is ""not knowingly to do ____________.""",bad,harm,right,right and wrong,D
144,What is Ethics to do with?,The wider community,Business,Right and wrong,none of these,C
145,The concept of Corporate Social Responsibility originated in which time period?,1920's and 1930's,19th Century,1980's and 1990's,1960's and 1970's,D
146,Public interest is safeguarded by Article 19(2) which lays down reasonable limitations to the freedom of expression.,article 21,article 19(2),article 25,article 19 (1)(a),A
147,"The author of the famous book ""General and Industrial Management"" is Henry Fayol.",henry fayol,f.w. taylor,henry gantt,none of these,C
148,"According to ____________ hedonism, all pleasures are alike in kind; they differ only in intensity or degree; there is no qualitative difference among them.",Altruistic,Egoistic,Gross Egoistic,Refined Egoistic,C
149,What is this said when social criteria are applied to investment decisions?,Principled,Conventional,Pre conventional,None of these,A
150,"""The greatest happiness of the greatest number"" is the dictum of ____________ hedonism.",egoistic,psychological,universalistic,all these,C
151,____________ is the modern term used to indicate the name of 'good' traditionally.,Principles in life,Communion with God,Value,Free man,C
152,The conservative is insisting that the development from the embryo to the infant is a:,Continuous process,Voluntary euthanasia,Passive euthanasia,Active euthanasia,A
153,Values related to truth is:,attention,accuracy,empathy,none of these,C
154,"Better access to certain markets, differentiation of products, and the sale of pollution- control technology are ways in which better environmental performance can:",increase revenue,increase costs,decrease revenue,decrease costs,A
155,"The Book ""Functions of Executive"" was written by:",p.f. drucker,chester barnard,herbert simon,none of these,B
156,Not forcing your own personal opinions on the news is:,fairness,objectivity,neutrality,all of these,A
157,An ethical dilemma is:,where a decision is required but different values seem to conflict and it is not possible to uphold both,where the required course of action is clear,any situation where a decision has to be made,None of the above,D
158,"Productivity work ethic is important because when you are at work, you are expected to perform your duties without wasting time or getting paid for doing very little.",loyalty,organizational skills,productivity,none of these,B
159,The only thing that is good without qualification or restriction is a:,Good will,Imperative,Categorical Imperative,Hypothetical Imperative,A
160,"The engineer as a savior saves society from poverty, illiteracy, wastage, inefficiency, ill health.",guardian,bureaucratic servant,savior,none of these,D
161,"If human actions are completely determined by ____________, it is not free will.",reason,moral imperative,circumstances,All these,C
162,Publishing wrong information on the Internet is:,an issue of Computer ethics,an issue of Morality,an issue of Computer equity,None of these,D
163,Scalar chain is defined as a chain of superiors ranging from the ultimate authority to the lowest ranks.,structure,scalar chain,both of these,none of these,D
164,Who claim that 'abortion is the deliberate killing of an innocent human being'?,Denmark,America,Michigan,Netherlands,C
165,"____________ means that the participant's identity, although known to the researcher, is not revealed to anyone outside of the research team.",Confidentiality,Organizational culture,Code of ethics,All of the above,A
166,"The moral minimum that corporations must meet is ""do no harm"".",moral obligation,moral minimum,moral requirement,none of these,C
167,A mission statement sets out the purpose and general direction for the organization.,Mission statement,Purpose statement,Vision,none of these,B
168,Which of the following is NOT a potential ethical concern related to AI?,Bias in algorithms,Privacy concerns,Security risks,AI surpassing human intelligence,D
169,Which moral philosophy seeks the greatest good for the greatest number of people?,Consequentialism,Utilitarianism,Egoism,Ethical formalism,B
170,"In many jurisdictions, ____________ can be considered manslaughter.",Negligent homicide,Reckless driving,Active euthanasia,None of these,D
171,Which of the following is a basic definition of ethics?,moral guidelines for behaviour,rules for acknowledging the spirit of the law,rules or principles that define right and wrong conduct,none of these,D
172,Ethics is a normative science.,pure science,normative science,inexact science,none of these,D
173,Social Darwinism refers to the position of:,Kant,J. S. Mill,Bentham,Spencer,A
174,The contingency school of thought has developed on the idea that there is no single best method to find solutions to managerial problems.,empirical,management science,contingency,system,A
175,Perfection or self-realization is the ____________ of moral evolution.,beginning,content,law,ideal,C
176,The adjustment of internal relations to external relations is the basic postulate of the ethical theory of:,Kant,J. S. Mill,Bentham,Spencer,A
177,"Wisdom (prudence), courage (fortitude), temperance, and justice are:",cardinal virtues,proficiency virtues,team-work virtues,none of these,C
178,Ethics is the science of:,beauty,truth,conduct,mind,C
179,The word MBO stands for:,management by organisation,management by operation,management by objectives,none of these,B
180,"According to Kantian ethics, the most important consideration in making ethical decisions is:",Deontological,Utilitarian,Virtue ethics,Egalitarian,A
181,Applying social criteria to an investment decision refers to:,socioeconomic view,social responsiveness,social responsibility,social screening,C
182,'Character' refers to the complete system constituted by the acts of ____________ of,particular kind. Ethics,Sociology,Physics,Biology,C
183,The feature that is NOT present in business ethics is:,It has universal application.,It is absolute in nature.,It depends from business to business.,It cannot be enforced by law.,B
184,Peter F. Drucker developed MBO.,henry fayol,rensis likert,michael porter,peter f drucker,D
185,Which ethical principle emphasizes the importance of respecting a person's right to make their own decisions?,Virtue ethics,Deontological ethics,Utilitarianism,Ethics of care,C
186,Universalistic hedonism is also called:,ethical hedonism,psychological hedonism,utilitarianism,egoistic hedonism,C
187,Fundamental theories of the Indian Model include:,purushartha theory,panchakosas theory,theory of gunas,all of these,C
188,"Honesty is a virtue, and it is exhibited in which aspects:",truthfulness,happiness,awareness,none of these,D
189,A factor that affects ethical and unethical behavior is:,Ethical dilemma,Diversity,Teamwork,Open communication,A
190,Ethics is concerned with principles and practices of morals.,ethics,principles,virtues,none of these,D
191,"Peter Singer posited what as the criterion for an anti-abortion stance, instead of the criteria of being a Homo sapiens?",intellect,quickening,birth,consciousness,D
192,The progress of human consciousness is the fact of:,Yes,No,Not yet,Of course,C
193,The introduction of computers in the decision-making process contributed a lot in popularizing the management science approach in management.,empirical,management science,contingency,operational,B
194,"Which act provides sweeping new legal protection for employees who report possible securities fraud, making it unlawful for companies to ""discharge, demote, suspend, threaten, harass, or in any other manner discriminate against"" them?",Sarbanes-Oxley Act of 2002,Foreign Corruption Act,Economic Espionage Act,none of these,D
195,What is the branch of ethics concerned with the study of moral principles and values in healthcare?,Deontological,Utilitarian,Virtue ethics,Bioethics,D
196,Induction is the process of inducting an employee into the social set-up of work.,placement,induction,absorption,none of these,D
197,"Kant says, we are autonomous when we act according to:",Duty,Feeling,Pleasure,inclination,A
198,"A code of conduct is a written document, inspirational in contents and specify clearly what is acceptable or unacceptable behavior at workplace and beyond, when the employees represent their organizations outside.",code of conduct,business ethics,all of these,none of these,D
199,"It is always important to respect yourself, others, and the place where you work.",appearance,cooperate,communicate,respect,D
200,Bentham holds that the only standard of valuation of pleasures is:,Quanlitative,Quantitative,both a and b,neither a nor b,B
201,Which of the following best describes the ethical theory of Utilitarianism?,Actions are moral if they follow universal ethical principles,Actions are moral if they promote the greatest good for the greatest number,Actions are moral if they are in line with one's personal beliefs and values,Actions are moral if they are based on one's duties and obligations,B
202,The moral law is a:,Categorical Imperative,Hypothetical Imperative,Disjunctive,All of these,A
203,What is the period of business called when an entrepreneur should position the venture in a market and make required adjustments to assure survival?,pre-Startup stage,Startup stage,any gromh stage,None of these,D
204,Which of the following is necessary in obtaining informed consent?,Full information,Startup Yatra Funds,Startup stage,None of these,D
205,Integrity is the ability to commit to doing what is right no matter the situation.,dedication,drive,devotion,none of these,D
206,Planning premises are certain assumptions about the future on the basis of which the plan will be formulated.,programmes,planning premises,planning issues,none of these,D
207,It is important to be at work attendance every day and on time unless you are sick or have a family emergency.,appearance,attendance,attitude,respect,C
208,Having reliability means you can be trusted to do what you are expected to do at work.,responsibility,respect,teamwork,none of these,D
209,"S 292 AND S 293, IPC:",obscenity,sedition,defamation,none of the these,A
210,First Philosophy' refers to:,Aesthetics,Metaphysics,Epistemology,Ethics,B
211,The autocratic manipulator who makes employees feel like they are part of the decision-making process even though the manager made the decision. Theory X is the name McGregor gives this style.,authoritarian,participative,free rein,none of these,D
212,Controlling is the process of comparing actual performance with the standard and taking corrective action.,controlling,management,planning,none of these,D
213,The principles approach to formal corporate ethics initiatives is proactive and inspirational.,Rules,Compliance,Principles,Values,D
214,'My station and its duties' is the concept of:,hegel,f h bradley,moore,ross,A
215,"When a firm charges different prices to different groups of customers, it may be accused of:",cultural relativism,money laundering,facilitating payments,price discrimination,D
216,____________ theory of punishment is more humanitarian.,Retributive,Reformative,Deterrent,a and b,C
217,Lack of promotion or career development policies or denied promotions are:,attitude,opportunity,resource crunch,over-emphasize,B
218,Fairness of process is classified as:,descriptive justice,procedural justice,distributive justice,severance justice,B
219,Assisting suicide is not against the law in:,Involuntary,Non-voluntary,Voluntary euthanasia,Michigan,D
220,The term Accountability means:,conscientious commitment to live by moral values,being sensitive to the full range of moral values and responsibilities relevant to the prevailing situation,the willingness to develop the skill and put efforts needed to reach the best balance possible among those considerations,none of these,D
221,A manipulative autocrat leader tries to make the subordinates feel that they are actually participating in decision-making even though he had already taken the decision.,participative,free rein,manipulative autocrat,none of these,D
222,Which ethical principle requires acting honestly and truthfully?,Beneficence,Non-maleficence,Autonomy,Veracity,D
223,MBO establishes a:,community of interest,centralized organization,rigid organization structure,none of these,D
224,Anuvratas are the ____________ vows.,neutral,lesser,higher,stronger,C
225,Patents is a contract between the individual (inventor) and the society (all others).,multinational corporation,non-profit corporation,partnership corporation,none of the these,A
226,The Greek term from which ____________ is derived means 'custom or 'habit'.,Morality,Psychology,Education,Ethics,D
227,Locus of control is a personality attribute that measures the degree to which people believe they control their own fate.,locus of control,culture,values,none of these,B
228,"""Disconnect a feeding tube"" is related with:",practical euthanasia,voluntary euthanasia,passive euthanasia,active euthanasia,D
229,Psychology is a ____________ science.,Normative,Positive,Ideal,Metaphysical,B
230,Accountability includes being answerable for meeting specific obligations.,conscientious,commitment,accountability,responsibility,A
231,A fortress culture can be seen in the military.,fortress,club,baseball,academy,A
232,"According to the dictionary, 'Euthanasia' means:",a painless and calm death,a gentle and easy death,a calm and slow death,a good and painless death,A
233,"'The laws prohibiting abortion do not stop abortions, but merely drive them underground.' Who argues this position?",methods,consent,person,illnes,C
234,Informal Communication is also known as Grapevine.,formal,informal,lateral,none of these,A
235,____________ exactly corresponds to character.,Wish,Desire,Intention,Will,D
236,Ethics is the set of principles and guidelines that help us to uphold the things we value. This statement is:,Right,Wrong,Domestic entrepreneurship,None of these,A
237,A craving of an agent for the attainment of an object to relieve some want is:,Will,Desire,Motive,Intension,B
238,The Supreme Court of India came into being in 1950.,1947,1950,1952,none of these,A
239,Self-realization means:,Self-realization,Self-control,Self-knowledge,Self-sacrifice,A
240,IRB is an acronym for which of the following?,Deontological,Ethical skepticism,Utilitarianism,Institutional Review Board,D
241,"The word ""Ethics"" comes from:",ethos,eternity,elementary,none of these,A
242,Which of the following is NOT one of the primary elements of a strong organizational compliance program?,They may be used to reallocate resources,They identify practices that need improvement,Selecting auditors may be difficult,none of these,C
243,Business ethics is primarily concerned with the relationship of business goals and techniques to specifically human ends.,business ethics,code of conduct,all of these,none of these,B
244,Desire and ____________ are frequently used as synonymous.,Kant,T. H. Green,Butler,Sidgwick,B
245,Strong ____________ means you have a high sense of moral and ethical behavior that earns the respect of others.,Cooperation,Confidence,Attitude,Character,D
246,"Truth, Beauty, and ____________ are considered as the principles of philosophy.",fact,goodness,conduct,none of these,B
247,Ethics is:,a part of Science,a part of Philosophy,a part of Psychology,a part of Art,B
248,Which ethical theory emphasizes the importance of maximizing overall happiness or pleasure?,Virtue ethics,Deontology,Utilitarianism,Egoism,C
249,The concept of Job enrichment is a contribution by Frederick Herzberg.,frederick herzberg,f.w.taylor,c.k. prahlad,peter f. drucker,B
250,It seeks to identify and justify the morally-desirable norms or standards that should guide individuals and groups:,normative inquiry,conceptual inquiry,descriptive inquiry,none of these,D
251,A ____________ imperative is always unconditional.,Categorical,Hypothetical,both a and b,Neither A nor B,A
252,Human nature is:,learned,programmed,inherited,none of these,D
253,Non-maleficence is concerned with:,doing good,not intervening,not doing harm,None of the above,C
254,Justice and fairness of a result of a decision is often classified as:,descriptive justice,procedural justice,distributive justice,severance justice,C
255,Which of the following is NOT a principle of medical ethics?,Beneficence,Non-maleficence,Autonomy,Deception,A
256,Which of the three ethics approaches says research ethics should be a matter of the individual's conscience?,Professional responsibility,Fairness and justice,Professional development,None of the above,A
257,Which among the following is NOT Kant's work?,Critique of Pure Reason,Critique of Practical Reason,Ground work of the Metaphysics of Morals,On Liberty,D
258,The scalar chain suggests that each communication going up or coming down must flow through each position in the line of authority.,communication pattern,horizontal communications,scalar chain,none of these,A
259,Business ethics has a universal application.,liberalists,opponents,feminists,none of these,A
260,Ethics deals with:,What is,what ought to be,both a and b,neither a nor b,B
261,A company whose shares are easily transferred is a:,Private company,Public company,Stakeholder company,Legal company,B
262,"When accountability for wrong actions or results is at issue, responsibility means blameworthy.",praiseworthiness,liability,accountability,none of these,C
263,What is this said when social criteria are applied to investment decisions?,Social responsiveness,Ethical obligation,Social screening,None of these,D
