Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
38,Khandhar City is located in __________.,China,Australia,Afghanistan,USA,C
39,Manchester is located in __________.,Uk,Canada,Pakistan,Italy,A
40,The Volga River pours its water into the,Black Sea,Caspian Sea,Baltic Sea,Arabian Sea,B
41,"What is ""Moray""?",Lake,Gulf,Bay,Waterfall,C
42,The currency of Thailand is:,Shilling,Togo,Baht,Peso,C
43,Name the Parliament of the former country Zaire.,Staten,National Legislative Council,Storting,Sejm,B
44,"Who is called ""Father of Comedy""?",Aristophanes,David Copperfield,Mark Jenson,Herman Melville,A
45,Blockchain technology is used in which of the following?,Cryptocurrencies,Cloud computing,Artificial Intelligence,Data storage,A
46,A common place in a village which is used by the community in villages is called:,Pasture,Charagah,Land,None of these,B
47,International Day for Diabetes is observed every year on:,on Dec 01,on Dec 03,on Oct 04,None of the above,D
48,Government by wealthy is termed as:,Oligarchy,Plutocracy,Aristocracy,Pantisocracy,B
49,Uncle Urfi Drama aired in 1972 was scripted by_____________.,Noon Meem Rashid,Anwar Maqsood,Haseena Moeen,Kamal Ahmed Rizvi,C
50,Newfoundland island is situated in __________.,N. Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,A
51,Where is the headquarters of the World Customs Organization (WCO) located.,Paris,Lyon,Brussels,Geneva,C
52,In which river are the Tugela Falls located?,Guaja River,Tugela River,Mardalsfossen Stream,Tysso River,B
53,Ms. Kim Campbell was the first woman prime minister of___________.,France,Germany,Canada,None of these,C
54,"Prior to the 19th century, the Ottoman Empire's main rival was?",Poland,Germany,Russia,None of these,C
55,In which country is the port of Auckland situated?,Egypt,New Zealand,Australia,Iran,B
56,Who discovered Gamma Rays?,Alfred Marshall,Jabir ibn Hayyan,Bohr,Paul Villard,D
57,In which river is the Yosemite Falls located?,Yosemite Creek,Mutarazi,Mongebeck,Tyssa,A
58,Where is Al-Azhar University situated?,Jeddah,Tripoli,Cairo,Damascus,C
59,The Orange River empties into _______.,Pacific Ocean,Mediterranean Sea,Aral Sea,Atlantic Ocean,D
60,The Creation of IOC was inspired by the ancient Olympic Games which were held in________.,France,Germany,Greece,Switzerland,C
61,Estimated average depth of Arabian sea near Karachi is_________.,2223m,2526m,2734m,2324m,C
62,Who was the British PM in 1920?,Chamberlain,Winston Churchill,Macmillan,Lloyd George,D
63,Death Valley is located in which US state?,Michigan,California,Alaska,New York,B
64,"Name the writer of ""Great Expectations"", the ""Pickwick Papers"" and ""Oliver Twist"".",Charles Dickens,Thomas Eliot,Jane Austen,William Faulkner,A
65,"In which country is ""Newcastle Port"" situated?",Iran,Portugal,Australia,France,C
66,The United Nations Convention on the Rights of the Child (UNCRC) was included in the UN in:,1989,1993,1995,1988,A
67,____ of North America is currently named Denali Peak.,Mount McKinley,Mount Sanford,Mount Vancouver,Mount Fairweather,A
68,When is the commonwealth day observed by its member countries?,on the second Sunday in March,on the first Monday in March,on the second Monday in March,None of these,C
69,When did the Mexican-American War begin?,in 1776,in 1835,in 1845,in 1846,D
70,How many sports were in the 2018 Winter Olympics?,7,15,12,9,B
71,Ashgabat is the capital of _______?,Tajikistan,Azerbaijan,Armenia,None of these,D
72,Global Warming is a threat to all of us is a warning by:,United Nations,Antonio Guterres,Both A&B,None of these,C
73,The Namib Desert is located in,Chad,Niger,Libya,Namibia,D
74,"In which city is the time in all countries calculated on the basis of ""Greenwich Mean Time""?",Liverpool,Lop Nor,Greenwich,Kirkuk,C
75,In which country are the Mutarazi Falls located?,Norway,Zimbabwe,New Zealand,California,B
76,"The battlefield of ""Waterloo"" is located in:",Belgium,Denmark,Germany,France,A
77,Zimbabwe attained independence in _______.,in 1975,in 1979,in 1980,in 1981,C
78,Laszlo and George Biro invented which piece of writing instrument in 1938?,Ballpoint Pen,Fountain pen,Graphite pen,Roller ball pen,A
79,The first Pakistani to score a century in T20 International cricket was,Shahid Afridi,Ahmed Shehzad,Imran Nazir,Kamran Akmal,B
80,The Orange River flows in?,Asia,Africa,America,None of these,B
81,In which country is Cardiff Port situated?,Sudan,Kenya,Iran,United Kingdom,D
82,Which part is the chief part of Iran?,Bandar Abbas,Le Havre,Dar-es-Salaam,Mombasa,A
83,International North-South Transport Corridor (INSTC) is between which countries?,"India, Iran, Russia, Afghanistan","India, Iran, Russia, Azerbaijan","India, Iran, China, Azerbaijan","India, Iraq, Russia, Azerbaijan",B
84,Which Team has won 6th time Men's handball World championship -2017?,France,Iceland,UK,Spain,A
85,Nanga Parbat is a famous mountain peak of the:,Karakoram range,Himalayas range,Hindu Kush range,Sulaiman range,B
86,JTA is a news agency of __________.,Israel,Jordan,Germany,Bhutan,A
87,Croatia is an Eastern European country with a long coastline on the____________.,Dead sea,Sea of Azov,Adriatic Sea,Red sea,C
88,New Guinea Island is part of ________.,Canada,Cuba,Japan,"Indonesia, Papua New Guinea",D
89,What is the percentage of Muslim population in Egypt?,94 percent,88 percent,90 percent,85 percent,A
90,Name the tree whose wood is used for making cricket bats:,Willow,Yellow,Teak,Sandal,A
91,What is the official language of Mexico?,Spanish,French,Italian,English,A
92,"World Class ""Frankenstein"" was written by _________.",Mary Wollstonecraft Shelley,Edith Wharton,Giovanni Boccaccio,Margaret Mitchell,A
93,The currency of Costa Rica is the,Franc,Colón,Dollar,Kuna,B
94,Who first pioneered the idea of a blood bank?,George Washington Carver,Booker T. Washington,Jonas Salk,Charles Drew,D
95,Khaki Shadows book was written by __________.,S.M. Burke,Mansoor A Shah,K.M. Arif,Kamal Ahmad,C
96,The Second largest city of Pakistan is____________.,Rawalpindi,Multan,Lahore,Quetta,C
97,"Name the Indian Prime minister, who was awarded Nishan-e- Pakistan.",Lal Bahadur Shastri,Sonia Gandhi,Morarji Ranchhodji Desai,Narendra Modi,C
98,Reference to the High Court is made under section ___ CPC:,114,116,113,None of these,C
99,"Name the first person to sail around the world discovered the Magellan Strait, reached the Philippines and named the Pacific",William Dampier,Lord Anson,Ferdinand Magellan,John Davis,C
100,Which country removed labor restrictions on foreign workers by introducing new reforms?,Saudi Arabia,Qatar,UAE,Kuwait,B
101,"What is the name given to areas of land in the higher latitudes where short, cool summers do not permit trees to grow?",Savanna,Tundra,Tropical,Arctic,B
102,Egypt connects which two continents?,Asia and Europe,Asia and Africa,South America and North America,None of these,B
103,Vietnam's news agency is ___________.,VAN,VWN,VNA,VNW,C
104,Which Bank has give First loan in Millions to Pakistan government at the time independence.,HBL Bank,National Bank,MCB Bank,UBL Bank,A
105,Game Changer is an autobiography of which cricketer?,Imran Khan,Hanif Muhammad,Syed,Shahid Afridi,D
106,What city is the capital of East Timor?,Tini,Dili,Juba,Cancun,B
107,The Treaty of Versailles ended the __________.,World War 1,World War 2,French Revolution,Russo-Japanese War,A
108,The United Kingdom EU referendum (or the Brexit referendum) took place on:,on 23 May 2016,on 25 May 2016,on 23 June 2016,on 23 June 2016,C
109,The Statue of Liberty was a gift to the American people from which country?,France,Greece,Great Britain,Switzerland,A
110,"The famous novel ""A Tale of Two Cities"" was written by:",Thomas Hardy,Alexander Dumas,Charles Dickens,None of these,C
111,"Who wrote the book ""The Emergence of Pakistan""?",Chaudhry Muhammad Ali,Allama Iqbal,Muhammad Ali Bogra,Chaudhry Aitzaz Ahsan,A
112,Undistributed profits are also known as:,Corporate saving,Retained earnings,General reserve,All of these,D
113,Which country joined NATO most recently:,Bahrain,Brazil,Kuwait,Sweden,D
114,Which part is oil exporting part?,part Harcourt,Brisbane,Mombasa,Sydney,A
115,The Blue Lagoon is located in:,Greenland,Iceland,Norway,None of these,B
116,In which country is the Staubbachfall waterfall located?,Switzerland,Guyana,Norway,Canada,A
117,CGTO stands for __________.,Central Gas Theft Operations,Company Gas Theft Operations,Counter Gas Theft Operations,Counter Gas Theft Organization,C
118,"Which city is important for shipbuilding, iron and steel industries, and tobacco?",Waterloo,Tokyo,Tashkent,Rotterdam,D
119,In which year was the JPMorgan Chase Tower completed?,in 1981,in 1982,in 2000,in 2009,B
120,"In a process, a quantity or condition that the experimenter alters to initiate change in the value of a regulated condition is:",Dependent variable,Independent variable,Controlled variable,None of these,A
121,AM stands for ________.,Ante meridian,Ampere measurement,Both Amplitude modulation & Ante meridian,Amplitude modulation,A
122,The Songs of Blood and Sword is written by ______.,Fatima Bhutto,Elf Shafaq,Ayesha Jalal,None,A
123,DISSI is the investigation agency of ___________.,France,Spain,India,Turkey,A
124,The CPEC agreement was signed during the Chinese President's visit to Pakistan in:,on Apr 15,on Jun 15,on Oct 15,None of these,A
125,Mossad is the intelligence agency of:,Syria,Türkiye,Iran,None,D
126,"The World Day to Combat Desertification and Drought, a United Nations observance, is observed on:",on 17 June,on 17 July,on 17 August,on 17 May,A
127,International Women's Day is celebrated each year on __________.,On March 12,On March 16,On March 06,On March 08,D
128,The FIFA Women's World Cup was commenced in_________.,In 1987,In 1983,In 1991,In 1981,C
129,What is the height of Badrinath?,"24,270 ft (7397 m)","23,420 ft (7138 m)","23,490 ft (7160 m)","24,040 ft (7327 m)",B
130,Pakistan on the Brink was written by _________.,Naseem Ahmad Shah,H.M. Seervat,Craig Baxter,Allen Keith,C
131,Which was the first country to grant citizenship to a robot?,Sri Lanka,India,China,Saudi Arabia,D
132,Nuskha-Hai-Wafa is the Poetic Collection of ___________.,Chiragh Hasan Hasrat,Ahmad Nadim Qasim,Faiz Ahmad Faiz,Nasir Kazmi,C
133,The Partition of Bengal took place in 1905 under the supervision of:,Lord Mayo,Lord Mountbatten,Lord Curzon,Lord Canning,C
134,The highest plateau of the world is ________.,Potohar Plateau,Balochistan Plateau,Pamir Plateau (Tibet),Deccan Plateau,C
135,The term of office for a judge of the International Court of Justice (ICJ) is,7 years,9 years,8 years,6 years,B
136,ICU stands for _________.,International Conference on Unity,Intensive Control Unit,Intensive Care Unit,Identifying Charging Unit,C
137,Constitution of which country is called convention-ridden:,America,Britain,Australia,France,B
138,What is the sea area of the Pacific Ocean?,165.25 million km²,106.46 million km²,14.06 million km²,None of these,A
139,"Who is known as the ""Father of Video Games""?",Karl Benz,Ralph H. Baer,Karoline Berliner,Andrew Smith Bernard,B
140,The currency of Nigeria is called:,Rand,Dollar,Naira,Pound,B
141,Name the first civilian president of Myanmar.,Myint Swe,Thein Sein,Huang Hye,Htin Kyaw,D
142,The currency of Suriname is the,Pound,Guilder,Peso,Dollar,D
143,M2 is the motorway b/w _________.,Karachi to Hyderabad,Multan to Sukkur,Islamabad to Lahore,Lahore to Sialkot,C
144,Where is Lake Ontario?,Canada and USA,South America,Japan,Australia,A
145,What is the name of Germany's news agency?,IPT,DPA,API,ZNA,B
146,OGDC is an abbreviation of,Oil & Gas Development Corporation,Oil & Gas Development Company,Oil & Gas Development Council,None of these,B
147,Windhoek is the capital of__________.,Namibia,Niger,Chad,Ghana,A
148,Sinologists study which country?,Japan,China,North Korea,None of these,B
149,What is the approximate size of the Black Rock Desert?,"15,000 mi² (38,900 km²)","1,000 mi² (2,600 km²)","4,700 mi² (12,200 km²)","3,000 mi² (7,800 km²)",B
150,Tripoli is a major seaport of,UK,Libya,Russia,China,B
151,Height of Statue of liberty is__________.,93 m,54 m,97 m,73 m,A
152,World Intellectual Property Day is observed on ___________.,on May 20,on February 20,on October 26,on April 26,D
153,______ policy effects are irreversible changes.,Functional,Operational,Strategic,None of these,C
154,"In 1946, which organization proposed the elimination of nuclear weapons?",UN General Assembly,UN Secretariat,World Bank,None of these,A
155,The Louvre Museum is in:,US,France,Spain,None of these,B
156,When was Confucianism founded?,1500 BC,525 BC,500 BC,622 BC,C
157,The weight of a hockey ball approximately is__________?,5.5 ounce to 5.75 ounce,5 ounce to 5.5 ounce,6 ounce to 6.5 ounce,5.75 ounce to 6 ounce,A
158,Who is called the pioneer of Idealism:,Aristotle,Plato,Socrates,Alexander,B
159,What do you understand by the term ''Intifada'?,Reconciliation,Uprising,Offence,Negotiation,B
160,Which US president mentioned the 'New World Order' at the time of USSR disintegration?,Richard Nixon,Bill Clinton,Bush Senior,None of these,C
161,Where is the pyramid of Giza situated.,Egypt,Sudan,France,None,A
162,The currency of Chile is _________.,dollar,dinar,dram,peso,D
163,First Asian Games were held in the year ________.,in 1950,in 1949,in 1952,in 1951,D
164,"Which City is called ""City of Eternal Springs""?",Berlin,Geneva,Quito,London,C
165,While Memory Serves was written by:,William Stoke,Sir Francis Tuker,Robert Cook,None of these,B
166,Scotland Yard secret agency belongs to ___________.,Russia,Israel,Canada,Britain,D
167,A broad channel where the waters of a river and a sea mingle is called_________.,An estuary,Comets,A strait,A delta,A
168,Zurich is a city of:,Sweden,Switzerland,Iran,None of the above,B
169,A system of wind in which wind blows spirally toward the center of low pressure is called __________.,Comets,Quasars,Cyclone,Meteors,C
170,Angkor Wat is located in,Libya,Cambodia,USA,Iraq,B
171,The capital of Ireland is,Asmara,Banjul,Paris,Dublin,D
172,When was the IMF established?,1945,1946,1947,1948,A
173,What is the range of Kabru mountain?,Himalayas,Karakoram,Hindukush,Kunlun,A
174,What is name of the largest hot desert of the world?,Vatican,Thal,Sahara,Thar,C
175,Nuptse mountain is situated in,Kashmir,Nepal,India,Pakistan,B
176,Iqbal's book published in 1923 is:,Payam-i-Mashriq,Israr-i-Khudi,Bang-i-Dara,Javed Nama,A
177,"In which year was ""Bank of America Plaza"" built?",in 2000,in 1997,in 1992,in 2009,C
178,How many floors of Bank of America Tower?,54,69,80,88,A
179,Which is known as City of Skyscrapers.,New York,Chicago,Paris,Belgium,A
180,In which country is Tupungatito mountain situated?,Ecuador,Colombia,Mexico,Chile,D
181,What was the real name of Shah Waliullah?,Ahsan,Ismail,Mohsin,Ahmad,D
182,Shahnama was written by,Hafeez Jalandhari,Firdausi,Altaf Hussain Hali,Imam Ghazali,B
183,World Heritage Day is observed on __________.,on April 10,on April 13,on April 18,on May 20,C
184,In which mountain range is Makalu I mountain situated?,Hindu Kush,Pamirs,Karakoram,Himalayas,D
185,Adam Smith is related to:,Economics,Scientist,Sociologist,None of these,A
186,"It is the Iranian seaport situated on the ""Strait of Hormuz"".",Tehran,Tabriz,Bandar Abbas,Saad,C
187,Noology is the study of _______________.,Islands,Coins,Mind,Nights,C
188,In which year was the Nanjing Greenland Financial Center completed?,in 2008,in 2009,in 2010,in 2012,B
189,International Mother Language Day is celebrated on:,on 21 February,on 21 March,on 21 April,on 21 May,A
190,Recently how many Muslims are elected to British Parliament?,10,12,16,14,C
191,How many feathers are fixed in the base of a shuttlecock with respect to the badminton game?,17,16,18,20,B
192,Silk airways is an airline of __________.,Singapore,Hongkong,Malaysia,France,A
193,"The United Nations Command, overseeing affairs in the DMZ, was established in Tokyo in",in 1949,in 1950,in 1951,in 1952,B
194,Welfare administration is referred to:,Translating social policies into a welfare program,Method of policy governance,System of administration for social welfare,All of these,D
195,"Who is the author of ""Raqqat-e-Alamgiri""?",Ishwar Das,Aurangzeb,Dara Shikoh,Mulla Daud,B
196,Which city is famously a center for world beauty contests?,St. Helena,Miami Beach,Tokyo,Vatican City,B
197,Spin Boldak is in:,Iran,Russia,Afghanistan,Pakistan,C
198,OIC stands for _______:,Organization of Islamic Conference,Organization of Islamic Cooperation,Both (A) & (B),None of these,B
199,The official language of the Universal Postal Union is,English,French,German,Brazilian,B
200,The Indus flows into the Arabian Sea at ________.,Sajawal,Badin,Karachi,Thatta,D
201,The Delhi Sultanate came to an end in:,1526,1290,1325,None of these,A
202,The House of Lords is the Upper House of the Parliament of:,U.K.,U.S.A.,Sweden,France,A
203,The European Institute of Gender Equality (EIGE) works under:,UNO,European Union,Autonomous Body,None of the above,B
204,The Orinoco is a river which is located in ________.,India,Russia,Venezuela,Tibet,C
205,Which river creates a border between Israel and Jordan?,Jordan,Nile,Euphrates,None of these,A
206,Jahangirnagar is the old name of,Delhi,Dhaka,Kolkata,None of these,B
207,When did women get voting rights in British India?,1921,1929,1937,None of these,A
208,"What is the height of ""Makalu 2"" mountain?",27560 ft (8400 m),23688 ft (7220 m),25190 ft (7678 m),24757 ft (7546 m),C
209,________________ the smallest among the coastal nations of the world.,Monaco,Bosnia and Herzegovina,Nauru,Jordan,A
210,The world's oldest lake is,Great Bear Lake,Lake Baikal,Lake Superior,Lake Victoria,B
211,A large group of islands is known as __________.,Strait,Peninsula,Channel,Archipelago,D
212,Silicon Valley is famous for:,Computer Business,Steel Industry,Gold mines,Cotton Industry,A
213,Spartan War 1 was fought in 459 BC between Sparta and Athen. For how long the war lasted?,30 years,10 years,15 years,20 years,C
214,Dapsang is another name of_________.,Nanga parbat,Rakaposhi,K-2,Mount Everest,C
215,World mother language is observed on ___________.,on 21st February,on 3rd March,on 11th April,on 19th June,A
216,The currency of Afghanistan is:,Afghani,Rupee,Ruble,Dinar,A
217,Congress is the Parliament of ___________.,Peru,USA,Philippines,All of the above,D
218,"In which year was ""Ryugyong Hotel"" built?",in 2009,in 1997,in 1987,in 2007,C
219,"Which city is industrial centre and ""Eau-de-Cologne after its name?",Cologne,Basra,Belize,Bergen,A
220,Auditing refers to:,Reporting the financial information,Examination of financial information,Preparation of financial statements,Maintaining the ledger accounts,B
221,"How many floors does ""US Bank Tower"" have?",74,84,73,75,C
222,Almost 100 percent population is Muslim. Male is the name of capital of Maldives. Which is its currency?,Rufiyaa,Rupiah,Dinar,Dollar,A
223,Which state stretches from East Europe across North Asia to the Pacific Ocean?,Russia,Moldavia,Poland,None of them,A
224,Astola Island is located in,Sindh,Balochistan,Punjab,KPK,B
225,"____ is the aggregate of direct material cost, direct labor cost, and direct expenses.",Prime cost,Bottom line cost,Variable cost,None of these,A
226,Delta airline is an airline of __________.,USA,Canada,UK,Italy,A
227,The Organization of American States (OAS) was established in,in 1945,in 1948,in 1947,in 1949,B
228,"According to the U.S. National Oceanic and Atmospheric Administration (NOAA), canals are primarily classified into",two,three,four,five,A
229,Which of the following countries has the world's largest banknote?,France,Russia,Argentina,Philippines,D
230,Sarajevo is the capital of Bosnia and Herzegovina. What is its currency?,Dollar,Convertible Mark,Rial,Pound,B
231,"The ""Roof of the World"" is_______.",The Alps,Andes,The Apennines,The Pamir Plateau,D
232,The Anjuman-i-Himayat-i-Islam was founded in 1884 with the objective:,For social gathering among Muslims of Punjab,To help Muslims to secure government jobs,To encourage non-communal approach to provincial problems.,To defend Islam against the onslaughts of the missionaries and provide Western,D
233,The Valley of Ten Thousand Smokes is in,Arizona,Alaska,Texas,California,B
234,"In 1192 A.D., a battle was fought between Muhammad Ghori and Prithvi Raj, which Muhammad Ghori won. Name the battle.",Battle of Samugarh,Battle of Kirke,Battle of Talikota,Battle of Tarain,D
235,Who is the second staunch supporter of Two-Nation Theory along with Quaid-e-Azam Muhammad Ali Jinnah:,Allama Iqbal,A.K Fazal Ul Haq,Sir Syed Ahmed Khan,Jawaharlal Nehru,C
236,Mana mountain is present in _________.,India,China,Nepal,Bhutan-China,A
237,Thimphu is the capital city of:,Laos,Bolivia,Papua New Guinea,Bhutan,D
238,What is the approximate size of Death Valley desert?,3000 mi² (7800 sq .km),40000 mi² (103600 km²),4700 mi² (12200 sq .km),5000 mi² (12950 km²),A
239,The Wall street is in_____________.,New York,Paris,London,Rome,A
240,How many players are in basketball on the court at one time?,7 Players,11 Players,9 Players,5 Players,D
241,Where was Shintoism founded?,China,Japan,Iran,Afghanistan,A
242,The Boxer Rebellion occurred in:,Japan,China,Mexico,None of the above,B
243,Which continent has the highest number of countries?,Asia,North America,Europe,Africa,D
244,What is that person called on whom a petition or originating application is served?,Defendant,Plaintiff,Accused,Respondent,D
245,Rise and Fall of Roman Empire is the name of a book written by:,Hill Brook,Edward Gibbon,Arnold T. Toynbee,Andrew Robert,B
246,The city constructed on the bank of the river Tigris is:,Basra,Najaf,Tehran,Baghdad,D
247,Mossad is the secret agency of:,Israel,Afghanistan,America,None of these,A
248,The radio was invented by,Robert Koch,Guglielmo Marconi,Philo Taylor,Martin Cooper,B
249,The current Pope of the Roman Catholic Church is:,Clement IV,Francis,John Paul II,None of these,B
250,The headquarters of Amnesty International is located in:,London,New York,Geneva,Washington,A
251,Which is the world's largest non-subglacial underground lake?,Sovetskaya Lake,Dragon's Breath Cave,Moqua Well,Craighead Caverns,B
252,What is the area of Arabian peninsula?,1254000 sqm,786000 sqm,580000 sqm,800000 sqm,A
253,The Verzasca Dam is located in,France,Switzerland,Brazil,Congo,B
254,"In 1787, the original constitution of USA was drafted at a Constitutional Convention held at:",Philadelphia,Washington,Chicago,New York,A
255,Batman Dam is in which country?,Pakistan,Turkey,China,New Zealand,B
256,Which is the only country in the world whose flag is not rectangular?,Kazakhstan,Nepal,Andorra,Swaziland,B
257,In which country are the aptly named Snowy Mountain located.,Australia,Canada,Russia,Turkey,A
258,"Which country, on the map of world, appears as Long Shoe.",Greece,Portugal,Italy,Hungary,C
259,The fastest marine animal found in warmer parts of five oceans of the world _______________?,Wahoo,Tunny,Sailfish,Marlin,C
260,The parliament of Sudan is called the,National Legislature,Constituent Assembly,Parliament,People's Assembly,A
261,How much trade is carried through seas and oceans?,0.7,0.8,0.9,None of these,C
262,______ language is named the world's most influential language _____________ .,French,Urdu,English,Chinese,C
263,Which type of rainfall is most common worldwide?,Convectional rainfall,Orographic or Relief rainfall,Cyclonic or Frontal rainfall,None of these,B
264,Melbourne is the seaport of _________.,Australia,England,New Zealand,Russia,A
265,"As of 2025, who is the Vice President of United States?",JD Vance,James F. Dobbins,John Kerry,Joe Biden,A
266,The reasoning that uses specific observations to construct general principles is called:,Inductive,Deductive,Both A & B,None of these,A
267,Which city is the capital of Russia?,Elba,Moscow,Sudbury,Tokyo,B
268,An outline of the topics of a subject to be covered in a specific time is called what?,Syllabus,Outline,Course,None of these,A
269,Armughan-i-Hijaz was written by,Faiz Ahmad Faiz,Allama Iqbal,Hafeez Jalandhari,Muhammad Hussain Hali,B
270,Bootlegging is a form of:,Drugs,Sketches,Smuggling,Indian Religion,C
271,________ is a digital asset designed to work as a medium of exchange.,E-commerce,E-currency,Cryptocurrency,None of these,C
272,Who was called 'Man of Destiny?,Napoleon Bonaparte,Nehru,Hitler,Mussolini,A
273,"""Ping Pong"" was the old name of:",Football,Lawn Tennis,Ice Hockey,Table Tennis,D
274,How long was Hosni Mubarak's tenure as the President of Egypt?,20 years,25 years,30 years,35 years,C
275,Alexander the great (356-323 BC) was the king of_________?,Egypt,Portugal,Macedonia,Greece,C
276,The picture on the back of the 500 Rupee Pakistani note is the,Faisal Mosque,Badshahi Mosque,Wazir Khan Mosque,Jatoi Mosque,B
277,Which of these is the longest cave system in the world?,Wind Cave,Mammoth Cave,Jewel Cave,Sistema Ox Bel Ha,B
278,Which of the following is a commercial crop?,Rice,None,Wheat,Cotton,D
279,Who was the first to measure the Earth's radius?,Copernicus,Eratosthenes,Al-Beruni,None of these,B
280,Which city is under construction in Saudi Arabia?,Neom,Tabuk,Jeddah,None of above,A
281,Who reached N America for the first time in history in 1000 A.D?,Christopher Columbus,John Speke,Leif Eriksson,James Clark,C
282,Hindustan Samachar is a news agency of,USA,India,China,Germany,B
283,Which city is the seaport on the Strait of Dover?,Russia,Jeddah,Havana,Dover,D
284,"When did a 7.7 magnitude earthquake occur in Awaran, a district of Balochistan?",in 2012,in 2013,in 2014,None of these,B
285,"After 9/11 who gave the message ""You are either with us or against us?""",Afghanistan,UK,Russia,US,D
286,When Islamabad United won First title ____________?,"On February 22 ,2016","On February 24 ,2016","On February 23 ,2016","On February 25 ,2016",C
287,Who is Newly appointed General Secretary of UNO on 31st December 2016.,Antonio Guterres,Peter Thomson,None of these,Ban-ki-moon,A
288,Name the currency of Mauritius.,Dollar,Pound,Lek,Rupee,D
289,A common technique to help people begin the creative process is?,Calculations,Brainstorming,Thoroughness,Mental shortcuts,B
290,The capital of Cuba is?,Istanbul,Tokyo,Havana,None of these,C
291,"The children's classic ""The Adventures of Pinocchio"" was created by",Mark Twain,Carlo Collodi,Edith Wharton,Walter Scott,B
292,USA celebrate its independence day on __________ every year.,on 4th July,on 17th July,on 24th July,on 29th July,A
293,"Who is the writer of ""Political Forces in Pakistan from 1947 to 1959""?",Keith Collard,K.K. Aziz,L.H. Qureshi,None of these,A
294,In which river are the Ribbon Falls located?,Gudvanger Stream,Mardala Stream,Hunlen,Ribbon Stream,D
295,"Who wrote the book known by the name of ""An Apology for Muhammad and Muhammadans""?",William Muir,John Davenport,Albert Mayo,Roger William,B
296,Where is the HQ of World Gold Council (WGC) located.,Geneva,Pairs,London,Berlin,C
297,"The famous book ""The Republic"" was written by:",Socrates,Plato,Aristotle,Alexander,B
298,What is the term used for a judgment or decision of a court or tribunal?,Order,Adjudication,Settlement,Short order,B
