Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
36,A Case of Exploding Mangoes is a comic novel written by which Pakistani writer?,K.K. Aziz,Altaf Gohar,Muhammad Hanif,None of these,C
37,"At the time when the Khilafat delegation visited England in 1920, the British PM was?",Lloyd George,Churchill,Chamberlain,None of these,A
38,Which navy ship was in action during the wars of 1965 and 1971?,PNS Nasr,PNS Hangor,PNS Zulfiqar,PNS Ghazi,D
39,Head of Pakistani UN delegation appointed 13 Sep 1947,Qazi Issa,Mrs. Tasaddaq Hussain,Muhammad Zafarullah Khan,Sardar Patel,B
40,Live storage of Terbela reservoir had declined more than:,30.5,32.5,33.5,35.5,C
41,When was gas discovered from Sui?,1950,1952,1954,1955,B
42,Who conquered Kashmir around the year 1819?,Ranjit Singh,Gulab Singh,Dogra Singh,Hari Singh,A
43,The first British Viceroy of India was:,Lord Lytton,Lord Minto,Lord Elgin,Lord Canning,D
44,Who composed the National Anthem of Pakistan?,Allama Iqbal,Hafeez Jalandhari,Ahmed G. Chagla,None of these,B
45,The Durand Line marks the border between ____.,Pakistan-Iran,Pakistan-China,Pakistan-Afghanistan,None of these,C
46,Who presided over the first meeting of the Pakistan Constituent Assembly?,Quaid-e-Azam,J.N. Mandal,Liaquat Ali Khan,None of these,B
47,Who was appointed the first principal of Darul ulum Deoband?,Maulana Mamluk Ali,Haji Muhammad Abid,Maulana Muhammad Qasim,None of these,C
48,Who was the founder of the Gupta Dynasty?,Chandra Gupta,Samudra Gupta,Vikramaditya,None of these,A
49,Which Hindu nationalist organization was prominent during the partition violence?,RSS,Congress,BJP,Arya Samaj,A
50,Pakistan mainly imports edible oil from __________.,Sri Lanka,Malaysia,India,Brazil,B
51,What was the main focus of Gandhi's Salt Satyagraha?,Monopoly on salt,Right to vote,Education reforms,Land reforms,A
52,Which Indian political leader did not attend the first Round Table Conference?,Gandhi,Muhammad Shafi,Zafarullah Khan,None of these,A
53,How did Pakistan manage to overcome its problem arising out of the blockade by the U.N.?,With the assistance of the U.N.,With the assistance of the ADB,With the assistance of the IMF,With the assistance of the World Bank,D
54,Which celebrity was awarded the Pride of Performance in 2005?,Nusrat Mumtaz,Abrar-ul-Haq,Arif Lohar,None of these,C
55,"The 'One Unit' scheme, implemented in 1955, amalgamated the four provinces of West Pakistan into a single province. What was the stated primary objective of this policy?",To promote a single national language,To facilitate the construction of a new capital,To create political parity between West and East Pakistan,To streamline the agricultural tax system,C
56,Who convened the 1906 meeting in Dhaka where the All-India Muslim League was formed?,Nawab Khwaja Salimullah,Allama Iqbal,Quaid-e-Azam,Sir Aga Khan,A
57,"Under the 1962 Constitution, how many seats were reserved for women in the National Assembly?",10,8,6,4,C
58,Kapas ka Phool is written by:,Khadija Mastoor,Saadat Hassan Minto,Younus Butt,Ahmad Nadeem Qasmi,D
59,Who founded Jamaat-e-Islami in August 1941?,Maulana Maududi,Maulana Azad,Allama Iqbal,Quaid-i-Azam,A
60,The first Urdu daily newspaper published after the creation of Pakistan was __________.,Mashriq',Imroze',Watan',Nawa-i-Waqt',B
61,Wazir Khan Mosque is located in:,Islamabad,Karachi,Lahore,Faisalabad,C
62,Which is the national bird of Pakistan?,Parrot,Pigeon,Markhor,Chukar,D
63,Who occupied the throne of Delhi for about two years immediately after the death of the last Tughluq Sultan?,Khizr Khan,Daulat Khan Lodhi,Bahlol Lodhi,Alauddin Alam Shah,B
64,Qadirabad Barrage is located on:,Ravi,Sindh,Chenab,None of these,C
65,It was compulsory for a Mansabdar to hold at least ____ horsemen.,300-400,200-600,200-400,None of these,B
66,The Jallianwala Bagh incident took place on:,"on 23 April, 1919","on 13 May, 1919","on 13 June, 1919","on 13 April, 1919",D
67,Asif Ali Zardari was the __________ elected President of Pakistan to complete his full constitutional term.,First,Second,Third,Fourth,A
68,Which city in Pakistan is famous for its sports goods?,Peshawar,Lahore,Sialkot,Islamabad,C
69,With which body does the power to extend or restrict the jurisdiction of a High Court lie?,The Governor,The President,The Parliament,The concerned State Legislature,C
70,"In March 2006, who was appointed as the bowling coach for Pakistan?",Shoaib Malik,Waqar Younis,Ramiz Raja,Misbah-ul-Haq,B
71,Which of the following Pakistani players won the 1994 World Snooker Championship?,Muhammad Yousaf,Muhammad Asif,Hamza Akbar,Shoukat Ali,A
72,What is the average height of the Koh-e-Sufaid range?,"3,200 m","3,500 m","3,000 m","5,560 m",C
73,When did Pakistan join the Shanghai Cooperation Organization (SCO) as a full member?,2017,1996,2000,None of these,A
74,"The Kamran Baradari, situated on the banks of river Ravi in Lahore, was built by whom?",Kamran Mirza,Humayun,Akbar,Babur,A
75,The Indian National Congress was formed on _________ by the British civil servant Allan Octavian Hume.,"On December 25, 1885","On December 28, 1885","On December 30, 1885","On December 31, 1885",B
76,The Gandhi-Irwin Pact was signed in ___________.,In 1930,In 1932,In 1935,In 1931,D
77,National vegetable of Pakistan is __________.,Carrot,Tomato,Ladyfinger,All of these,C
78,Name the range which separates China from Pakistan.,Hindu Kush,Pamir,Himalayas,Karakoram,D
79,What is the literal meaning of 'Himalaya'?,Abode of Snow,Roof of the World,Highest Peak,Great Mountains,A
80,The Simon Commission arrived in India on ____________.,"On February 3, 1927","On February 3, 1928","On February 3, 1929",None of these,B
81,On which date was the first Constituent Assembly of Pakistan dissolved?,on 24th October 1954,on 1st November 1954,on 14th August 1954,on 10th September 1954,A
82,The Karoonjhar Mountains are located in __________.,Khairpur,Thatta,Sanghar,Tharparkar,D
83,What was the purpose of Pitt's India Act 1784?,To expand British territories,To regulate British trade routes,To rectify defects of the Regulating Act of 1773,To abolish the Governor General position,C
84,Which city in Pakistan is known as the 'City of Gardens'?,Karachi,Lahore,Gilgit-Baltistan,Quetta,B
85,Pakistan is situated in which continent?,Asia,Australia,Africa,None of these,A
86,Which is considered one of the oldest languages in Pakistan?,Sindhi,Punjabi,Pashto,Brahui,A
87,When did Pakistan become an Islamic Republic?,1947,1956,1965,1973,B
88,Which Congress leader did not participate in the First Round Table Conference (1930)?,Mahatma Gandhi,Jawaharlal Nehru,Dr. B.R. Ambedkar,Muhammad Ali Jinnah,A
89,"The first Gazette of Pakistan was issued on August 15, 1947, for the _________.",Announcement of the Independence of Pakistan,Appointment of the Governor-General of Pakistan,Appointment of the Chief Justice of Pakistan,None of these,B
90,Who were the Muslim members of the Nehru Report?,Ali Imam & Shoaib Qureshi,Ali Imam and M. A. Johar,Hasrat Mohani & Agha Khan,None of the above,A
91,Who presented the Poor Man's Budget of the United India Interim Government?,Ghulam Muhammad,Liaquat Ali Khan,Sardar Abdur Rab Nishtar,Sardar Patel,B
92,"""Maritime"" is a security agency of which country?",China,France,Germany,Pakistan,D
93,Karachi is divided into how many districts?,3,4,5,6,D
94,"The highest peak of the Suleiman Range, Takht-e-Sulaiman, is approximately _________ high.","11,440 ft","2,200 ft","3,300 ft","3,487 ft",A
95,The Baktar-Shikan missile system is ________.,Air-to-surface,Anti-aircraft,Anti-tank guided,Air-to-air,C
96,"The Suleman Mountain, one of the Western Ranges, is as high as:","1,100 m","2,200 m","3,300 m","3,400 m",D
97,Who is the father of Allama Iqbal?,Poonja,Muhammad Ali,Sheikh Noor Muhammad,Javed Iqbal,C
98,"The ""Munda Dam"" (now ""Mohmand Dam"") is an under-construction dam located on the _____ River.",Bara River,Karam River,Swat River,Gomal River,C
99,What kind of system of Government was introduced in the 1973 constitution?,Presidential,Parliamentary,Monarchy,One-party state,B
100,The British fought Plassey war against:,Haider Ali,Tipu Sultan,Sirajuddaula,None of these,C
101,Who built the Charminar in Hyderabad?,Sultan Muhammad Quli Qutb Shah,Sultan Muhammad Ibrahim Qutb Shah,Sultan Muhammad Ali Adil Shah,None of these,A
102,Pakistan protested against construction of Baglihar Dam because:,It was in violation of the UN Charter,It was a violation of the Simla Agreement,It was a violation of the LOC,It was a violation of the Indus Water Treaty,D
103,Which Muslim ruler established the Delhi Sultanate?,Qutb-ud-din Aibak,Sher Shah Suri,Razia Sultana,None of these,A
104,Which crops are sown in the Rabi season?,"Tobacco, oilseed","Wheat, gram",Barley and mustard,All of them,D
105,Ceasefire Line of Kashmir was drawn in the year:,1948,1949,1950,None of these,B
106,Who was the first Chief Minister of East Bengal?,Kh. Nazimuddin,Ghulam Hussain Hidayatullah,M.A. Khuro,Noor al Amin,D
107,"Out of 565 princely states in India, how many states acceded to Pakistan:",11,13,15,17,B
108,The Constitution of 1956 drew its inspiration from the ________ style of parliamentary government.,USA,Westminster,Australia,India,B
109,In which area is the President's authority largely ceremonial under the 1973 Constitution?,In executive branch,In law and enforcement,In supreme court,None of these,A
110,Who was the first opposition leader of the Balochistan Assembly?,Jam Kamal Khan,Akbar Bugti,Jam Gulam Qadir Khan,Aslam Raisani,C
111,When was Imam Shah Waliullah born?,"On January 21, 1703","On February 21, 1703","On March 21, 1703","On April 21, 1703",B
112,What is the length of the Pak-China border?,599 km,605 km,795 km,805 km,A
113,"Gwadar became part of Pakistan on September 8, ____________.",In 1949,In 1955,In 1958,In 1972,C
114,"The ""Murree of Sindh"" is ________.",Karoonjar Mountains,Makli Hills,Rohri Hills,Gorkh Hill Station,D
115,The Shandur Polo Festival is held every year in which month?,May,June,July,None of these,C
116,Which team was the champion (winner) of PSL 2018?,Peshawar Zalmi,Islamabad United,Quetta Gladiators,Lahore Qalandars,B
117,Which session of the AIML passed the Lahore Resolution?,25th,26th,27th,28th,C
118,Who was the writer of 'Asar-ul-Sanadeed?,Sir Sayyid Ahmad Khan,Abul Kalam Azad,Choudhry Rahmat Ali,Allama Iqbal,A
119,Who was the first Governor of West Pakistan?,Sardar Abdur Rab Nishtar,Mushtaq Ahmad Gurmani,Ghulam Mustafa Khan,Malik Amir Muhammad Khan,B
120,Khushal Khan Khattak was a poet of which language?,Punjabi,Pashto,Balochi,Sindhi,B
121,Who became the first Sultan of the newly established Muslim Sultanate of Delhi in 1206?,Shahab-ud-din Ghauri,Qutb-ud-din Aibak,Zahir-ud-din Babur,None of these,B
122,Who appointed an eight-member National Security Council to work as the 'supreme governing body' after his military coup?,Field Marshal Ayub Khan,General Pervez Musharraf,General Zia-ul-Haq,President Zulfiqar Ali Bhutto,B
123,"Under the 1973 Constitution, the powers of the two houses of Parliament are _________.",Equal,Not equal,Less,None of these,B
124,The Rann of Kutch is a disputed area between ____.,"KPK, India",Sindh-India,Punjab-India,None of these,B
125,The largest fort of Asia is Ranikot Fort. It is located near:,Larkana,Jamshoro,Hyderabad,Thatta,B
126,The owner of Bahria Town is:,Mian Mansha,Asif Ali Zardari,Sadr-ud-din Hashwani,Malik Riaz,D
127,The first general elections in Pakistan were held on __________.,"On March 12, 1970","On June 1, 1970","On Dec 7, 1970","On Aug 12, 1970",C
128,Who had the shortest tenure as Governor-General of Pakistan?,Iskander Mirza,Ghulam Muhammad,Muhammad Ali Jinnah,Khawaja Nazimuddin,A
129,What is the area of Balochistan province?,"347,190 km²","319,190 km²","345,190 km²","318,145 km²",A
130,The Thirteenth Amendment to Article 58(2)(b) was passed by the parliament on ________.,"On April 4, 1997","On April 3, 1997","On April 2, 1997","On April 1, 1997",D
131,The Muslim League was founded on ____ by Nawab Salim Ullah Khan in Dhaka.,"on Dec. 30, 1907","on Dec. 30, 1906","on Dec. 26, 1904",None of these,B
132,Pervez Musharraf replaced ______ as Army Chief:,Abdul Waheed Kakar,Jahangir Karamat,Asif Nawaz Janjua,None of these,B
133,"Where is Attabad Lake, a newly born lake in 2010, situated in Pakistan?",Punjab,KPK,Gilgit-Baltistan,Balochistan,C
134,Who was the second President of the Indian National Congress?,Womesh Chunder Bonnerjee,Dadabhai Naoroji,Badruddin Tyabji,None of these,B
135,"Which Army Officer was the First Recipient of ""Nishan i Haider"" ?",Major Aziz Bhatti Shaheed,Major Muhammad Akram Shaheed,Captain Sarwar Shaheed,Major Shabir sharif shaheed,C
136,The constituency of the Gilgit-Baltistan Assembly is called ________.,PS,PP,PB,GBLA,D
137,Islam is declared as the state religion under which article of the 1973 Constitution of Pakistan?,Article 1,Article 2,Article 3,Article 4,B
138,How many major deserts are there in Pakistan?,5,7,8,10,A
139,When did the US help Pakistan with economic aid for the first time?,1947,1950,1951,None of these,C
140,"Minister for Food and Agriculture, first Cabinet of Pakistan",Ghazanfar Ali Khan,Liaquat Ali Khan,Iftikhar Mamdot,Sardar Nishtar,A
141,The boundary line between Azad Kashmir and Indian-administered Kashmir is called the __________.,Line of Control,Durand Line,Oder-Neisse line,The Radcliffe Line,A
142,How many Muslim members were in the Nehru Committee?,One,Two,Three,Four,B
143,Who is known as Boom Boom?,Shoaib Akhtar,Shahid Afridi,Muhammad Amir,None of these,B
144,"In the 1945-46 elections, out of a total of 119 Muslim seats in Bengal, how many seats did the Bengal Muslim League win?",114,110,115,113,D
145,"The invader Amir Timur, also known as Tamerlane, reached Delhi in which year?",In 1399,In 1398,In 1412,In 1414,B
146,When was Urdu Declared National language of Pakistan?,in April 1954,in May 1958,in July 1955,in March 1960,A
147,The book 'Political Parties in Pakistan' (1947-1958) is written by ___________.,K. K. Aziz,M. Rafique Afzal,M. Waseem,None,B
148,The Transgender Persons (Protection of Rights) Act was passed in Pakistan in?,2018,2020,2021,None of these,A
149,How many goals have been included in the Sustainable Development Goals?,12,15,16,17,D
150,SNGPL stands for _________.,Sui Northern Gas Pipelines Lahore,Sui Northern Gas Pipelines Limited,Sui Northern Gas Pakistan Limited,Sui Northern Gas Punjab Limited,B
151,What was the title of the published collection of Liaquat's speeches?,Pakistan: The Muslim Homeland,"Pakistan, Heart of Asia",The Making of Pakistan,Pakistan: A New Nation,B
152,When does the Kharif crop season start and end?,from June to September,from October to May,from May to October,from January to October,C
153,"Pakistan created a 3rd border crossing to Iran for trade and development on 21 April 2021, which is:",Chaman,Rimadhan,Mand-Pishin,None of these,C
154,When Pakistan won the World Hockey Cup for the 4th time ?,In 1998,In 1990,In 1994,In 2002,C
155,Nimogram is an archaeological site located in:,Sindh,KPK,Punjab,Balochistan,B
156,Montgomery became Sahiwal in which year?,1962,1966,1967,None of these,C
157,"In respect of religion, what term was set for the President and Prime Minister in the 1956 Constitution?",He may be a Muslim,He must not be Hindu,He must not be Christian,He must be a Muslim (this condition applied only to the President; the PM could be,D
158,Farid-ud-Din Ganjshakar was a distinguished ________ of Islam.,reformer,Sufi Saint and Mystic,economist,socialist,B
159,The Afghan government appointed ___________ to facilitate the 'muhajirin' during the Hijrat Movement of 1920.,Dr. Abdul Ghani,Kamal Khan,Abdul Majeed,None,A
160,The practice of Sati was abolished by:,Lord Dalhousie,Lord William Bentinck,Lord Canning,Lord Mayo,B
161,Leaders of Hyderabad were called___________.,Khan,Nawab,Nazim,None,C
162,The Civil Disobedience Movement was started by:,Quaid-e-Azam Muhammad Ali Jinnah,Mahatma Gandhi,Jawaharlal Nehru,Agha Khan III,B
163,"Lord Mountbatten, Governor General of India, addressed the Constituent Assembly of Pakistan on __________.","On Aug 11, 1947","On Aug 14, 1948","On Aug 14, 1947",None of these,C
164,"Any individual, firm, organization, or department involved in printing, displaying, or circulating an incorrect version of the map of Pakistan is liable to ____.",A five-year prison term,A 5 million fine,Both A & B,None of these,C
165,"Who is often referred to as the ""forerunner of Akbar"" due to his administrative reforms?",Humayun,Babur,Bahlol Lodhi,Sher Shah,D
166,What is the length of the M-8 Motorway (Ratodero-Gwadar)?,860 km,885 km,892 km,915 km,C
167,The Johar Town Blast in Lahore is related to:,Hafiz Saeed,FATF,Both A & B,None of these,A
168,"Tuzuk-i-Jahangiri, the autobiography of Jahangir, was written in which language?",Turkish,Arabic,Urdu,Persian,D
169,Salwan Kot is the old name of __________.,Quetta,Multan,Lahore,Sialkot,C
170,The Quaid-e-Azam Solar Park is located near which city?,Bahawalpur,Multan,Rahim Yar Khan,None of these,A
171,Feroze Shah Tughluq became the Sultan of Delhi in ________.,In 1350 AD,In 1351 AD,In 1354 AD,In 1356 AD,B
172,Masjid Wazir Khan is located in?,Multan,Lahore,Peshawar,None of these,B
173,MNA stands for ________.,Medical Nurse Association,Multi-National Architecture,Media Networking Area,Member of National Assembly,D
174,The East India Company was established on __________.,"On December 31, 1600","On December 31, 1616","On December 31, 1700",None of These,A
175,Which of the following Englishmen was honored by the Mughal king Jahangir with the title of 'Khan'?,Vasco Da Gama,William Hawkins,Sir Thomas Roe,John Watts,B
176,What is the share of the urban population in the total population of Pakistan?,38.6 percent,42.6 percent,41.09 percent,38.82 percent,D
177,The Indian National Congress was formed by Allan O. Hume in:,in 1884,in 1885,in 1886,in 1887,B
178,Who was the last Governor-General of Pakistan?,Muhammad Ali Jinnah,Sir Khawaja Nazimuddin,Sir Ghulam Muhammad,Iskander Mirza,D
179,Who is the author of 'Warrior Race: A Journey Through the Land of the Tribal Pathans'?,Zulfikar Ali Bhutto,Imran Khan,Pervez Musharraf,None of them,B
180,Minimum age for a Pakistani Senator is:,25,40,35,30,D
181,The Rabi season starts in October-December and ends in _______.,From April to May,From May to June,From June to July,None of these,A
182,"In March 1981, how many ulema judges were included in the bench of the Federal Shariat Court?",Four,Three,Two,Five,B
183,What is the total area of Pakistan?,"881,913 km²","796,095 km²","818,714 km²","795,097 km²",A
184,Who was the founder of the Khilji Dynasty?,Alauddin Khilji,Jalaluddin Khilji,Rehmat Ullah Khilji,Feroz Khan Khilji,B
185,In which year did Muhammad bin Qasim die?,In 715 AD,In 716 AD,In 717 AD,In 718 AD,A
186,When was the Provisional Constitution Order (PCO) first introduced by President Zia-ul- Haq?,In 1980,In 1981,In 1982,In 1983,B
187,"A scheme known as ""Muthi Bhar Ata"" was started to collect funds for the _______?",Dar-ul-uloom Deoband,Nadva-tul-Ulama Islam,Anjuman Himayat-i-Islam,Sindh Madrassah-ul-Islam,C
188,What was the real name of Sher Shah Suri?,Farid Khan,Hasan Sur,Todar Mal,Nizam Khan,A
189,"'Who was the Bengali writer of the novel ""Ananda Math"" from which the national anthem ""Bande Mataram"" was taken?",Bankim Chandra Chatterji,Rabindranath Tagore,Munshi Premchand,Sarat Chandra Chattopadhyay,A
190,The Sino-Pakistan border agreement was signed in _________.,In 1963,In 1956,In 1965,In 1945,A
191,"The ""Raishmi Romal"" (Silk Letter) campaign was started by:",Maulana Mehmud Hasan,Ubaidullah Sindhi,Abul Kalam Azad,The Ali Brothers,B
192,The most Muslim majority-populated princely state was:,Hyderabad,Junagadh,Bhopal,Kashmir,D
193,Tipu Sultan belonged to:,Mysore,Vijayanagara,Sarsour,None of these,A
194,Punjab Government form a body for protection of women named as:,Punjab Women Protection Act,Punjab Women Protection Authority,Punjab Women Protection Commission,None of these,B
195,When was the third Martial Law imposed in Pakistan?,on 7th July 1977,on 6th September 1977,on 26th March 1969,on 7th October 1958,A
196,Ghulam Muhammad Barrage was constructed on River:,Kabul,Swat,Jhelum,Indus,D
197,On what date was the Treaty of Amritsar signed?,"March 16, 1846","May 10, 1857","Aug 16,1946","Feb 20,1947",A
198,What is the share of Sindh in the total population of Pakistan?,25 percent,22 percent,23 percent,28 percent,C
199,"The area of Islamabad, before its declaration as the capital of Pakistan, was known by the name of ______.",Suri Nagar,Raj Shahi,Gandhara,None of these,B
200,Which operation launched in 1971 to control the situation of East Pakistan:,Operation Mid Night way,Operation Fair Play,Operation Search Light,Operation Grand Slam,C
201,Dina Wadia visited Pakistan upon the death of the Quaid and then only once again in _____________ during the Musharraf era.,In 2002,In 2003,In 2004,In 2005,C
202,Baloch Culture Day is celebrated by the Baloch people annually on:,on 2nd March,on 3rd March,on 4th March,on 5th March,A
203,"According to the Indus Waters Treaty, Mangla Dam is built on which river?",Chenab,Indus,Jhelum,None of these,C
204,The biggest fort of Pakistan is:,Kot Diji Fort,Rani Kot Fort,Rohtas Fort,None of these,B
205,The height of the Himalayan range increases as it moves from ______.,South to North,East to West,North to South,West to East,A
206,'Pathway to Pakistan' is the autobiography of:,M.A.H. Ispahani,Chaudhry Khaliq-uz-Zaman,A.K. Fazl-ul-Haq,Sir Fazl-i-Hussain,B
207,Minar-e-Pakistan is located in which park?,Greater Park of Lahore,Greater Iqbal Park,Minto Park of Lahore,Jinnah Garden,B
208,Pakistan is expected to harvest its wheat crop during the first month of which Mela?,Mela Maveshiyan,Jashan-e-Baharan,Sibi Mela,None of these,B
209,The foreign policy of Pakistan is primarily characterized by:,Bilateralism,Regionalism,Alliance Policy,None of these,A
210,Who represented women at the Pakistan Resolution?,Shaista Ikramullah,Begum Ra'ana Liaqat Ali Khan,Begum Maulana Muhammad Ali Jauhar,None of these,C
211,Who among the following was the penultimate viceroy of British India?,Lord Mountbatten,Lord Wavell,Lord Linlithgow,Lord Willington,B
212,"Who gave the title of ""Shair-e-Mashriq"" to Allama Muhammad Iqbal?",Maulana Zafar Ali Khan,Nawab Bahadur Jang,Maulana Mazhar-u-din,Maulana Shibli Naumani,B
213,The most urban province of Pakistan is:,Punjab,KPK,Sindh,Balochistan,C
214,The Simla Agreement between Pakistan and India was signed in _________.,In 1970,In 1972,In 1974,In 1975,B
215,In which year was the Pakistan Fund established?,1945,1955,1947,1975,C
216,Which US Ambassador died with General Zia-ul-Haq in the 1988 plane crash?,Arnold Raphel,James M. Langley,John M. Cabot,None of these,A
217,How many Urdu words are used in the National Anthem of Pakistan?,5,3,12,1,C
218,What type of missile is Anza?,SAM,Surface to Air,Surface to Surface,Ballistic,B
219,Who was the first finance minister of Pakistan?,I. I. Chundrigar,Ghulam Muhammad,Chaudhry Muhammad Ali,Zafarullah Khan,B
220,Which of the following districts of Punjab are the main cotton growing areas?,"Gujranwala, Sheikhupura, Sialkot","Vehari, Multan, Bahawalpur","Faisalabad, Jhang, Sargodha","Chakwal, Jhelum, Rawalpindi",B
221,How many general seats does each province have in the Senate?,14,18,17,23,A
222,The majority of Southern Pakistan's population lives along the __________.,River Indus,River Ravi,River Jhelum,None of these,A
223,Nawab Akbar Bugti was assassinated on _____________.,"On August 26, 2006","On December 27, 2007","On October 28, 2008","On August 1, 2009",A
224,"The word ""Pakistan"" was first introduced in ____ in 1933:",Daily Jang,Daily The Mail,Now or Never,Nawa-e-Waqt,C
225,Muhammad Bin Qasim built the city of ________ as his capital in Sindh.,Thatta,Mansura,Sehwan,Mehrabpur,B
226,Federal Public Service Commission (FPSC) is governed by ____:,FPSC Ordinance 1977,FPSC Parliamentary Act 1977,FPSC Ordinance 1926,FPSC Rules 1977,A
227,India recognized the provisional Government of Bangladesh on __________.,"On December 6, 1971","On December 17, 1971","On December 18, 1971","On December 19, 1971",A
228,Who prepared the Wardha Educational Scheme introduced by the Congress?,Dr. Zakir Hussain,Maulana Azad,Motilal Nehru,Jawaharlal Nehru,A
229,Pakistan rejoined the Commonwealth in:,in 1987,in 1989,in 1991,in 1997,B
230,Who was the First President of the Pakistan Muslim League in 1949?,Ch. Pervaiz Elahi,Yaha Khan,Ch. Khaliquzzaman,None of them,C
231,How many police ranges are in KPK?,7,4,8,3,C
232,"When a person is killed by his brother, it is called:",Homicide,Matricide,Patricide,Fratricide,D
233,Which pass connects Parachinar and Kohat with Afghanistan?,Khyber Pass,Kurram Pass,Gomal Pass,None of these,B
234,What percentage does the housing sector contribute to Pakistan's GDP?,0.25 percent,1 percent,1.5 percent,None of these,C
235,"Whose government removed the 8th Amendment from the 1973 Constitution, which had given immense powers to the president?",Nawaz Sharif's government,Benazir's government,Moeen Qureshi's Government,Mairaj Khalid's government,A
236,The immediate cause for the invasion of Sindh in 712 AD was the interception of a ship sent by the king of?,Persia,Ceylon,Egypt,Oman,B
237,Jalal-ud-din Akbar was the son of _____________.,Nasir-ud-din Humayun,Shah Jahan,Jahangir,Babur,A
238,When did Lord Mountbatten arrive in Delhi as the new Viceroy of India?,"On February 22, 1947","On March 22, 1947","On April 22, 1947","On May 22, 1947",B
239,Muhammad Khan Junejo became Prime Minister of Pakistan in:,1985,1986,1987,1988,A
