Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"The solution of 2cos²(x) - 1 = 0, for 0 <= x < 2π is","π/4, 3π/4, 5π/4, 7π/4","π/6, 5π/6, 7π/6, 11π/6","π/3, 2π/3, 4π/3, 5π/3","π/2, 3π/2",A,"Using cos(2x) = 0, we get 2x = π/2, 3π/2, 5π/2, 7π/2, so x = π/4, 3π/4, 5π/4, 7π/4.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"Solve: sin(x) + sin(3x) = 0, for 0 <= x < π","0, π/2, π","π/4, 3π/4","π/6, 5π/6","π/3, 2π/3",A,"Using sum-to-product identity, 2sin(2x)cos(x) = 0, so sin(2x) = 0 or cos(x) = 0, giving x = 0, π/2, π.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"The number of solutions of cos(x) = cos(π/3), for 0 <= x < 2π is",2,1,3,4,A,"cos(x) = 1/2, so x = π/3, 5π/3 in the given interval, using the unit circle.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If tan(x) = -1, then x = ? for 0 <= x < 2π","3π/4, 7π/4","π/4, 5π/4","π/3, 4π/3","2π/3, 5π/3",A,"tan(x) = -1 when x = 3π/4, 7π/4, using the unit circle or tan(x) = sin(x)/cos(x) = -1.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of cos(x) = cos(α) is,x = 2nπ ± α,x = nπ + α,x = 2nπ + α,x = nπ - α,A,"Using the general solution formula for cos(x) = cos(α), we get x = 2nπ ± α, where n is an integer.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"Solve: sin(x) = cos(x), for 0 <= x < 2π","π/4, 5π/4","π/6, 7π/6","π/3, 4π/3","3π/4, 7π/4",A,"tan(x) = 1, so x = π/4, 5π/4, using tan(x) = sin(x)/cos(x) = 1.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
Solve: 2sin(x) + √3 = 0,x = 4π/3,x = π/3,x = 5π/3,x = 2π/3,A,"Isolate sin(x), then use unit circle or sin(x) = -√3/2 to find x = 4π/3 + 2kπ or x = 5π/3 + 2kπ.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If 2cos²(x) - 1 = 0, then x = ?",π/4,3π/4,π/2,Both A and B,D,"Use cos(2x) = 0, so 2x = π/2, 3π/2, thus x = π/4, 3π/4.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of tan(x) = 1 is,x = nπ + π/4,x = 2nπ + π/4,x = nπ - π/4,x = 2nπ - π/4,A,"tan(x) = 1 when x = π/4, and tan(x) has period π, so x = nπ + π/4.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
Solve: sin(2x) = 0,x = nπ/2,x = nπ,x = 2nπ,x = (2n + 1)π/2,A,"sin(2x) = 0 implies 2x = nπ, so x = nπ/2.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The solution of 2sin²(x) + sin(x) - 1 = 0 is,x = π/6,x = π/2,x = 5π/6,All,D,"Factor the quadratic equation to get (2sin(x) - 1)(sin(x) + 1) = 0, so sin(x) = 1/2 or sin(x) = -1.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If cos(x) = -1/2, then x = ?",2π/3,4π/3,Both A and B,None of these,C,cos(x) = -1/2 when x = 2π/3 or 4π/3 in 0 to 2π.,GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
Solve: cos(3x) = 1/2,x = π/9,x = 5π/9,Both A and B,None of these,C,"cos(3x) = 1/2 gives 3x = π/3 or 5π/3, so x = π/9 or 5π/9.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If tan(2x) = √3, then x = ?",π/6,π/3,π/12,π/4,C,"tan(2x) = √3 implies 2x = π/3, so x = π/6, but considering 2x, x = π/6 is for tan(x), hence x = π/12 for tan(2x).",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The solution of sin(x) + cos(x) = √2 is,x = π/4,x = 3π/4,x = 5π/4,x = 7π/4,A,"Divide by √2, use sin(x + π/4) = 1, so x + π/4 = π/2, hence x = π/4.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If 3tan²(x) - 1 = 0, then x = ?",π/6,π/3,Both A and B are not correct but one of them is,None of these,C,"tan²(x) = 1/3, so tan(x) = ±1/√3, giving x = π/6 or 5π/6, not π/3.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
Solve: 2cos(x) + 1 = 0,x = 2π/3,x = 4π/3,Both,None of these,C,"cos(x) = -1/2, so x = 2π/3 or 4π/3.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If sin(3x) = sin(x), then x = ?",0,π/2,Both,None of these,C,"3x = x + 2nπ or 3x = (2n + 1)π - x, so 2x = 2nπ or 4x = (2n + 1)π, giving x = nπ or x = (2n + 1)π/4.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
Solve: tan(x) = -1,x = 3π/4,x = 7π/4,Both,None of these,C,tan(x) = -1 when x = 3π/4 or 7π/4 in 0 to 2π.,GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The solution of 2sin(x)cos(x) = sin(x) is,x = 0,x = π/2,Both,None of these,C,"sin(x)(2cos(x) - 1) = 0, so sin(x) = 0 or cos(x) = 1/2.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If cos(2x) = cos²(x) - sin²(x), then x = ?",Any x,x = 0,x = π/2,None of these,A,"cos(2x) = cos²(x) - sin²(x) is an identity, true for all x.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
Solve: sin(x) = cos(x),x = π/4,x = 5π/4,Both,None of these,C,"tan(x) = 1, so x = π/4 or 5π/4.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of sin(2x) = sin(x) is,x = 2nπ,x = 2nπ/3,x = nπ,Both A and B,D,"2x = x + 2nπ or 2x = (2n + 1)π - x, giving x = 2nπ or x = (2n + 1)π/3.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If 4sin²(x) - 1 = 0, then x = ?",π/6,5π/6,Both,None of these,C,"sin²(x) = 1/4, so sin(x) = ±1/2, giving x = π/6 or 5π/6.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"Solve: 2sin(x) + 1 = 0, for 0 ≤ x < 2π","7π/6, 11π/6","π/6, 5π/6","π/3, 2π/3","π/4, 3π/4",A,"Using sin(x) = -1/2, we find x = 7π/6, 11π/6 in the given interval, as sin is negative in III and IV quadrants.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
Find the general solution of cos(x) = 1/√2,2nπ ± π/4,nπ + (-1)^n π/4,2nπ + π/4,nπ ± π/4,A,"The general solution for cos(x) = cos(α) is 2nπ ± α, here α = π/4.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"The number of solutions of tan(x) + tan(2x) + tan(3x) = 0, for 0 ≤ x < π/2 is",1,2,0,3,C,"Using tan(A + B + C) formula and simplifying, we get tan(6x) = 0, which has no solution in the given interval except x = 0.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"Solve: sin(2x) = cos(x), for 0 ≤ x < 2π","π/6, 5π/6, π/2","π/2, 3π/2","π/6, 5π/6","π/3, 2π/3",A,"Using sin(2x) = 2sin(x)cos(x) and rearranging, we get 2sin(x)cos(x) - cos(x) = 0. Factoring gives cos(x)(2sin(x) - 1) = 0.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"The solution of 2cos(2x) + 1 = 0, for 0 ≤ x < 2π is","π/3, 2π/3, 4π/3, 5π/3","π/6, 5π/6, 7π/6, 11π/6","π/4, 3π/4, 5π/4, 7π/4","π/2, 3π/2",A,"Simplifying, we get cos(2x) = -1/2. So, 2x = 2π/3, 4π/3, 8π/3, 10π/3. Dividing by 2 gives the required solutions.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of sin(x) + cos(x) = √2 is,2nπ + π/4,nπ + (-1)^n π/4,2nπ - π/4,nπ + π/4,A,"Dividing by √2, we get sin(x + π/4) = 1, so x + π/4 = 2nπ + π/2, hence x = 2nπ + π/4.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If sin(x) = 1/2 and cos(x) = √3/2, then x =",π/6,π/3,π/4,π/2,A,"Both conditions are satisfied when x is in the first quadrant, so x = π/6.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"The number of solutions of 3sin(x) + 4cos(x) = 5, for 0 ≤ x < 2π is",1,2,0,3,A,"Using the identity Rcos(x - α) = 3sin(x) + 4cos(x), we find one solution in the given interval.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"Solve: sin(x) + sin(3x) + sin(5x) = 0, for 0 ≤ x < 2π","π/3, 2π/3, π, 4π/3, 5π/3","π/6, π/3, 2π/3, 5π/6","0, π/3, 2π/3, π, 4π/3, 5π/3","π/4, 3π/4, 5π/4, 7π/4",C,"Using sum-to-product identities, we simplify and solve for x.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of tan(3x) = cot(x) is,nπ/4 + π/8,nπ/2 + π/8,nπ/4 - π/8,nπ + π/4,B,"tan(3x) = 1/tan(x), so tan(3x)tan(x) = 1. Using tan(A + B) formula, we simplify to get the general solution.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"The solution of 2sin(3x) + 1 = 0, for 0 ≤ x < 2π is","7π/18, 11π/18, 19π/18, 23π/18, 31π/18, 35π/18","π/6, 5π/6","π/3, 2π/3","π/4, 3π/4",A,"Simplifying gives sin(3x) = -1/2. So, 3x = 7π/6, 11π/6, 19π/6, 23π/6, 31π/6, 35π/6. Dividing by 3 gives the solutions.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If cos(2x) = cos(x), then x =",2nπ,2nπ/3,nπ,2nπ or 2nπ/3,D,"Using the identity cos(2x) = 2cos²(x) - 1 and simplifying, we get 2cos²(x) - cos(x) - 1 = 0.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of sin(2x) + sin(4x) = 0 is,nπ/3,nπ/2,nπ,nπ/6,A,"Using sum-to-product identity, we simplify to get 2sin(3x)cos(x) = 0, giving the general solution.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"The solution of cos(x) + cos(3x) + cos(5x) + cos(7x) = 0, for 0 ≤ x < 2π is","π/8, 3π/8, 5π/8, 7π/8, 9π/8, 11π/8, 13π/8, 15π/8","π/4, 3π/4, 5π/4, 7π/4","π/6, 5π/6, 7π/6, 11π/6","π/2, 3π/2",A,"Using sum-to-product identities, we simplify the equation and solve for x.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If 2sin(x)cos(x) + sin(x) = 0, then x =",nπ,nπ + (-1)^n 7π/6,nπ or nπ + (-1)^n 7π/6,2nπ,C,"Factoring gives sin(x)(2cos(x) + 1) = 0, so sin(x) = 0 or cos(x) = -1/2.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"The number of solutions of tan(x) = 1, for 0 ≤ x < 2π is",2,1,0,3,A,"tan(x) = 1 has solutions in I and III quadrants, so x = π/4, 5π/4.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of sin(x) = sin(π/3) is,nπ + (-1)^n π/3,2nπ ± π/3,nπ + π/3,2nπ + π/3,A,"The general solution for sin(x) = sin(α) is nπ + (-1)^n α, here α = π/3.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"Solve: cos(2x) + 3cos(x) + 2 = 0, for 0 ≤ x < 2π",π,"π, 2π/3, 4π/3","π, π/3, 5π/3","0, 2π",B,"Using cos(2x) = 2cos²(x) - 1, we simplify to get a quadratic equation in cos(x), and solve for x.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of 2cos(x) + √2 = 0 is,2nπ ± 3π/4,2nπ + 3π/4,2nπ - 3π/4,nπ + 3π/4,A,"Simplifying gives cos(x) = -1/√2, so x = 2nπ ± 3π/4.",LUMS_SAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If tan(x) = 1, then x =",π/4 + nπ,π/4 + 2nπ,nπ + π/2,2nπ,A,"The tangent function equals 1 at π/4 and has a period of π, so the general solution is π/4 + nπ.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The solution of cos(x) = 0 is,nπ,(2n + 1)π/2,2nπ,(n + 1/2)π/3,B,"The cosine function equals zero at odd multiples of π/2, hence the general solution is (2n + 1)π/2.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of 2sin(x) + √3 = 0 is,nπ + (-1)^n * π/3,nπ + (-1)^(n+1) * π/3,2nπ ± π/3,nπ + (-1)^(n+1) * 2π/3,B,"First, isolate sin(x) to get sin(x) = -√3/2, then use the general solution for sin(x) = sin(α).",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of the equation sin(2x) = 1/2 is,nπ + (-1)^n * π/12,nπ/2 + (-1)^n * π/12,nπ + (-1)^(n+1) * π/6,nπ + π/6,B,"Use the identity sin(2x) = sin(α), then 2x = nπ + (-1)^n * α, and solve for x.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of tan(2x) = √3 is,nπ/2 + π/6,nπ + π/3,nπ/2 + π/3,nπ + π/6,C,"First, find the principal solution, then use the periodicity of the tangent function to find the general solution.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of cos(3x) = 1/2 is,2nπ/3 ± 2π/9,2nπ ± π/9,nπ/3 + (-1)^n * π/9,2nπ/3 ± π/9,A,"First, isolate cos(3x), then use the general solution for cos(x) = cos(α).",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of 3tan²(x) - 1 = 0 is,nπ ± π/6,nπ ± arctan(1/√3),nπ ± arctan(√3),nπ/2 ± arctan(1/√3),B,"First, solve for tan(x), then use the general solution for tan(x) = tan(α).",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The solution of 2sin(x)cos(x) = 1 is,nπ + (-1)^n * π/4,nπ/2 + (-1)^n * π/4,nπ + π/4,nπ + (-1)^n * π/2,B,"Use the identity sin(2x) = 2sin(x)cos(x), then simplify and solve.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of sin(x) + sin(3x) = 0 is,nπ/2,nπ,nπ/4,nπ or nπ ± π/4,D,"Use sum-to-product identity, then simplify and solve the resulting equation.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of cos(x) = cos(2x) is,2nπ/3,2nπ,nπ or 2nπ ± 2π/3,2nπ/3 or 2nπ ± π/3,C,"Use the identity cos(2x) = 2cos²(x) - 1, then simplify and solve the resulting quadratic equation.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If sin(3x) = sin(x), then x =",nπ or nπ ± π/2,nπ,nπ/2,nπ or 2nπ ± π/4,B,"Use the identity sin(3x) - sin(x) = 0, then apply sum-to-product identity and solve.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of tan(x) = tan(2x) is,nπ/2,nπ,nπ or nπ ± π/4,nπ or 2nπ ± π/3,B,"First, simplify the equation to tan(2x) - tan(x) = 0, then use the identity for tan(A) - tan(B).",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of 2sin²(x) + sin(x) = 0 is,nπ or nπ + (-1)^n * π/6,nπ or nπ + (-1)^(n+1) * π/6,nπ,nπ or 2nπ ± 7π/6,C,"Factor out sin(x), then solve for sin(x) = 0 or sin(x) = -1/2.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The solution of cos(2x) + cos(x) = 0 is,2nπ ± 2π/3,2nπ/3 or 2nπ ± π/3,nπ or 2nπ ± 2π/3,2nπ ± π/3,C,"Use the identity cos(2x) = 2cos²(x) - 1, then simplify and solve the resulting quadratic equation.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of sin(2x) = cos(x) is,nπ/2 + (-1)^n * π/6,nπ + (-1)^n * π/6,nπ/2 + π/6 or nπ - π/2,nπ + π/6,C,"Use the identity sin(2x) = 2sin(x)cos(x) and cos(x) = cos(x), then simplify and solve.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
Solve: cos(x) = 1/2,2nπ ± π/3,nπ ± π/6,2nπ ± π/6,nπ ± π/3,A,"cos(x) = 1/2 gives x = 2nπ ± π/3, using the general solution for cosine.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The solution of tan(x) = √3 is,nπ + π/3,nπ - π/3,2nπ + π/3,2nπ - π/3,A,"tan(x) = √3 implies x = nπ + π/3, using the general solution for tangent.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If sin(x) = -1/2, then x =",nπ + (-1)^n π/6,nπ + (-1)^(n+1) π/6,2nπ ± 7π/6,nπ + (-1)^n 7π/6,B,"sin(x) = -1/2 gives x = nπ + (-1)^(n+1) π/6, using the general solution for sine with negative value.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
