
🚀 ENGINEERING MASTER ENGINE (FIXED V3) ACTIVATED
    ✓ Batch [ECAT]: 19 saved (Total: 246)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 259)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 277)
    ✓ Batch [NET]: 12 saved (Total: 289)
    ✓ Batch [ECAT]: 13 saved (Total: 302)

▶ STARTING: Mathematics -> Quadratic Equations (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 17 saved (Total: 37)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 55)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 73)
    ✓ Batch [NET]: 20 saved (Total: 93)
    ✓ Batch [ECAT]: 19 saved (Total: 112)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 127)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 143)
    ✓ Batch [NET]: 13 saved (Total: 156)
    ✓ Batch [ECAT]: 18 saved (Total: 174)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 191)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 207)
    ✓ Batch [NET]: 13 saved (Total: 220)
    ✓ Batch [ECAT]: 18 saved (Total: 238)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 252)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 267)
    ✓ Batch [NET]: 16 saved (Total: 283)
    ✓ Batch [ECAT]: 16 saved (Total: 299)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 319)

▶ STARTING: Mathematics -> Partial Fractions (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 18 saved (Total: 38)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 57)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 77)
    ✓ Batch [NET]: 17 saved (Total: 94)
    ✓ Batch [ECAT]: 16 saved (Total: 110)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 126)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 141)
    ✓ Batch [NET]: 18 saved (Total: 159)
    ✓ Batch [ECAT]: 16 saved (Total: 175)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 191)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 205)
    ✓ Batch [NET]: 15 saved (Total: 220)
    ✓ Batch [ECAT]: 19 saved (Total: 239)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 252)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 265)
    ✓ Batch [NET]: 13 saved (Total: 278)
    ✓ Batch [ECAT]: 13 saved (Total: 291)
    ✓ Batch [GIKI_PIEAS]: 8 saved (Total: 299)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 314)

▶ STARTING: Mathematics -> Sequences and Series (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 19 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 59)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 79)
    ✓ Batch [NET]: 20 saved (Total: 99)
    ✓ Batch [ECAT]: 19 saved (Total: 118)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 137)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 155)
    ✓ Batch [NET]: 15 saved (Total: 170)
    ✓ Batch [ECAT]: 16 saved (Total: 186)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 205)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 223)
    ✓ Batch [NET]: 18 saved (Total: 241)
    ✓ Batch [ECAT]: 18 saved (Total: 259)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 275)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 289)
    ✓ Batch [NET]: 15 saved (Total: 304)

▶ STARTING: Mathematics -> Permutation Combination and Probability (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 18 saved (Total: 38)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 56)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 73)
    ✓ Batch [NET]: 17 saved (Total: 90)
    ✓ Batch [ECAT]: 13 saved (Total: 103)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 118)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 134)
    ✓ Batch [NET]: 11 saved (Total: 145)
    ✓ Batch [ECAT]: 11 saved (Total: 156)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 169)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 185)
    ✓ Batch [NET]: 18 saved (Total: 203)
    ✓ Batch [ECAT]: 11 saved (Total: 214)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 232)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 245)
    ✓ Batch [NET]: 14 saved (Total: 259)
    ✓ Batch [ECAT]: 12 saved (Total: 271)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 284)
    ✓ Batch [LUMS_SAT]: 6 saved (Total: 290)
    ✓ Batch [NET]: 8 saved (Total: 298)
    ✓ Batch [ECAT]: 14 saved (Total: 312)

▶ STARTING: Mathematics -> Mathematical Induction and Binomial Theorem (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 58)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 76)
    ✓ Batch [NET]: 20 saved (Total: 96)
    ✓ Batch [ECAT]: 17 saved (Total: 113)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 132)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 150)
    ✓ Batch [NET]: 20 saved (Total: 170)
    ✓ Batch [ECAT]: 16 saved (Total: 186)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 205)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 223)
    ✓ Batch [NET]: 15 saved (Total: 238)
    ✓ Batch [ECAT]: 16 saved (Total: 254)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 271)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 288)
    ✓ Batch [NET]: 18 saved (Total: 306)

▶ STARTING: Mathematics -> Fundamentals of Trigonometry (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 16 saved (Total: 36)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 53)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 73)
    ✓ Batch [NET]: 11 saved (Total: 84)
    ✓ Batch [ECAT]: 20 saved (Total: 104)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 123)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 141)
    ✓ Batch [NET]: 19 saved (Total: 160)
    ✓ Batch [ECAT]: 7 saved (Total: 167)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 186)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 201)
    ✗ Error: Error code: 503 - {'error': {'message': 'Service unavailable. Visit https://groq
    ✓ Batch [ECAT]: 11 saved (Total: 212)
    ✓ Batch [GIKI_PIEAS]: 10 saved (Total: 222)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 232)
    ✓ Batch [NET]: 15 saved (Total: 247)
    ✓ Batch [ECAT]: 10 saved (Total: 257)
    ✓ Batch [GIKI_PIEAS]: 8 saved (Total: 265)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 273)
    ✓ Batch [NET]: 12 saved (Total: 285)
    ✓ Batch [ECAT]: 3 saved (Total: 288)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 301)

▶ STARTING: Mathematics -> Trigonometric Identities (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 76)
    ✓ Batch [NET]: 20 saved (Total: 96)
    ✓ Batch [ECAT]: 14 saved (Total: 110)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 124)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 135)
    ✓ Batch [NET]: 20 saved (Total: 155)
    ✓ Batch [ECAT]: 9 saved (Total: 164)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 178)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 194)
    ✓ Batch [NET]: 11 saved (Total: 205)
    ✓ Batch [ECAT]: 14 saved (Total: 219)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 237)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 248)
    ✓ Batch [NET]: 19 saved (Total: 267)
    ✓ Batch [ECAT]: 5 saved (Total: 272)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 284)
    ✓ Batch [LUMS_SAT]: 12 saved (Total: 296)
    ✓ Batch [NET]: 16 saved (Total: 312)

▶ STARTING: Mathematics -> Trigonometric Functions and Graphs (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 79)
    ✓ Batch [NET]: 19 saved (Total: 98)
    ✓ Batch [ECAT]: 19 saved (Total: 117)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 136)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 152)
    ✓ Batch [NET]: 12 saved (Total: 164)
    ✓ Batch [ECAT]: 15 saved (Total: 179)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 194)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 214)
    ✓ Batch [NET]: 16 saved (Total: 230)
    ✓ Batch [ECAT]: 11 saved (Total: 241)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 256)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 269)
    ✓ Batch [NET]: 13 saved (Total: 282)
    ✓ Batch [ECAT]: 16 saved (Total: 298)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 314)

▶ STARTING: Mathematics -> Application of Trigonometry (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 19 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 54)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 74)
    ✓ Batch [NET]: 17 saved (Total: 91)
    ✓ Batch [ECAT]: 20 saved (Total: 111)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 130)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 148)
    ✓ Batch [NET]: 19 saved (Total: 167)
    ✓ Batch [ECAT]: 9 saved (Total: 176)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 191)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 210)
    ✓ Batch [NET]: 11 saved (Total: 221)
    ✓ Batch [ECAT]: 17 saved (Total: 238)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 247)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 265)
    ✓ Batch [NET]: 20 saved (Total: 285)
    ✓ Batch [ECAT]: 8 saved (Total: 293)
    ✓ Batch [GIKI_PIEAS]: 8 saved (Total: 301)

▶ STARTING: Mathematics -> Inverse Trigonometric Functions (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 13 saved (Total: 33)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 53)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 73)
    ✓ Batch [NET]: 17 saved (Total: 90)
    ✓ Batch [ECAT]: 8 saved (Total: 98)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 112)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 131)
    ✓ Batch [NET]: 15 saved (Total: 146)
    ✓ Batch [ECAT]: 13 saved (Total: 159)
    ✓ Batch [GIKI_PIEAS]: 10 saved (Total: 169)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 188)
    ✓ Batch [NET]: 17 saved (Total: 205)
    ✓ Batch [ECAT]: 10 saved (Total: 215)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 234)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 245)
    ✓ Batch [NET]: 12 saved (Total: 257)
    ✓ Batch [ECAT]: 8 saved (Total: 265)
    ✓ Batch [GIKI_PIEAS]: 8 saved (Total: 273)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 292)
    ✓ Batch [NET]: 7 saved (Total: 299)
    ✓ Batch [ECAT]: 3 saved (Total: 302)

▶ STARTING: Mathematics -> Solutions of Trigonometric Equations (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 19 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 57)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 76)
    ✓ Batch [NET]: 15 saved (Total: 91)
    ✓ Batch [ECAT]: 18 saved (Total: 109)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 128)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 145)
    ✓ Batch [NET]: 16 saved (Total: 161)
    ✓ Batch [ECAT]: 14 saved (Total: 175)
    ✓ Batch [GIKI_PIEAS]: 10 saved (Total: 185)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 202)
    ✓ Batch [NET]: 8 saved (Total: 210)
    ✓ Batch [ECAT]: 12 saved (Total: 222)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 231)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 248)
    ✓ Batch [NET]: 16 saved (Total: 264)
    ✓ Batch [ECAT]: 7 saved (Total: 271)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 285)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 295)
    ✓ Batch [NET]: 13 saved (Total: 308)

▶ STARTING: Mathematics -> Functions and Limits (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 16 saved (Total: 36)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 56)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 74)
    ✓ Batch [NET]: 18 saved (Total: 92)
    ✓ Batch [ECAT]: 10 saved (Total: 102)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 118)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 138)
    ✓ Batch [NET]: 16 saved (Total: 154)
    ✓ Batch [ECAT]: 17 saved (Total: 171)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 186)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 199)
    ✓ Batch [NET]: 6 saved (Total: 205)
    ✓ Batch [ECAT]: 9 saved (Total: 214)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 233)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 243)
    ✓ Batch [NET]: 17 saved (Total: 260)
    ✓ Batch [ECAT]: 12 saved (Total: 272)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 289)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 304)

▶ STARTING: Mathematics -> Differentiation (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 55)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 72)
    ✓ Batch [NET]: 9 saved (Total: 81)
    ✓ Batch [ECAT]: 7 saved (Total: 88)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 108)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 128)
    ✓ Batch [NET]: 16 saved (Total: 144)
    ✓ Batch [ECAT]: 20 saved (Total: 164)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 173)
    ✓ Batch [LUMS_SAT]: 7 saved (Total: 180)
    ✓ Batch [NET]: 15 saved (Total: 195)
    ✓ Batch [ECAT]: 8 saved (Total: 203)
    ✓ Batch [GIKI_PIEAS]: 4 saved (Total: 207)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 226)
    ✓ Batch [NET]: 6 saved (Total: 232)
    ✓ Batch [ECAT]: 6 saved (Total: 238)
    ✓ Batch [GIKI_PIEAS]: 4 saved (Total: 242)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 260)
    ✓ Batch [NET]: 10 saved (Total: 270)
    ✓ Batch [ECAT]: 4 saved (Total: 274)
    ✓ Batch [GIKI_PIEAS]: 8 saved (Total: 282)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 299)
    ✓ Batch [NET]: 3 saved (Total: 302)

▶ STARTING: Mathematics -> Integration (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 78)
    ✓ Batch [NET]: 20 saved (Total: 98)
    ✓ Batch [ECAT]: 14 saved (Total: 112)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 130)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 148)
    ✓ Batch [NET]: 14 saved (Total: 162)
    ✓ Batch [ECAT]: 17 saved (Total: 179)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 194)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 211)
    ✓ Batch [NET]: 11 saved (Total: 222)
    ✓ Batch [ECAT]: 9 saved (Total: 231)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 247)
    ✓ Batch [LUMS_SAT]: 9 saved (Total: 256)
    ✓ Batch [NET]: 13 saved (Total: 269)
    ✓ Batch [ECAT]: 14 saved (Total: 283)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 297)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 313)

▶ STARTING: Mathematics -> Introduction to Analytic Geometry (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 12 saved (Total: 32)
    ✓ Batch [GIKI_PIEAS]: 11 saved (Total: 43)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 56)
    ✓ Batch [NET]: 11 saved (Total: 67)
    ✓ Batch [ECAT]: 20 saved (Total: 87)
    ✓ Batch [GIKI_PIEAS]: 10 saved (Total: 97)
    ✓ Batch [LUMS_SAT]: 9 saved (Total: 106)
    ✓ Batch [NET]: 12 saved (Total: 118)
    ✓ Batch [ECAT]: 11 saved (Total: 129)
    ✓ Batch [GIKI_PIEAS]: 8 saved (Total: 137)
    ✓ Batch [LUMS_SAT]: 3 saved (Total: 140)
    ✓ Batch [NET]: 8 saved (Total: 148)
    ✓ Batch [ECAT]: 7 saved (Total: 155)
    ✓ Batch [GIKI_PIEAS]: 6 saved (Total: 161)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 172)
    ✓ Batch [NET]: 4 saved (Total: 176)
    ✓ Batch [ECAT]: 12 saved (Total: 188)
    ✓ Batch [GIKI_PIEAS]: 3 saved (Total: 191)
    ✓ Batch [LUMS_SAT]: 9 saved (Total: 200)
    ✓ Batch [NET]: 4 saved (Total: 204)
    ✓ Batch [ECAT]: 11 saved (Total: 215)
    ✓ Batch [GIKI_PIEAS]: 6 saved (Total: 221)
    ✓ Batch [LUMS_SAT]: 6 saved (Total: 227)
    ✓ Batch [NET]: 3 saved (Total: 230)
    ✓ Batch [ECAT]: 5 saved (Total: 235)
    ✓ Batch [GIKI_PIEAS]: 4 saved (Total: 239)
    ✓ Batch [LUMS_SAT]: 5 saved (Total: 244)
    ✓ Batch [NET]: 3 saved (Total: 247)
    ✓ Batch [ECAT]: 5 saved (Total: 252)
    ✓ Batch [GIKI_PIEAS]: 8 saved (Total: 260)
    ✓ Batch [LUMS_SAT]: 1 saved (Total: 261)
    ✓ Batch [NET]: 4 saved (Total: 265)
    ✓ Batch [ECAT]: 6 saved (Total: 271)
    ✓ Batch [GIKI_PIEAS]: 2 saved (Total: 273)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 290)
    ✗ Error: Error code: 503 - {'error': {'message': 'meta-llama/llama-4-maverick-17b-128e-in
    ✓ Batch [ECAT]: 8 saved (Total: 298)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 307)

▶ STARTING: Mathematics -> Linear Inequalities and Linear Programming (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 78)
    ✓ Batch [NET]: 16 saved (Total: 94)
    ✓ Batch [ECAT]: 16 saved (Total: 110)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 125)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 142)
    ✓ Batch [NET]: 17 saved (Total: 159)
    ✓ Batch [ECAT]: 17 saved (Total: 176)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 192)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 207)
    ✓ Batch [NET]: 16 saved (Total: 223)
    ✓ Batch [ECAT]: 19 saved (Total: 242)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 260)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 280)
    ✓ Batch [NET]: 14 saved (Total: 294)
    ✓ Batch [ECAT]: 13 saved (Total: 307)

▶ STARTING: Mathematics -> Conic Sections (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 15 saved (Total: 35)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 53)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 73)
    ✓ Batch [NET]: 17 saved (Total: 90)
    ✓ Batch [ECAT]: 18 saved (Total: 108)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 121)
    🔄 Switched to: qwen/qwen3-32b
    ✗ Error: Error code: 400 - {'error': {'message': "Failed to validate JSON. Please adjust 
    ✓ Batch [ECAT]: 10 saved (Total: 131)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 140)
    ✓ Batch [LUMS_SAT]: 3 saved (Total: 143)
    ✓ Batch [NET]: 6 saved (Total: 149)
    ✓ Batch [ECAT]: 2 saved (Total: 151)
    ✓ Batch [GIKI_PIEAS]: 7 saved (Total: 158)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 166)
    ✗ Error: Error code: 400 - {'error': {'message': "Failed to validate JSON. Please adjust 
    ✓ Batch [ECAT]: 8 saved (Total: 174)
    ✗ Error: Error code: 400 - {'error': {'message': "Failed to validate JSON. Please adjust 
    ✓ Batch [LUMS_SAT]: 3 saved (Total: 177)
    ✓ Batch [NET]: 8 saved (Total: 185)
    ✓ Batch [ECAT]: 8 saved (Total: 193)
    ✓ Batch [GIKI_PIEAS]: 2 saved (Total: 195)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 203)
    ✓ Batch [NET]: 4 saved (Total: 207)
    ✓ Batch [ECAT]: 4 saved (Total: 211)
    ✗ Error: Error code: 400 - {'error': {'message': "Failed to validate JSON. Please adjust 
    ✓ Batch [LUMS_SAT]: 9 saved (Total: 220)
    ✓ Batch [NET]: 7 saved (Total: 227)
    ✓ Batch [ECAT]: 2 saved (Total: 229)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 238)
    ✓ Batch [LUMS_SAT]: 4 saved (Total: 242)
    ✓ Batch [NET]: 2 saved (Total: 244)
    ✓ Batch [ECAT]: 8 saved (Total: 252)
    ✓ Batch [GIKI_PIEAS]: 7 saved (Total: 259)
    ✗ Error: Error code: 400 - {'error': {'message': "Failed to validate JSON. Please adjust 
    ✓ Batch [NET]: 9 saved (Total: 268)
    ✓ Batch [ECAT]: 6 saved (Total: 274)
    ✗ Error: Error code: 400 - {'error': {'message': "Failed to validate JSON. Please adjust 
    ✓ Batch [LUMS_SAT]: 9 saved (Total: 283)
    ✓ Batch [NET]: 8 saved (Total: 291)
    ✗ Error: Error code: 400 - {'error': {'message': "Failed to validate JSON. Please adjust 
    ✓ Batch [GIKI_PIEAS]: 1 saved (Total: 292)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 303)

▶ STARTING: Mathematics -> Vectors (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 19 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 56)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 75)
    ✓ Batch [NET]: 17 saved (Total: 92)
    🔄 Switched to: qwen/qwen3-32b
    ✓ Batch [GIKI_PIEAS]: 8 saved (Total: 100)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 111)
    ✓ Batch [NET]: 9 saved (Total: 120)
    ✗ Error: Error code: 400 - {'error': {'message': "Failed to validate JSON. Please adjust 
    ✗ Error: Error code: 400 - {'error': {'message': "Failed to validate JSON. Please adjust 
    ✓ Batch [LUMS_SAT]: 9 saved (Total: 129)
    ✓ Batch [NET]: 9 saved (Total: 138)
    ✓ Batch [ECAT]: 11 saved (Total: 149)
    ✓ Batch [GIKI_PIEAS]: 7 saved (Total: 156)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 166)
    ✗ Error: Error code: 400 - {'error': {'message': "Failed to generate JSON. Please adjust 
