Profile,Name,URL,About,Find companies,Description,Primary Industry,Size,Type,Location,Country,Domain
Contour Clinic,Contour Clinic,https://www.linkedin.com/company/contour-clinic,"From the moment you enter one of our Minneapolis area medspa clinics you will be welcomed with open arms and ears. We know that the medical aesthetics world can be tricky and sometimes scary to navigate on your own. You may feel like you want to explore some of the options that you have heard about, but you're just not sure to whom or where to go. Your search ends here!

We want to know all of your concerns and goals for your skin and appearance so we can partner with you and bring them to fruition. Besides having an injection team who are leaders in their field and train other physicians and nurses how to inject, we have a powerhouse team of licensed aestheticians and laser technicians with years of experience and talent at getting you results.

We also can't wait for you to meet our operations team! They pride themselves on taking care of you like you were family and make sure you are taken care of long before and after you leave our Minneapolis medspa's doors. We are honored to take care of you and your skin.",,"From the moment you enter one of our Minneapolis area medspa clinics you will be welcomed with open arms and ears. We know that the medical aesthetics world can be tricky and sometimes scary to navigate on your own. You may feel like you want to explore some of the options that you have heard about, but you're just not sure to whom or where to go. Your search ends here!

We want to know all of your concerns and goals for your skin and appearance so we can partner with you and bring them to fruition. Besides having an injection team who are leaders in their field and train other physicians and nurses how to inject, we have a powerhouse team of licensed aestheticians and laser technicians with years of experience and talent at getting you results.

We also can't wait for you to meet our operations team! They pride themselves on taking care of you like you were family and make sure you are taken care of long before and after you leave our Minneapolis medspa's doors. We are honored to take care of you and your skin.",Medical Practices,11-50 employees,Privately Held,"Vadnais Heights, Minnesota",United States,contourclinic.com
OCEANS Dermatology,OCEANS Dermatology,https://www.linkedin.com/company/oceansdermatology,"South Florida's premier dermatology practice. Board-certified and fellowship-trained in general dermatology, Mohs surgery, dermoscopy, cosmetic dermatology, & cutaneous surgery.",,"South Florida's premier dermatology practice. Board-certified and fellowship-trained in general dermatology, Mohs surgery, dermoscopy, cosmetic dermatology, & cutaneous surgery.",Medical Practices,11-50 employees,Privately Held,"Boynton Beach, Florida",United States,oceansderm.com
"ALLA BROUK, M.D., P.C. PRP NY NJ","ALLA BROUK, M.D., P.C. PRP NY NJ",https://www.linkedin.com/company/alla-brouk-m.d.-p.c.,"PRP Platelet Rich Plasma Hair Loss, Alopecia, Hair Thinning,  Arthritis, Inquiry, Facelift, PShot ED Treatments. Morpheus8 Deep Microneedling, Skin Care, Laser Skin Tightening Medial Spa & Aesthetics. Offices in NY and NJ.",,"PRP Platelet Rich Plasma Hair Loss, Alopecia, Hair Thinning,  Arthritis, Inquiry, Facelift, PShot ED Treatments. Morpheus8 Deep Microneedling, Skin Care, Laser Skin Tightening Medial Spa & Aesthetics. Offices in NY and NJ.",Medical Practices,2-10 employees,Privately Held,"Rockville Centre, New York",United States,allabrouk.com
Pacific Skin and Cosmetic Dermatology,Pacific Skin and Cosmetic Dermatology,https://www.linkedin.com/company/pacific-skin-and-cosmetic-dermatology,"Pacific Skin and Cosmetic Dermatology has been serving the San Francisco Bay Area for over 10 years with innovative technologies and procedures to meet your dermatological needs. We take patient’s unique case into consideration and approach your needs from both a medical and aesthetic perspective to give you the best outcome possible. Dr. Evans and the providers at Pacific Skin are abundantly qualified to diagnose and treat over 3,000 different skin conditions, including acne, psoriasis, rosacea, and skin cancer. Our providers are also a master injectors with an aesthetic eye for facial balancing. They are skilled in Botox and in using fillers from the Juvederm and Restylane line. Call us today for more information!",,"Pacific Skin and Cosmetic Dermatology has been serving the San Francisco Bay Area for over 10 years with innovative technologies and procedures to meet your dermatological needs. We take patient’s unique case into consideration and approach your needs from both a medical and aesthetic perspective to give you the best outcome possible. Dr. Evans and the providers at Pacific Skin are abundantly qualified to diagnose and treat over 3,000 different skin conditions, including acne, psoriasis, rosacea, and skin cancer. Our providers are also a master injectors with an aesthetic eye for facial balancing. They are skilled in Botox and in using fillers from the Juvederm and Restylane line. Call us today for more information!",Medical Practices,11-50 employees,Privately Held,"San Francisco, CA",United States,pacificskin.com
University Park Dermatology & Medical Spa,University Park Dermatology & Medical Spa,https://www.linkedin.com/company/university-park-dermatology-pllc,"It's easier than ever to look and feel great! We are a full range dermatology and medical spa. Our office strives to provide the highest quality cosmetic and general dermatology services in a warm and personal setting.

We provide comprehensive general dermatology services including:
-Pediatric and Adult Dermatology
-Skin Cancer Screenings and Surgery
-MOHS Micrographic Surgery
-Psoriasis and Vitiligo Laser Treatment

Also medical grade cosmetic procedures:
-Botox & Dysport 
-Dermal Fillers
-IPL Photofacial
-Laser Hair Removal 
-Laser Resurfacing
-Laser Scar Removal
-Emsculpt Neo 
-CoolSculpting
-Sculptra
-Potenza RF Microneedling 
-CO2 Laser 
-PRP

We also offer the following aesthetic services:
-HydraFacial
-VI Peel
-Dermaplaning
-SkinPen Microneedling
-Acne Blue Light 
-Keravive Scalp Treatment",,"It's easier than ever to look and feel great! We are a full range dermatology and medical spa. Our office strives to provide the highest quality cosmetic and general dermatology services in a warm and personal setting.

We provide comprehensive general dermatology services including:
-Pediatric and Adult Dermatology
-Skin Cancer Screenings and Surgery
-MOHS Micrographic Surgery
-Psoriasis and Vitiligo Laser Treatment

Also medical grade cosmetic procedures:
-Botox & Dysport 
-Dermal Fillers
-IPL Photofacial
-Laser Hair Removal 
-Laser Resurfacing
-Laser Scar Removal
-Emsculpt Neo 
-CoolSculpting
-Sculptra
-Potenza RF Microneedling 
-CO2 Laser 
-PRP

We also offer the following aesthetic services:
-HydraFacial
-VI Peel
-Dermaplaning
-SkinPen Microneedling
-Acne Blue Light 
-Keravive Scalp Treatment",Medical Practices,11-50 employees,Privately Held,"Sarasota, Florida",United States,upderm.com
Skin Clique,Skin Clique,https://www.linkedin.com/company/theskinclique,"Skin Clique is a medical-founded aesthetics company offering in-home, virtual, and in-office aesthetic and skin health treatments across the U.S., founded in 2018 by Dr. Sarah Allen and Claire O'Bryan. It operates a nationwide network of 800+ licensed providers in 45+ locations and offers services including injectables, microneedling, chemical peels, prescription dermatology, hair growth therapy, and medical weight-loss programs.",,"Skin Clique is a medical-founded aesthetics company transforming how people access expert skin health care. Founded by Dr. Sarah Allen, MD, and co-founded by Claire O’Bryan, NP, Skin Clique delivers personalized, science-backed treatments and premium skincare through virtual, in-home, and in-office services nationwide. Our national network of 800+ licensed medical providers offers a curated menu of clinically validated services, including toxin and filler treatments, microneedling, chemical peels, hyperhidrosis solutions, prescription dermatology, hair growth support and medical weight loss solutions. We pair cutting-edge expertise with personalized care to help patients achieve healthy, confident skin on their terms. At Skin Clique, skin health is health.",Medical Practices,11-50 employees,Privately Held,"Charleston, South Carolina",United States,skinclique.com
"Minnesota Dermatology, PA","Minnesota Dermatology, PA",https://www.linkedin.com/company/minnesota-dermatology-pa,Please see us now at Ecker Dermatology,,Please see us now at Ecker Dermatology,Medical Practices,11-50 employees,Privately Held,"Wayzata, MN",United States,eckerderm.com
"Pura Vida Body & Mind Spa, Inc.","Pura Vida Body & Mind Spa, Inc.",https://www.linkedin.com/company/pvmedspa,"Pura Vida Body & Mind Spa is a one of a kind medical spa. Although many medical skin care treatments are provided, when you walk into the Pura Vida Body & Mind Spa, nothing about it feels “medical.” Instead, you will find yourself in a luxurious environment that combines peaceful surroundings and modern facilities with an impressive selection of more than 100 skin care and pampering services. The treatments and the décor are certain to soothe both mind and body while layers of tension and stress melt away. 

Pura Vida Body & Mind was founded to provide a new approach to improving one’s overall health by combining medical treatments that restore youthfulness and wellness with non-medical treatments that promote relaxation and serenity to reenergize the mind. Our holistic, results-centric solutions improve your skin, improve your confidence, reduce stress, and restore your body and mind to a more youthful state of being.",,"Pura Vida Body & Mind Spa is a one of a kind medical spa. Although many medical skin care treatments are provided, when you walk into the Pura Vida Body & Mind Spa, nothing about it feels “medical.” Instead, you will find yourself in a luxurious environment that combines peaceful surroundings and modern facilities with an impressive selection of more than 100 skin care and pampering services. The treatments and the décor are certain to soothe both mind and body while layers of tension and stress melt away. 

Pura Vida Body & Mind was founded to provide a new approach to improving one’s overall health by combining medical treatments that restore youthfulness and wellness with non-medical treatments that promote relaxation and serenity to reenergize the mind. Our holistic, results-centric solutions improve your skin, improve your confidence, reduce stress, and restore your body and mind to a more youthful state of being.","Health, Wellness and Fitness",11-50 employees,Privately Held,"Fleming Island, Florida",United States,puravidaflemingisland.com
Arviv Medical Aesthetics,Arviv Medical Aesthetics,https://www.linkedin.com/company/arviv-medical-aesthetics,"Our medical spa represents the latest advances in the art of facial and body rejuvenation. Combining the luxury elements of a spa with the safety and superior clinical capabilities of the medical profession, we are one of the fastest-growing practices in Westchase of Tampa Bay and with a new office in Midtown, Miami.",,"Our medical spa represents the latest advances in the art of facial and body rejuvenation. Combining the luxury elements of a spa with the safety and superior clinical capabilities of the medical profession, we are one of the fastest-growing practices in Westchase of Tampa Bay and with a new office in Midtown, Miami.",Medical Practices,11-50 employees,Privately Held,"Tampa, Florida",United States,arvivaesthetics.com
Belle Vie Wellness & Medical Aesthetics,Belle Vie Wellness & Medical Aesthetics,https://www.linkedin.com/company/belle-vie-wellness-and-medical-aesthetics,"Belle Vie Wellness & Medical Aesthetics, P.C. is medical spa with locations in Cerritos and Costa Mesa, CA, specializing in non-invasive medical aesthetic treatments and skincare. We offer a range of services including injectables, skin resurfacing, body shaping, and other energy-based device treatments.

We believe that every individual is and deserves to feel beautiful. We promote self-love and mental health in addition to assisting in achieving physical beauty objectives. We strive to empower women in every avenue of their lives. We endeavor to provide exceptional quality and service in every single thing we do because we believe every deserves to feel beautiful and that the services that can help accomplish that goal should be accessible to everyone.",,"Belle Vie Wellness & Medical Aesthetics, P.C. is medical spa with locations in Cerritos and Costa Mesa, CA, specializing in non-invasive medical aesthetic treatments and skincare. We offer a range of services including injectables, skin resurfacing, body shaping, and other energy-based device treatments.

We believe that every individual is and deserves to feel beautiful. We promote self-love and mental health in addition to assisting in achieving physical beauty objectives. We strive to empower women in every avenue of their lives. We endeavor to provide exceptional quality and service in every single thing we do because we believe every deserves to feel beautiful and that the services that can help accomplish that goal should be accessible to everyone.",Medical Practices,11-50 employees,Privately Held,"Cerritos, CA",United States,belleviemedical.com
"Advanced Dermatology and Skin Surgery, PA","Advanced Dermatology and Skin Surgery, PA",https://www.linkedin.com/company/advanced-dermatology-and-skin-surgery-pa,"Advanced Dermatology & Skin Surgery, PA provides personalized and excellent dermatological care for patients in the 19 counties of Western North Carolina. High quality and comprehensive, we provide a full scope of dermatological and aesthetic services with a focus on patient education.",,"Advanced Dermatology & Skin Surgery, PA provides personalized and excellent dermatological care for patients in the 19 counties of Western North Carolina. High quality and comprehensive, we provide a full scope of dermatological and aesthetic services with a focus on patient education.",Medical Practices,51-200 employees,Privately Held,"Asheville, North Carolina",United States,advancedskindoctor.com
Bella Excellence,Bella Excellence,https://www.linkedin.com/company/bella-medspa-tampa,"Awarded Best Medical Spa in Wesley Chapel. Full service medical spa featuring injectables, fillers, Kybella, body contouring, laser services, & more!

Dr. Yvette Suarez

Finding the perfect fit with your physician is extremely important. Dr. Yvette Suarez has built a successful practice because each patient is treated with their own individualized plan. Many patients are not sure what they are looking for; it may be ways to remove sun damage and wrinkles or improve cellulite and decrease body fat. It is this team approach with a caring physician that makes this possible.

Dr. Suarez offers complimentary consultations so that you have the opportunity to discuss your concerns and the ability for the two of you to plan a course of action on how to obtain “The New You”. There are many physicians in the Tampa Bay Area who offer non-surgical and surgical services but it is up to you to find the physician who you are comfortable with and prides themselves on their work. Dr. Suarez strives for beautiful and natural looking results.

Her skills and talent have led her to be an Allergan Trainer for Botox, Juvederm, Vobella, Voluma, and Kybella. Dr. Suarez has continued her education to include a natural approach to enhance our mind and body including Hormone Replacement Therapy and Intravenous vitamin supplements. As she strives for perfection she meets with her patients to determine realistic expectations and discuss the great results that are possible with Liposculpting. Dr. Suarez uses the revolutionary ultrasound or laser for lipo which includes Vaser and Lipotherme. Due to her experience and the results her patients obtain, Dr. Suarez has become the Regional Instructor for other physicians to learn the skills for Lipo Body Sculpting.",,"Awarded Best Medical Spa in Wesley Chapel. Full service medical spa featuring injectables, fillers, Kybella, body contouring, laser services, & more!

Dr. Yvette Suarez

Finding the perfect fit with your physician is extremely important. Dr. Yvette Suarez has built a successful practice because each patient is treated with their own individualized plan. Many patients are not sure what they are looking for; it may be ways to remove sun damage and wrinkles or improve cellulite and decrease body fat. It is this team approach with a caring physician that makes this possible.

Dr. Suarez offers complimentary consultations so that you have the opportunity to discuss your concerns and the ability for the two of you to plan a course of action on how to obtain “The New You”. There are many physicians in the Tampa Bay Area who offer non-surgical and surgical services but it is up to you to find the physician who you are comfortable with and prides themselves on their work. Dr. Suarez strives for beautiful and natural looking results.

Her skills and talent have led her to be an Allergan Trainer for Botox, Juvederm, Vobella, Voluma, and Kybella. Dr. Suarez has continued her education to include a natural approach to enhance our mind and body including Hormone Replacement Therapy and Intravenous vitamin supplements. As she strives for perfection she meets with her patients to determine realistic expectations and discuss the great results that are possible with Liposculpting. Dr. Suarez uses the revolutionary ultrasound or laser for lipo which includes Vaser and Lipotherme. Due to her experience and the results her patients obtain, Dr. Suarez has become the Regional Instructor for other physicians to learn the skills for Lipo Body Sculpting.",Medical Practices,11-50 employees,Privately Held,"Wesley Chapel, Florida",United States,bellatampa.com
"BAYOU CITY DERMATOLOGY, PLLC","BAYOU CITY DERMATOLOGY, PLLC",https://www.linkedin.com/company/bayou-city-dermatology-llc,"BAYOU CITY DERMATOLOGY, LLC is a dermatology practice with 3 locations in Clear Lake, Cypress and River Oaks",,"BAYOU CITY DERMATOLOGY, LLC is a dermatology practice with 3 locations in Clear Lake, Cypress and River Oaks",Medical Practices,11-50 employees,Privately Held,"Webster, Texas",United States,bayoucityderm.com
SURFACE Dermatology,SURFACE Dermatology,https://www.linkedin.com/company/surface-dermatology,"SURFACE Dermatology is owned and operated by Dr. J and Dr. Carr.  They are passionate about providing the highest quality dermatology care for their patients. In addition to caring for the medical needs of their patients, Dr J and Dr. Carr specialize in a variety of cosmetic procedures including injectables, laser treatments, facials and medical grade skincare products.  Customized protocols are created based on individual needs.",,"SURFACE Dermatology is owned and operated by Dr. J and Dr. Carr.  They are passionate about providing the highest quality dermatology care for their patients. In addition to caring for the medical needs of their patients, Dr J and Dr. Carr specialize in a variety of cosmetic procedures including injectables, laser treatments, facials and medical grade skincare products.  Customized protocols are created based on individual needs.",Medical Practices,11-50 employees,Privately Held,"Oakville, Ontario",Canada,surfacedermatology.com
Advanced Institute for Plastic Surgery,Advanced Institute for Plastic Surgery,https://www.linkedin.com/company/advanced-institute-for-plastic-surgery,"Our doctors recognize that each person is unique. So, when you come in for your consultation, the first thing our doctors do is listen to you – they take the time to listen to your hopes, your concerns, your experiences. The next step is for them to offer their advice based on your uniqueness, their surgical experience and their artistic impression.",,"Our doctors recognize that each person is unique. So, when you come in for your consultation, the first thing our doctors do is listen to you – they take the time to listen to your hopes, your concerns, your experiences. The next step is for them to offer their advice based on your uniqueness, their surgical experience and their artistic impression.",Medical Practices,11-50 employees,Privately Held,"Temecula, CA",United States,aiplasticsurgery.com
Yaletown Laser Centre,Yaletown Laser Centre,https://www.linkedin.com/company/yaletown-laser-centre,"Yaletown Laser Centre is a medical practice company located in the heart of Yaletown.

Our goal is to create a centre of excellence by bringing together a wide array of expertise in our state-of-the-art, result-driven facility. By marrying non-surgical cosmetic skin rejuvenation, laser technologies, and laser and cosmetic reconstructive dentistry, we strive to provide a unified multidisciplinary approach that will create the best outcome for your image enhancement experience.

Our focus is on providing a holistic insight for your lifestyle; by imbibing humanistic values of active listening and sharing, our talented team members look forward to serving you with compassion and discretion. Please share with us your special desires and dreams for yourself and let us help you achieve success in all your personal development endeavours.",,"Yaletown Laser Centre is a medical practice company located in the heart of Yaletown.

Our goal is to create a centre of excellence by bringing together a wide array of expertise in our state-of-the-art, result-driven facility. By marrying non-surgical cosmetic skin rejuvenation, laser technologies, and laser and cosmetic reconstructive dentistry, we strive to provide a unified multidisciplinary approach that will create the best outcome for your image enhancement experience.

Our focus is on providing a holistic insight for your lifestyle; by imbibing humanistic values of active listening and sharing, our talented team members look forward to serving you with compassion and discretion. Please share with us your special desires and dreams for yourself and let us help you achieve success in all your personal development endeavours.",Medical Practices,11-50 employees,Privately Held,"Vancouver, British Columbia",Canada,yaletownlaser.com
White Orchid Spa,White Orchid Spa,https://www.linkedin.com/company/white-orchid-spa,Resort & medical spa,,Resort & medical spa,Wellness and Fitness Services,11-50 employees,Privately Held,"Vero Beach, FL",United States,whiteorchidspa32963.com
