Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation,Reference,Difficulty,Topic,Board,Type
Which photosystem is involved in cyclic photophosphorylation to meet the extra demand for ATP?,Both PS I and PS II,PS II only,PS I only,The stroma only,C,"Cyclic photophosphorylation occurs when NADP+ levels are low, involving only PS I and producing ATP but no NADPH or Oxygen.","Punjab Textbook Biology Grade 11, Chapter 11, Page 218",Hard,Light Reaction,Punjab,practice
Which 6-carbon compound is formed when Acetyl-CoA reacts with oxaloacetate in the Krebs cycle?,Citrate,Isocitrate,Malate,Fumarate,A,"The first stable product formed in the Krebs cycle is citric acid, created by the condensation of Acetyl-CoA with oxaloacetate.","Punjab Textbook Biology Grade 11, Chapter 11, Page 225",Moderate,Krebs Cycle,Punjab,practice
"In the respiratory electron transport chain, which cytochrome directly transfers electrons to oxygen?",Cytochrome b,Cytochrome c,Cytochrome a,Cytochrome a3,D,Cytochrome a3 is the final electron carrier that transfers electrons to molecular oxygen to form water.,"Punjab Textbook Biology Grade 11, Chapter 11, Page 227",Hard,Electron Transport Chain,Punjab,practice
What is the wavelength range of visible light that is effectively used in photosynthesis?,100-300 nm,380-750 nm,750-1000 nm,200-500 nm,B,The visible light spectrum ranges from approximately 380 nm to 750 nm in wavelength.,"Punjab Textbook Biology Grade 11, Chapter 11, Page 209",Easy,Light and Pigments,Punjab,practice
The intensity of light at which the rate of photosynthesis becomes equal to the rate of respiration is called:,Saturation point,Optimal point,Compensation point,Equilibrium point,C,The compensation point is reached when the rate of carbon dioxide uptake for photosynthesis exactly matches its release during respiration.,"Punjab Textbook Biology Grade 11, Chapter 11, Page 210",Moderate,Limiting Factors,Punjab,practice
What is the structural difference between chlorophyll a and chlorophyll b according to the Punjab textbook?,The presence of Magnesium in the center of the porphyrin ring,The length of the phytol tail attached to the ring,The ability to absorb blue and red wavelengths of light,The functional group attached to the third carbon of second pyrrole ring,D,"Chlorophyll a has a methyl group (-CH3) at the 3rd carbon of the second pyrrole ring, while chlorophyll b has an aldehyde group (-CHO).","Biology 11, Chapter 11, Page 211",Moderate,Bioenergetics,Punjab,practice
Which wavelengths of light are most effectively absorbed by chlorophyll pigments?,Yellow and green,Violet-blue and orange-red,Green and indigo,Yellow and orange,B,Chlorophylls mainly absorb violet-blue and orange-red wavelengths while reflecting green light.,"Biology 11, Chapter 11, Page 212",Easy,Bioenergetics,Punjab,practice
"During non-cyclic photophosphorylation, which molecule acts as the initial electron donor to Photosystem II?",NADP+,Plastocyanin,Water,Carbon dioxide,C,Water is split during photolysis to provide electrons to the oxidized P680 reaction center of Photosystem II.,"Biology 11, Chapter 11, Page 217",Moderate,Bioenergetics,Punjab,practice
Who obtained the first action spectrum of photosynthesis using an experimental setup involving a prism and filamentous algae?,T.W. Engelmann,Melvin Calvin,Van Niel,Hans Krebs,A,T.W. Engelmann used Spirogyra and aerobic bacteria to plot the first action spectrum in 1883.,"Biology 11, Chapter 11, Page 212",Hard,Bioenergetics,Punjab,practice
How many turns of the Calvin cycle are required to produce one net molecule of glucose?,Three,Six,Two,Twelve,B,"Two molecules of G3P are required to form one glucose, and since each turn fixes one CO2, six turns are necessary.","Biology 11, Chapter 11, Page 220",Moderate,Bioenergetics,Punjab,practice
What is the net gain of ATP molecules during the process of glycolysis for one molecule of glucose?,4 ATP,36 ATP,2 ATP,38 ATP,C,"Glycolysis produces 4 ATPs but consumes 2 ATPs during the preparatory phase, leaving a net gain of 2 ATPs.","Biology 11, Chapter 11, Page 223",Moderate,Bioenergetics,Punjab,practice
How much energy is released when the terminal phosphate bond of one mole of ATP is hydrolyzed?,1.3 kcal,10.5 kcal,8.3 kcal,7.3 kcal,D,Breaking the terminal phosphate bond of one mole of ATP releases 7.3 kcal or 31.8 kJ of energy.,"Biology 11, Chapter 11, Page 206",Easy,Bioenergetics,Punjab,practice
"In the Krebs cycle, which 4-carbon compound is regenerated to accept a new Acetyl-CoA molecule?",Oxaloacetate,Citrate,Fumarate,Succinate,A,"Oxaloacetate combines with the acetyl group from Acetyl-CoA to form Citrate, initiating the Krebs cycle.","Biology 11, Chapter 11, Page 225",Moderate,Bioenergetics,Punjab,practice
What is the final electron acceptor in the mitochondrial electron transport chain?,Cytochrome a3,Molecular Oxygen,NAD+,FAD,B,"Oxygen acts as the final electron acceptor in the respiratory chain, combining with protons to form water.","Biology 11, Chapter 11, Page 227",Moderate,Bioenergetics,Punjab,practice
Which of the following processes characterizes photorespiration in plants?,Rubisco adding CO2 to RuBP,Reduction of NADP+ to NADPH,Oxidation of RuBP by Rubisco in the presence of low CO2,Conversion of Pyruvate to Lactic acid,C,"During photorespiration, Rubisco acts as an oxygenase, adding O2 to RuBP to produce phosphoglycerate and phosphoglycolate.","Biology 11, Chapter 11, Page 221",Hard,Bioenergetics,Punjab,practice
