subject,q_num,csv_answer,pdf_answer,question
General_Knowledge,2282,A,C,Which continent has no desert?
General_Knowledge,2285,B,D,Nepal Peak is situated on the border of
General_Knowledge,2288,D,A,Canada shares its shoreline with which lake?
General_Knowledge,2315,A,C,Nimo Mai is the seaport of ________.
General_Knowledge,2373,A,D,A type of learning in which an association of a stimulus rarely illustrates a pa
General_Knowledge,2408,C,D,Which country is not a member of NATO?
General_Knowledge,2415,A,C,"________ are short term, always backed by a reason and either positive or negati"
General_Knowledge,2429,A,B,The Treaty of Versailles ended the:
General_Knowledge,2449,A,C,"In Italian superstition, which number is widely considered to be unlucky, to the"
General_Knowledge,2579,B,C,Genoa is a city situated in
General_Knowledge,2635,B,C,"In the UN General Assembly, how many members represent each country?"
General_Knowledge,2688,B,A,The United Nations was founded on:
General_Knowledge,2714,A,D,What are tides featuring two high tides and two low tides each day called: _____
General_Knowledge,2717,B,D,The 2019-20 Australian bushfire season is named as:
General_Knowledge,2720,A,D,What is the sea area of the Indian Ocean?
General_Knowledge,2776,C,D,When did the Soviet Union invade Afghanistan?
General_Knowledge,2793,C,B,BRI stands for:
General_Knowledge,2835,A,B,How many white stars are on the national flag of the USA?
General_Knowledge,2857,D,A,KHAD is the secret intelligence service of _____________.
General_Knowledge,2911,B,C,Pyramid Peak is situated on the border of
General_Knowledge,2957,B,D,The doctrine of impossibility that renders a contract void is based on:
General_Knowledge,3009,A,D,"The murder of Archduke Ferdinand, the heir to the Austrian throne, became the im"
General_Knowledge,3042,C,A,Which UN body deals with Population Problems?
General_Knowledge,3046,A,D,The Euro currency is used by ________ countries.
General_Knowledge,3065,A,C,The main operating expenses of a business are termed as:
General_Knowledge,3109,C,D,Which nation has banned free internet services for social media?
General_Knowledge,3121,C,D,What was the name of concrete barrier that physically and ideologically divided 
General_Knowledge,3149,B,D,"Zimbabwe, officially the Republic of Zimbabwe, is a landlocked country located i"
General_Knowledge,3168,A,D,MDGs stand for:
General_Knowledge,3199,A,C,Pobeda Peak mountain is situated in _________.
General_Knowledge,3213,B,A,The Chihuahuan Desert is located in
General_Knowledge,3249,B,A,How many main types of deserts are there in the world?
General_Knowledge,3265,B,D,When did the US enter Afghanistan:
General_Knowledge,3328,A,B,The modern state is:
General_Knowledge,3348,A,D,Which of the following country has Rand as its currency?
General_Knowledge,3356,C,D,"The ""Strait of Bosphorus"" connects ________."
General_Knowledge,3408,C,D,WhatsApp was founded in 2009 by _____________.
General_Knowledge,3458,A,C,Who among the following is known as Falcon of Andalus?
General_Knowledge,3460,B,C,The Atacama Desert is located in
General_Knowledge,3467,B,C,"When starting a curriculum, one should make sure that the curriculum is:"
General_Knowledge,3521,D,B,Nagoya is the seaport of:
General_Knowledge,3538,B,C,In which country is the port of Lisbon situated?
General_Knowledge,3542,B,C,Which cricket team is called The chevrons ___________?
General_Knowledge,3622,B,D,2016 T20 World Cup Champion:
General_Knowledge,3647,B,D,The world's first modern professional police force was established in
General_Knowledge,3784,B,C,Which one of the following countries is the largest producer of uranium:
General_Knowledge,3815,B,D,Thai Airways is the airline of __________.
General_Knowledge,3845,B,C,Pfizer Inc a pharmaceutical company which made COVID-19 vaccine belongs to which
General_Knowledge,3847,B,C,The largest wheat-producing country in the world is
General_Knowledge,3854,B,D,Which country's parliament has the largest membership?
General_Knowledge,3858,B,D,Which one balances the government machinery of America?
General_Knowledge,3860,B,D,The first Female Ambassador of Saudi Arabia to the US is:
General_Knowledge,3904,A,B,In 1991 US-Led multinational forces attack Iraq to oust Iraqi troops from Kuwait
General_Knowledge,3923,C,D,How many years the 1st Constituent Assembly lasted?
General_Knowledge,3943,A,C,Qantas Airways is the airline of:
General_Knowledge,4065,D,C,Russia shares its shoreline with which lake?
General_Knowledge,4071,B,C,Those goods which are durable in nature and can be used again in few uses are cl
General_Knowledge,4138,C,D,"A test taken again by students after a little time that gives the same result, i"
Pakistan_Studies,67,A,B,Asif Ali Zardari was the __________ elected President of Pakistan to complete hi
Pakistan_Studies,73,A,D,When did Pakistan join the Shanghai Cooperation Organization (SCO) as a full mem
Pakistan_Studies,123,B,D,"Under the 1973 Constitution, the powers of the two houses of Parliament are ____"
Pakistan_Studies,124,B,D,The Rann of Kutch is a disputed area between ____.
Pakistan_Studies,217,C,D,How many Urdu words are used in the National Anthem of Pakistan?
Pakistan_Studies,358,B,A,"The mosque ""Quwwat-ul-Islam"" was built by Qutbuddin Aibak in which city?"
Pakistan_Studies,416,A,D,The Pakistan National Movement was formed by ____?
Pakistan_Studies,581,B,A,Members in first Constituent Assembly of Pakistan
Pakistan_Studies,592,B,A,Working with Zia was written by:
Pakistan_Studies,614,D,C,The most important offer by Muslims in the Delhi proposals was:
Pakistan_Studies,622,C,B,Abdul Sattar Edhi passed away in which year:
Pakistan_Studies,660,C,B,Government of India Act 1935 divided the country into how many provinces?
Pakistan_Studies,673,A,D,How many Nishan-i-Haider have been awarded to the Air Force?
Pakistan_Studies,849,A,B,How many Pakistanis have won the Nobel Prize for Physics?
Pakistan_Studies,1109,C,A,Shah Abdul Latif Bhittai is the famous Sindhi Poet of __________.
Pakistan_Studies,1255,B,C,Which is the 5th most populous country in the world?
Pakistan_Studies,1401,A,D,Line of Actual Control (LAC) is a disputed borderline between:
Pakistan_Studies,1415,B,A,The total number of administrative divisions in Azad Jammu & Kashmir is ________
Pakistan_Studies,1555,A,B,Friday was declared an official holiday in ___________.
Pakistan_Studies,1594,A,B,When NWFP created as separate province by British government:
Pakistan_Studies,1642,A,B,When was Pakistan's first satellite Badr-I launched?
Pakistan_Studies,1830,C,D,How many times did Mahmud of Ghazni invade India?
Pakistan_Studies,1889,B,D,"The Treaty of Sèvres, made public in May 1920, dealt with the division of which "
Pakistan_Studies,1956,C,D,The Indian National Congress formed the government in how many provinces in 1937
Pakistan_Studies,1975,D,B,How many rivers are present in Pakistan?
Pakistan_Studies,2011,B,D,"On 03 April 2019, Pakistan and Iran signed an agreement on:"
Pakistan_Studies,2012,A,D,Sher Shah Suri is famously credited for rebuilding the ________.
Pakistan_Studies,2013,C,D,The highest mountain of the Hindukush range is:
Pakistan_Studies,2219,B,A,"In the National Assembly of Pakistan, minorities are allocated ____ seats."
Pakistan_Studies,2263,C,A,"How many seats are reserved for women in the ""Senate of Pakistan""?"
Pakistan_Studies,2271,B,A,"In Pakistan, General Elections are held after every ______ years."
Pakistan_Studies,2329,D,A,"When was ""Salvation Day"" observed?"
Pakistan_Studies,2421,C,D,General Pervez Musharraf introduced the District System in the year:
Pakistan_Studies,2437,A,B,"Which country became the first associate CERN member from Asia on December 19, 2"
Pakistan_Studies,2469,A,C,"In 1920, which of the following changed its name to the All India Home Rule Leag"
Pakistan_Studies,2594,C,D,Which major global event occurred between 1939 and 1945?
Pakistan_Studies,2719,B,D,The first published Urdu book is considered to be ________.
Pakistan_Studies,2938,D,C,What is the name of the father of Sir Syed Ahmad Khan?
Pakistan_Studies,2952,A,D,World Food Day is observed on ____ every year:
Pakistan_Studies,3080,C,D,Viceroy Lord Curzon announced the plan to divide Bengal on _________.
Pakistan_Studies,3195,B,D,"Who, under the Treaty of Amritsar in March 1846, purchased Kashmir?"
Pakistan_Studies,3203,D,A,Paradise Point in Sindh is located in __________.
Pakistan_Studies,3265,B,D,"During the Zia era, who had the authority to ban a political party?"
Everyday_Science,71,C,D,The light of distant stars is affected by:
Everyday_Science,72,B,D,The solar system has ____ planets.
Everyday_Science,123,A,D,An example of an igneous rock that cooled slowly beneath the Earth's surface is:
Everyday_Science,169,D,B,"When a warm air mass is lifted off the surface in a weather depression, it is ca"
Everyday_Science,189,D,B,"For transfusion, the 'O' blood group of a donor can be accepted by a person havi"
Everyday_Science,193,D,B,White light passing through a prism splits into ______.
Everyday_Science,252,B,D,"The weight of 1,000 milligrams is equal to 1 gram. How many decagrams are there "
Everyday_Science,369,A,D,Which element of the following is not essential for plants?
Everyday_Science,521,B,A,Heat reaches Earth from the Sun by means of convection.
Everyday_Science,615,B,D,The distance between the optical center of a convex lens and its principal focus
Everyday_Science,826,A,D,"Liver, milk, egg yolk, and fish liver oil are sources of vitamin:"
Everyday_Science,944,C,B,"Among the following mediums, the velocity of sound is the maximum in:"
Everyday_Science,977,B,D,Healing of wounds is hastened by vitamin
Everyday_Science,997,B,C,Rectified spirit contains alcohol of about:
Everyday_Science,1176,C,A,"To date, how many generations of computers have been developed?"
Everyday_Science,1224,A,D,Which of the following vitamins is present in cod-liver oil?
Everyday_Science,1377,C,B,An atom is made up of ______ different kinds of subatomic particles.
Everyday_Science,1404,B,D,Electric motors use which effect of the current passing through them?
Everyday_Science,1448,B,C,The atomic weight of uranium is:
Everyday_Science,1477,A,C,How many moons does Uranus have?
Everyday_Science,1502,B,D,The life of red blood cells is:
Everyday_Science,1641,A,C,How many layers does the atmosphere have?
Everyday_Science,1832,A,D,A man is ordering a lens to use as a reading glass. He should order:
Everyday_Science,1844,B,D,How many stages of COVID-19 have been discovered until now?
Everyday_Science,1987,B,D,"If the level of atmospheric pollution increases, what is the effect on the lengt"
Everyday_Science,1998,A,B,What is the symbol for gold?
Everyday_Science,2109,C,D,A frog's heart has how many chambers?
Everyday_Science,2265,A,D,Which vitamin gets destroyed on heating?
Everyday_Science,2327,A,C,How many bones are there in an adult human being?
Everyday_Science,2374,A,D,Which cellular organelle is the primary site of protein synthesis (protein facto
Everyday_Science,2390,A,D,Which group of elements in the periodic table shows the highest first ionization
Everyday_Science,2441,A,D,The average adult has a blood volume of about ____ liters.
Everyday_Science,2550,A,D,How many chambers are in the human heart?
Everyday_Science,2560,A,C,How many moons does Uranus have?
Everyday_Science,2634,A,D,How many degrees of latitude are there on Earth?
Everyday_Science,2668,A,D,Which of the following vitamins is produced in the body with the help of sunligh
Everyday_Science,2719,B,D,"The vernal equinox in the Northern Hemisphere, which occurs in March, marks the "
Everyday_Science,2756,A,D,How many blood vessels can be found in the umbilical cord?
Everyday_Science,2814,A,B,The symbol for iron is:
Everyday_Science,2990,B,D,How many calories are in one gram of carbohydrate?
Everyday_Science,3035,A,D,"When white light is passed through a prism, it splits into ____ colors."
Everyday_Science,3070,A,D,Human blood is divided into how many main groups (ABO system)?
Everyday_Science,3072,D,B,How many eyes does an earthworm have?
Everyday_Science,3169,B,D,Electric motors use which effect of the current passing through them?
Everyday_Science,3455,C,B,The minimum number of bits required to store the hexadecimal number AF is:
Everyday_Science,3489,D,B,Which of the following is affected by rickets in the human body?
Everyday_Science,3639,A,B,Which of the following is a solid?
Everyday_Science,3646,B,D,The innermost part of the Earth is the:
Everyday_Science,3704,D,A,"Gottlieb Daimler, who invented a successful internal combustion engine, hailed f"
Everyday_Science,3715,B,D,Ornithology is the:
Everyday_Science,3831,A,D,Which of Newton's laws states the need to wear seatbelts?
Everyday_Science,3832,A,D,The least number of transfer RNA molecules for each of the twenty amino acids fo
Everyday_Science,3901,D,B,A person with which of the following blood groups is called a universal donor?
Everyday_Science,3948,A,C,The liver uses which vitamin for creating new red blood cells?
Everyday_Science,4059,D,A,Where was lipstick first invented?
Everyday_Science,4131,D,A,Certain bacteria living in the human digestive system are beneficial because the
Everyday_Science,4153,D,B,"For transfusion, the 'O' blood group of a donor can be accepted by a person havi"
Everyday_Science,4198,B,C,At what temperature are the Celsius and Fahrenheit scales equal?
Everyday_Science,4204,A,D,The large plates of solar panels are painted:
Everyday_Science,4226,C,B,The protein content of the edible portion of an egg is:
Everyday_Science,4235,C,A,An antigen is a substance which:
Everyday_Science,4244,A,B,The main constituent of Sui gas is ____.
Everyday_Science,4259,A,B,High-energy UV light falls into the category of:
Everyday_Science,4262,C,B,COVID-19 is caused by a:
Everyday_Science,4266,A,D,The time taken for sunlight to reach the Earth is:
Everyday_Science,4275,B,D,Lines joining places having an equal degree of salinity are called ______.
Everyday_Science,4278,C,B,Who discovered the blood groups of man?
Everyday_Science,4281,A,B,"Diamond, an expensive ornament, is composed of which single element?"
Everyday_Science,4287,A,D,"In the BTU system, one BTU is equal to:"
Everyday_Science,4347,B,D,"Generally, in a given period of the periodic table, as we move from left to righ"
Everyday_Science,4366,B,A,A light-year is a unit of:
Everyday_Science,4374,C,D,The unit of torque in the International System of Units is the:
Everyday_Science,4384,B,A,Where do most asteroids lie?
Everyday_Science,4404,B,A,Phosphorus is an essential component of which of the following biological molecu
Everyday_Science,4409,A,B,Penicillin was discovered by:
Everyday_Science,4428,B,C,Air contains approximately what volume of carbon dioxide?
Everyday_Science,4429,A,B,Copper can be converted into gold by:
Everyday_Science,4435,A,B,Dr. Abdus Salam of Pakistan was one of the contributors to the unification of th
Everyday_Science,4448,D,C,"The major part of natural gas, petroleum, and coal consists of:"
Everyday_Science,4470,B,A,Dialysis is used for the treatment of:
Everyday_Science,4484,A,B,Which of the following is not a standard unit of computer memory?
Everyday_Science,4495,A,C,Diseases that spread from one person to another are called:
Everyday_Science,4520,A,B,Earthquakes are like lamps illuminating the structure of the Earth's interior.
Everyday_Science,4530,C,A,Parkinson's is a disease of the:
Islamiyat,17,A,D,How many sacred months (Ashhur al-Hurum) are there in Islam?
Islamiyat,18,B,A,How many Madni Surahs of the Holy Quran are there:
Islamiyat,73,B,D,Which method is used to prove the correctness of the matn of a hadith?
Islamiyat,286,A,D,Which tribe broke its treaty and sided with the confederates during the Battle o
Islamiyat,316,D,B,How many surahs in the Holy Quran are named after Prophets?
Islamiyat,320,D,C,The name of the Holy Prophet has been mentioned ___ times in the Holy Quran.
Islamiyat,323,B,D,How many Muslims were martyred in Ghazwa Badr?
Islamiyat,354,C,D,Name the first non-Arab who embraced Islam.
Islamiyat,472,A,C,Who was the first Muhajir of Madinah?
Islamiyat,515,C,B,How many days were spent digging the trench for the Battle of Khandaq?
Islamiyat,544,C,D,"The ""Battle of Zallaqa"" (Sagrajas) in 1086 was a major victory for the Almoravid"
Islamiyat,655,A,D,How many Hajj did the Prophet (PBUH) perform?
Islamiyat,663,D,B,When the magicians believed in Prophet Musa (AS) and Pharaoh ordered their execu
Islamiyat,713,B,D,In how many days was Khyber conquered?
Islamiyat,731,B,A,How many stages does the Qur'an contain?
Islamiyat,734,B,A,How many disbelievers were killed at the time of the Conquest of Makkah?
Islamiyat,780,D,B,How many Jamarat (pillars) are stoned during the rites of Hajj?
Islamiyat,791,B,A,The total number of mujahideen in the army of Ghazwa Badr was ______.
Islamiyat,866,A,B,How many Fard are in Ghusl?
Islamiyat,912,A,C,How many times in the Qur'an is the Prophet Muhammad (PBUH) addressed as Yaa Ayy
Islamiyat,934,A,D,The Holy Prophet (PBUH) made his first journey to Syria at the age of:
Islamiyat,1056,C,A,Where is Imam Abu Hanifa buried?
Islamiyat,1086,C,B,Who wrote Ar-Risala?
Islamiyat,1164,A,C,What is Ushr?
Islamiyat,1239,A,C,Which of the following are the names of major Jewish tribes of Madinah?
Islamiyat,1295,A,B,How many Umrahs were performed by the Holy Prophet (PBUH)?
Islamiyat,1298,C,A,The number of Jamarat is:
Islamiyat,1303,A,C,Who was the first one to embrace Islam in the land of Yemen?
Islamiyat,1316,B,D,The miracle of the she-camel is related to which prophet?
Islamiyat,1401,C,D,Name the first Muslim among slaves.
Islamiyat,1402,B,D,Which daughter of Hazrat Abu Bakar (RA) became the wife of the Holy Prophet (SAW
Islamiyat,1501,C,B,"Which Prophet is known in Islam as ""Dhu al-Nun"" (The Man of the Fish)?"
Islamiyat,1502,A,D,How many Muhajireen participated in Ghazwa Badr?
Islamiyat,1506,A,D,How much army was brought by Abraha to demolish Kaabah?
Islamiyat,1551,D,C,"The ""Isma'ili"" branch of Shia Islam believes in a continuous line of Imams desce"
Islamiyat,1597,A,D,"How many times has the word ""Ahmed"" (SAW) appeared in the Holy Quran?"
Islamiyat,1637,B,D,How many periods are referred to for the collection of ahadith?
Current_Affairs,72,B,D,"The CEO of Pakistan Steel Mills (e.g., during a specific recent period like 2020"
Current_Affairs,87,B,C,Which country threatened to quit the NPT deal?
Current_Affairs,118,B,D,How many medals were won by Pakistan in the 18th Commonwealth Games?
Current_Affairs,125,A,D,Which of the following 16-year-old girls became Finland's prime minister for a d
Current_Affairs,129,B,C,Which two countries have applied to join the BRICS Grouping?
Current_Affairs,130,B,D,Which country launched a new rail link with Islamabad?
Current_Affairs,149,B,D,The headquarter of the International Confederation of Free Trade Unions - Asian 
Current_Affairs,150,A,D,The headquarter of the International Express Carriers Conference (IECC) is locat
Current_Affairs,229,C,B,Who won the 2022 United Nations refugee agency's prestigious award?
Current_Affairs,287,B,C,The hottest place in the world is ___________.
Current_Affairs,306,C,D,"Recently, which airline has announced it will resume flights to Pakistan after 1"
Current_Affairs,404,B,C,The G-20 summit of 2022 will be held in __________?
Current_Affairs,414,A,D,The Prime Minister of France is __________?
English,4,A,B,I am envious ______ them.
English,12,C,A,He has given ______ smoking.
English,73,A,D,Give the meaning of the idiom: To be rolling in money
English,133,A,C,I wear glasses ____ reading.
English,137,A,C,'It is cool _ May:
English,144,A,B,I met ____ European.
English,147,A,C,"Choose the correct article: Where are ____ scissors? Sorry, I haven't seen them."
English,159,A,B,They are not interested ______ our proposal.
English,182,B,C,Choose the correct article/subject-verb agreement from the given options: ______
English,242,C,D,The policeman's story conflicts ____ that of the accused.
English,329,D,B,Select the synonym of the given word VIRTUE:
English,364,C,B,Fill in the blank with a suitable article: Please close ____ window. It's cold i
English,366,B,C,I saw ____ one-eyed person.
English,382,A,D,This work is ____ his capacity.
English,412,A,C,Fill in the blank with a suitable preposition: She deprived her husband ____ all
English,414,A,D,She came later than ____.
English,416,A,D,Incision : Scalpel :: ______ : ______
English,422,B,D,Fill in the blank: Everybody blamed him ____ the accident?
English,474,B,A,"On the day of Eid, some people come ____ the prayer ground."
English,485,A,C,I met _____ European.
English,526,C,B,Choose the correct article: Don't forget to buy ____ flowers on your way home.
English,598,B,C,It is wise ____ adhere to the rules of your parents.
English,612,C,B,Choose the correct preposition: Look! There is a big spider ____ the ceiling.
English,629,A,B,We are too busy to take _____ more work.
English,630,D,A,I prefer tea ____ coffee.
English,681,B,A,Choose the correct preposition in the following sentence: The birds are sitting 
English,719,B,C,Send this parcel ____ my address.
English,738,B,C,Choose the correct preposition. The old man is blind ______ one eye.
English,740,C,B,Choose the correct article: Wait for me by ____ school gate at 4 o'clock.
English,741,B,A,Fill in the blank: He is blind ____ his defects.
English,769,C,B,Choose the appropriate PREPOSITIONS to complete the sentence from the given opti
English,774,B,A,"Choose the correct article: Would you like ____ apple? No, thanks, I'm not hungr"
English,775,A,C,Fill in the blank: Please close ____ window.
English,843,B,A,I am getting late ____ office.
English,844,B,D,Fill in the blank: She learnt the poem ____ heart.
English,854,C,B,He does not care _____ losing his job.
English,936,A,B,I am sick '''' this idle life.
English,954,D,B,She burst ____ tears.
Basic_Computer,124,A,D,"If a formula references a cell that contains text instead of a numerical value, "
Basic_Computer,317,B,C,How many sheets are there in an Excel Workbook by default?
Basic_Computer,334,D,A,How many characters can an ASCII 8-bit code represent?
Basic_Computer,414,A,D,Cropping is related to:
Basic_Computer,459,B,D,Which number key is used with Shift to type percent?
Basic_Computer,595,A,B,Which language is used to create macros in Excel?
Basic_Computer,781,D,C,What is the maximum number of columns that can be inserted in an MS Word Table?
Basic_Computer,833,B,D,"The least significant bit of the binary number, which is equivalent to any odd d"
Basic_Computer,1031,A,D,Cursor is a:
Basic_Computer,1101,D,C,MS Word offers different views of a document. How many?
Basic_Computer,1239,C,D,A worksheet consists of a set of ______ in MS Excel.
Basic_Computer,1385,C,D,MS Access is used for:
Basic_Computer,1402,A,D,"To fix values in Excel, we use?"
Geography,53,A,C,Which of the following countries has the longest coastline in the world:
Geography,58,B,A,Which among the following is the largest ocean of the world?
Geography,70,B,D,Alpine glacier is also known as:
Geography,72,B,D,_______ is an elevated portion of the land with some summit area.
Geography,125,C,D,The largest river of Asia is ______?
Geography,259,A,C,Which continent has no desert?
Geography,264,D,A,Landslides occur due to:
Geography,287,A,D,"The great work of architecture ______ is located in San Francisco, USA."
Geography,321,B,D,Where is Mount Vesuvius located?
Geography,323,A,D,The second highest mountain in the world is located in which country:
Geography,406,D,A,Which country has the most volcanic activity in the world?
Geography,407,A,C,Which corridor separates Pakistan and Tajikistan?
Geography,418,D,C,The eastern Mediterranean island of Cyprus is divided between:
Geography,448,A,D,How many headworks have been constructed on the River Sutlej?
Geography,457,B,C,The smallest Islamic country is ______.
Geography,471,C,B,"Famous pink lake ""Lake Hillier"" is situated in:"
Geography,472,D,B,Which is the largest country by population?
Geography,516,C,D,How many canals take off from Sukkur Barrage?
Urdu,40,A,D,Dastan se afsane tak kis ki tasneef hai?
Urdu,320,C,A,Jameel Jalibi ki kitaab Tareekh-e-Adab-e-Urdu ki kitni jilden hain?
Urdu,628,B,C,Shair-e-Inqilab kis shair ko kehte hain?
Ethics_Civics,125,C,D,Scientific management is the art of knowing exactly what you want men to do and 
Ethics_Civics,143,B,A,"The basic rule of professionalism is ""not knowingly to do ____________."""
Ethics_Civics,287,D,A,"Which among the following terms refers to the principles, values, and beliefs wh"
Ethics_Civics,2,A,C,'Solve: 100 ÷ 50 x 2 = ?
General_Maths,18,A,C,294 is multiplied by which positive integer to give a perfect square?
General_Maths,29,A,C,(7x - 1) = (4x + 8). What will the value of x be?
General_Maths,35,A,C,'Laila is four times as old as her 2-year-old brother Mansoor. How old will Mans
General_Maths,123,B,D,Ali's shell collection share is 80 percent more than Aslam's. If Aslam has 80 mo
General_Maths,124,B,D,The area of the square whose side is the hypotenuse is equal to the sum of the a
General_Maths,150,A,B,"If 4^(4x + 1) = 1/64, then the value of x is:"
General_Maths,178,D,A,Find the value of x if 31 : x :: 12 : 20.
General_Maths,227,A,D,"What is the value of ""x"" in 3x - 15 - 6 = 0?"
General_Maths,251,A,B,(3/5)³ x (3/5)⁻⁶ = (3/5)²ˣ⁻¹. What is the value of x?
General_Maths,283,B,D,The farthest number from -1 on the number line is:
General_Maths,322,A,B,"If 2x + 7 = 19, then x = ?"
General_Maths,403,C,D,The prime numbers between 64 and 81 are:
General_Maths,449,B,A,A washerman irons 4 shirts in 12 minutes. How many shirts can he iron in one hou
General_Maths,459,C,D,"In the following alphabet series, one term is missing as shown by a question mar"
