Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
50,What is the main principle of Virtue ethics?,Actions are moral if they promote the greatest good for the greatest number,Actions are moral if they follow universal ethical principles,"Actions are moral if they reflect virtues such as honesty, courage, and compassion",Actions are moral if they are based on one's duties and obligations,C
51,What is true about a professional?,behavior,moral,business,all of these,A
52,Which one is the dimension (approach) of corporate social responsibility?,Corporate philanthropy,Stakeholders priorities and sustainable development,Ethical business,All of these,A
53,Positive science ____________ the objects or phenomena.,Describes,Judging,Both a and b,Neither a nor b,A
54,Commitment means alignment to goals and adherence to ethical principles during the activities.,welfare,empathy,commitment,none of these,A
55,Which ethical theory states that actions should be judged based on their consequences?,Autonomy,Non-maleficence,Justice,Utilitarianism,D
56,"According to C.K. Prahlad, core competency must be the central subject of Corporate strategy.",henry fayol,f.w.taylor,c.k. prahlad,peter f. drucker,A
57,Which ethical principle emphasizes the importance of respecting a person's right to make their own decisions?,Virtue ethics,Deontological ethics,Utilitarianism,Ethics of care,D
58,The second stage of moral development is:,Principled,Conventional,Pre conventional,None of these,B
59,Institutional authority is the authority exercised within the organization.,agency authority,institutional authority,expert authority,none of the these,C
60,Which of the following sciences gives data for the science of ethics?,Sociology,Psychology,Anthropology,all of these,A
61,Perfection or self-realization is the ____________ of moral evolution.,beginning,content,law,ideal,C
62,Which Ideal is concerned with Ethics?,Truth,Beauty,Good,Spirituality,C
63,"Better access to certain markets, differentiation of products, and the sale of pollution- control technology are ways in which better environmental performance can:",increase revenue,increase costs,decrease revenue,decrease costs,A
64,"According to the ____________, euthanasia is usually separated into two categories.",AMA guidelines,Life support machine,Pain relief machine,None of these,A
65,"When it is necessary to engage in a good amount of deception to conduct a scientifically valid study, what procedure should a researcher follow?",Debriefing,Duplicate publication,Deception,Full publication,A
66,"According to Kantian ethics, which of the following is intrinsically valuable?",Good will,Beneficence,Autonomy,Justice,A
67,Article 19 (1)(a) of the Constitution does guarantee freedom of expression for every citizen.,article 19 (1)(a),accountability,article 21,none of these,C
68,What is the greatest knowledge according to Socrates?,Standards,Facts,Judgements,None of these,D
69,An ethics management committee would be charged with implementing and administering an ethical management programme.,top management,ethics management committee,middle management,none of these,D
70,"What, according to Adam Smith, is the best way to promote collective interest?",Through government making decisions about what is in the public interest,Through everyone working together to support each other,Through everyone working on their own self-interest,none of these,C
71,Service learning may be defined as the non-paid activity.,service learning,ethics,non-violence,none of these,C
72,The second stage of moral development is:,Customer satisfaction,Empowerment,Innovation,Ethics,C
73,Induction is the process of inducting an employee into the social set-up of work.,placement,induction,absorption,none of these,B
74,Who wrote Ethical Studies?,Aristolte,Bradley,Immanual Kant,Buddha,B
75,"Identification, transfer, and implementation of the most suitable technology for a set of new situations, is called technology transfer.",environmental ethics,omputer ethics,business ethics,none of the these,A
76,Directors' responsibilities are unlikely to include:,a duty to keep proper accounting records,a fiduciary duty,a duty to propose high dividends for shareholders,a duty of care,C
77,Which ethical principle requires individuals to respect individuals' rights to make decisions?,Autonomy,Beneficence,Justice,Non-maleficence,A
78,____________ is the author of Prolegomena to Ethics.,Bentham,Aristotle,T. H. Green,J. S. Mill,B
79,Postulates are:,Self-evident truths,Evident truths,Not self-evident truths,Evident norms,B
80,Which of the following would most effectively act as the primary objective of a business organization?,To make a profit,To procure resources,To communicate with shareholders,none of these,A
81,Corporate codes of ethics:,are always externally audited,create guidelines for employees to work by,are always compliance based,none of these,B
82,The term Good is connected with the German term:,goto,gutte,gud,gut,D
83,The socioeconomic view is that management's social responsibility goes beyond making profits to include:,That it is in an organization's own best interest to put itself first rather than its ethics,That it is in an organization's best interest to consider what a shareholder would want,That it is in an organization's own best interest to act in an ethical way,none of these,D
84,"According to Aristotle, what is the ultimate goal of human life?",Pleasure,Wealth,Happiness,Power,C
85,The aim of shared organizational values is to:,Locus of control,Ego,Ego Strength,None of these,B
86,"If you can keep things at work in order and have a neat workplace, then you have great organizational skills.",loyalty,organizational skills,productivity,none of these,A
87,What is the period of business called when an entrepreneur should position the venture in a market and make required adjustments to assure survival?,pre-Startup stage,Startup stage,any gromh stage,None of these,B
88,The crucial step in understanding business ethics is:,Establishing codes of ethics,Learning to recognize ethical issues,Having efficient operations,Implementing a strategic plan,B
89,Ethics in workplaces can be managed through the use of:,Codes of ethics,Training programs,Proximity to victims,All of these,D
90,Business ethics is primarily concerned with the relationship of business goals and techniques to specifically human ends.,business ethics,code of conduct,all of these,none of these,B
91,What is the definition of ethics?,Virtue ethics,System of moral principles,Utilitarianism,Natural law ethics,B
92,Which of the following is not a driver of responsible competitiveness?,Policy drivers,Development drivers,Business action,Social enablers,B
93,Who is the advocator of 'freedom of will'?,David Hume,J.S.Mill,Kant,None of these,C
94,"Where an organization takes into account the effect its strategic decisions have on society, this is known as:",Corporate governance,Business policy,Business ethics,Corporate social responsibility,B
95,"The basic object of the Right to Information Act is to empower the citizens, to promote transparency and accountability in the working of the Government.",transparency and accountability,honesty and integrity,fairness and justice,none of these,B
96,"The book ""Creative Experience"" was written by Mary Parker Follet.",henry fayol,f.w. taylor,mary parker follet,none of these,B
97,What makes a corporation distinct from a partnership?,"If the members of a corporation die, the corporation remains in existence, providing it has capital","If the members of a corporation die, the corporation ceases to exist",A corporation cannot own property,none of these,B
98,Positive science is concerned with:,facts,norms,standards,rules,A
99,"According to virtue ethics, the most important factor in determining moral rightness is:",Consequences,Intentions,Rules and principles,Pleasure or pain,B
100,The result of job analysis written in a statement is known as:,job description,job specifications,man power planning,none of these,B
101,What do you mean by the Greek term hedone?,Pleasure,Difference,Ethics,Perfection,A
102,"The individuals who raise ethical concerns to others, inside or outside the organization are known as:",Entrepreneur,Whistle blowers,Social entrepreneur,None of these,B
103,"Cooperation is essential at work because you must be able to work with others, especially if you don't always agree with them.",communication,cooperation,honesty,none of these,B
104,Moral integrity is defined as decisions and actions exercised on the basis of moral concern for other people and recognition of good moral reasons.,moral integrity,moral value,moral quality,none of these,A
105,"For Aristotle, what was the formal cause of the moral life?",Eudaimonia,Hedonism,Deontology,Utility,A
106,"According to Kant, an action is good/bad:",with reference to some external standard,according to the pleasure/pain it produces,in itself,extrinsically,A
107,____________ is not a type of cyber-crime.,Data theft,Installing antivirus for protection,Damage to data and systems,None of these,B
108,Ethics as a normative science deals with the ____________ of human conduct.,ideas,standards,betterment,emotions,B
109,Not a part of Funding Innovation is:,Entrepreneur,Whistle blowers,Social entrepreneur,None of these,B
110,Which among the following is the correct statement?,Ethics is a theoretical science,Ethics is a practical Science,Ethics is an art,Ethics is the study of actions of animals,B
111,Ethics has become important because of:,Globalization,Communication explosion,Both (A) and (B),None of the above,C
112,Occupational crime may be committed by the wrong actions of a person through one's lawful employment.,bribery,occupational crime,computer crime,none of the these,A
113,____________ argued that consciousness is the morally crucial dividing line between the newborn baby and the fetus.,Peter Singer,John Stuart Mill,Immanuel Kant,None of these,A
114,Values related to peace is:,reverence,perseverance,self-respect,none of these,A
115,The following is(are) type(s) of ethics issue(s):,Act versus passion,Act versus omission,Act versus commission,None of these,B
116,Koontz and O'Donnel are the advocates of the operational approach to management.,system approach,empirical,contingency,operational,D
117,Which theory is against Capital Punishment?,Deterrent,Retributive,Reformative,All of these,B
118,Which among them makes an action voluntary?,Freedom,Knowledge,Will,all of these,C
119,An outspoken advocate of the classical view of the management's responsibility was:,Wieck and Adams,Jacques and Patchen,Milton Friedman,None of these,C
120,The Greek term from which ____________ is derived means 'custom or 'habit'.,Morality,Psychology,Education,Ethics,D
121,The two-factor theory of Motivation was developed by Herzberg.,a.h.maslow,douglas mc. gregor,herzberg,none of these,C
122,The world's largest retailer is:,Proctor and Gamble,Wal-Mart,Liver Brothers,Dashang Group,B
123,Which of the following approaches taken by people to resolve ethical issues is the primary approach used by the federal government and most professional organizations?,Deontology,Utilitarianism,Both a and b,None of these,A
124,Occupational crime is called as white-collared crime.,human rights,employee rights,employer rights,none of the these,A
125,Which of the following is a deontological ethical theory?,Deontology,Non-maleficence,Justice,Capitalism,A
126,Psychology is a ____________ science.,Normative,Positive,Ideal,Metaphysical,B
127,Which ethical theory emphasizes the importance of maximizing overall happiness or pleasure?,Virtue ethics,Deontology,Utilitarianism,Egoism,C
128,"Organisations who have established a business in more than one country, are called multinational corporations.",propylene,poly chloride,cyclohexane,none of the these,B
129,An example for Positive science is:,Ethics,Logic,Aesthetics,None of these,D
130,Physiological needs are the need for survival.,safety,esteem,social,physiological,C
131,The total number of stages of moral development proposed by Carol Gilligan is:,Two,Three,Four,Five,B
132,Retributive theory of punishment involves:,Education,Reformation,Revenge,Conversion,B
133,The benefits of NASSCOM are:,Reachability to the strategic investments and grants,Faster access co global markets and JV/OEM/,Direct fast access to senior executives,All of the above,D
134,"The author of the famous book ""General and Industrial Management"" is Henry Fayol.",henry fayol,f.w. taylor,henry gantt,none of these,C
135,Which ethical principle requires healthcare providers to promote the well-being of their patients?,Beneficence,The principle of non-maleficence,The principle of autonomy,The principle of justice,A
136,One of the six characteristics which fix the intensity of the issue is:,Probability of harm,The immediacy of consequences,Proximity to victims,All of the above,D
137,Who authored Republic?,Aristotle,Immanuel Kant,F.H. Bradley,J.S. Mill,C
138,A written statement of policies and principles that guides the behavior of all employees is called:,Code of conduct,Code of practice,Code of ethics,Policy manual,C
139,Psychological hedonism recognizes ____________ as the object of desire.,pleasure,reason,pain,law,B
140,The HR policy which is based on the philosophy of the utmost good for the greatest number of people is covered under the utilitarian approach.,code of ethics,word of ethics,ethical dilemma,work standards,A
141,'Silent scream' is related with:,Abortion,Life support machine,Pain relief machine,None of these,A
142,"The Indian Evidence Act, 1872 is largely based on the English Law of Evidence.",customary law,english law of evidence,legislature,none of the these,A
143,What is a 'keiretsu'?,Pension fund,Corporate group,Stock exchange,none of these,B
144,The act of publishing the same data and results in more than one journal or publication refers to:,Duplicate publication,Creative contribution,Professional position,Level of higher education,A
145,Who distinguished the two aspects of conscience?,Broad,Butler,Plato,Aristotle,C
146,Moonlighting is a situation when a person is working as an employee for two different companies in their spare time.,bribery,occupational crime,computer crime,none of the these,A
147,Social skills build character.,love,social skills,friendship,none of these,C
148,The Constitution is the supreme law of the land.,Constitution,Parliament,Government,none of these,C
149,"The Conservative claim that ____________ is the deliberate killing of an innocent human being, and in the same ethical category as murder.","2,300 deaths",300 deaths,"5,300 deaths","1,300 deaths.",D
150,Which of the following is a problem presented by ethics audits?,They may be used to reallocate resources,They identify practices that need improvement,Selecting auditors may be difficult,They may pinpoint problems with stakeholder relationships,B
151,Which ethical principle requires that healthcare providers provide accurate and truthful information to their patients?,Autonomy,Non-maleficence,Beneficence,Veracity,D
152,Compliance is about obeying and adhering to rule and authority.,liberalists,opponents,feminists,none of these,B
153,"Breaking the norms is called crime, and invites specific punishment.",action,crime,laws,none of these,A
154,The subject matter of ethics is:,Human conduct,Ultimate truth,Knowledge,Reality,B
155,"A baseball culture exists in fast-paced, high-risk organizations.",fortress,club,baseball,academy,C
156,Which ethical theory emphasizes following universal moral rules and principles?,Virtue ethics,Deontological ethics,Utilitarianism,Care ethics,B
157,Business ethics is based on well accepted:,moral and social values,social values only,moral values only,none of the above,A
158,____________ theory of punishment is more humanitarian.,Retributive,Reformative,Deterrent,a and b,C
159,Autocratic style of leadership is also known as:,authoritarian,participative,free rein,none of these,B
160,Maslow's theory of motivation is:,theory x and y,two factor theory,achievement theory,none of these,C
161,Values represent an individual's highest priorities and deeply held driving forces.,values,principles,culture,none of these,D
162,"There are three conditions that, if satisfied, change the moral status of whistle-blowing.",Three,Four,Five,None of these,C
163,"Monitoring continually the progress and gaining new knowledge are needed before, during, and after execution of the project.",experiment,monitoring,engineering,none of these,A
164,An expert who is confidentially available to solve ethical dilemmas is known as an:,Ethic coach,Ethics trainer,Ethics guide,none of these,A
165,Job specifications is a statement showing the minimum acceptable qualities of the persons to be placed on a job.,job analysis,job description,job specifications,staffing,C
166,Demonstrate your own self-knowledge and spirituality in all your actions.,education,property,self-knowledge,wealth,A
167,The principle of Unity of command is contrary to Taylor's:,rule of thumb,unity of direction,functional foremanship,none of these,A
168,Which of the following is not an ethical guideline for conducting research with humans?,Create an ethical workplace,Evaluate ethical components of research,Protect participants' confidentiality,Enhance profits continuously,D
169,What is the classical view of management's social responsibility?,to create specific environment in work place,to maximise profits,to protect and improve society's welfare,none of these,A
170,Which ethical principle is related to the obligation to maintain confidentiality?,Beneficence,Non-maleficence,Autonomy,Fidelity,D
171,Which of the following is not a core principle of the Society for Human Resource Management's Code of Ethics?,to create an ethical workplace,to evaluate the ethical components of the proposed actions of the employees,to improve the public image of the company,to enhance the profits of the business continuously,A
172,How many stages are in the model of an organization social responsibility progression?,3,4,5,none of these,C
173,Pick up the wrong answer. The Good will is:,the only good,Unconditional good,Good in itself,actuated by inclination,D
174,"According to ____________, conscience is superior to self-love.",Kant/hedonism,Ethics/normative science,Intuitionism/conscience,Evolutionism/adaptation,D
175,Now Euthanasia is generally defined as the act of killing an incurably ill person out of concern and compassion for that person's suffering.,liberalists,opponents,feminists,none of these,B
176,"According to functional foremanship, the speed boss, inspector, foreman and gang boss are entrusted with the doing aspect of work.",planning,organizing,doing,none of these,B
177,Which country has a more collectivist culture?,USA,Japan,Pakistan,China,B
178,Informal Communication is also known as Grapevine.,formal,informal,lateral,none of these,A
179,A set of characteristics that sets one group of people apart from another is called as:,values,principles,culture,none of these,D
180,Informal organization arises voluntarily or due to social interaction of people.,formal,informal,natural,none of these,A
181,Owners of stock in a corporation are only liable for:,the amount they have invested in the company's stock,their personal assets,the amount they have invested in the company's stock and their personal assets,none of these,D
182,"According to Kohlberg's theory, men had a tendency to solve problems by applying abstract moral principles.",gilligan's theory,kohlberg theory,monopoly theory,none of these,C
183,Which among the following are advantages of managing business ethics in the workplace?,cultivate strong team work and productivity,avoid criminal acts,lower fines,all of these,A
184,"According to consequentialist ethical theories, what is the most important factor in determining the morality of an action?",Autonomy,Non-maleficence,Consequences,Capitalism,C
185,Ethics is the set of principles and guidelines that help us to uphold the things we value. This statement is:,Right,Wrong,Domestic entrepreneurship,None of these,A
186,Two Factor Theory was developed by Herzberg.,mc gregor,abraham maslow,herzberg,none of these,B
187,Which ethical theory holds that moral rightness is determined by its consequences?,Autonomy,Non-maleficence,Justice,Utilitarianism,D
188,A set of principles and expectations that are considered binding on any person who is a member of a particular group is known as:,Code of ethics,Values,Ethics,none of these,A
189,Work ethos refers to certain norms governing the conduct of workers involved in a work situation.,team work,work ethos,work group,none of these,A
190,What is this said when social criteria are applied to investment decisions?,Principled,Conventional,Pre conventional,None of these,A
191,Which ethical principle requires that we do not cause harm to others?,The principle of beneficence,The principle of non-maleficence,The principle of autonomy,The principle of veracity,B
192,Decentralization is highly suitable for large organizations having a large number of managerial personnel at different levels.,centralization,decentralization,departmentalization,none of these,C
193,Environmental ethics is the study of moral issues concerning the environment.,obscenity,sedition,defamation,none of the these,A
194,____________ hedonism holds that pleasure is the proper object of desire; that we do not always seek pleasure but ought to seek pleasure.,Ethical,Egoistic,Psychological,Altruistic,A
195,Virtues are positive and preferred values.,service learning,ethics,non-violence,virtues,A
196,It is a state of tension between the actual state of the self and the idea of a future state not yet realized:,Desire,Motive,Habit,Will,A
197,The Supreme Court of India is located in New Delhi.,New Delhi,Mumbai,Kolkata,none of these,A
198,Which ethical theory focuses on the moral worth of actions rather than the consequences of those actions?,Deontological,Utilitarian,Virtue ethics,Egalitarian,A
199,"Truth, Beauty, and ____________ are considered as the principles of philosophy.",fact,goodness,conduct,none of these,B
200,"____________ is the harmonious functioning of intellect, emotion and desire under the guidance of reason.",Justice,Courage,Wisdom,Temperance,C
201,Kant's ethical theory is:,Ontological,Deontological,Utilitarian,Hedonic,B
202,Administrative corruption includes 'gifts' to the factory inspector.,Restricted laws of abortion,Restricted laws of child labour,Restricted laws of child labour,none of these,A
203,"In many jurisdictions, active euthanasia can be considered:",Legal,Murder,Permissible,None of these,B
204,A commitment to moral actions (primary obligation to protect the safety of human beings and respect their rights) is:,conscientious,blameworthy,obligations,none of these,D
205,A dominant desire is called:,Wish,Will,Motive,Habit,B
206,FMEA is a qualitative method and was originated by Bell Telephones.,identify possible failure modes in the products/process,to understand failure mechanism (process that leads to failure),both,none of the these,C
207,"According to Kant, it is wrong to break a promise, because:",This act cannot be universalized,Because you will go to jail,Cheating is not acceptable,It adversely affects on trust,A
208,Entry into the profession requires an extensive period of training of intellectual and moral character:,knowledge and skills,extensive training,monopoly,autonomy,A
209,A set of principles to guide researchers in deciding which goals are most important and reconciling conflicting values is called:,Utilitarianism,Deontology,Ethical skepticism,Code of ethics,D
210,Which ethical principle requires that healthcare providers act in the best interest of their patients?,The principle of beneficence,The principle of non-maleficence,The principle of autonomy,The principle of justice,A
211,Managerial ethics can be characterized by all of the following levels except:,immoral management,amoral management,demoral management,moral management,D
212,A manipulative autocrat leader tries to make the subordinates feel that they are actually participating in decision-making even though he had already taken the decision.,participative,free rein,manipulative autocrat,none of these,D
213,"According to unity of direction principle, each group of activities with the same objective must have one head and one plan.",unity of direction,unity of command,either of these,none of these,C
214,"According to hedonists, pleasure is the only thing that is:",possible,avoidable,visible,desirable,D
215,'Character' refers to the complete system constituted by the acts of ____________ of,particular kind. Ethics,Sociology,Physics,Biology,B
216,What is business ethics?,"the study of business situations, activities, and decisions where issues of right and wrong are addressed",defined as decisions organisations make on issues that could be considered right or wrong,ethics that can be applied to an organisation's practises,ethical processes businesses use in order to achieve a good ethical standard,A
217,Which moral philosophy seeks the greatest good for the greatest number of people?,Consequentialism,Utilitarianism,Egoism,Ethical formalism,B
218,The aim of punishment as per the Reformative theory is:,To prevent others from committing similar offence,To educate or reform the offender himself,To allow man's deeds to return on his own head,To punish people who resist reformation,A
219,Ethos means:,conduct,customs,character,good,C
220,"The Book ""Functions of Executive"" was written by:",p.f. drucker,chester barnard,herbert simon,none of these,B
221,"Wisdom (prudence), courage (fortitude), temperance, and justice are:",cardinal virtues,proficiency virtues,team-work virtues,none of these,C
222,"In a decentralized organization, decision-making is delegated as far down the chain of command as possible.",Decentralized,Creative,Flexible,Centralized,A
223,"When accountability for wrong actions or results is at issue, responsibility means blameworthy.",praiseworthiness,liability,accountability,none of these,C
224,"Communication skills such as writing, speaking, and body language are important work ethics so that you can be clear in your messages to others.",communication,cooperation,honesty,none of these,C
225,Team management is a cross-functional team management.,fault tree analysis,event tree analysis,fmea,none of the these,C
226,It is important to be at work attendance every day and on time unless you are sick or have a family emergency.,appearance,attendance,attitude,respect,C
227,Which ethical principle states that individuals should be treated equally?,Virtue Ethics,Deontology,Justice,Care Ethics,C
228,Axiology is the science of:,values,beauty,science,none of these,C
229,Which ethical principle emphasizes the importance of treating people fairly and impartially?,The study of what is legal or illegal,The study of what is morally right or wrong,The study of what is socially acceptable or unacceptable,The study of what is profitable or unprofitable,B
230,Summum Bonum refers to the ____________ good.,Greek,English,French,Latin,D
231,Logic deals with the correctness of:,thought,conduct,perception,intuition,A
232,Values related to love is:,forgiveness,trust,loyalty,none of these,C
233,Job analysis is a detailed and systematic study of jobs to know their nature and characteristics.,man power planning,job analysis,staffing,all of these,D
234,Character' refers to the complete system constituted by the acts of ____________ of,particular kind. wish,desire,intention,will,D
235,Administration is that phase of business enterprise that concerns itself with the overall determination of institutional objectives and the policies necessary to be followed in achieving those objectives.,management,administration,both of these,none of these,A
236,Kant's third maxim says:,Act as a member of a kingdom of ends,Respect for the dignity of persons,What is right is universal,Treat personality as of absolute worth,A
237,A ____________ teaches us to know how to do.,Positive science,Normative science,Practical Science,Natural Science,C
238,Which of the following is an example of an area where business ethics apply?,Conduct of international operations,Nowhere,In the personal life of staff,none of these,A
239,Bribery means simply spying for company or personal benefits.,human rights,employee rights,employer rights,none of the these,C
240,External audit of the accounts of a limited company is required:,Because it is demanded by the company's bankers,By the Companies Act 2006,At the discretion of the shareholders,To detect fraud,B
241,"When a firm charges different prices to different groups of customers, it may be accused of:",cultural relativism,money laundering,facilitating payments,price discrimination,D
242,The process of making a choice when there are different desires is:,wish,will,deliberation,none of these,C
243,The standard ways of distinguishing between active and passive euthanasia are:,Practical euthanasia,Act/omission,Passive euthanasia,Active euthanasia,B
244,"An individual may exhibit civic virtue by voting, volunteering, and organizing welfare groups and meetings.",service learning,ethics,non-violence,none of these,B
245,The main objective of motion study is to determine and eliminate unnecessary and wasteful movements.,work study,time study,motion study,none of these,C
246,The contingency school of thought has developed on the idea that there is no single best method to find solutions to Managerial problems.,system approach,empirical,contingency,operational,B
247,"In an academy culture, the organization provides a stable environment in which employees can develop and exercise their skills.",fortress,club,baseball,academy,D
248,Which of the following is an ethical dilemma?,A situation where there is a clear right or wrong answer,A situation where there are conflicting moral values or principles,A situation where there is no ethical component involved,A situation where the consequences of the action are not known,B
249,"A.H. Maslow developed the ""Need Hierarchy Theory"" to explain human behaviour within an organization.",a.h.maslow,douglas mc. gregor,herzberg,none of these,A
250,The first step in the holistic process of management is:,define the whole under management,develop a written goal statement,assess current situation,none of these,A
251,"The system approach is based on the idea that an organization is studied in detail and decisions are taken for each sub-system, which in turn is in conformity with the total system.",empirical,management science,contingency,system,A
252,Stockholders have a concern for:,Financial return,Make profits,Encourage business,None of these,A
253,Which ethical theory argues that the morality of an action is determined by whether it conforms to a set of universal rules or principles?,The principle of beneficence,The principle of non-maleficence,The principle of autonomy,The principle of veracity,A
254,____________ is the special virtue of the ruling class.,Plato,Aristotle,Kant,Mill,A
255,Ethics is a ____________ science.,positive,applied,normative,systematic,C
256,Mill's Internal sanction of consciousness is:,Sympathy,Fellow-feeling,Social feeling of mankind,All of these,D
257,Social responsiveness refers to the capacity of a firm to adapt to changing:,societal conditions,organizational conditions,societal leaders,none of these,A
258,Which of these is a factor that affects ethical and unethical behaviour?,ethical dilemma,diversity,teamwork,none of these,A
259,"Peter Singer posited what as the criterion for an anti-abortion stance, instead of the criteria of being a Homo sapiens?",intellect,quickening,birth,consciousness,D
260,A philosophical term of art for a particular sort of capacity of rational agents to choose,course of action from among various alternatives is: Free will,Moral responsibility,Character,Conduct,C
261,____________ believe in the law of Karma.,Hinduism,Hinduism,Jainism,All of these,D
262,In which book did Kant establish the dignity of the moral law and make ethical life fundamental in Philosophy?,Critique of Pure Reason,Critique of Practical Reason,Critique of Judgment,Both a and c,B
263,Capitalist Justice stands for:,Benefits should be distributed according to the value of the contribution the individual makes to a society,Benefits should not be distributed according to the value of the contribution the individual makes to a society,Benefits should be distributed according to employer judgement,none of these,D
