Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
42,"Which number completes the series: 2, 5, 8, 11, 14, ____.",18,17,19,16,B
43,Rehman mixed 24 kg of butter at Rs. 150 per kg with 36 kg butter at the rate of Rs. 125 per kg. At what price per kg should he sell the mixture to make a profit of 40% in the transaction?,Rs. 135,Rs. 162,Rs. 189,Rs. 198,C
44,"In a 60-liter mixture, the ratio of milk and water is 2:1. How much water must be further added to make it 1:2?",60 liters,50 liters,40 liters,None of these,A
45,"What is the next term in the series 2, 4, 8, 16, ...?",64,32,42,81,B
46,"There are two sections A and B of a class, consisting of 36 and 44 students respectively. If the average weight of section A is 40kg and that of section B is 35kg, find the average weight of the whole class?",37 kg,37.25 kg,37.5 kg,None of these,B
47,"A is two years older than B, who is twice as old as C. If the sum of the ages of A, B, and C is 27, how old is B?",8 years,10 years,11 years,12 years,B
48,"What is the annual income derived from a Rs. 2400, 8% stock purchased at 96?",Rs0.10 ,Rs0.15 ,Rs0.20 ,Rs0.25 ,C
49,"A man sells two buffaloes for Rs.7,820 each. On one he gains 15% and on the other, he loses 15%. His total gain or loss in the transaction is:",2.5% gain,2.25% loss,2% loss,5% loss,B
50,"When 20% of itself is added to a number, it gives 102. Find the number. Percentage",85,90,75,185,A
51,How many pieces of 13.2 cm can be cut from a 330 cm long rod?,250,25,43.56,2.5,B
52,"If A : B : C = 2 : 3 : 4, what is the ratio A/B : B/C : C/A?",8:09:12,9:08:24,8:09:24,8:12:16,C
53,A rectangular field has dimensions 25m by 15m. Two mutually perpendicular passage of 2m width have been left in it's central part and grass has been grown in rest of the field. The area under the grass is____________?,295 m²,299 m²,300 m²,375 m²,B
54,A 25 cm wide path is to be made around a circular garden having a diameter of 4 meters. Approximate area of the path is square meters is__________?,3.34,2,4.5,5.5,A
55,"The ratio of the prices of three articles X, Y and Z is 8 : 5 : 3. If the prices of X, Y and Z are increased by 25%, 20% and 33 1/3% respectively, then what would be the ratio of the new prices of X, Y and Z?",5:03:02,10:06:05,10:07:04,5:04:03,A
56,2^5 means Number System,2 x 5,2 + 5,2 x 2 x 2 x 2 x 2,2 ÷ 5,C
57,"Two pipes can separately fill a tank in 20 and 30 hours respectively. Both the pipes are opened to fill the tank but when the tank is full, a leak develops in the tank through which one-third of water supplied by both the pipes goes out. What is the total time taken to fill",18 hrs,16 hrs,15 hrs,12 hrs,A
58,A right cylinder and a right circular cone have the same radius and the same volume. The ratio of the height of the cylinder to that of the cone is_________?,01-Mar,01-Feb,01-Apr,01-May,A
59,Ten people shake hands with each other exactly once. How many total handshakes occur?,55,45,35,None of above,B
60,"Hafeez invested Rs. 15000 @ 10% per annum for one year. If the interest is compounded half-yearly, then the amount received by Hafeez at the end of the year will be?","Rs. 16,500","Rs. 16,525.50","Rs. 16,537.50","Rs. 18,150",C
61,"The average salary per head of the entire staff of an office including the officers and clerks is Rs.90. The average salary of officers is Rs.600 and that of the clerks is Rs.84. If the number of officers is 2, find the number of clerks in the office?",1540,960,840,170,D
62,"The denominator of a fraction is 1 less than twice the numerator. If the numerator and denominator are both increased by 1, the fraction becomes 3/5. Find the fraction?",02-Mar,03-May,04-Jul,05-Sep,D
63,The edge of a cube is 2a cm. Find its surface area?,6a^2 cm²,8a^2 cm²,12a^2 cm²,24a^2 cm²,D
64,"If 144 / 0.144 = 14.4 / x, what is the value of x?",0.144,144,14.4,0.0144,D
65,A room is 4 meters 37 cm long and 3 meters 23cm broad. It is required to pave the floor with minimum square slabs. Find the number of slabs required for this purpose?,485,431,391,381,C
66,"If the average of 5, 6, 7, and X is 10, what is the value of 'X'?",12,22,32,42,B
67,What will be ratio of simple to compound interest on two same sums invested in SBP at rate of interest of 8% kept for 3 years?,1875/2029,1/2.5,1903/2156,20/88,A
68,"A can do a piece of work in 4 days and B can do it in 12 days. In how many days will they finish the work, both working together?",4 days,2 days,3 days,6 days,C
69,"Maqbool got a life insurance policy of Rs. 500,000. The rate of the annual premium is 4.5% of the total policy amount, and the policy fee is 0.25% of the policy amount. What is the total annual premium?","Rs. 23,750","Rs. 24,640","Rs. 25,530","Rs. 26,420",A
70,"An article is bought for Rs.600 and sold for Rs.500, find the loss percent?",17.33%,27%,16%,16.67%,D
71,"If the perimeter of a sector of a circle with a radius of 6.5 cm is 29 cm, what is its area?",52 cm²,25 cm²,56 cm²,58 cm²,A
72,"What will be the cost of building a fence around a square plot with area equal to 289 sq ft, if the price per foot of building the fence is Rs. 58?",Rs. 3944,Rs. 3828,Rs. 4176,None of these,A
73,If the length of a rectangle is increased by 20% and it's breadth is decreased by 20% then it area________?,Increased by 4%,Decreased by 4%,Decreased by 1%,Remains unchanged,B
74,"A cistern has two taps which fill it in 12 min. and 15 min.respectively There is one outlet pipe in the cistern. When all the taps & pipe are opened, the empty cistern is full in 20 min. How long will the waste pipe (outlet) take to empty the full cistern?",10 min,20 min,30 min,40 min,A
75,If the side of a square is increased by 25 % then how much percent does it's area get increased:,125%,156.25%,50%,56.25%,D
76,Two trains are moving in opposite directions 60 km/hr and 90 km/hr. Their lengths are 1.10 km and 0.9 km respectively. The time taken by the slower train to cross the faster train in seconds is_________?,36,45,48,49,C
77,Find the length of the wire required to go 15 times round a square field containing 69696 m². Geometric Measurement,15840 m,16840 m,15820 m,15640 m,A
78,"If a:b = 2:3 and b:c = 4:3, then find a:b:c. Ratio",8:12:09,2:03:08,2:03:09,2:03:12,A
79,How many subsets does an empty set have?,0,1,2,10,B
80,Certain quantity of food is sufficient for certain number of men for 13 days. After 1 day 2/5 of them desert how long will the food now last?,20 days,25 days,18 days,16 days,A
81,Raheem bought an old car for Rs. 42000. He spent Rs. 13000 on repairs and sold it for Rs. 64900. What is his profit percentage?,14%,16%,18%,22%,C
82,"In a Circle of Radius 5 cm if AB and AC are two equal chords of length 6cm each, then the length of chord BC is___________?",24/5 cm,12/5 cm,7/5 cm,None of these,D
83,What is the mean proportional of 4 and 16?,±8,±16,±9,None of these,A
84,"In Faisalabad, ratio of bicycles and motorcycles in 2 : 3. If bicycles increase by 15% and motorcycles increase by 20%, what is overall percent increase in both cycles and motorcycles?",9%,12%,18%,15%,C
85,"If Amir is to the North of Bilal, and Saad is to the West of Bilal, in which direction is Amir with respect to Saad?",West South,West-North,North-East,North,C
86,The difference between the circumference and the radius of a circle is 37 cm. What is the area of the circle?,111 cm²,184 cm²,154 cm²,259 cm²,C
87,1.272747.... is a/an Number System,Rational Number,Irrational Number,Integer,Whole Number,B
88,A person buys an article at Rs.500. At what price should he sell the article so as to make,profit of 20%? Profit-Loss Rs.600,Rs0.50 ,Rs0.25 ,Rs0.70 ,A
89,"60% of a number is added to 120, the result is the same number. Find the number?",300,200,400,500,A
90,"The area of a rectangle is 297 sq cm. If its length is increased by 3 cm and its width is decreased by 1 cm, its area is increased by 3 sq cm. Find the original length and width of the rectangle. Geometric Measurement",10 cm and 35 cm,11 cm and 27 cm,13 cm and 28 cm,None of these,B
91,The compound interest earned by Sunil on a certain amount at the end of two years at the rate of 8% p.a. was Rs.2828.80. Find the total amount that Sunil got back at the end of two years in the form of principal plus interest earned.,"Rs.18,828.80","Rs.19,828.80","Rs.18,028.80","Rs.17,828.80",B
92,A man can row 12 km downstream in 3 hours and the same distance upstream in 4 hours. What is the speed of the current?,1 km/h,0.5 km/h,2 km/h,2.5 km/h,B
93,A mixed doubles tennis game is to be played two teams(each consists of one male and one female) There are four married couples. No team is to consist a husband and his wife. What is the maximum number of games that can be played?,12,48,36,42,C
94,"What is the failure rate if a student scores 80% in English and 85% in Math, if the passing mark for both subjects is 75%?",0%,10%,15%,20%,A
95,(6 - 2 * 3 + 6) / (2 + 6 * 3 - 4) = _____________?,09-Aug,03-Oct,03-May,03-Aug,D
96,"By selling an umbrella for Rs. 300, a shop keeper gains 20%. During a clearance sale, the shopkeeper allows a discount of 10% on the marked price. His gain percent during the sale is:________?",7%,7.50%,8%,9,C
97,"The cost of Type 1 rice is Rs. 15 per kg and Type 2 rice is Rs. 20 per kg. If both Type 1 and Type 2 are mixed in the ratio of 2 : 3, then the price per kg of the mixed variety of rice is:_______?",Rs. 18,Rs. 18.50,Rs. 19,Rs. 19.50,A
98,The area of a circle is 275 cm². What is the circumference of the circle?,55.45 cm,58.79 cm,60.09 cm,77.33 cm,B
99,"40% of Raees's marks is equal to 20% of Rahim's marks, and this is also equal to 30% of Rehman's marks. If Rehman's marks are 80, find the average marks of Raees and Rahim. Percentage",60,70,80,90,D
100,"The G.C.D of 1.08, 0.36 and 0.9 is________?",0.03,0.9,0.18,0.108,C
101,At any army camp the provisions were stored for 40 days but ten days after the no. of soldiers become double. Now the food lasts for x days. What is x?,30,40,50,15,D
102,"If a fraction is multiplied by itself and the product is divided by its reciprocal, the result is 18 26/27. What is the original fraction?",1 1/2,2 2/3,08-May,None of these,B
103,"Approximately how many miles are equal to 1,280 kilometers?",1000 miles,800 miles,940 miles,None of these,B
104,The average runs scored by a batsman in 20 matches is 40. In the next 10 matches the batsman scored an average of 13 runs. Find his average in all the 30 matches?,31,29,28,30,A
105,Find the one which does not belong to that group?,3,4,5,9,B
106,"If 3^(5n−9) = 3^(n+1), what is the value of n?",5,6,4,None of these,B
107,In what proportion must water be added to spirit to gain 20% by selling it at the cost price?,1:04,1:05,1:06,2:05,B
108,A and B start a business jointly. A invests Rs.16000 for 8 months and B remains in the business for 4 months. Out of the total profit B claims 2/7th share. How much money is contributed by B?,Rs0.10 ,Rs0.13 ,Rs0.60 ,Rs0.80 ,B
109,"Amir saves 32% of his monthly salary. If he spends Rs. 27200, then find his savings?",15400,14300,13200,12800,D
110,"The average age of 5 members of a family is 24 years. If the age of the youngest member is 12 years, what is the average age of the other 4 members?",27 years,30 years,24 years,25 years,A
111,In 50 gm alloy of gold and silver the gold is 80 % by weight. How much gold should be mixed with this alloy so that the weight of gold would become 95 %?,200 gm,150 gm,50 gm,10 gm,B
112,"A is the father of B, but B is not A's son. What is the relationship of B to A?",Son,Daughter,Cousin,Sister,B
113,Find the one which does not belong to that group?,Walk,Talk,Drink,Plank,D
114,"A, B and C enter into partnership. A invests some money at the beginning, B invests double the amount after 6 months, and C invests thrice the amount after 8 months. If the annual gain is Rs.18000. Then, A's share is?",Rs0.75 ,Rs0.72 ,Rs0.60 ,Rs0.58 ,C
115,{20 - [7 - (3 -2)] + 1/3 (4.2)} / 1.4 = ________?,11,12,14,19,A
116,"The average weight of 8 persons is increased by 2.5 kg when one of them, who weighs 56 kg, is replaced by a new person. What is the weight of the new person?",76 kg,72 kg,78 kg,None of these,A
117,"All the water in container A which was filled to its brim was poured into two containers B and C. The quantity of water in container B was 62.5% less than the capacity of container A. If 148 liters was now transferred from C to B, then both the containers would",648,888,928,1184,D
118,"A starts business with a capital of Rs.1200. B and C join with some investments after 3 and 6 months respectively. If the end of a year, the profit is divided in the ratio 2:3:5 respectively. What is B's investment in the business?",Rs0.24 ,Rs0.18 ,Rs0.36 ,Rs0.60 ,A
119,The number of new words that can be formed by rearranging the letters of the word 'ALIVE' is__________?,24,23,119,120,C
120,"If a shopkeeper earns 30% profit on a thing; if its price rises 25%, how much profit will he take:",25.50%,37.50%,47%,62.50%,D
121,Round off the following digit: 38.23,38,39,37,40,A
122,What is the value of 5 + 6 × 3 - 2 + 2?,20,23,28,None of these,B
123,Find the one which does not belong to that group?,35,48,75,84,A
124,"The sum of cubes of two numbers is 280. If the numbers are in the ratio 2:3, find the smallest number. Ratio",4,6,3,2,A
125,In how many different ways can the letters of the word 'MATHEMATICS' be arranged so that the vowels always come together?,10080,4989600,120960,None of these,C
126,"If 39 men complete a task in 29 days, how long will it take 29 men to do the same task?",29 days,39 days,49 days,59 days,B
127,"An officer was appointed on maximum daily wages on contract money of Rs. 4956. But on being absent for some days, he was paid only Rs. 3894. For how many days was he absent?",3,4,5,6,A
128,"Two trains travelling in the same direction at 40 and 22 km/hr completely pass each other in 1 minute. If the length of the first train is 125 meters, what is the length of second train?",125,120,175,185,C
129,It takes one person 20 hours to clean a garden. How long will it take if 5 people work together at the same rate?,3 hours,6 hours,5 hours,4 hours,C
130,"If 0.009/x = 0.01, what is the value of x?",0.09,0.9,0.009,None of these,B
131,"The monthly incomes of A and B are in the ratio 5 : 2. B's monthly income is 12% more than C's monthly income. If C's monthly income is Rs. 15000, then find the annual income of A?",Rs. 420000,Rs. 180000,Rs. 201600,Rs. 504000,D
132,How many times in a day are the hands of a clock in a straight line but opposite in direction?,22,24,48,None of these,A
133,A hockey team won 6 games and lost 8. What is the ratio of wins to the number of games played?,6:08,8:06,3:07,8:14,C
134,The sector of a circle has radius of 21 cm and central angle 135o. Find its perimeter?,91.5 cm,93.5 cm,94.5 cm,92.5 cm,A
135,What is 45% of 225?,71,77,81,None of these,D
136,"The population of a certain village is 62,500. What will its population be after 3 years if it increases geometrically at a rate of 4% annually?",70304,70300,70402,70433,A
137,A doll is sold for Rs. 220. What was the cost of the doll if the rate of profit was 10% of the cost?,Rs. 198,Rs. 200,Rs. 210,Rs. 240,B
138,24 - [2.4 - {0.24 * 2 - (0.024 - ?)}] = 22.0584 Basic Arithmetic,0.0024,0.024,0.24,0.00024,A
139,The present worth of Rs. 1404 due in two equal half-yearly installments at 8% per annum simple interest is:,Rs. 1325,Rs. 1300,Rs. 1350,Rs. 1500,A
140,Express 0.286 as a percentage. Percentage,28.60%,2.80%,0.28%,None of these,A
141,The average weight of 16 boys in a class is 50.25 kg and that of the remaining 8 boys is 45.15 kg. Find the average weights of all the boys in the class. Average,47.55 kg,48 kg,48.55 kg,49.25 kg,C
142,The perimeter of a semi circle is 144 cm then the radius is_________?,25 cm,28 cm,30 cm,35 cm,B
143,"A can do a piece of work in 4 hours; B and C together can do it in 3 hours, while A and C together can do it in 2 hours. How long would it take B alone to do the work?",8 hours,10 hours,12 hours,None of these,C
144,The radius of a wheel is 22.4 cm. What is the distance covered by the wheel in making 500 resolutions. Geometric Measurement,252 m,704 m,352 m,808 m,B
145,The perimeter of a circle and a square field are equal. What is the diameter of the circle field if the area of the square field is 484 sq.m?,14m,21m,28m,None of these,C
146,Three-fourths of a number is 60 more than one-third of the same number. What is the number?,60,144,120,None of these,B
147,"At a ship, food was initially sufficient for 50 men for 20 days. After 10 days, half of the men died due to a disease. How many more days will the remaining food last?",20 days,60 days,70 days,50 days,A
148,The sum of 5 successive odd numbers is 1075. What is the largest of these numbers?,215,223,219,217,C
149,"How many tiles, each with an area of 10 square inches, are required to cover a floor with dimensions of 5 feet by 4 feet?",28,280,2880,288,D
150,Find the maximum number of students among whom 1001 pens and 910 pencils can be distributed in such a way that each student gets the same number of pens and the same number of pencils.,71,81,91,101,C
151,Sehar gave Shazia Rs.1250 on compound interest for 2 years at 4% per annum. How much loss would Sehar has suffered had she given it to Shazia for 2 years at 4% per annum simple interest?,Rs0.10 ,Rs0.20 ,Rs0.50 ,Rs0.30 ,B
152,A walks around a circular field at the rate of one round per hour while B runs around it at the rate of six rounds per hour. They start in the same direction from the same point at 7.30 AM. They shall first cross each other at:___________?,7.42 AM,7.48 AM,8.10 AM,8.30 AM,A
153,What is the present worth of Rs. 132 due in 2 years at 5% simple interest per annum?,Rs. 112,Rs. 118.80,Rs. 120,Rs. 122,C
154,Mahad marks an article 15% above the cost price of Rs. 540. What must be his discount percentage if he sells it at Rs. 496.80?,18%,21%,20%,19%,C
155,A hall 20 m long and 15 m broad is surrounded by a verandah of uniform width of 2.5 m. The cast of flooring the verandah at the rate of Rs 3.50 per sq. Meter is__________?,Rs0.50 ,Rs. 600,Rs. 700,Rs. 800,C
156,"The population of a state annually increases at the rate of 15% . If its present population is 79350, what was its population two years ago?",50000,55000,58000,60000,D
157,Rs. 9800 are invested partly in 9% stock at 75 and 10% stock at 80 to have equal amount of incomes. The investment in 9% stock is___________?,Rs. 4800,Rs. 5400,Rs. 5000,Rs. 5600,C
158,what ratio should a variety of rice costing Rs. 6 per kg be mixed with another variety of rice costing Rs. 8.75 per kg to obtain a mixture costing Rs. 7.50 per kg?,5:06,6:05,1:02,3:02,A
159,30% of 100 is equal to 3% of:,3000,2000,1000,750,C
160,A mixture of 70 litres of milk and water contains 10% water. How many litres of water should be added to the mixture so that the mixture contains 12 1/2% water?,12 liters,10 liters,4 liters,2 liters,D
161,Solve: 1/10 × 3/5 × 6/5. Basic Arithmetic,9/225,9/125,2/125,7/125,B
162,What is the area of a triangle having a base of 19m and a height of 7m?,45 m²,55 m²,66.5 m²,133 m²,C
163,"After spending 40 % in machinery, 25 % in the building, 15 % in raw material and 5 % on furniture, Haris had a balance of Rs. 1305. The money with him was:________?",Rs. 6500,Rs. 7225,Rs. 8700,Rs. 1390,C
164,Find the one which does not belong to that group?,16,28,36,64,B
165,The number of boys in a class is three times the number of girls. Which one of the following numbers cannot represent the total number of children in the class?,48,44,42,40,C
166,The ratio of numbers is 3:4 and their H.C.F is 4. Their L.C.M is__________?,12,16,24,48,D
167,The length of the rectangular field is double its width. Inside the field there is square shaped pond 8m long. If the area of the pond is 1/8 of the area of the field. What is the length of the field?,31 m,32 m,16 m,20 m,B
168,"What is the 10% Ushr on a value of Rs. 391,680?",Rs. 23498,Rs. 39168,Rs. 8576,Rs. 8643,B
169,"In a class, 19% students are absent on a day. If the number of students present on the day are 162, then the students absent on that day are:",187,190,200,38,D
170,The lengths of the diagonals of a rhombus are 24 cm and 18 cm. What is the length of each side of the rhombus?,15 cm,13 cm,16 cm,17 cm,A
171,Find the one which does not belong to that group?,4422,2442,4242,2244,C
172,The ratio of the length of a rod to its shadow is 1:√3. What is the angle of elevation of the sun?,30°,45°,90°,None of these,A
173,"30 men can do a certain work in 15 days. They started working on the project but 5 of them leave after every five days. In how many days, will the work be completed now?",20 days,22 days,25 days,18 days,A
174,"If three lawns are mowed in two hours, how many lawns will be mowed in ten hours at the same rate?",10 lawns,12 lawns,15 lawns,None of these,C
175,A car traveling with 5/7 of its actual speed covers 42 km in 1 hr 40 min 48 sec. What is the actual speed of the car?,30 km/hr,35 km/hr,25 km/hr,40 km/hr,B
176,A shopkeeper purchased 70 kg of potatoes for Rs. 420 and sold the whole lot at the rate of Rs. 6.50 per kg. What will be his gain percent?,4.17%,6.17%,8.33%,20%,C
177,"What is the price of a 12x6 carpet if an 8x3 carpet costs Rs. 6,288, assuming price is proportional to area? proportion",Rs. 16654,Rs. 18864,Rs. 21345,Rs. 12768,B
178,Find the cost of fencing around a circular field of diameter 28 m at the rate of Rs.1.50 a meter?,Rs0.15 ,Rs0.13 ,Rs0.10 ,Rs0.13 ,B
179,"Three pipes A, B and C can fill a tank in 6 hours. After working at it together for 2 hours. C is closed A and B can fill the remaining part in 7 hours. The number of hours taken by C alone to fill the tank is?",10,12,14,16,C
180,"A small shop contain 25 pairs of shoes. If 20% are joggers, how many are not joggers?",5,10,15,20,D
181,"Complete the series: 11, 15, 24, _____, 65, 101.",39,40,48,50,B
182,The difference between simple and compound interest on Rs. 1200 for one year at 10% per annum reckoned half-yearly is________?,Rs. 2.50,Rs. 3,Rs. 3.75,Rs. 4,B
183,"Ramees buys good worth Rs. 6650. He gets a rebate of 6% on it. After getting the rebate, he pays sales tax @ 10%. Find the amount he will have to pay for the goods. Percentage",Rs. 6876.10,Rs. 6999.20,Rs. 6654,Rs. 7000,A
184,A man invested Rs. 1552 in a stock at 97 to obtain an income of Rs. 128. The dividend from the stock is___________?,7.50%,8%,9.70%,None of these,B
185,"Two pipes P and Q can fill a cistern in 12 minutes and 16 minutes respectively. Simultaneously both the pipes are opened together, then after how much time Q should be closed so that the tank is full in 9 min?",2 min,3 min,4 min,5 min,C
186,6 of 5/8 / 5/8 - 1/8 = ______?,6.125,5.75,6.75,5.875,D
187,A basket has 5 apples and 4 oranges. Three fruits are picked at random. The probability that at least 2 apples are picked is__________?,25/42,Sep-20,Oct-23,41/42,A
188,"Using all the letters of the word ""NOKIA"", how many words can be formed, which begin with N and end with A?",3,6,24,120,B
189,Three friends divided some bullets equally after all of them shot 4 bullets the total number of bullets remaining is equal to the bullets each had after division. Find the original number divided?,18,20,54,8,A
191,"Find the greatest number of four digits which when divided by 10, 15, 21 and 28 leaves 4, 9, 15 and 22 as remainders respectively?",9654,9666,9664,9864,A
192,"Water tax is increased by 20% but its consumption is decreased by 20 %. Then, the increase or decrease in the expenditure of the money is:________?",No change,5 % decrease,4 % increase,4 % decrease,D
193,A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. What is the principal sum?,Rs. 650,Rs. 690,Rs. 698,Rs. 700,C
194,A bag contains five white and four red balls. Two balls are picked at random from the bag. What is the probability that they both are different color?,04-Sep,05-Sep,07-Sep,08-Sep,B
195,"The angles of a triangle are (x-35), (x-25), and (x/2-10). Find x. Geometric Measurement",80,90,100,None of these,C
196,Find the one which does not belong to that group?,KMNL,PRSQ,VWYZ,JLMK,C
197,A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is ________?,Rs. 700,Rs. 690,Rs. 650,Rs. 698,D
198,An engineering student has to secure 36% marks to pass. He gets 130 marks and fails by 14 marks. The maximum No. of marks obtained by him is_________?,300,400,350,500,B
199,"H.C.F of 4 * 27 * 3125, 8 * 9 * 25 * 7 and 16 * 81 * 5 * 11 * 49 is___________?",180,360,540,1260,A
200,"How many shares of market value Rs. 25 each can be purchased for Rs. 12750, brokerage being 2%?",450,500,550,600,B
201,"The average of 10 numbers is 23. If each number is increased by 4, what will the new average?",22,27,25,29,B
202,A shopkeeper buys an article for Rs. 240 and sells it for Rs. 300. What is his profit percentage?,20%,25%,30%,35%,B
203,Evaluate: 2 × 25 + 5 + 10 - 2.,63,53,58,43,A
204,"In a class, 3/4 of the students do not know either English or Hindi. But 1/6 of the students know English. How many students know both English and Hindi if students who know Hindi are 1/8 of the total students in the class?",Jan-24,100/24,10-Apr,¼,A
205,"If 9 men or 15 women an do a piece of work in 25 days, then 39 men and 10 women will complete the same work in?",4 days,6 days,5 days,7 days,C
206,"If Afnan drives at 4/5th of his usual speed to his office, he is 6 minutes late. What is his usual time to reach his office?",36 minutes,24 minutes,30 minutes,18 minutes,B
207,"If the average marks of three batches of 55, 60, and 45 students are 50, 55, and 60 respectively, what are the average marks of all the students combined?",53.33,54.68,55,None of these,B
