Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
19,Which is the second most beautiful capital in the world?,Paris,London,Bangkok,Islamabad,D
20,The Poona Pact was signed between Gandhi and which leader?,Jawaharlal Nehru,Dr. B. R. Ambedkar,Quaid-i-Azam,Maulana Azad,B
21,Who prepared the Nehru Report in the context of Delhi Proposal:,Jawaharlal Nehru,Motilal Nehru,Mahatma Gandhi,'Quaid-i-Azam,B
22,The M-8 Motorway runs from ________ to __________.,Ratodero to Karachi,Ratodero to Sukkur,Ratodero to Gwadar,None of these,C
23,The old city of Lahore had _______ gates.,9 gates,11 gates,13 gates,16 gates,C
24,Who becomes the acting President if the presidential seat becomes vacant in Pakistan?,The Chairman of the Senate,A person decided by the Federal Government,The Speaker of the National Assembly,A person chosen through polling in Parliament,A
25,The Aiwan-e-Sadr was completed in ____________.,In 1980,In 1988,In 1983,None of these,B
26,The Federal Public Service Commission (FPSC) is governed by the __________.,"FPSC Ordinance, 1977","FPSC Parliamentary Act, 1977","FPSC Ordinance, 1947","FPSC Act, 1926",A
27,Harappa near Sahiwal was the center of ______.,Greek civilization,Persian civilization,Muslim civilization,Indus Valley civilization,D
28,India is located on the _______ side of Pakistan.,North,West,East,South,C
29,Who was the first secretary-general of the Muslim League?,Nawab Mohsin-ul-Mulk,Sir Agha Khan,Maulana Muhammad Hussain Bilgrami,Syed Amir Ali,C
30,What is the length of the Pakistan-China border?,517 KM,579 KM,599 KM,617 KM,C
31,Mirani Dam is located on which river?,Bolan,Jhelum,Dasht,Hub,C
32,"In the Second Constituent Assembly elected in 1955, the Muslim League formed a coalition government with:",United Front,Noon Group,Independents,None of these,A
33,The first Population Census in Pakistan was conducted in:,in 1948,in 1950,in 1951,in 1953,C
34,The Arabian Sea lies in which direction of Pakistan?,North,West,South,None of these,C
35,Bradlaugh Hall has been the venue of some of the most important events in the history of Pakistan and India. In which city is it located?,Delhi,Dhaka,Shimla,Lahore,D
36,"The book 'Sawatiul Ilham', written by Abul Faid Faizi, is notable for what unique feature?",Written in Turkish,A critique of Akbar,"A poem of 60,000 couplets",Written without any dot,D
37,Pakistan became a member of the International Atomic Energy Agency (IAEA) in _________.,In 1949,In 1953,In 1957,In 1963,C
38,How many interim constitutions have been enforced in Pakistan's history?,1,2,3,4,C
39,Under whose Viceroyalty was the Vernacular Press Act passed in 1878?,Lord Lytton,Lord Lawrence,Lord Dalhousie,Lord Canning,A
40,The Jallianwala Bagh massacre in Amritsar took place on:,"on Apr 13, 19","on Apr 15, 19","on Apr 17, 19",None of these,A
41,What is the height of the Tirich Mir peak?,"7,708 m","7,350 m","7,870 m","7,140 m",A
42,When was the first session of the First Constituent Assembly of Pakistan held?,17386,17389,11-Aug-47,17393,B
43,In which year did the Supreme Court of Pakistan impose a ban on the Basant festival?,In 2004,In 2005,In 2007,In 2009,C
44,The national language of Pakistan is:,Urdu,English,Punjabi,None of these,A
45,Who made the August Offer?,Lord Linlithgow,Lord Wavell,Lord Irwin,None of these,A
46,"The ""Lahore Resolution"" was amended, and ""Pakistan"" was made an integral part of the League's objective, at the annual session of 1941 held in ___________.",Karachi,Lahore,Madras,None of these,C
47,India has constructed the Baglihar Dam on the __________ river.,Chenab,Indus,Sutlej,Jhelum,A
48,The first general elections in Pakistan were held in:,1950,1960,1970,1980,C
49,The first museum in Pakistan was established in Karachi on _________.,"On April 17, 1951","On April 17, 1950","On May 17, 1950","On April 25, 1950",B
50,How many points are included in the National Action Plan (NAP)?,10,15,20,30,C
51,Pakistan got the status of Test cricket playing nation in:,in 1952,in 1951,in 1953,in 1950,A
52,The largest lake in Jammu & Kashmir is __________.,Dal Lake,Nagin Lake,Wullar Lake,None of above,C
53,Who rejected the theory of composite nationalism advanced by the Indian National Congress?,Maulana Maududi,Allama Mashriqi,Hussain Ahmed Madni,Quaid-e-Azam,D
54,When did Pakistan conduct its first nuclear test?,1999,1998,1997,1996,B
55,Azad Kashmir Government was set up on:,"on 20th September, 1947","on 24th October, 1947","on 14th August, 1947",None of these,B
56,Which newspaper generally supported the Nehru Report?,Amrita Bazar Patrika,The Zamindar newspaper,The Hari newspaper,None,B
57,Ghazi Brotha Dam is located on which river?,Indus,Swat,Kabul,None of these,A
58,The total area cultivated in Pakistan is ________.,35 percent,45 percent,55 percent,25 percent,D
59,Satpara Lake is situated in _______.,Baltistan,Gilgit,Kaghan,Bolan Valley,A
60,Which Congress leader thought after the Lahore Resolution that partition was unavoidable?,Jawaharlal Nehru,Raj Gopal Acharya,Abdul Kalam Azad,Mahatma Gandhi,B
61,Tomb of Nur Jahan is located in:,Lahore,Kabul,Agra,Multan,A
62,When was the report of Simon Commission published?,"in May, 1930","in May, 1929","in June, 1929",None of these,A
63,In which city is the Military College of Engineering located?,Risalpur,Islamabad,Gujranwala,Sargodha,A
64,Which fund was established to counter the propaganda of the Indian National Congress post-1937 elections?,The Manshoor Fund,The Press and Propaganda Fund,The Dawn Fund and Trust,None of these,B
65,When does the Kharif crop season start and end?,from June to September,from October to May,from May to October,from January to October,C
66,Sindh was conquered by Muhammad bin Qasim in ____.,710 AD,711 AD,712 AD,None of these,C
67,India Wins Freedom was written by:,Nehru,Mountbatten,Abul Kalam Azad,None of above,C
68,The Lahore Resolution of 1940 is a landmark in Pakistan's history. What was the key demand presented in this resolution?,A demand for separate electorates for Muslims in a united India.,A proposal for a federal system with strong provincial autonomy within India.,The creation of independent states for Muslims in the North-Western and Eastern zones of India.,An immediate transfer of power from the British to the All-India Muslim League.,C
69,When were five districts separated from Punjab to form the North-West Frontier Province (NWFP)?,1901,1909,1932,1939,A
70,"In Pakistan's parliamentary system, the President is the ________.",Head of the State,Head of the Government,Head of the Parliament,None of these,A
71,"The ""Tiger of Mysore"" is called ____________.",Titu Mir,Nadir Shah,Tipu Sultan,None of these,C
72,The historical 'Purana Qila' near Delhi was constructed by which ruler?,Humayun,Babur,Akbar,Sher Shah Suri,D
73,The Objective Resolution was passed by the Constituent Assembly in:,on 7-Mar-49,on 12-Mar-49,on 23-Mar-49,None of these,B
74,The All Parties Conference regarding the freedom of India against British rule was made in:,1922,1924,1926,1928,D
75,"The Muslim League, Congress, and the Sikhs mutually agreed to which agreement with Lord Mountbatten?",Govt. of India Act 1935,Indian Independence Act 1947,Govt. of India Act 1919,Simla Agreement,B
76,"Who was nicknamed ""The Flying Horse""?",Asad Malik,Sami Ullah Khan,Jahangir Khan,None of these,B
77,When did the Constituent Assembly declare Urdu and Bengali as official languages?,on 3rd January 1954,on 23rd March 1956,on 25th February 1948,on 1st March 1962,A
78,Muhammad bin Qasim was recalled from his campaign by which Caliph in 715 AD?,Waleed bin Abdul Malik,Hisham bin Abdul Malik,Suleman bin Abdul Malik,Marwan II,C
79,Gomal Zam Dam is located in:,North Waziristan,Khyber Agency,South Waziristan,None of the above,C
80,The Government of India Act 1858 was passed on:,"on August 2, 1858","on September 2, 1858","on October 2, 1858","on November 2, 1858",A
81,What was the purpose of the Ilbert Bill introduced in 1883?,To increase British control,To give Indians and Europeans equal magistracy,To form the Indian National Congress,To abolish the British judiciary,B
82,Which regiment of the Pakistan Army has been awarded the maximum number of Nishan-e-Haider medals?,Baloch Regiment,The Punjab Regiment,Sindh Regiment,Frontier Force Regiment,B
83,Which one of the following is the oldest barrage on the Indus River?,Guddu Barrage,Sukkur Barrage,Ghulam Muhammad Barrage,Taunsa Barrage,B
84,"Before giving up singing, Junaid Jamshed was part of which music group?",Strings,Junoon,Vital Signs,Fuzon,C
85,Which was the first country to recognize Pakistan after its independence?,Egypt,Saudi Arabia,Indonesia,Iran,D
86,"How many members were in the first ""Constituent Assembly of Pakistan"" at its inception?",67,68,69,79,C
87,Balochistan has 7 divisions and ________ districts.,32,33,34,None of these,B
88,Why did the Simon Commission of 1927 fail?,It had no Indian members,Indians did not want a review of the Act of 1919,Its recommendation to abolish diarchy was rejected,None of these,A
89,Who was the governor of Sindh after Muhammad Bin Qasim?,Zaid bin Marwan,Yazid bin Muhallab,Abdullah bin Haris,None of these,D
90,The All India Muhammadan Educational Conference was established by:,Sir Syed Ahmad Khan,Allama Iqbal,Maulana Shaukat Ali,Syed Ahmad Shaheed,A
91,Sassi Punnu is a known legend of:,Punjabi,Sindhi,Pashto,Balochi,B
92,The University of Veterinary and Animal Sciences is located in _____________.,Lahore,Karachi,Hyderabad,Faisalabad,A
93,Mirpur Khas is famous for the cultivation of ___________.,Onions,Spinach,Mangoes,Potatoes,C
94,"When Abu ala Maududi was awarded death punishment by military court on"" Qadiani issue""?",In March 1953,In April 1953,In May 1953,None of these,C
95,Mughal emperor Akbar enforced Din-i-Ilahi in _____?,1580,1581,1582,None of these,C
96,Abdur Rahman Chughtai was famous in the field of:,Music,Painting,Construction,Science,B
97,"Minor crops, consisting of pulses, potatoes, onions, chilies, garlic, etc., account for approximately _______ of the value added in agriculture.",7 percent,10 percent,14 percent,18 percent,B
98,Where was the first central office of the Muslim League set up?,Kanpur,Aligarh,Lahore,Saharanpur,B
99,Where is the Kalash Valley located?,Khyber Pakhtunkhwa,Sindh,Balochistan,Punjab,A
100,"How many times has Pakistan won the ""Blind Cricket World Cup""?",0,1,2,3,C
101,The shortest-serving Governor in Sindh's history is _______.,Murad Ali Shah,Dr. Ishratul Ebad,Justice (R) Saeed-uz-Zaman Siddiqui,Khursheed Shah,C
102,Which crop is mostly cultivated on the soils of the Indus Delta?,Sugarcane,Rice,Maize,Beans,B
103,The Liaquat-Nehru Pact was announced at Delhi in:,in March 1950,in April 1950,in May 1950,in June 1950,B
104,Pakistan's first ambassador to the United States was:,M.A.H. Isphahani,Patras Bukhari,K.K. Aziz,None of these,A
105,___________ was the founder of the Slave dynasty.,Alauddin Khilji,Humayun,Qutubuddin Aibak,Aram Shah,C
106,The 1935 elections were held in how many provinces?,12,11,13,14,B
107,Silver fibre of Pakistan is __________.,Rice,Wheat,Cotton,Coal,C
108,"A British officer, recorded by ____________, noted in a gazette that no Muslim shall be given employment higher than that of a peon or junior clerk.",Majumdar,Hasan Isphani,Karamat Ali,None of these,B
109,Where did the Jallianwala Bagh tragedy take place?,Malabar,Amritsar,Lucknow,Madras,B
110,When did nationalization of industries and educational institutions take place in Pakistan?,in 1972,in 1971,in 1975,in 1977,A
111,The foundation stone of Quaid's Mausoleum was laid by?,Iskandar Mirza,Yahya Khan,Ayub Khan,Liaquat Ali Khan,C
112,In which year was Majlis-e-Shoora announced by Zia-ul-Haq?,in 1983,in 1981,in 1980,in 1988,B
113,Who succeeded Qutbuddin Aibak as the second sultan of the Slave dynasty?,Iltutmish,Aram Shah,Razia Sultana,Balban,B
114,The Battle of Plassey was fought in:,1657,1757,1857,1957,B
115,Which Tughluq ruler founded the fortified city of Tughluqabad?,Muhammad bin Tughluq,Firuz Shah Tughluq,Ghiyasuddin Tughluq,Nasiruddin Mahmud Shah,C
116,Constitutional accord was signed on:,in October 1972,in March 1972,in August 1972,in December 1972,A
117,What is the approximate length of the Durand Line?,2000 km,2252 km,1500 km,3000 km,B
118,The Lahore Resolution was supported from Sindh Province by:,G. M. Syed,Ayub Khuhro,Sir Abdullah Haroon,Pir Ilahi Bux,C
119,Which is the largest thermal power station in Pakistan?,Lakhra Thermal Power Station,Guddu Thermal Power Station,Jamshoro Thermal Power Station,Muzaffargarh Power Station,B
120,Who was the first President of the All-India Muslim League?,Sir Aga Khan,Nawab Waqar-ul-Mulk,Nawab Salimullah Khan,None of them,A
121,"The largest mosque in Pakistan, located in Islamabad, is called _________.",Shah Faisal Mosque,Badshahi Mosque,Garrison Mosque,None of them,A
122,Which newspaper did Maulana Muhammad Ali Johar issue in 1913?,Al-Hilal,The Comrade,Hamdard,Dawn,C
123,What percentage of the total area of Pakistan is covered with forests?,0.071,0.049,0.062,0.07,B
124,Which is the largest canal in Pakistan?,Rohri Canal,Nara Canal,Kirthar Canal,Dadu Canal,B
125,The Noor Mahal is located in ___________.,Bahawalpur,Multan,Khairpur,Sukkur,A
126,Ayub National Park is situated in _________.,Rawalpindi,Murree,ICT,None of them,A
127,Which Mughal king was a contemporary of Queen Elizabeth I of the UK?,Shah Jahan,Akbar,Jahangir,None of these,B
128,Who had the shortest tenure as president of Pakistan?,Iskander Mirza,Zulfikar Ali Bhutto,Fazal Ilahi Chaudhry,Muhammad Rafiq Tarar,B
129,What is the length of the M-8 Motorway (Ratodero-Gwadar)?,860 km,885 km,892 km,915 km,C
130,What is the main dispute between Pakistan and India?,Water,Border,Kashmir,None of these,C
131,Muhammad bin Tughluq died in ________.,In 1350 AD,In 1351 AD,In 1352 AD,In 1353 AD,B
132,The desert found in the province of Punjab is _________.,Sahara,Thar,Thal,Khara,C
133,When was Shah Wali Ullah born?,1700,1703,1707,None of these,B
134,Satyagraha was started by:,Jawaharlal Nehru,Jiv Shankar,Anil Shetty,Mohandas Karamchand Gandhi,D
135,When did Allama Iqbal become a member of the Punjab Legislative Council?,In 1925,In 1926,In 1927,In 1928,B
136,Bara Bagh Cemetery is located at:,Punjab,Sindh,KPK,Balochistan,D
137,Which country helped Pakistan to build the JF-17 Thunder?,U.S.A.,Russia,Canada,China,D
138,Which area has the biggest deposit of iron ore in Pakistan?,Koh-i-Sultan,Koh-i-Sulaiman,Kalabagh,Chitral,C
139,"In 1917, the Kheiri Brothers suggested a plan for the partition of India at the Socialist International conference held in __________.",Sweden,Netherlands,England,None,A
140,In which province or provinces were the first offices of the provincial ombudsman created?,Punjab,Sindh,Both of them,None of them,C
141,"In 1985, a Pakistani became the Secretary-General of the OIC. His name was:",Muneer Akram,Sharif ud Din Peerzada,Yaqub A. Khan,S.M. Zafar,B
142,Tipu Sultan had diplomatic relations with which French King?,Napoleon,Charles,Henry II,None of these,A
143,Which is the 5th most populous country in the world?,India,Pakistan,Brazil,None of them,B
144,"Who is the author of the book ""Struggle for Pakistan""?",Ayesha Jalal,K. K. Aziz,Shahid Rafique,None of these,A
145,Anjuman Himayat-e-Islam was founded in:,1899,1884,1895,1900,B
146,"The Famous Book ""The Daughter of the East"" is written by:",Benazir Bhutto,Ayesha Jalal,G Alana,K.K. Aziz,A
147,When was Muhammad Ali Jinnah called to the Bar?,"April 29, 1896","December 25, 1876","March 27, 1898","November 9, 1877",A
148,What was a major provision of the Morley-Minto Reforms of 1909?,The partition of Bengal,A separate electorate for Muslims,Limited suffrage for Indians,No representation for Indians in the Imperial Council,B
149,"""Sassi Punnhun"" is a love story of:",Siraiki,Punjabi,Sindhi,Pushto,C
150,How many gold medals did Pakistan win in the Commonwealth Games 2010 held in India?,1,2,3,4,B
151,The Aligarh Movement was started by?,Sir Syed Ahmad Khan,Syed Amir Ali,Altaf Hussain Hali,None of these,A
152,The Indus Valley Civilization was spread over ____________.,"Punjab, Sindh, Balochistan, and Afghanistan",Along the Indus River,"Punjab, Sindh, Bihar, Rajasthan, and Gujarat","Sindh, Punjab, Jammu and Kashmir, U.P., Rajasthan, and Gujarat",D
153,Simly Dam Lake is located near ________.,Mirpur,Attock,Islamabad,Hassan Abdal,C
154,"Under the ""Treaty of Allahabad,"" Shah Alam II got the districts of Kora & Allahabad and was also given an annual pension of 2.6 million rupees; in return for this favor, which areas were given to the British by Shah Alam?",Diwani of Bengal,Bihar,Orissa,All of these,D
155,Who was the first commissioner of Sindh?,M.A. Khuro,Charles Napier,Feroz Khan Noon,Ch. Ghulam Hussain,B
156,"The Kargha Buddha, a unique archaeological site, is located near ___________.",Gilgit,Thar,Cholistan,Umerkot,A
157,The Durand Line marks the border between ____.,Pakistan-Iran,Pakistan-China,Pakistan-Afghanistan,None of these,C
158,With which country did Pakistan sign a nuclear cooperation pact in 1986?,USA,Iran,China,USSR,C
159,The Act of 1935 consisted of how many sections?,280,300,321,355,C
160,The headquarters of the Pakistan Air Force is located in _________.,Islamabad,Rawalpindi,Peshawar,Karachi,A
161,Which US Ambassador died with General Zia-ul-Haq in the 1988 plane crash?,Arnold Raphel,James M. Langley,John M. Cabot,None of these,A
162,A Case of Exploding Mangoes is a comic novel written by which Pakistani writer?,K.K. Aziz,Altaf Gohar,Muhammad Hanif,None of these,C
163,Muhammad Tughluq shifted his capital from Delhi to ___________.,Lahore,Calcutta,Bombay,Daulatabad,D
164,The Badshahi Mosque in Lahore was built by Emperor ________ in 1673.,Akbar,Aurangzeb,Mahabat Khan,Shah Jahan,B
165,Mohsin Hamid is famous in which field?,English Fiction Writing,Weight Lifting,Athletics,Cricket,A
166,In which constitution was bicameralism introduced?,1956,1962,1973,None of these,C
167,______ is considered the engineering hub of Pakistan?,Lahore,Gujranwala,Sialkot,None of these,B
168,The longest railway platform in Pakistan is at _________.,Lahore Station,Karachi Station,Rohri Station,None of the Above,C
169,"Mohenjo-daro is a 4,500-year-old city of the ____________.",Taxila Civilization,Indus Valley Civilization,Both of them,None of them,B
170,Kunar River is also known as:,Swat River,Kabul River,Chitral River,Zhob River,C
171,Pakistan declared Islam as its state religion in:,1956,1962,1973,None of these,A
172,Tehzeeb-ul-Ikhlaq' is a journal written by:,Sir Syed Ahmad Khan,Shah Wali Ullah,Abul Kalam Azad,None of these,A
173,When Zulfikar Ali Bhutto lifted martial law and introduced a provisional constitution?,"On April 30, 1972","On April 20, 1972","On April 21, 1972",None of these,C
174,Abu-al-Fath Daud was the Ismaili ruler of __________.,Lahore,Multan,Sindh,Depalpur,B
175,The Brahmo Samaj was founded by __________.,Mahatma Gandhi,Raja Ram Mohan Roy,Sardar Patel,None of these,B
176,The Chairman of the National Accountability Bureau (NAB) is appointed by ____________.,The President,The Prime Minister,The Chief Justice,The Army Chief,A
177,The __________ Motorway connects the cities of Hyderabad and Karachi in the Sindh province.,M-1 Motorway,M-4 Motorway,M-5 Motorway,M-9 Motorway,D
178,"The city founded by Alexander in his horse's name, Bucephala, is now known as?",Uch Sharif,Pella,Phalia,Arore,C
179,Dr. Abdul Qadeer Khan did his Ph.D. from Leuven University of:,Holland,Austria,Hungary,Belgium,D
180,Who presided over the founding meeting of the AIML?,Nawab Salimullah Khan,Nawab Viqar-ul-Mulk,Sir Agha Khan,Maulana Muhammad Ali Johar,C
181,The Central Business District Development Authority built in Lahore at:,DHA Sector,Walton Road,Kot Lakhpat,None of these,B
182,A census in Pakistan is held after how many years?,5 years,10 years,15 years,3 years,B
183,The Muslim League delegation at the Simla Conference included:,Jinnah and Liaquat,Liaquat and Nazimuddin,Jinnah and Nazimuddin,"Jinnah, Liaquat, and Nazimuddin",D
184,Who was appointed the first secretary of the Board of Trustees of Aligarh College?,Syed Mahmud,Sir Syed Ahmad Khan,Hakeem Ajmal Khan,Nawab Viqar-ul-Mulk,B
185,EBDO was promulgated by Ayub Khan in 1959. What does EBDO stand for?,Elective Bodies Disqualification Order,Electoral Bodies Dissolution Order,Electoral Boundaries Delimitation Order,Elected Basic Democrats Order,A
186,"According to ______, Selfhood (Khudi) and Will are the fundamental realities of the universe.",Shah Waliullah,Allama Iqbal,Ibn-e-Khaldun,None of these,B
187,The Karachi Nuclear Power Plant (KANUPP) was built with the help of ________.,Canada,China,France,Germany,A
188,The emergence and development of Gwadar port has primarily promoted _____________.,Rural-urban migration,Urban-urban migration,Both A and B,None of these,B
189,When did Quaid-e-Azam return to India to reorganize the Muslim League?,in 1934,in 1935,in 1936,in 1937,D
190,The Indus Basin Treaty of 1960 between Pakistan and India is related to the ____ problem.,Border,Water,Refugees,None of these,B
191,In which year were the first general elections held under the 1973 Constitution?,in 1976,in 1977,in 1978,in 1975,B
192,The Pakistan National Movement was launched from England in 1933 by whom?,Maulana Muhammad Ali Johar,Syed Ameer Ali,Chaudhry Rehmat Ali,Allama Iqbal,C
193,The Elite Force Punjab was formed in_____________.,In 2001,In 1999,In 1998,In 2002,C
194,The Cabinet Mission came to India in the year:,1941,1943,1946,1947,C
195,When did Al-Biruni come to India?,In 1005,In 1016,In 1017,In 1018,C
196,The book Khutbat-e-Ahmadiyya was written by:,Sir Syed Ahmad Khan,Shah Waliullah,Altaf Hussain Hali,None of these,A
197,Muhammad Khan Junejo became Prime Minister of Pakistan in:,1985,1986,1987,1988,A
198,Faiz Ahmad Faiz was arrested in the Rawalpindi Conspiracy Case in:,1951,1952,1953,None of these,A
199,The first battle of Panipat was fought between ________.,Babur and Ibrahim Lodhi,Humayun and Sher Shah Suri,Akbar and Hemu,None of these,A
200,"In the 1973 constitution, what number of seats in the Senate was initially set?",45 seats,63 seats,87 seats,100 seats,D
201,The Badshahi Mosque of Lahore was built by Aurangzeb in ________.,In 1532,In 1630,In 1631,In 1673,D
202,The first published Urdu book is considered to be ________.,Pir-e-Kamil',Dah Majlis',Aab-e-Hayat',None of these,B
203,Mast Tawakali is the greatest Sufi poet of __________ language.,Sindhi,Saraiki,Balochi,Punjabi,C
204,The pivot point of Pakistan's foreign policy is:,Defense,Kashmir,Trade and Commerce,All of these,D
205,Zia-ul-Haq dismissed the government of Muhammad Khan Junejo in:,1982,1985,1988,None of these,C
206,The University of the Punjab in Lahore was established in _________.,In 1947,In 1905,In 1882,In 1884,C
207,The Shah Jahan Mosque is located in __________.,Thatta,Jacobabad,Sibi,Larkana,A
208,Which was the first country to recognize Pakistan as an independent state?,Iran,Türkiye,Afghanistan,Saudi Arabia,A
209,"According to past reports, approximately how many executioners were employed in Pakistan's jails?",3,5,7,9,A
210,"Which city of Pakistan is called ""Mini England""?",Chakswari,Dhirkot,Muzaffarabad,Mirpur,D
211,The Delhi proposals were presented by Quaid-e-Azam on:,on 15 January 1926,on 20 March 1927,on 10 May 1928,on 30 December 1929,B
212,The high culture of the Mughal court was overwhelmingly influenced by _________ traditions.,Central Asian,Arabian,Persian,None of these,A
213,Who was the first ruler of the Slave Dynasty?,Sultan Ghouri,Qutubuddin Aibak,Balban,None of these,B
214,What percentage of Kashmir is under the control of India?,0.25,0.35,0.45,0.55,D
215,The 'Pakistan Resolution 1940' was seconded from Sindh by:,Syed Zakir Ali,I.I. Chundrigar,Nawab Muhammad Ismail,Sir Abdullah Haroon,D
216,"The Battle of Plassey was fought on June 23, 1757, between the forces of Lord Clive and which ruler of Bengal?",Nawab Siraj-ud-Daula,Mir Jaffar,Muhammad Shah,Mir Qasim,A
217,Who murdered Sultan Jalaluddin Khalji to capture the throne of Delhi in 1296?,Alauddin,Kaimurs,Kaiqabad,Mubarak Khan,A
218,Which is one of the dominant sources of foreign exchange earnings for Pakistan?,Cement,Agriculture,The Textile Industry,Manufacturing,B
219,When was Liaquat Ali Khan assassinated in Rawalpindi?,"on 16 August, 1951","on 16 September, 1951","on 16 October, 1951","on 16 November, 1951",C
220,The Mughal king Babur originally came to India from ________.,Fergana,Khiva,Kabul,Seistan,A
221,Who was the founder of the Khilji Dynasty?,Alauddin Khilji,Jalaluddin Khilji,Rehmat Ullah Khilji,Feroz Khan Khilji,B
222,How many Muslims were members of the Nehru Commission?,One,Two,Three,None,B
223,The voter turnout was _______ percent in the 1993 general elections.,40.3,45.5,50.1,55.2,A
224,__________ was the first Commander-in-Chief of the Pakistan Navy.,Vice Admiral Haji Muhammad Siddique,Vice Admiral Afzal Rehman Khan,Rear Admiral James Wilfred Jefford,Admiral Zafar Mahmood Abbasi,C
225,Alexander founded the city Alexandria on the Indus at the junction of the Indus and which other river?ss,Hydaspes,Jhelum,Ravi,Acesines,D
226,"In which year was the Islamic scholar Sheikh Ahmad, known as Mujaddid Alf Sani, born in Sirhind?",In 1542,In 1556,In 1564,In 1582,C
227,Who introduced the Khaksar Movement?,Allama Iqbal,Allama Inayatullah Mashriqi,Maulana Muhammad Ali Johar,Ghazi Mustafa Kamal Pasha,B
228,The real name of Sultan Ghiyasuddin Balban was ____?,Ali Gurshasp,Ulugh Khan,Baha-ud-Din,Malik Firuz,C
229,Sir Abdullah Hussain Haroon belonged to:,Sindh,Balochistan,Kashmir,Punjab,A
230,"If there were one hundred Gandhis and two hundred Abdul Kalam Azads with the Muslim League but only one Muhammad Ali Jinnah with the Congress, India would have never been divided. Who said this?",Hector Bolitho,Sarojini Naidu,Vijayalakshmi Pandit,Penderel Moon,C
231,Which city was the central point of agitation against the Partition of Bengal?,Calcutta,Hyderabad,Lahore,Dhaka,B
232,Which city of Sindh is called the 'City of Mangoes'?,Sanghar,Mirpurkhas,Larkana,Hyderabad,D
233,India and Pakistan formed separate independent dominions on ____________.,"On August 10, 1947","On August 11, 1947","On August 12, 1947","On August 14, 1947",D
234,"Who was the son of Shah Waliullah, credited with the first translation of the Holy Quran into Urdu?",Shah Abdul Aziz,Shah Abdul Rahim,Qutbuddin Ahmad,Shah Ismail,A
235,How many police ranges are in KPK?,7,4,8,3,C
236,Which movement started in Bengal?,Quit India Movement,Non-Cooperation Movement,Khilafat Movement,None of these,D
237,"As per the Government of Indian Act 1858, the transfer of the control of the Government of Indian from the East Indian Company and assumption by the Crown was to be announced by Queen's Proclamation, which was accordingly read in a Darbar. Where",Calcuta,Delhi,Allahabad,None of these,C
238,What is the height of Broad Peak?,"8,126 meters","8,092 meters","8,075 meters","8,051 meters",D
239,"After the Lucknow Pact, who was given the title of ""Ambassador of Hindu-Muslim Unity""?",Mahatma Gandhi,Maulana Abul Kalam Azad,Muhammad Ali Jinnah,Sir Agha Khan,C
240,What was the real name of Sher Shah Suri?,Farid Khan,Hasan Sur,Todar Mal,Nizam Khan,A
241,Who was the first Viceroy of the subcontinent?,Lord Dalhousie,Lord Canning,Lord Mountbatten,Lord Curzon,B
242,Pakistan's strategic location is important for the:,Region,South Asia,World,None of these,C
243,Anjuman-e-Himayat Islami was established in?,in 1881,in 1885,in 1884,None of these,C
244,"History written by the Father of History, Herodotus, was on:",War,Society,Politics,None of these,A
245,Mirza Ghalib was born in:,Hafizabad,Delhi,Gujrat,Agra,D
