Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
37,The task of performing operations like arithmetic and logical operations is called:,Processing,Storing,Sorting,Editing,A
38,HTML is the basic language used to create:,Database,Spreadsheets,Webpages,Desktop publishing,C
39,"To move to the next Sheet in Ms Excel, you press:",Ctrl + Page Down,Shift + Page Down,Page Down,None of these,A
40,MS Office is a ________ software?,Horizontal market,Deep curve,Freeware,All of these,A
41,Which key shortcut is used to move a word to the right of the cursor?,Ctrl + Right arrow,Ctrl + Left arrow,Right arrow,Alt + Left arrow,A
42,Which of the following can be used to open your account?,Sign in,Sign out,Log in,None of these,C
43,MS-Word automatically moves the text to the next line when it reaches the right edge of the screen and is called:,Carriage Return,Enter,Word wrap,None of these,C
44,"In MS Excel, you can use the horizontal and vertical scroll bars to:",Split a worksheet into two panes,View different rows and columns,Edit the contents of a cell,View different worksheets,B
45,"From which menu can you access Picture, Text Box, Chart?",File,Edit,Insert,View,C
46,"In a computer spreadsheet, rows are labeled ____?",by letters,by numbers,by cell references,by symbols,B
47,"To go to a specific location in a document, we use:",Macro,HTML,Bookmarks,None of these,C
48,1 byte consists of:,8 bits,16 bits,32 bits,4 bits,A
49,Another name for free software is:,Open-source software,Customized software,Download software,None of these,A
50,When did Martin Cooper invent the cell phone?,1971,1973,1975,1977,B
51,"Which feature in MS Word allows users to easily insert charts, diagrams, autoshapes, and hierarchical structures?",WordArt,Text Box,SmartArt,ClipArt,C
52,What is the maximum number of columns that can be inserted in an MS Word Table?,35,45,55,63,D
53,Gwadar Port was built with the help of which country:,Malaysia,China,Oman,Singapore,B
54,"In Excel, from which menu/tab can you typically finds options to format a date of birth to display as YYYY/MM/DD?",Input,Home Tab or Format cells dialog box,Insert,None of these,B
55,What was the initial name of Microsoft Word when it was released?,Multi-Technique Word,Multi-Transition Word,Multi-Type Word,Multi-Tool Word,D
56,What is the default font used in an MS Word document?,Times New Roman,Arial,Calibri,None of these,C
57,Which key is used to align the text to the center?,Ctrl+U,Ctrl+E,Ctrl+K,None of these,B
58,Which enables us to send the same letter to different persons?,Macros,Template,Mail Merge,None of these,C
59,What is the maximum font size you can apply for any character in MS-Word?,163,1638,16038,None of these,B
60,A computer on the internet is identified by its:,E-mail Address,Street Address,Login Password,IP Address,D
61,What displays the content of the active cell in Excel?,Name Box,Row Headings,Task Pane,Formula Bar,D
62,The smallest font size in MS-word is:,6,8,10,12,B
63,The shortcut key to switch to the next window is:,Alt + Tab,Shift + Tab,Alt + Ctrl,Ctrl + Tab,A
64,Ctrl+B shortcut key is used in MS Word to:,Search the selected text,Paste the selected text,Bold the selected text,Open the specified file,C
65,"When Word flags a possible spelling or grammar error, it also changes the mark on the Spelling and Grammar Status icon to a:",Green X,Green check mark,Red X,Red check mark,C
66,"In Ms Word, what is the maximum number of lines you can set for a drop cap?",3,10,15,20,B
67,Which element is deficient in milk?,Iron,Phosphorus,Calcium,Sodium,A
68,Which shortcut key is used to Open My Computer?,Win + C,Win + D,Win + E,Win + F,C
69,An analog signal is measured in?,Volts,Pulses,Hertz,Watts,A
70,Integrated circuits (ICs) were used in the ____ generation of computers:,First,Second,Third,Fourth,C
71,Which toolbar provides various options in different master views?,Standard toolbar,Formatting toolbar,Drawing toolbar,Common tasks toolbar,D
72,The amount of vertical space between lines of text in a document is called:,Double-space,Line spacing,Single space,Vertical spacing,B
73,What feature adjusts the top and bottom margins so that the text is centered vertically on the printed page?,Vertical justifying,Vertical adjusting,Dual centering,Horizontal centering,A
74,Examples of output devices are:,Screen,Printer,Speaker,All of above,D
75,The Fourth Industrial Revolution (4IR) means:,Internet Communication,Communication through technology,Internet of Things,All of these,D
76,"Email consists of two parts: one is a username, and the other is the _________.",Login,Lan Card,Password,Domain Name,D
77,"In MS Word, when we apply ""Drop Cap"" on a word, then, by default, the first character of this word drops to:",3 lines,5 lines,2 lines,8 lines,A
78,In an analog computer:,Input is first converted to digital form,Input is never converted to digital form,Output is displayed in digital form,All of the above,B
79,HTML stands for:,Hyper Text Magic Line,Hyper Text Markup Line,Hyper Text Markup Language,High Text Markup Language,C
80,A computer program that translates one program instruction at a time into machine language is called a/an:,Interpreter,Compiler,Emulator,None of these,A
81,Which of the following is an output device:,Mouse,Keyboard,Printer,None of these,C
82,Which of the following menu item is used to create a chart in MS Excel 2016?,Data,Formula,Home,Insert,D
83,Which of the following is not a feature of PowerPoint?,Printing transparencies,Printing the speaker's notes along with slide images,Linking a slide transition with a laser pointer,Drawing with a pen,C
84,First-generation computers used which language:,Assembly language,Machine language,Both of these,None of these,B
85,Which type of malware is a program or piece of code that is loaded onto a person's computer without his knowledge and runs against his wishes:,Phishing,Virus,Adware,Trojan Horse,B
86,TCP stands for:,Transmission Centric Protocol,Transfer Control Protocol,Transmission Control Protocol,Transmission Control Process,C
87,Which device is used to connect the nearest device?,Wi-Fi,NFC,Bluetooth,All of these,D
88,HTML is the basic language used to create:,Databases,Spreadsheets,Web pages,Desktop publishing,C
89,"In Excel, which key is used to format a number in percentage format?",Ctrl+Shift+1,Ctrl+Shift+5,Ctrl+Shift+6,Ctrl+Shift+3,B
90,Which layer of the OSI model is used by the router?,Layer 2,Layer 4,Layer 3,All of the Above,C
91,"In order to edit a chart, you can:",Triple click the chart object,Click and drag the chart object,Double click the chart object,Click the chart object,C
92,What does the NOW() function return in Excel?,Past time,Current date and time,Future time,None of these,B
93,Mac OS offers Time Machine for data backup.,File history,Time Machine,File backup,None of above,B
94,An algorithm and flowchart help us to:,Identify the base of a number system,Specify the problem completely and clearly,Know the memory capacity,None of these,B
95,Which file is responsible to start MS word?,Win.exe,Word.exe,Winword.exe,None,C
96,Which of the following uses a handheld operating system?,Supercomputer,Personal computer,Laptop,PDA,D
97,What is a note or annotation that an author or reviewer adds to a document:,Header,Footer,Comment,Caption,C
98,"In MS Excel, which bar is used for formula and data writing?",Formula bar,Menu bar,Title bar,None of these,A
99,"Ctrl, Shift and Alt are called '''' keys.",Adjustment,Function,Modifier,Alphanumeric,C
100,CD stands for:,Composite Disk,Company Disk,Compact Disk,Criteria Disk,C
101,Which of the following is not a term primarily associated with the structure of an MS- Excel worksheet?,Cell,Row,Column,Document,D
102,"The arrangement of elements such as Title and Subtitle text, pictures, tables, etc., is called:",Layout,Presentation,Design,Scheme,A
103,Ctrl + A Shortcut key is used in Ms Word to:,Align Right,Select All,Change font,Save document,B
104,You can edit existing Excel data by pressing the F2 key.,F1 Key,F2 Key,F3 Key,F4 Key,B
105,NOS stands for:,New Operating System,Network Operating Source,Network Operating System,Network Original System,C
106,"In MS Access, which data type is appropriate to store large text and numbers?",Text,Memo,OLE,None of these,B
107,"In MS Excel, the Insert tab includes:",Chart,Alignment,Style,All of these,A
108,"Whereas a computer mouse moves over the table surface, the trackball is:",Stationary,Difficult to move,Dragged,Moved in small steps,A
109,Android was founded in:,2005,2003,2004,2006,B
110,The text-styling feature of MS Word is:,Word Color,Word Font,Word Art,Word Fill,C
111,Which of the following devices is used to store data permanently?,Hard Disk,Printer,Cache,RAM,A
112,"A repository for data, usually covering a specific topic, is:",Database,Data requisition,Databank,None of these,A
113,Which of these is the name of a type of interface that allows a user to type in commands on a keyboard which gives the computer instructions?,Command-line interface (CLI),Graphical user interface (GUI),Touchscreen interface,Drop down menu interface,A
114,Ctrl + V Shortcut is used in Microsoft Word to:,Paste Texts in the beginning of the Document,Paste Images in the beginning of the Document,Paste Tables at the middle of the Document,None of the above,D
115,ANSI stands for:,American Nation Standard Instruction Codes,American National Standard Institute,Asian National Standard Instruction Codes,Asian Nations Standard Instruction Codes,B
116,Which is used for web pages and web addresses?,Search engine,Software,Both a & b,None of these,D
117,The slowest response when collecting data is from:,Excel,Word,Email,None of these,C
118,What is the default font size of a new Word document based on the Normal template?,9 pt,12 pt,14 pt,None of the above,B
119,Which function displays row data into column or column data into a row?,Hyperlink,Index,Transpose,Rows,C
120,"In MS Word, what is the shortcut key to center the selected text:",Ctrl+C,Ctrl+E,Ctrl+A,Ctrl+F,B
121,Which of the following is a single-user operating system?,Linux,Windows 7,MS-DOS,Windows NT,C
122,The basic language of a computer consists of:,Opcode,Operand,Both A & B,None of these,C
123,Which operation will you perform to move a block of text in MS Word?,Copy and Paste,Cut and Paste,Paste and Delete,Paste and Cut,B
124,Which is a volatile memory?,ROM,BIOS,PROM,RAM,D
125,Which term is avoided in E-mail:,Re-Reading,Subject line,Smileys,Wrong E-mail address,D
126,"In Ms Word, what happens if you mark the Hidden check box of the Font dialog box after you select some text?",The text is deleted from the document and you need to bring it from the Recycle Bin if required again,The text is hidden and you need to bring it by removing the check box if needed again,The text is deleted and cannot be returned back,The text is hidden and cannot be returned back,A
127,How to fit long texts in a single cell with multiple lines:,Start typing in the,Use the Wrap Text,Use the Shrink to fit,None of these,B
128,Which panes keep specific rows or columns visible when you scroll in the worksheet?,Split pane,Freezing pane,Filter pane,None of these,B
129,PowerPoint _______ allow you to print multiple pages on one page.,Handouts,Notes master,Slide sorter,Notes page,A
130,FDD stands for:,Flight Dynamics Division,Feature Driven Development,Floppy Disk Drive,Frequency Division Duplex,C
131,A device through which we enter data in a computer is known as an:,Storage Device,Internal Device,Processing Device,Input Device,D
132,"When you insert a picture into a document, the default text wrapping option is:",In Line with Text,None,Tight,Square,A
133,To insert slide numbers:,Insert a text box and select insert >> Page Number,Insert a textbox and select insert >> Slide Number,Choose Insert > Slide Number,Insert a new text box and select Insert >> slide Number,B
134,Which key is used to create a chart from selected data in Excel?,F11,F1,F10,Both A and B,A
135,What does LSI stand for:,Large-Scale Integration,Low-Scale Integration,Linear System Integration,Logical System Interface,A
136,"In MS Word, to combine cells of a table's row/column you _______ the cells.",Merge,Simplify,Join,Link,A
137,What does DMA stand for?,Distinct Memory Access,Direct Memory Access,Direct Module Access,Direct Memory Allocation,B
138,SIMM Stands For:,Single Inline Memory Module,Single Identify Memory Module,Secret Internet Memory module,None of them,A
139,Which one is a Hypertext language?,XML,HTML,WML,HTTP,B
140,An email cannot be sent without:,Subject,Attachment,Receiver's email address,Message,C
141,Layout or handout defines:,Handout Master,Handout Slave,Handout Design,None of these,A
142,"In the CPU, all devices are attached with the:",Monitor,Motherboard,Power supply,Hard disk,B
143,Which shortcut key is used for print preview?,CTRL+F1,CTRL+F2,CTRL+F3,CTRL+F4,B
144,"If 6n+5, what is the value of ""n""?",Not perfect value,Zero,Perfect value,Can't determine,D
145,"In Excel, which key is used to Open the Format Cells window?",Ctrl+F10,Ctrl+6,Ctrl+F1,Ctrl+1,D
146,"In 1999, the Melissa virus was a widely publicized:",Email virus,Macro virus,Trojan horse,Time bomb,A
147,What is defined by the handout master?,Layout of handout,Layout of design,Layout of slide,Layout of template,A
148,"By default, the orientation of a document is ______ when printing.",Portrait,Landscape,Page Setup,Print Preview,A
149,Which key is used for Undo?,CTRL+Z,CTRL+Y,CTRL+E,None of these,A
150,"In MS Word 2016, to extend a selection one line up, press the ____ keys on the keyboard.",ALT + UP ARROW,CTRL + UP ARROW,SHIFT + UP ARROW,ALT + SHIFT + UP ARROW,C
151,MSI stands for:,Medium Scale Integrated Circuits,Medium System Integrated Circuits,Medium Scale Intelligent Circuit,Medium System Intelligent Circuit,A
152,Borders can be applied to:,Cells,Text,Paragraph,All of above,D
153,Junk e-mail is also called:,Spam,Spoof,Sniffer script,Spool,A
154,"When a peripheral device needs immediate attention from the operating system, it generates a(n):",Spool,Interrupt,Stack,Page file,B
155,"In Excel, columns are labeled as ______.","A, B, C…","A1, A2, A3…","1, 2, 3…","I, II, III…",A
156,Which of the following can be added using the Insert tab?,Table,Picture,Clip Art,All of the above,D
157,"In MS-Excel, the chart wizard:",Can place a chart on a new chart sheet or on any sheet in the workbook,Can only place a chart on a new chart sheet,Can only place a chart on a blank worksheet,None of these,A
158,The shortcut key for Change case is:,Shift+F3,Ctrl+Shift+F3,Ctrl+F5,Ctrl+Alt,A
159,The Thesaurus tool in MS Word is used for:,Grammar options,Spelling suggestions,Synonyms and Antonyms words,None of These,C
160,What is the shortcut key to open a new MS Word document?,Ctrl + M,Ctrl + N,Ctrl + U,Ctrl + J,B
161,What is the smallest and largest font size available in the font size tool on the formatting toolbar?,6 and 64,8 and 72,12 and 1392,None of these,B
162,Which of the following classes of computers cannot support multiple users simultaneously?,Microcomputer,Minicomputer,Supercomputer,Mainframe computer,A
163,What is the shortcut for changing case in MS Word:,Shift+F3,Ctrl+F3,F3,Alt+F3,A
164,What is the name of an application program that gathers user information and sends it to someone through the Internet?,Virus,Spybot,Logic bomb,Security patch,B
165,Which of the following is a case that contains the electronic components of the computer used to process data?,System unit,Master section,Control port,Computer chip,A
166,Who is known as the father of the microprocessor?,Tim Berners-Lee,Gordon Moore,Marcian Edward Ted Hoff,Jack Kilby,C
167,Which of the following are types of sound files?,LOG files,DAT files,WAV files,DRV files,C
168,Memory which contains information on a computer and cannot be changed is:,RAM,ROM,ERAM,None of these,B
169,"In MS Word, adding a ghost text, such as ""confidential,"" behind the text is applied using:",Insert clipart,Watermark,Embedded text formatting,Page Background,B
170,To create tables of columns and rows for statistical or mathematical calculations using,"spreadsheet, which software is used? Excel",Word Pad,Word Perfect,Corel Draw,A
171,"Ctrl, Shift, and Alt are called _____ keys.",Modifier,Function,Adjustment,None of These,A
172,Which operation will you perform if you need to move a block of text?,Cut and Paste,Copy and Paste,Drag and Paste,None of these,A
173,What is the file extension of MS PowerPoint?,.ppt,.pwerpt,.ppx,.xls,A
174,Which of the following is not a binary number?,1,102,100,110,B
175,How can you create a uniform appearance by adding a background image to all slides?,Create a template,Edit the slide master,Use the autocorrect wizard,All of the above,B
176,Which of the following is the second step in creating a Macro?,"Using your mouse or keyboard, perform the task you want to automate",Give the macro a name,Assign a keyboard shortcut to the macro,Start recording,D
177,"In PowerPoint, ____ contains pre-defined styles.",Graphics,Theme,Texture,Gradient,B
178,Which of the following software is used for presentations for communication purposes?,PowerPoint,Excel,Word,None of these,A
179,Which file is stored on a computer that performs functions quickly while browsing?,Cache,Exe,Cookies,None of these,A
180,What is the function of CTRL+Q in Microsoft Word?,Paragraph formatting (Line Space and Paragraph Space),Close Word Application without saving Document,Print Whole Document without confirmation,Does nothing,A
181,"We can replace a font on all slides with another font using the Format, Replace Fonts option in Ms PowerPoint.","Edit, Fonts","Tools, Fonts","Tools, Replace Fonts","Format, Replace Fonts",D
182,Microsoft Excel is an electronic ____ software package.,Document,Spreadsheet,Presentation,Database,B
183,"In MS PowerPoint, motion effects can be applied to objects on a slide by using:",Animation Scheme,Style Scheme,Color Scheme,None of these,A
184,"In Microsoft Excel, the intersection of columns and rows is called a:",Data,Table,Cell,Schema,C
185,Which of the following basic actions is performed with the help of a mouse in the word's environment?,Double click,Drag and point,Single click,All of these,D
186,Which indent marker controls all the lines except the first line?,Left Indent Marker,First Line Indent Marker,Right Indent Marker,Hanging Indent Marker,D
187,Which of the following are word processing software?,WordPerfect,Wordpad,MS Word,All of above,D
188,PowerPoint presentations are widely used as:,Note outlines for teachers,Project presentations by students,Communication of planning,All of these,D
189,The ______ pane cannot be found in PowerPoint.,Clip Art,Word Art,Search results,None of these,C
190,A collection of system programs that controls and coordinates the overall operations of,computer system is called ____? System software,Operating system,Utility program,Device driver,B
191,How many types of page orientations are there?,3,5,2,1,C
192,A ______ is a silicon chip that carries out a set of instructions and processes data efficiently and accurately.,RAM,Modem,Processor,Hard disk,C
193,Portrait and Landscape are present under which command:,Page Layout,Home,References,Review,A
194,IBM stands for:,International Business Machines,International Buy Mechanism,Internet Business Machines,None of these,A
195,BCD code has how many bits?,2,3,4,5,C
196,"____ is a high-speed point-to-point channel for attaching a graphics card to a computer's motherboard, primarily to assist in the acceleration of 3D computer graphics.",Graphic Card,Accelerator Card,AGP (Accelerated Graphics Port),NVIDIA Graphic Resolution Port,C
197,What does 5*2 mean in MS Word (when inserting a table)?,5 Rows and 2 columns,2 rows and 5 columns,52 columns,52 rows,A
198,ENTER is the key we use to run the selected command.,SHIFT,TAB,ENTER,COMMAND,C
199,Which of the following can be used to divide a web page into areas?,Frames,Theme,Table of contents,None of the above,A
200,Cursor on the screen can be moved by:,Mouse,Scanner,MICR,Digital Camera,A
201,Which shortcut key is used to save a document?,Ctrl + A,Ctrl + S,Ctrl + X,None of these,B
202,Which of the following software is used to prepare presentations?,MS Word,MS Excel,MS PowerPoint,Worksheet,C
203,What is the shortcut key for a manual line break in Ms Word?,CTRL + Enter,Alt + Enter,Shift + Enter,Space + Enter,C
204,What is the shortcut key for a page break in MS Word?,Ctrl + Enter,Ctrl + Space,Shift + Enter,None of these,C
205,The view that displays the slides of a presentation as miniature representations of the slides is called:,Slide Show,Slide Sorter view,Notes Page view,None of these,B
206,_____ allows going from one web page to another web page.,Hypertext,Hyperlink,Hyperimage,None of these,B
207,The hardware parts of a computer are:,Firmware components,Logical components,Physical components,None of these,C
208,ALU and Control Unit jointly known as:,RAM,ROM,CPU,PC,C
209,"By default, footers are printed on:",First page,Last page,All pages,Even pages,C
210,Which of the following is/are operating systems?,Windows,UNIX,OS/2,All of the above,D
211,Who gave the idea to combine the internet with the hypertext concept?,Steve Jobs,Bill Gates,Tim Berners-Lee,Jeff Bezos,C
212,The PowerPoint view that displays only text (title and bullets) is:,Outline view,Notes page view,Slide sorter view,Slide show,A
213,"In MS Word to move the insertion point to the beginning of the next word, the command used is:",CTRL+RIGHT ARROW,CTRL+LEFT ARROW,CTRL+DOWN ARROW,None of these,A
214,What is the function of the 'F4 key in a spreadsheet?,Change font,Repeat the last action,Choose the open command,Open a bookmark,B
215,When was the first email sent?,1963,1969,1971,None of these,C
216,Which menu in MS Word can be used to change character size and typeface?,Views,Tool,Format,Data,C
217,The End Key is used for:,Moves the cursor to the end of the line,Moves the cursor to the end of the document,Moves the cursor to the end of the paragraph,Moves the cursor to the end of the screen,A
218,Which key is used for find in Excel?,CTRL+C,CTRL+F,ALT+SHIFT+D,ALT+SHIFT+F,B
219,What is the name of the feature that will allow you to take a step backward if you've made a mistake?,Redo,Cancel,Undo,Backspace,C
220,What acts as a buffer between the CPU and the main memory?,Cache memory,Buffer Stock,RAM,ROM,A
221,"In MS Word, what is the function of CTRL + R?",Open the print dialog,Update the current web page,Close the current window,Right-aligns the selected text or paragraph.,D
222,What is the Cascade Delete option used for?,It is used to delete all the records of all tables in a database.,It repeats the recent delete operation to all the records of the current table.,It ensures that all the related records will be deleted automatically when the record from the parent table is deleted.,None of these,D
223,One kilobyte (KB) is equal to ____ bytes.,100,1024,256,None of these,B
224,Who is known as the Father of video games?,Karl Bens,Ralph H. Bear,Karoline Berliner,Andrew Smith Bernard,B
225,A search engine uses software called ____ to search documents on the internet.,Wikipedia,Dark web,Spider,None of these,C
226,"In Microsoft PowerPoint, material consisting of text and numbers is best presented as a:",Bullet slide,Table slide,Title slide,All of the above,B
227,All of the following are examples of storage devices EXCEPT:,Hard disk drives,Printers,Floppy disk drives,CD drives,B
228,The keys used to lock the keyboard,Ctrl + Tab,Ctrl + Alt,Windows logo + L,Windows + D,C
229,"A floating toolbar is not attached to an edge of the Word window; that is, it displays in the middle of the Word window and can be moved anywhere in the window.",Floating toolbar,Scroll bar,Status toolbar,Menu bar,A
230,Which simplifies the process of formatting text if the same formatting is required in more than one location?,Auto Text,Format Painter,Font dialog box,None of the above,B
231,Mac is an:,Utility Program,Operating System,Windows,Multimedia Software,B
232,What is the use of a firewall in a computer?,To recover lost data,Protect against unauthorized access and threats,To increase processing speed,Monitor website traffic,B
233,Which of the following panes is NOT available in the Task Pane?,Slide Design,Master Slide,Slide Transition,Slide Layout,B
234,The main window in a computer spreadsheet is called:,Work book,Work,Account book,Work sheet,A
235,SEO is the process of getting traffic by:,Natural Search,Editorial,Organic,None of these,C
236,"Which statement describes ""Hackers""?",All have the same motive,Break into other people's computers,May legally break into computers as long as they do not do any damage,Are people who are allergic to computers,B
237,"Suppose there is text in a document that is Bold, Red in Color with Green Background. We want to apply all of this formatting to another paragraph in one go. Which option will we use?",Format Painter,Format Menu,Format Button,Format Macro,A
238,Which of the following can you use to add times to the slides in a presentation?,Microsoft graph,Microsoft Table,Microsoft Excel,Microsoft Word,C
239,MS Word and MS Excel are:,Operating systems,Application Software,High-level language,Low-level language,B
240,What type of diagram would you use to compare performance of two employees in the year 2021:,Column chart,Line chart,Pie chart,Dot Chart,A
241,"What type of software is a ""printer driver""?",Application Software,System Software,Utility Software,None of Above,A
242,__________ is used as a disk scanner in Microsoft Windows.,Disk Cleanup,Disk Defragmenter,Disk Cleanout,Disk Cleaning,B
243,A new Presentation can be created from:,Blank Presentation,From existing Presentation,From design template,All of the above,D
244,"'The ""Add New Hardware"" option exists in:",Title bar,Status bar,Control Panel,Taskbar,C
245,Essential business letter elements include the:,Date line and inside address,Message,Signature block,All of the above,D
246,The thing that eventually terminates a worm virus is a lack of:,Memory or disk space,Time,CD drive space,CD-RW,A
247,"If the displayed system time and date is wrong, you can reset it using:",Write,Calendar,Control Panel,None of these,C
248,"In Excel, which key is used to format a number in date format?",Ctrl+Shift+1,Ctrl+Shift+4,Ctrl+Shift+6,Ctrl+Shift+3,D
249,Which option in the File pull-down menu is used to close a file in MS Word?,New,Quit,Close,Exit,C
250,"In computing, what does BIOS stand for?",Basic 'Input/Output System,Binary 'Input/Output System,Basic 'Internet/Output System,Broad 'Internet/Output System,A
251,Which of the following print commands should be selected to view the whole document before printing?,Print Layout,Print Design,Print All,Print Preview,D
252,Which one of the following page orientations by default is used in MS Word while printing?,Regular,Standard,Portrait,Plain,C
253,An area of a computer that temporarily holds data waiting to be processed is:,CPU,Memory,Storage,Files,B
254,"A word in a web page that, when clicked, opens another document is called a?",URL,Hyperlink,Reference,Anchor,B
255,"What is the shortcut key to ""Center Align"" the selected text?",Ctrl+E,Ctrl+U,Ctrl+J,Ctrl+T,A
256,Which of the following is not a type of chart?,Pie chart,Area chart,T-graph,Line graph,C
257,'Slide _ are the effects that determine how a slide moves in and out of view in the slide show:,Animation,Transition,Layout,Templates,B
258,A combination of two or more topologies are called:,Hybrid,Star,Bus,Ring,A
259,__________ is used to transmit digital data over telephone lines.,Network card,Sound card,Graphic card,Modem,D
260,CTRL+S is used for ____.,Save as,Save,Revise,None of these,B
261,High-level languages are close to humans.,Low level languages,High level languages,Assembly Language,None of these,B
262,An Email is a combination of:,Name and Address,Name and Phone no,User Name and Domain Name,User Name and User id,C
263,On which bar we can see the current position of the slide in MS PowerPoint:,Task bar,Title bar,Menu bar,Status bar,D
264,"When working with formulas in Excel, how can you see the intermediate results of a calculation before the final answer is displayed?",Evaluate on formula bar,Shown on formula bar,Middle of the formula,Evaluation cannot be done in between the calculation,A
265,Which command is used to open PowerPoint?,ppt.exe,powerpnt.exe,ppte.exe,None of these,B
266,"To center the selected text, the shortcut key is:",Ctrl+ C,Ctrl+ E,Ctrl+ O,Ctrl+ U,B
267,"To create Web Pages we use a term, called:",TCP/IP,WWW,HTML,FTP,C
268,Which of the following is a way to access secondary memory?,Random Access Memory,Action method,Transfer method,Density method,C
269,Which shortcut key is used to spell check in Microsoft Word?,F1,F2,F7,F9,C
270,Which key is used to show a slide show in PowerPoint?,F11,F5,F9,None of these,B
271,The World Wide Web (WWW) is a _____ which allows users to access a vast variety of documents by hypermedia links.,Information Storing Service,Information Retrieving Service,Information System,All of these,C
272,Which key is used to copy the selected text so that it can be used in another place?,Ctrl+C,Ctrl+D,Ctrl+O,Ctrl+I,A
273,Where can you change the vertical alignment in Microsoft Word?,Paragraph dialog box,Formatting toolbar,Page Setup dialog box,Standard toolbar,C
274,Which of the following is not a type of bus in the computer?,Data bus,Power bus,Control bus,All of the above,B
275,What is bulk e-mail known as?,Arial,Spam,Hebrew,Spool,B
276,Hybrid Computers are:,Analog Computers,Digital Computers,Analog and Digital Computers,None of these,C
277,Arithmetic operations are performed by:,AU,CU,ALU,LU,C
278,What does Ctrl + = key effect?,Superscript,Subscript,All caps,Shadow,B
279,Which command is used for saving a document?,Ctrl + A,Ctrl + Shift + P,Ctrl + P,Ctrl + S,D
