Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
23,Which of the following is a type of indoor game?,Table tennis,Billiards,Squash,All of these,D
24,The fastest marine animal found in warmer parts of five oceans of the world _______________?,Wahoo,Tunny,Sailfish,Marlin,C
25,"How many people died in the October 8, 2005, earthquake in Pakistan?","65,000","67,000","71,000","73,276",D
26,"When did US President Franklin Roosevelt introduce the ""Hundred Days"" performance of Government?",1933,1934,1935,None of these,A
27,"After 9/11 who gave the message ""You are either with us or against us?""",Afghanistan,UK,Russia,US,D
28,In which year was the last eruption of the Tupungatito mountain notified?,in 1968,in 1920,in 1964,in 1985,C
29,The International Day of the World's Indigenous Peoples is observed on,on 7th August,on 9th August,on 11th August,on 13th August,B
30,"The Nobel Peace Prize 2012 in the field of ""Peace"" was awarded to.",European Union (EU),Organisation for the Prohibition of Chemical Weapons (OPCW),North Atlantic Treaty Organisation (NATO),United Nations Security Council,A
31,TAROM is the airline of ___________.,Belgium,USA,Switzerland,Romania,D
32,A culture within a culture is called:,Mini-Culture,Sub-Culture,Society,Sub-Sub Culture,D
33,Steve Jobs was an American entrepreneur and the founder of,Oracle,Apple,Google,Yahoo,B
34,"It is the Iranian seaport situated on the ""Strait of Hormuz"".",Tehran,Tabriz,Bandar Abbas,Saad,C
35,Victoria Island is part of,United Kingdom,Canada,Russia,Denmark,B
36,In which country is the Tenzing-Hillary Airport situated?,Bhutan,Nepal,India,China,B
37,The Cook Strait separates the South Island of New Zealand from the,North Australia,North Island,Papua,None of these,B
38,National juice of Pakistan is _____________.,Sugarcane juice,Strawberry juice,Orange juice,Apple juice,A
39,The Yellow Sea lies between,Norway and Sweden,China and Korea,America and Canada,England and France,B
40,What is the height of Mana Peak?,"23,440 ft (7145 m)","23,860 ft (7272 m)","23,410 ft (7135 m)","23,400 ft (7132 m)",B
41,Murtagh Ata mountain is situated in _________.,China,India,Nepal,Nepal-China,A
42,Which is the first gulf nation to complete FATF conditions?,UAE,Bahrain,Saudi Arabia,None of these,A
43,Who was the Greek goddess of war and wisdom?,Athena,Lakshmi,Ganga,None of these,A
44,Name the battle fought in the time of Hazrat Umar (R.A) in which the Byzantines lost Syria?,Battle of Yarmouk,Battle of Qadisiya,Battle of Mota,None of them,A
45,The process of verifying the documentary evidence of transactions is known as:,Auditing,Vouching,Testing,Verification,B
46,Which of the following is the correct combination of the inventors and the inventions?,Galileo Galilei - Transistors,Elisha Thomas - Windmill,J.L. Baird - Television,Sir Frank Whittle - Laser,C
47,World No Tobacco Day is observed on ___________.,on May 15,on May 25,on May 10,on May 31,D
48,When did Iraq invade Kuwait?,in September 1990,in August 1990,in October 1990,in None of these,B
49,In which year was the last eruption of Guallatiri mountain notified?,in 1985,in 1920,in 1964,in 1960,D
50,The Gulf of Bothnia is situated between:,Finland and Denmark,Finland and Sweden,Poland and Sweden,None of these,B
51,Which player has the highest ODI individual score for Pakistan ____________ ?,Fakhar Zaman,Saeed Anwar,M. Yousaf,Babar Azam,A
52,In which year did a tsunami hit the Makran coast?,in 1942,in 1945,in 1952,in 1968,B
53,Which city is the birthplace of William Shakespeare?,Brazil,Iraq,Italy,Stratford-upon-Avon,D
54,"_____ and industrialization led to the emergence of the working class as a large and powerful body, which led to the birth of Marxism, and gave people a new perspective and relationship with the society they lived in.",Urbanization,Modernization,Westernization,None of these,A
55,The Louvre Museum is located in:,Canberra,Wellington,Rome,Paris,D
56,Which of the following hemisphere is more populated?,Northern,Western,Eastern,Southern,A
57,Agerpres is the news agency of,South Africa,Romania,Argentina,Georgia,B
58,Auckland city is located in _________.,Mexico,Germany,Iran,New Zealand,D
59,"The book ""Master of the Game"" was written by",J.K. Rowling,Sidney Sheldon,J.K. Kiethy,J.K. Lourene,B
60,NPT stands for:,Non-Proliferation Treaty,National Protection Treaty,Non-Resident Protection Treaty,National Purification Treaty,A
61,Name the Parliament of Ethiopia.,Shora,Federal Parliamentary Assembly,Majlis,Tshogdu,B
62,"The book ""A Brief History of Time"" is written by ____?",Aristotle,Stephen Hawking,Neil Armstrong,None of these,B
63,In which plateau/range Soan & Haro Rivers are located:,Pothohar,Balochistan,Tibetan,Deccan,A
64,Petronas Towers is located in:,Singapore,Chicago,Kuala Lumpur,Washington,C
65,The residential Imperial Twin Tower is located in:,France,England,Australia,None of these,D
66,The Ryugyong Hotel is a building situated in,Beijing,Pyongyang,Dubai,Chicago,B
67,Therapy is the process of perceiving feelings and understandings is called:,Psychology,Physiology,Inpatient,None of these,A
68,How many new sports were added to the 2020 Tokyo Olympics?,4 sports,5 sports,7 sports,8 sports,B
69,"In which country is the ""Piedra Volada Waterfall"" located?",Canada,Guinea,Mexico,Australia,C
70,First time which country introduced competitive examination for selection of public servants.,New zealand,USA,China,Pakistan,C
71,The period of the feudal system in Europe from the 700s to the 1400s is called the,Elizabethan Age,Middle Ages,Dark Ages,Iron Age,B
72,The South Pole was discovered by__________.,Robert Peary,Cabot,North America,Roald Amundsen,D
73,With which country is the Orange Revolution associated?,Belarus,Ukraine,Azerbaijan,Turkmenistan,B
74,Which is the longest river of South America?,Missouri,Peru,Congo,Amazon,D
75,The 1992 Cricket World Cup final was played in,Wales,Melbourne,Sydney,Sharjah,B
76,Which batsman among the following scored the fastest century in Test format?,Brian Lara,Sachin Tendulkar,Brendon McCullum,None of these,C
77,Self and Sovereignty is written by ______.,Jules Verne,Abdul Kalam Azad,J.D. Salinger,Ayesha Jalal,D
78,Chicago city is located in __________.,USA,China,England,Egypt,A
79,The picture on the back of the 50 Rupee Pakistani note is of the,Mount Everest,K2,Nanga Parbat,Kangchenjunga,B
80,"In which river are the ""Tin Mine Falls"" located?",Gudvangen Glacier,Utla,Tin Mine Creek,Hunlen,C
81,Who is the 48th Vice President of the United States of America?,Joe Biden,Mike Pence,Dick Cheney,Al Gore,B
82,Washington D.C. is located in ____________.,China,Saudi Arabia,UK,USA,D
83,"""Fez"" is a famous city located in:",Canada,Morocco,France,Brazil,B
84,Pakistan the long view book was written by ________.,Zia-ul-Haq,Z.A. Bhutto,Lawrence Ziring,None of these,C
85,"Goa was a colony of Portugal , located in:",Bhutan,India,Bangladesh,Nepal,B
86,Which of the following is not an example of modern slavery_______ .,All of these are examples of modern slavery,Human trafficking,Bonded labour,Child labour,A
87,The currency of Niger is the,Guilder,CFA franc,Dollar,Pound,B
88,Yachting (sailing) became a Olympic event in______.,In 1900,In 1904,In 1906,In 1902,A
89,A study of the personality of offenders in physical terms is called:,Criminal Sociology,Penology,Criminal Anthropology,None of these,C
90,The Parliament of Poland is called Sejm. Name the Parliament of Romania.,People's Congress,Riksdag,Storting,Grand National Assembly,D
91,How many floors does Chrysler Building have?,73,75,78,77,D
92,Who coined the name UNO?,Truman,F. D. Roosevelt,Churchill,None of these,B
93,Amir Crore was one of the first poets of,Balochi,Pashto,Sindhi,Kashmiri,B
94,The European Institute of Gender Equality (EIGE) works under:,UNO,European Union,Autonomous Body,None of the above,B
95,"Which port exports raw wool, woolen textile, beef, mutton, fruits, and wine?",Recife,Los Angeles,Adelaide,Auckland,C
96,The country whose national anthem has only music no words__________?,Albania,Chile,Bahrain,Greece,C
97,Mekong river in China is called as_________.,Lancang-River,Camang-River,Yellow-River,Lunsung-River,A
98,Headquarters of the UN industrial Development Organization is based in__________.,Vienna,Geneva,Paris,Bern,A
99,Which of these is an early period in the Bronze Age?,Paleolithic,Eolithic,Chalcolithic,Prolific,C
100,What is the new official height of Mount Everest?,"8841.0 m (29,006 ft)","8848.86 m (29,032 ft)","8856.74 m (29,057 ft)","8850.0 m (29,035 ft)",B
101,Return on investment is computed:,Investment / Profit x 100,(Profit / Investment) x 100,(Profit - dividend) / Investment x 100,None of these,B
102,How many times do the hands of a clock coincide in a day?,18,22,25,None of these,B
103,The Olympic flag with five rings was first hoisted in which year?,1906,1908,1912,1920,D
104,The Great Dividing Range mountain is in _________.,Asia,Atlantica,Europe,Australia,D
105,AP news agency was established in_________.,In 1849,In 1850,In 1846,In 1842,C
106,The hydrogen bomb was invented by,J. Robert Oppenheimer,Albert Einstein,Samuel Cohen,Edward Teller,D
107,Which UN body deals with Population Problems?,UNFPA,UNICEF,UNESCO,UNDP,A
108,Which of the following dams is considered the largest concrete dam of the world?,Three Gorges Dam,"Tarbela Dam, Pakistan","Plakia Dam, India",None of these,A
109,Blind dolphins are found in which river of Pakistan?,Jhelum,Chenab,Kabul,Indus,D
110,The presidency of Abraham Lincoln began on,"on March 4, 1863","on March 4, 1861","on March 4, 1860","on March 4, 1862",B
111,"In World War II, which battle support was most needed?",Ordnance support,Air support,Naval support,None of these,B
112,Pakistan: A Hard Country is a famous book written by __________.,Anatol Lieven,Stephen Philip Cohen,William Dalrymple,Ahmed Rashid,A
113,The headquarters of the Food and Agriculture Organization (FAO) is in,Jeddah,Rome,Berlin,Kathmandu,B
114,The first Asian Secretary-General of united Nation was____________.,Trygve Lie,Vijay Laxmi Pandit,U Thant,Kurt Waldheim,C
115,Higher than Hope is a biography of,Mother Teresa,Nelson Mandela,Bishop Tutu,None of these,B
116,What type of lake is Lake Winnipeg?,Saline,Freshwater,Both a & b,None,B
117,The cell phone was invented by,Lee de Forest,Alan M. Turing,F. Lanchestre,Martin Cooper,D
118,"Which country is called ""Rainbow Nation""?",Australia,USA,Mexico,South Africa,D
119,What is the approximate size of the Taklamakan Desert?,450000 mi² (1165500 km²),120000 mi² (310800 km²),15000 mi² (38900 km²),140000 mi² (362600 km²),D
120,The currency of Republic of South Sudan is:,South Sudan Pound,Dirham,Dollar,Lira,A
121,Sumatra Island is under the control of,Malaysia,Indonesia,Russia,Japan,B
122,"Which part exports wheat, paper and pulp?",Vancouver,Lisbon,Accra,New Castle,A
123,The French Revolution began in,in 1791,in 1789,in 1792,in 1790,B
124,The Indian Ocean Rim Association (IORA) is a dynamic inter-governmental organization aimed at strengthening regional cooperation and sustainable development within the Indian Ocean region through its __________ Member States.,21,23,25,27,B
125,The Acropolis of Athens is in:,Rome,Greece,Olympia,Paris,B
126,"Name the writer of the two great epic poems ""The Iliad"" and ""The Odyssey"".",Goethe,Homer,Byron,Joyce,B
127,Manaslu mountain peak is situated in which range?,Andes,Himalayas,Karakoram,Hindu Kush,B
128,Where the Pakistan's first radio station was setup ?,Karachi,Islamabad,Multan,Lahore,A
129,Name the news agency of Mongolia.,PPI,MENA,Montsame,KPI,C
130,SRO stands for,Security Reform Union,Statutory Regulatory Order,Statutory Regulation Organization,Senior Regional Officer,B
131,Who was the acting President of Gilgit-Baltistan before joining Pakistan?,Hasan Khan,Mirza Ali,Malik Muhammad Miskeen,Shah Raees Khan,D
132,Name the first Muslim Hijab woman elected as a Member of the Israel Parliament in the March 2020 elections:,Haneen Zoabi,Iman Khatib-Yasin,Hussniya Jabara,Nadia Hilou,B
133,How many Players on a field Hockey Team?,12 Players,10 Players,11 Players,8 Players,C
134,The old name of Japan was:,Tripoli,Montgomery,Nippon,Angora,C
135,What is the length of Indus river?,"1,988 mi (3,200 km)",1750 mi (2818 km),1300 mi (2093 km),820 mi (1320 km),A
136,Who discovered the blood groups of man?,Edward Jenner,Larven,Kari Landsteiner,William Harvey,C
137,Capital of Croatia is_____________.,Sisak,Zadar,Zagreb,Rijeka,C
138,Makalu mountain is situated on the border of,Kashmir,Nepal-China,Pakistan,India,B
139,The United Arab Emirates comprises how many emirates?,6,7,8,5,B
140,How many member states does the UN have?,191,193,192,194,B
141,A religious and political war that started in 1618 in Germany between Lutherans and Catholics and developed into an international conflict is known as the:,War of the Roses,Thirty Years' War,Seven Years' War,Boer War,B
142,What is the approximate size of Negev desert?,4700 mi² (12200 km²),120000 mi² (310800 km²),100000 mi² (259000 km²),150000 mi² (338500 km²),A
143,The Dover Strait connects the English Channel with the,Arabian Sea,North Sea,Red Sea,Black Sea,B
144,River Jordan flow out into __________.,Caspian sea,Mediterranean sea,Dead sea,Red sea,C
145,What is the area covered by Hudson Bay?,1232200 km²,797600 km²,462000 km²,2753170 km²,A
146,Ohio-Allegheny river empties into ________.,Mississippi River,Atlantic Ocean,Arctic Ocean,Indian Ocean,A
147,The Earth's second largest ocean is __________.,Indian Ocean,Pacific Ocean,Arctic Ocean,Atlantic Ocean,D
148,Who was the first woman in space?,Valentina Tereshkova,Jerrie Cobb,Cady Coleman,Peggy Whitson,A
149,The ___ perspective draws on the ways in which human mental abilities serve adaptive purposes:,Cognitive,Evolutionary,Humanistic,None of the above,B
150,What is the total area of the Arctic Ocean?,166240000 km²,82360000 km²,13980000 km²,73550000 km²,C
151,"The ""No taxation without representation"" slogan was initiated in:",US (in the American colonies),China,Spain,None of these,A
152,Neom City is located on the coast of the ____ Sea.,Persian Gulf,Gulf of Oman,Dead Sea,Red Sea,D
153,Members of Association Of Southeast Asian Nations (ASEAN) are ________.,9,11,10,8,C
154,OIC stands for:,Organization of Islamic Cell,Organization of Islamic Cooperation,Organization of Islamic Committee,Organization of Islamic Conference,B
155,How many floors of Jumeirah Emirates Tower?,56,57,58,59,A
156,"Australia, the UK, the USA, Canada, and _______ are the members of the Five Eyes group of countries?",Mexico,Brazil,Japan,New Zealand,D
157,Name the Parliament of Japan.,Althing,Diet,Riksdag,Knesset,B
158,The most salty sea in the wolrd__________.,Arabian Sea,Black Sea,Dead Sea,Caspian Sea,C
159,The currency of Marshall Islands is:,US dollar,Pound,Birr,Peso,A
160,The Picture on the back of 1000 Rupee Pakistani Note _________.,Islamia College Peshawar,NUST,UET Lahore,GIKI,A
161,Name the Parliament of Zambia.,The Staten General,The American Parliament,People's Council,National Assembly,D
162,The Kalahari Desert is located in,Turkmenistan,South Africa,Saudi Arabia,California,B
163,The currency of Ukraine is the,Dollar,Hryvnia,Pound,Peso,B
164,In which year was FIH (International Hockey Federation) established?,1920,1921,1924,1922,C
165,Cuba island is the part of _________.,Cuba,Japan,Canada,Russia,A
166,Why did the American War of Independence break out?,Forced annexation of America,Unjustified and oppressive controls on trade imposed by Britain,Americans wanted independence from France,None of these,B
167,Which tournament was cancelled in 2020 for the first time since World War II:,US Open,Wimbledon,Deves Cup,Australian Open,B
168,The capital of New Zealand is:,Canberra,Tirana,Algiers,Wellington,D
169,Which country invaded Egypt during Suez crisis in 1956?,Germany,France,Israel,England,C
170,America was named after:,Columbus,Amerigo Vespucci,Washington,Thomas Jefferson,B
171,Which is the world's tallest lighthouse?,Jeddah Light,Ile Vierge Lighthouse,Baishamen Lighthouse,Alexandria Light,A
172,CHENNAI is the new Name of__________.,MADRAS,AGRA,ALA ABAD,MINTO PARK,A
173,Nelson Mandela was born in:,1918,1920,1921,1922,A
174,Antwerp City is located in _________.,Norway,Iraq,Belgium,USA,C
175,Who is considered the father of experimental psychology?,Herodotus,Edward Gibbon,Wilhelm Wundt,None of these,C
176,The world's largest river in terms of the volume of its flow is ________.,Nile,Mississippi,Amazon,Tiber,C
177,Which country currency is Baht?,Bali,Bangkok,Thailand,Vietnam,C
178,________ is the world's fastest-sinking city.,Jakarta,Manila,Shanghai,None of these,A
179,Term and tenure of Senate membership is ________ years.,6 years,5 years,4 years,7 years,A
180,Inventory Period + Accounts Receivable Period is called:,Cash cycle,Operating cycle,Collective cycle,None of these,B
181,History of Arya Samaj is written by ___________.,Rai Lajpat,Mushea Mohn,K.K. Aziz,V.P. Menon,A
182,The Dnieper is a river which is located in _________.,Central Angola,Eastern Turkey,Valdai Hills,Lesotho,C
183,Alexandria is the seaport of ________.,Egypt,Greece,France,USA,A
184,Deal of the Century presented by US President Donald Trump related to:,US China trade,US Iran relations,US Russia relations,Palestine issue,D
185,What is the height of Mount K2?,7960 m,8611 m,4848 m,8485 m,B
186,Pakistan follows the following budgeting system at the Federal level:,Zero-Based Budgeting,Program Budgeting,Incremental/decremental budgeting,Responsibility Budgeting,C
187,The Crimean War was fought between an alliance including Britain and,France,Russia,Japan,Spain,B
188,Theory developed deductively: under which research paradigm?,Positivism,Descriptive,Predictive,None of these,A
189,Which from the following countries is NOT a member of European Union.,Ireland,Estonia,Norway,Malta,C
190,Mount Everest is in which range of mountains?,Karakoram,Himalayas,Andes,Hindu Kush,B
191,Bandung city is located in ___________.,Indonesia,Spain,Thailand,Libya,A
192,February will have 30 days after ___________.,100 years,200 years,300 years,400 years,D
193,In which country is Accra Port situated?,Norway,Iran,Kenya,Ghana,D
194,Shah Waliullah was born in the reign of ___________.,Akbar,None of these,Shah Jahan,Aurangzeb,D
195,Which country won the most FIFA World Cups?,Brazil,Germany,Italy,None of these,A
196,The Israeli President who visited India in 2016 was?,Shimon Peres,Reuven Rivlin,Dalia Itzik,None of these,B
197,Associated Press is the news agency of __________.,America,England,India,Pakistan,A
198,Who is credited for building the Great Wall of China?,Yubang Tou,Fa Hien,Hiung Tsang,Qin Shi Huang,D
199,Iraq attacked the Iran in late 1980's. For how many years did the war continue,8,4,5,2,A
200,Which is the world's largest refugee camp in 2018 _________ .,None of these,Kakuma,Dadaab,Kutupalong,D
201,What is the area of Iceland Island?,"69,000 mi² (178,710 km²)","40,880 mi² (105,879 km²)","36,775 mi² (95,247 km²)","39,769 mi² (103,002 km²)",D
202,The Eiffel Tower is located in which country?,France,Italy,Australia,None of these,A
203,Where is the Krimmler Falls is located?,Salzburg,Bern Alps,Roraima Plateau,Eikesdal,A
204,The most powerful feature in a parliamentary form of government is:,Rule of Law,Legislature,Equal representation,None of these,B
205,The Roman numeral for the number 1000 is:,C,L,X,M,D
206,Debtors have the least profit share due to:,Not participating in operational risk,Payment to trade payables,Current ratio and quick ratio,None of these,A
207,Assessment at the end of instruction is called:,Formative,Summative,Norm-referenced,Confirmative,B
208,What is the average depth of the Gulf of St. Lawrence?,4377 m,2243 m,120 m,810 m,C
209,What is soccer commonly called in countries other than the United states?,Football,Rugby,Balloon,Jai alai,A
210,"The book ""On the Origin of Species"" was written by:",Newton,Einstein,Darwin,Dickens,C
211,Insulin drug was discovered by___________.,Sir Frederick Grant Banting,Leonard Thompson,Prof John James Rickard Macleod,Charles Herbert Best,A
212,"After US withdrawal from Afghanistan, which country proposed to take over Kabul airport security?",Russia,Iran,Turkey,None of these,C
213,Germany was defeated by Britain in a naval battle fought in 1916. Name the battle.,Boer War,Battle of Jutland,Battle of Plataea,War of Austrian Succession,B
214,Algeria got independence from France in:,1961,1956,1962,1965,C
215,The International Human Rights Day is observed on:,on Sep 10,on Oct 10,on Nov 10,on Dec 10,D
216,China's biggest e-commerce company is _____________.,Alibaba,Baidu,Amazon,Daraz,A
217,The Great Sandy Desert is a desert which is located in _________.,N Africa,Jordan,Arizona,NW Australia,D
218,Parliament of Netherlands is called __________.,The States General,Sejm,Staten,Parliament,A
219,Zimbabwe attained independence in _______.,in 1975,in 1979,in 1980,in 1981,C
220,Who emerged as a great leader after the Russian Revolution?,Karl Marx,Vladimir Lenin,Robespierre,None of these,B
221,"The ____ is the rate of interest an investor, saver, or lender receives (or expects to receive) after allowing for inflation.",Prime interest rate,Real interest rate,Variable interest rate,None of these,B
222,The Bolshevik Revolutions is associated with ________.,France,Germany,Russia,England,C
223,Famous city of Türkiye:,Istanbul,Cairo,Sana,Tripoli,A
224,What is hagiography?,The literary form linked closely with courtly love,A method of creating a mystical union,A term associated with oral transmission,The writing and studying of saints' lives,D
225,The currency of Austria is,Dollar,Denar,Datham,Euro,D
226,The currency of South Korea is the,Dollar,Won,Euro,Pound,C
227,Economic Cooperation Organization (ECO) is a successor organization of Regional Cooperation for Development (RCD) which was founded in:,1963,1964,1965,1966,B
228,The highest mountain peak of the Karakoram mountain range is,Mount Everest,K2,Nanga Parbat,Rakaposhi,B
229,"In 1946, who called for the complete elimination of nuclear weapons?",UN General Assembly,US President,World Bank,European Court of Human Rights,A
230,The headquarters of the Food and Agriculture Organization (FAO) is located in:,Brussels,Berlin,Rome,Washington,C
231,Which among the following does not belong to seven new wonders of the world?,The Eiffel Tower in Paris,Pyramid at Chichen Itza,Taj Mahal of Agra,Ruins of Petra,A
232,Who discovered Gamma Rays?,Alfred Marshall,Jabir ibn Hayyan,Bohr,Paul Villard,D
233,Name the only US president who also served as the Chief Justice of the US Supreme Court?,Howard Taft,Lyndon Johnson,Abraham Lincoln,None of these,A
234,The smallest unit of ownership of a company is:,A share,A debenture,Invest money,Capital deposit,A
235,In which year Shimao International Plaza is built?,in 2006,in 2007,in 2008,in 2009,A
236,Which city is called the city of mosques (Masjid)?,Dhaka,Peshawar,Lahore,Delhi,A
237,Famous British Physicist Stephen Hawking died at the age of _________,96,86,76,66,C
238,The first Nobel Prize to be awarded to a South Asian was to:,Rabindranath Tagore,Sir C.V. Raman,Dr. Abdus Salam,Dr. Amartya Sen,A
239,"The Coldstream Guards is the oldest continuously serving regiment in the Army, belongs to which Country?",Japan,Iceland,UK,USA,C
240,MI6 is the name of the secret agency of _________.,Russia,America,Britain,Italy,C
241,World War I was end in.,In 1916,In 1914,In 1918,In 1912,C
242,Babylon is the old name of:,Iraq,Turkey,Tunisia,None of these,A
243,Who was the founder of Hamas?,Yasser Arafat,Ahmed Yassin,Khaled Mashal,Ismail Haniyeh,B
244,Which among the following is the correct combination of all three economic growth indicators?,"Consumption, Investment, Saving","Capital, Industry, Agriculture","Investment, Saving, Capital",None of these,D
245,What is the percentage of Muslim population in Afghanistan?,99 percent,90 percent,95 percent,80 percent,A
246,Where is Whitehaven Beach located in Australia?,Perth,Adelaide,Canberra,Queensland,D
247,"USA has 568 space satellites, which country is 2nd with over 300 satellites ________.",China,Japan,France,Russia,A
248,What is the height of Minya Konka mountain?,24900 ft (7590 m),25325 ft (7719 m),24784 ft (7554 m),29784 ft (7554 m),A
249,The currency of Saudi Arabia is:,Dinar,Dirham,Riyal,Dollar,C
250,Which is the longest mountain range in the world?,Himalayas,Andes,Rockies,Alps,B
251,MI5 is the secret agency of ___________.,Russia,America,Britain,Italy,C
252,The currency of Spain is the,Rand,Euro,Guilder,Peso,B
253,First Asian Games were held in the year ________.,in 1950,in 1949,in 1952,in 1951,D
254,Ram Nath Kovind is the incumbent president of:,Nepal,Sri Lanka,Bhutan,None of these (India),D
255,Elysee Palace is the official residence of the president of___________.,Sweden,Brazil,USA,France,D
256,Which is the longest canal of Pakistan?,Nara Canal,BRB Canal,Sadiqia Canal,Sulemanki Canal,A
257,Lords of Khyber is written by ________.,Stephen Philip,Harold Pinter,John Clancy,Andre Singer,D
258,JAMA is the news agency of _________.,Jordan,Japan,Jamaica,Barbados,C
259,An oasis is associated with a,Glacier,Desert,Island,Holff,B
260,Cancun is a famous city of __________.,Spain,Italy,USA,Mexico,D
261,"Who was defeated in the Spartan War 2, fought in 431 BC?",Persians,Spartans,Athenians,Egyptians,C
262,Who was a military commander of Sultan Abdul Hameed?,Sarwat-ud-Din,Hassan Pasha,Kamal Pasha,None of these,D
263,What is the area of the Japan Archipelago?,2 million km²,"786,000 km²","1,424,500 km²","377,944 km²",D
264,Chachnama was about:,Punjab,Sindh,Bengal,None of these,B
265,The old capital of the USA was:,New York,Washington,Alaska,None of these,A
266,"What is the range of ""Baruntse"" mountain?",Hindukush,Karakoram,Himalayas,Kunlun,C
267,Which of the following valleys is a rift valley?,The Amazon valley,The Thames valley,The Rhine valley,The Mississippi valley,C
268,Nursing Day is celebrated on:,on 12 May,on 14 October,on 22 March,on 9 September,A
269,The currency of Mexico is the Peso. What is the capital of Mexico?,Dhaka,Mexico City,Bombay,Hong Kong,B
270,An Nafud is a desert which is situated in _________.,Iran,China,N Saudi Arabia,Pakistan,C
271,"What is the height of ""Central Plaza""?",818 m (2684 ft),421 m (1380 ft),374 m (1227 ft),391 m (1283 ft),C
272,The largest circulated magazine in the world is,Time,Reader's Digest,Newsweek,Herald,B
273,"Which country is called ""Land of Flowers""?",Netherlands,Poland,Algeria,None of these,A
274,Edinburgh city is situated in _________.,Scotland,Havana,USA,UK,A
275,"Who is the author of the book ""Struggle for Pakistan""?",K. K. Aziz,Ayesha Jalal,Shahid Rafique,I. H. Qureshi,D
276,"Recently, the U.S. appointed Michael Kurilla as:",Secretary of State,Head of the Pentagon,Commander of CENTCOM,None of these,C
277,The Jin Mao Tower is a building that is situated in _________.,Shenzhen,Chicago,Hong Kong,Shanghai,D
278,The builders of the Constitution in the USA rejected the proposition that it (the government) become a partner with:,Political parties,Cabinet,Senators,None of these,A
279,In which region is the Republic of Angola located?,NW Africa on Atlantic coast,SW Africa on Atlantic coast,SW Asia on Atlantic coast,SW Asia on Red Sea,B
280,The currency of Israel is the:,Lira,New Israeli Shekel,Dollar,Pound,B
281,RO stands for ____________.,Registered Ordered,Registered Officer,Returning Officer,Research Office,C
282,Who among the following was a major poet of the Italian Renaissance?,Homer,Dante Alighieri,Christina Rossetti,Virgil,B
283,The capital of Ethiopia is,Libreville,La Paz,Malabo,Addis Ababa,D
284,"The book ""The Indian Musalmans,"" published in 1871, was written by",Sir Syed Ahmad Khan,William Wilson Hunter,Rudyard Kipling,Justice Ameer Ali,B
285,Bahrain is located in _________.,Southwest Persian Gulf,Western Persian Gulf,Arabian Gulf,Northern Persian Gulf,A
286,Murray is the name of river of ________.,Australia,Canada,South Africa,China,A
287,International News Services is the news agency of ___________.,China,Iran,UK,USA,D
288,What was the historical name of the Parliament of Bolivia?,Grand National Assembly,National Congress,Shergo,Althing,B
289,In which river are the Tugela Falls located?,Guaja River,Tugela River,Mardalsfossen Stream,Tysso River,B
290,What type of lake is the Nicaragua Lake?,Freshwater,Saline,Both a & b,None,A
291,When was the Warsaw Pact dissolved?,1990,1991,1992,1993,B
292,The currency of Finland is the,Dollar,Euro,Pound,Peso,B
