Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
19,Which social media platform has launched an alert feature to help find missing children?,Microsoft,Google,Meta,Apple,C
20,The first test-tube baby of the world was born in ___________.,France,Philippines,Britain,USA,C
21,How many states are in the USA?,58,59,61,50,D
22,The headquarter of the International Federation of Building and Wood Workers (IFBWW) is located in ___________.,France,Kenya,Switzerland,Spain,C
23,Hugo Chávez is the ex-president of ___________.,Venezuela,Brazil,Bolivia,Egypt,A
24,The Nobel Peace Prize for the year 2006 was awarded to ___________.,Dr. Mahatir Mohammad,Dr. Mohammad Younis,Dr. Abdul Kalam,None of these,B
25,China's fastest-growing economy is facing a major challenge of ___________.,Population,Shortage of electricity,Challenges of WTO regime,Poverty,A
26,The part of the ocean adjacent to the continental margins is called ___________.,Sea,Gulf,Bay,Bight,A
27,Corrigendum means ___________.,Things to be corrected,Agenda of the meeting,Study of some gender,Correspondence,A
28,The headquarters of the UN are located in the American city of New York. The headquarters of the International Court of Justice are located in ___________.,Geneva,Paris,Hague,Berlin,C
29,Which among the following is a positively charged particle emitted by a radioactive element?,Beta rays,Alpha rays,Gamma rays,Cathode rays,B
30,Who was the President of the European Court of Human Rights around 2020-2022?,Ksenija Turković,Jon Fridrik Kjølbro,Robert Spano,None of these,C
31,The Buffalo supermarket massacre took place in __________?,china,India,Canada,USA,C
32,Which country has recently launched a 'National carbon emissions market' to reach its climate goals?,Canada,USA,France,None of These,A
33,"Recently, ""Absolutely Not"" was discussed in the media. What does it mean:",not to participate in War,for not using air bases of Pakistan,not to use nuclear weapons,Both A & B,B
34,Which of the following countries are not members of the UN?,Estonia,Vatican City,Ukraine,All of these,B
35,How many goals did Lionel Messi score in the FIFA World Cup 2022?,6,7,8,None of these,B
36,Who currently heads Thailand as Prime Minister?,Thaksin Shinawatra,Prawit Wongsuwan,Srettha Thavisin,None of the above,C
37,Which country has the largest reserves of Oil?,United States,China,Russia,Venezuela,D
38,Who is the current IG of New Railways Police? (Updated-2022),Sharq Jamal Khan,Rao Sardar Ali khan,Arif Nawaz Khan,Aleem Khan,B
39,"The Colosseum, an amphitheater, was built in ___________.",Nepalese,Rome,Milan,Athens,B
40,Who is the current foreign Minister of Congo?,Christophe Lutundula,lemogans kwape,Andres Allamand,wang Yi,A
41,"After the United States, the largest contributor to the UN budget is ___________.",Germany,France,UK,China,D
42,Which tropical storm hit the American state of Florida in September 2022?,Alex,Bonnie,Ian,Julia,C
43,What is the official Motto of the Birmingham 2022 Commonwealth Games?,Sports for life,Games for Everyone,Sport is important for All,Way of Togetherness,B
44,"Who won the 100m gold, beating Usain Bolt at the World Athletic Championship 2017 in London?",Justin Gatlin,Peter Chukkings,Symond Andrew,Welsh Arthur,A
45,Who is the Current Foreign Minister of Canada?,Chrystia Freeland,Mélanie Joly,David Lametti,None of the above,B
46,"On 30 June 2021, the World Health Organization announced that _____ had been certified malaria-free.",Somalia,Afghanistan,China,India,C
47,Which of the following is not a Scandinavian country?,Denmark,Norway,Sweden,Poland,D
48,Which Player became the first to score a century in Asia Cup 2022?,Mohammad Rizwan,Babar Azam,Ibrahim Zadran,Virat Kohli,D
49,What is the theme of the 'World Environment Day 2022'?,Pollution: A Threat to our Environment,Only One Earth: Living Sustainably in Harmony with Nature,Climate change: A Threat to the Environment,None of These,B
50,A Green Marshal Plan was pledged in __________?,1920,1945,2021,None of the above,C
51,The present UN Secretary General is ___________. (Updated-2023),Kofi Annan,Ban Ki Moon,Batrus Ghali,Antonio Guterres,D
52,What was the main cause behind the decision to amend the constitution with the addition of the 21st amendment in 2015?,"Peshawar Church Attack, 2014","Jinnah International Airport Attack, 2014","Wahga Border Attack, 2014","Peshawar School Massacre, 2014",D
53,Who among the following has taken an oath as the new Prime Minister of Sri Lanka for the fifth time?,Gotabaya Rajapaksa,Ranil Wickremesinghe,Shiranthi Rajapaksa,Mahinda Rajapaksa,B
54,Who is the Chief Justice of the Peshawar High Court?,Justice Ishtiaq Ibrahim,Justice Mansoor Ali Shah,Justice Ijaz ul Ahsan,None of these,A
55,Sheikh Khalifa bin Zayed Al Nahyan was the _______ President Of UAE?,3rd,1st,2nd,4th,C
56,Which of the following agencies related to the UNO was in existence before World War II?,WHO,FAO,ILO,IMF,C
57,The 28th session of the Conference of Parties (COP 28) to the UNFCCC on Climate Change will be held in __________?,China,India,UAE,Canada,C
58,When did Russian President Vladimir Putin formally announce that Moscow will annex four occupied regions of Ukraine?,on 24 September 2022,on 26 September 2022,on 28 September 2022,on 30 September 2022,D
59,Who has been appointed as the new Prime Minister of France?,Emmanuel Macron,Jean Castex,François Bayrou,None of these,C
60,Which country threatened to quit the NPT deal?,Russia,Iran,Israel,None of these,B
61,LWMC stands for ___________.,Lahore Waste Management Company,Lahore Women Medical Center,Law Work Machine and Co. Limited,None of these,A
62,The headquarter of the International Federation for Alternative Trade (IFAT) is located in ___________.,UK,Kenya,Canada,Libya,A
63,Pakistan plans to send its first astronaut to Space in ___________.,2020,2022,2024,2026,B
64,"Which member of the European Union adopted the Euro Currency on January 1, 2023?",Spain,Greece,Croatia,None of these,C
65,Meteorology is ___________.,Science of atmosphere,Study of weights and measures,Study of growth,Study of stars,A
66,Who is the head of the Pakistan Atomic Energy Commission?,Muhammad Naeem,Dr. Raja Ali Raza Anwar,Dr. Salim Ahmad,Dr. Ata Ur Rehman,B
67,Elon Musk bought Twitter for $_________?,44bn,34bn,54bn,44mn,A
68,When did the US begin to withdraw its last troops from Afghanistan?,on 05/01/2021,on 05/05/2021,on 05/30/2021,None of these,A
69,Which country's border with Pakistan is called the Durand Line?,Iran,Afghanistan,China,India,B
70,Who holds the record for scoring three double centuries in ODI Cricket?,Virat Kohli,Rohit Sharma,Shikhar Dhawan,AB Devillers,B
71,Which nation has announced its intention of withdrawing itself from the Open Skies Treaty?,UK,Russia,Japan,None of these,B
72,The headquarter of the International Executive Service Corps (IESC) is located in ___________.,USA,Kenya,France,UK,A
73,Freetown is the capital of ___________.,Sierra Leone,Niger,Fiji,Cuba,A
74,Who is the current foreign Minister of Ukraine?,Wang Yi,Andrii Sybiha,Alexandra hill,None of thess,B
75,Which text font was very important in the Panama Paper case?,Calibri font,Ariel font,Merryweather font,Times New Roman font,A
76,Siraj Raisani belonged to which political party?,Pakistan Muslim League-N,Pakistan Muslim League Q,Awami National Party,Balochistan Awami Party,D
77,"Who won the 4th term as Chancellor of Germany on September 24, 2017?",Angela Merkel,Khol Shucs,Swisterger Man,Oliver Kahn,A
78,Which is the highest battleground on Earth?,Siachen Glacier,Lhotse,Mr. Logan,Monte Rosa,A
79,Lana Del Rey is an American ___________.,Politician,Lawyer,Singer,Professor,C
80,Who is the current Chief of Air Staff of the Pakistan Air Force (PAF) (as of May 2024)?,Sohail Aman,Amjad Babar,Mujahid Anwar Khan,None of these,D
81,Which bowler has the most wickets in T20 World Cup history until 2022?,Shakib UL Hassan,Shahid Afridi,Lasith Malanga,Saeed Ajmal,A
82,"Who was newly elected as the new president of India on July 21, 2022?",Pratibha Patil,Zakir Hussain,Droupadi Murmu,Ram Nath Kovind,C
83,Who won the FIFA World Cup 2022?,Argentina,France,Morocco,Croatia,A
84,The study of earthquakes is known as ___________.,Ecology,Seismology,Numismatics,None of these,B
85,Who is the current Prime Minister of the UK?,David Cameron,Boris Johnson,Theresa May,None of these,B
86,Who is the Current Chief Justice of Pakistan (as of 2023)?,J. Umar Ata Bandial,J. Qazi Faez Isa,J. Asif Saeed Khan Khosa,None of these,B
87,England won the T20 World Cup against Pakistan by __________ wickets?,4,6,3,5,D
88,Which secretary of state of the USA was dismissed by US President Donald Trump?,Rex Tillerson,Mike Pompeo,Michelle Bacheletd,Dean Barrow,A
89,"In 2021, Sadiq Khan became Mayor of London for the:",First time,Second time,Third time,None of these,B
90,When was Operation Zarb-e-Azb launched by the Pakistan Armed Forces?,"On 15 June, 2014","On 23 January, 2014","On 6 June, 2014","On 27 April, 2014",A
91,Who is the US Assistant Secretary of State for South Asian and Central Asian affairs? (Updated-2023),Riyan C. Crocker,Donald Lu,Richard A. Boucher,William S. Woods,B
92,The Indian Navigation System is officially known as _____ and was launched by ________?,"IRSS, ISRO","NAVIC, ISRO","GPS, USA","ISS, NASA",B
93,Pakistan is located in the tropic zone of ___________.,South,North,East,West,B
94,"Who participated in the 12th session of the Information Ministers of OIC member states on October 22, 2022?",Ishaq Dar,Mariyam Aurangzeb,Hina Rabbani Khar,Bilawal Bhutto,B
95,Liz Truss quit as Prime Minister of the UK after ________ weeks?,four weeks,five weeks,six weeks,None of these,C
96,Who was the newly appointed Prime Minister of France in 2020?,Lean Sydoux,Nicholas Sarkozy,Angela Merkel,Jean Castex,D
97,"In 2021, which school was attacked in Afghanistan:",Sayed Ul-Shuhada High School,Afghan Yaar High School,Abdul Hadi Dawi High School,Amani High School,A
98,Which UN Agency has its headquarter in Paris?,UNICEF,ILO,UNESCO,FAO,C
99,When was Muhammad bin Salman appointed as the Prime Minister of the Kingdom of Saudi Arabia?,on 21 September 2022,on 23 September 2022,on 25 September 2022,on 27 September 2022,D
100,How many votes did Pakistan require to exit the Grey List of the FATF?,10,11,12,None of these,D
101,Who is the current Deputy Chairman of the Senate?,Saleem Mandviwala,Sabir Baloch,Abdul Ghafoor Haidari,None of these,D
102,The current Chairman of G20 2022 is __________?,Joko Widodo,Salman bin Abdulaziz,Mauricio Macri,Narendra Modi,D
103,Which two countries played Women's Ice Hockey as one team in the Winter Olympics 2018?,Russia & Poland,South and North Korea,China and Japan,Canada and USA,B
104,"A USA secretary of state said: ""It will respond quickly and appropriately if ____ government attacked with chemical weapons again.""",the Turkey,the Syria,the Russia,the Iran,B
105,The theme of the Tokyo Olympics 2020 was:,United by Emotion,United by Peace,Moving Forward,None of these,A
106,Name the Minister of Education of Punjab:,Rana Sikandar Hayat,Khawaja Salman Rafique,Raja Ashfaq Sarwar,None of these,A
107,Which of the international airports retained the busiest airport spot in 2023?,Doha,New York,Atlanta Hartsfield-Jackson,Hithero,A
108,Who is the Current incumbent High Commissioner for the Human Rights Commission?,Haitham Al Ghais,William Ruto,Volkar Turk,Tenzin Lekphel,C
109,The US-Afghanistan peace agreement in February 2020 was signed in:,Kabul,Doha,Islamabad,None of these,B
110,The landmark Padma Bridge has been recently opened in ___________?,India,Nepal,Bangladesh,None of these,C
111,Who is the current speaker of Punjab Assembly?,Rana,Pervaiz Ilahi,Dost Mazari,Malik Ahmed Khan,B
112,Who is the current Chairman of PEMRA?,Muhammad Saleem Baig,Absar Alam,Kamal-ud-Din Tippu,None of these,A
113,What is the theme of Earth Day in 2022?,Harmony with Nature and Biodiversity,Invest in Our Planet,Restore our Earth,None of these,B
114,Which one is the new law promulgated to check Cyber-crime?,Prevention of Media Law Violations Act 2014,Anti-Cyber-Crime Act 2014,Prevention of Electronic Crimes Act 2016,Anti Media Crimes Act 2014,C
115,"Who is the first Black person ever to lead a US congressional caucus, succeeding Nancy Pelosi as the Democrats' leader in The House of Representatives?",Jerrold Nadler,Queen Johnson,Hakeem Jeffries,Yvette Clarke,C
116,Mohammed bin Zayed Al Nahyan is the ______ President of UAE?,10th,6th,3rd,8th,C
117,The 38th Parallel is a boundary line between ___________.,Canada and USA,North and South Korea,China and Afghanistan,Iran and Pakistan,B
118,Li Keqiang is the China's _________?,Prime Minister,Foreign minister,Ambassador to Pakistan,None of these,A
119,ISS stands for ___________.,International Space Station,International School of Sociology,International Space Study,None of these,A
120,Who among the following is the current governor of Balochistan?,Muhammad Khan Achakzai,Amanullah Khan Yasinzai,Zulfiqar Magsi,None of these,B
121,What is the theme of the World Space Week 2022?,Space and Sustainability,Space and Science,Accessibility in Space,None of These,A
122,Who is currently the minister of Human Rights?,Shireen Mazari,Maleeha Lodhi,Zartaj Gul,None of these,A
123,Pakistan and US navies conducted a joint exercise in the Arabian Sea by the name of ___________.,Optimum Impact,Divers move,Inspired Union,Eagle Nest,C
124,Who is the foreign minister of Russia?,Yevgeny Primakov,Sergey Lavrov,Igor Ivanov,None of these,B
125,What is the theme of the 'International Day of Clean Air for blue skies' celebrated?,Leaving No one behind,Clean Air for Clean Earth,The Air We Share,Clean Air for All,C
126,"In which region of Punjab was X-1 discovered, expected to be the country's largest oil- producing well in 2014?","Attock, Punjab","Rahim Yaar Khan, Punjab","Jehlum, Punjab","Chakwal, Punjab",C
127,Justice Noor Muhammad Meskanzai is the Chief Justice of:,Federal Shariat Court,Punjab High Court,Sindh High Court,None of these,A
128,The headquarters of the W.T.O is at ___________.,Rome,Geneva,London,New York,B
129,The FBI of America was established in ___________.,1901,1902,1905,1908,D
130,Who is the current Chief Justice of Lahore High Court?,Muhammad Qasim,Qaisar Rasheed,Muhammad Ameer Bhatti,None of these,C
131,Who is the current Speaker of the Sindh Assembly (as of February 2024)?,Awais Qadir Shah,Agha Siraj Durrani,Shehla Raza,Syed Muzaffar Hussain Shah,A
132,"What was the magnitude of the Earthquake that shook Northern Pakistan and Azad Kashmir on October 8, 2005?",5.7,6.3,8.2,7.6,D
133,Which of the following personalities is the current Secretary-General of SAARC?,Arjun Bahadur Thapa (Nepal),Ahmad Saleem (Maldives),Golam Sarwar (Bangladesh),None of these,C
134,Who is the current foreign Minister of Cuba?,Andres Alland,Bruno Rodriguez Parrilla,Randi dorji,None of these,B
135,Who is the Chairman of the All Parties Hurriyat Conference?,Mirwaiz Umar Farooq,Amanullah Khan,Masarrat Alam Bhat,None of these,C
136,CDGL stands for ___________.,City District Government Lahore,Central Development Gas Limited,Center for De-Growth of Life,None of these,A
137,What is the theme of the 'World Cotton Day 2022'?,Weaving a better future for cotton,Cotton and Sustainability,Assistance to Cotton-4 Nations,None of These,A
138,Name the biggest fresh water lake in the world.,Chilika Lake,Caspian Lake,Dal Lake,Lake Superior,D
139,"COP 27 is going to be held from November 6 to 18, 2022, in __________?","Paris, France","Valetta, Malta","Delhi, India","Sharm El Sheikh, Egypt",D
140,Who became the first Korean Muslim to translate the Holy Quran and Sahih Al-Bukhari into the Korean Language?,Dr. Muhammad Abdul Hakim,Dr Hamid Choi Yong Kil,Yusuf Ma Dexin,Toshihiko Izutsu,B
141,China has signed a 25-year Strategic Cooperation Pact with which country:,Pakistan,Iran,Sri Lanka,India,B
142,Who will host the FIFA World Cup 2026?,Australia & New Zealand,Brazil & Argentina,Germany & Poland,"US, Canada & Mexico",D
143,The Bay of Biscay is situated between ___________.,France and Spain,Sweden and Finland,Italy and Greece,None of these,A
144,Which country's president visited Pakistan in March 2022?,Tajikistan,Azerbaijan,Uzbekistan,Kazakhstan,C
145,Which country threatened to withdraw from the Non-Proliferation Treaty:,Russia,Iran,China,None of these,B
146,Who became the first player to score 6000 runs in women's ODI cricket?,Mithali Raj,Palvi Sona,Alex Norry,Susan Sanu,A
147,Explorers have recently found the wreckage of the WWII Navy Ship ______ in the Western Pacific.,USS Johnston,USS Sameul B.,USS Fletcher,USS Missouri (BB-63),B
148,"A Conservative Leader, Ulf Kristersson, has been elected the new Prime Minister of which European Country?",France,Poland,Sweden,Finland,C
149,Which is the hardest among the following?,Radium,Diamond,Graphite,Gold,B
150,TDPs stands for ___________.,Temporary Displaced Persons,Tourism Development Projects,Traffic Discipline Policies,None of these,A
151,When was the National Compliment Day observed in 2018?,on 16th January 2018,on 2nd March 2018,"on 24th January, 2018","on 13th July, 2018",C
152,China became a member of the World Trade Organization in ___________.,1998,2001,2004,2006,B
153,Who became the first Pakistani Wicket Keeper and the 9th in the world to score a World Cup century?,Kamran Akmal,Sarfraz Ahmed,Umar Akmal,Adnan Akmal,B
154,Who is the current Foreign Minister of Saudi Arabia?,Abdul Aziz bin Abdullah,Faisal bin Farhan Al-Saud,Nawaf bin Said Al-Maliki,None of these,B
155,Who became the first woman to lead the UN telecom agency?,Stormi Webster,Hailey Bieber,Doreen Bogdan-Martin,Cassandra Marino,C
156,The 'Combating Disinformation and Islamophobia in the Post-Truth Era' declaration was adopted in _____?,Istanbul Declaration,Ankara Declaration,OIC 12th Declaration,None of these,A
157,Which two Pakistani cricketers have won the ODI Performance of the Year 2018 award?,Amir and Fakhar Zaman,Babar Azam and Hassan Ali,Both (a) and (b),None of these,A
158,In which country was the world's largest-ever freshwater fish found recently?,Australia,China,Cambodia,None of These,C
159,Which author has been selected for the Booker Prize 2020 for his work 'Shuggie Bain'?,Howard Jacobson,Douglas Stuart,Bernard Rubens,None of these,B
160,Which Country has given the concept of making a Global Nato?,USA,RUSSIA,CHINA,UK,D
161,COP 27 is going to be held in __________?,Jan-23,on 1 December 2022,on 1 October 2022,on 1 November 2022,D
162,"On June 5, 2022, which country fired eight short-range ballistic missiles toward the sea off its east coast?",Japan,South Korea,North Korea,Israel,C
163,The Nomura Asia Pacific Cup amateur championship was held at __________?,China,Japan,Vietnam,Philippine,D
164,Who is the current Deputy Speaker of the National Assembly of Pakistan (as of 2021)?,Dost Mazari,Qasim Suri,Ch. Pervez Elahi,None of these,B
165,Who is the Current President of Sri Lanka?,Anura Kumara Dissanayake,Gotabhaya rajapaksa,Maithripala sirisena,None of These,A
166,China's President Xi Jinping has secured a historic _________ term as the Communist Party's leader in October 2022?,Second,Third,Fourth,None of These,B
167,The current governor of Gilgit-Baltistan is (as of May 2024):,Aftab Haider,Jalal Hussain Maqpoon,Baljees Tahir,None of these,B
168,Who is the Current Prime Minister of Sri Lanka?,Mahinda Rajapaksa,Harini Amarasuriya,Ranil Wickremesinghe,None of These,B
169,Which of the following gases is used for refrigeration?,Chlorine,Ammonia,Phosphine,Carbon dioxide,B
170,"In the US, National Sanctity of Human Life Day (also called Right to Life Day) 2022 was celebrated on:",on Jan 02,on Jan 22,on Mar 22,on Jan 25,B
171,The National Command and Operation Centre (NCOC) was formed in:,in March 2020,in April 2020,in May 2020,in June 2020,A
172,The current Chief Justice of the Lahore High Court is:,Muhammad Qasim,Ameer Ahmad Bhatti,Qaisar Rasheed,None of these,B
173,The current Chief Justice of the Supreme Court of Pakistan is:,Justice Riaz Ahmad Khan,Justice Yahya Afridi,Justice Asif Saeed Khosa,Justice Qazi Faez Isa,B
174,What was the name of the Iranian president in 2019?,Hassan Rouhani,Syed Ali Khamenei,Javad Zarif,Kamal Kharazi,A
175,The country having the highest death rate due to disastrous typhoons and hurricanes is ___________.,Sri Lanka,China,Philippines,Japan,C
176,Who is the incumbent vice President of America? (Updated-2023),George Bush,Gerald Ford,Kamala harris,Mike Pence,C
177,Who is the current National Security Advisor of Pakistan? (Updated-January 2023),Nasir Khan Janjua,Nasir Ali Khan,Ahmed Amir,no,D
178,Which country will host the 2023 Men's FIH Hockey World Cup?,Iran,Pakistan,India,China,C
179,Who is investigating the Russian involvement in the USA's election 2016?,Alexander Bortnikov,Myroov Yu N Mikhailovich,Robert Mueller,None of these,C
180,When was Motorbike ambulance service launched under the aegis of Rescue 1122 by the CM of Punjab?,on 10th October 2017,on 3rd June 2017,on 23rd March 2017,on 18th May 2017,A
181,The current Chief Justice of Pakistan is:,J. Asif Saeed Khosa,J. Qazi Faez Isa,J. Saqib Nisar,J. Athar Minallah,B
182,"In 2004, the SAARC conference was held at ___________.",Islamabad,Kathmandu,Colombo,Dhaka,A
183,Customs Duties are which type of tax?,Direct tax,Indirect tax,Both (a) and (b),None of these,B
184,What is the theme of the 'United Nations Peacekeepers 2022'?,People Peace Progress: The Power of Partnerships,Peace for All,Planet Peace Partnerships,None of These,A
185,The 2022 Winter Olympics will be held in:,"Beijing, China","Pyeongchang, South Korea","Sochi, Russia","Bangkok, Thailand",A
186,CTD stands for ___________.,Central Tariff Duty,Central Training Department,Counter Terrorism Department,None of these,C
187,Which country won the Ashes 2017-18?,South Africa,England,Australia,Pakistan,C
188,"Which African country joined the Commonwealth of Nations on June 29, 2022?",Togo,Gabon,Sudan,A & B,D
189,Iran and China signed the 'Strategic Deal' in Tehran on which date?,"on Mar 27, 21","on Feb 27, 21","on Jan 27, 21",None of these,A
190,"Business magnate Elon Musk lost his title as ""the world's richest person"" to ____________ on December 13, 2022.",Bernard Arnault,Jeff bazoz,Bill gates,Mark Zuckerberg,A
191,What was the launch date of Indian Mission to Moon Chandrayaan-2?,on 20 August 2019,on 22 July 2019,on 6 September 2019,on 7 September 2019,B
192,Biden met China's Xi on ________ in Bali on the sideline of the group of 20 (G20) summit.,on October 10 2022,on November 14 2022,on December 1 2022,None of these,B
193,Who has won France's presidential election 2022?,Marine Le Pen,Eric Zemmour,Emmanuel Macron,None of these,C
194,Who among the following is the current head of the Commonwealth of Nations?,Elizabeth I,Elizabeth II,King Charles III,Vladimir Putin,C
195,The largest agency of FATA by area is ___________.,North Waziristan,South Waziristan,Khyber Agency,Bajore Agency,B
196,Who is the Current President of Iran?,Ebrahim Raisi,Abdul Nasir,Mohsen Rezaei,Amir-Hossein Ghazizadeh Hashemi,A
197,Who is the current Ambassador of the European Union to Pakistan?,Martina Flint,Androulla Kaminara,Tim Torlot,None of these,B
198,"In May 2020, which country did not set growth targets?",India,China,Pakistan,None of these,B
199,Which planet has the highest density:,Neptune,Earth,Mars,None of these,B
200,Which country fires short-range ballistic missiles on New Year's Day 2023?,South Korea,North Korea,Russia,Iran,B
201,The 19th SAARC Conference was scheduled to be held in:,Nepal,India,Pakistan,None of these,C
202,Which country holds the chair of G20 for the year 2022?,India,Australia,Brazil,Indonesia,D
203,Russia used which country's football in the FIFA World Cup 2018?,Pakistan,India,Thailand,None of these,A
204,Which Pakistani Sipahi came back from India after remaining in Indian prison for 40 years and died in 2018?,Maqpoon Hussain,Maqbool Hussain,Shah Sarwar,Jalal Hussain,B
205,Who is the current CEO of Facebook?,Bill Gates,Mark Zuckerberg,Tim Berners Lee,Elon Musk,B
206,Who is the Current President of the Financial Action Task Force (FATF)?,Marshall Billingslea,T Raja Kumar,David Hil,Dr. Marcus Pleyer,D
207,Gitanas Nausėda is the president of __________?,Lithuania,Estonia,Sweden,Romania,A
208,Who is the winner of the women's Italian open final 2022?,Lga swiatek,Maria sherapova,Sania Mirza,Serena Williams,A
209,The federal government established the Thar coal authority in which year?,2008,2007,2009,2010,A
210,Pakistan needs how many votes from FATF members to exit from the grey list?,10,12,14,22,B
211,Ariana is an airline of ___________.,Australia,Spain,Tajikistan,Afghanistan,D
212,'The Economist Intelligence Unit 2020 Democracy Index' ranked the Democracy in Pakistan in which category?,Full democracies,Flawed democracies,Hybrid regimes,None of these,C
213,Donald Trump belongs to which party?,Democratic,Republican,Both A and B,None of these,B
214,"According to the UN Development Programme, how much plastic is produced globally every year?",400 million tons,500 million tons,600 million tons,None of these,A
215,"The longest-serving Prime Minister of Japan, Shinzo Abe, died at the age of ________?",67,68,77,78,A
216,Who is the current Chief Justice of Sindh High Court?,Faisal Arab,Munib Akhtar,Mazhar Alam,None of these,D
217,The UNDP Pakistan appointed who as its 'National Goodwill Ambassador?,Mehwish Hayat,Babar Azam,Fawad Khan,Shahid Afridi,C
218,For which year was Greta Thunberg included in Time's 100 most influential people and named the youngest Time Person of the Year:,2018,2019,2020,2021,B
219,"Which batsman has scored the fastest fifty in the history of test cricket, with only 21 balls faced against Australia in 2014?",Misbah-ul-Haq (Pak),Aaron Finch (Aus),Matthew Hayden (Aus),MS Dhoni (Ind),A
220,The current Governor of Sindh is:,Imran Ismail,Ishrat ul Ibaad,Saeed Zaman,None of these,A
221,"Till 2017, How many countries were declared nuclear states?",6,7,8,9,D
222,General MacArthur hailed from which country:,Germany,US,UK,Japan,B
223,Who is Nabih Berri?,Prime Minister of Lebanon,Speaker of the Parliament of Lebanon,President of Lebanon,None of these,B
224,Which country's top court curtailed the Government's citizenship Powers?,USA,UK,Australia,France,C
225,Instagram introduced which App for information on Coronavirus (Covid-19)?,Insta Care,Insta Covid,Insta Health,None of these,D
226,The Arabian Sea is a part of ___________.,South Pacific Ocean,South Atlantic Ocean,Indian Ocean,Arctic Ocean,C
227,"Which Country was recently hit by the deadliest earthquake on June 22, 2022, with a magnitude 5.9 earthquake?",India,Afghanistan,Iran,None of These,B
228,The UK left the European Union completely on 31 January 2020. This process is named:,Wexen deal,Brexit,Both A & B,None of these,B
229,How many matches will be played in the FIFA World Cup 2022?,66,63,64,65,C
230,CNG is an abbreviation of ___________.,Converted Natural Gas,Conducted Natural Gas,Constructed Natural Gas,Compressed Natural Gas,D
231,North Korea tested a new intercontinental ballistic missile on __________?,Hawasong 15,Hawasong 12,Hawasong 17,Hawasong 16,C
232,Which of the following continents has no desert?,Australia,North America,South America,Europe,D
233,The 11th member of ASEAN will be ___________.,Laos,Cambodia,East Timor,Vietnam,C
234,Who among the following is the current CEO of Google?,Satya Nadella,Sundar Pichai,Sergey Brin,None of these,B
235,The International Court of Justice is ___________.,An independent international institution,A principal organ of the U.N.O,A subsidiary organ of the U.N.O,An European Institution,B
236,Which of the following countries first introduced paper currency in the World?,USA,Greece,China,France,C
237,Which country agreed to trade with Pakistan in their local currency?,China,USA,India,Russia,A
238,WHO has declared the Monkeypox outbreak as a Global Health Emergency. Name its Director-General.,Ban ki Moon,T. Raja Kumar,Antonio Gutteres,Tedros Adhanom Ghebreyesus,D
239,The headquarters of the UN Security Council are located at ___________.,Washington,Paris,New York,Geneva,C
240,Nice is associated with which geographical identity?,River,Canal,Sea,Lake,A
241,"""Stare decisis"" is essentially the doctrine of ___________.",National security,Precedent,Strategic depth,Rule of law,B
242,"Which MNA was disqualified by the Supreme Court and thus resigned as PTI secretary general on December 17, 2017?",Raja Pervaiz,Jehangir Tareen,Imran Khan,Pervaiz Ashraf,B
