Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
Decompose (x + 4) / (x² + 2x + 1) into partial fractions.,1 / (x + 1) + 3 / (x + 1)²,1 / (x + 1) - 3 / (x + 1)²,-1 / (x + 1) + 3 / (x + 1)²,3 / (x + 1) + 1 / (x + 1)²,A,"Use A / (x + 1) + B / (x + 1)² form for repeated roots, equate coefficients.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of 1 / ((x + 1)(x + 2)(x + 3)) is,1 / 2(x + 1) - 1 / (x + 2) + 1 / 2(x + 3),-1 / 2(x + 1) + 1 / (x + 2) - 1 / 2(x + 3),1 / (x + 1) + 1 / (x + 2) + 1 / (x + 3),1 / (x + 1) - 1 / (x + 2) + 1 / (x + 3),A,"Use A / (x + 1) + B / (x + 2) + C / (x + 3) form, equate coefficients.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (x² + x + 1) / (x(x + 1)(x + 2)) into partial fractions.,1 / (2x) + 1 / (x + 1) + 3 / (2(x + 2)),1 / (2x) - 3 / (x + 1) + 3 / (2(x + 2)),1 / x - 1 / (x + 1) + 1 / (x + 2),3 / (2x) - 1 / (x + 1) + 1 / (2(x + 2)),B,"Use A / x + B / (x + 1) + C / (x + 2) form, equate coefficients, and solve for A, B, and C.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
"If (x² + 2x + 3) / ((x + 1)³) = A / (x + 1) + B / (x + 1)² + C / (x + 1)³, find A.",1,0,-1,2,B,"Clear fractions and compare coefficients. The coefficient of x² on both sides must be equal, yielding A = 0.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (2x + 3) / ((x + 1)(x + 2)) into partial fractions.,1 / (x + 1) + 1 / (x + 2),-1 / (x + 1) + 3 / (x + 2),1 / (x + 1) - 1 / (x + 2),-1 / (x + 1) + 1 / (x + 2),B,"Using the cover-up rule or equating coefficients, we find A = -1 and B = 3, so the partial fractions are -1 / (x + 1) + 3 / (x + 2).",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of (x + 1) / (x² - 4) is,3 / (4(x - 2)) + 1 / (4(x + 2)),3 / (4(x + 2)) + 1 / (4(x - 2)),-1 / (4(x - 2)) + 3 / (4(x + 2)),1 / (x + 2) + 1 / (x - 2),A,"Factorizing the denominator gives (x + 2)(x - 2). Using the cover-up rule, we get 3 / (4(x - 2)) + 1 / (4(x + 2)).",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (x² + x + 1) / ((x - 1)(x² + 1)) into partial fractions.,3 / (2(x - 1)) + (-x + 1) / (2(x² + 1)),3 / (2(x - 1)) + (-x - 1) / (2(x² + 1)),1 / (2(x - 1)) + (x + 1) / (2(x² + 1)),1 / (x - 1) + (x - 1) / (x² + 1),B,"Using the method of equating coefficients, we get A = 3/2, B = -1/2, C = 1/2, giving 3 / (2(x - 1)) + (-x - 1) / (2(x² + 1)).",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
The value of A in (x + 2) / ((x + 1)(x + 3)) = A / (x + 1) + B / (x + 3) is, 1 / 2,-1 / 2, 3 / 2,-3 / 2,A,"Using the cover-up rule or equating coefficients, we find A = 1/2.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
"If (3x + 4) / ((x + 1)(x + 2)) = A / (x + 1) + B / (x + 2), then A + B =",1,3,0,2,B,Clearing fractions gives 3x + 4 = A(x + 2) + B(x + 1). Comparing coefficients or substituting values of x gives A + B = 3.,GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of 1 / (x(x² + 1)) is,1 / x + (-x) / (x² + 1),1 / x + (-x + 1) / (x² + 1),1 / x + x / (x² + 1),1 / x + (-x - 1) / (x² + 1),A,"Using the method of equating coefficients, we get A = 1, B = -1, C = 0, giving 1 / x + (-x) / (x² + 1).",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (2x + 1) / ((x - 1)(x + 2)) into partial fractions.,1 / (x - 1) + 1 / (x + 2),1 / (x + 2) + 1 / (x - 1),-1 / (x + 2) + 1 / (x - 1),1 / 3(x - 1) + 1 / 3(x + 2),D,"Using the cover-up rule, we find A = 1/3, B = 1/3, so the partial fractions are 1 / 3(x - 1) + 1 / 3(x + 2).",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
The value of B in (x² + 1) / (x(x + 1)²) = A / x + B / (x + 1) + C / (x + 1)² is,1,-1,2,-2,B,"Clearing fractions and comparing coefficients, we can find the value of B, which is -1.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (x + 3) / ((x + 1)(x + 2)) into partial fractions.,2 / (x + 1) - 1 / (x + 2),-2 / (x + 1) + 1 / (x + 2),2 / (x + 2) + 1 / (x + 1),1 / (x + 1) + 2 / (x + 2),A,"Using the cover-up rule or equating coefficients, we find A = 2, B = -1, so the partial fractions are 2 / (x + 1) - 1 / (x + 2).",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of (x + 1) / (x(x + 2)) is,1 / (2x) + 1 / (2(x + 2)),1 / (2x) - 1 / (2(x + 2)),-1 / (2x) + 1 / (2(x + 2)),1 / (2(x + 2)) - 1 / (2x),C,"Using the cover-up rule, we find A = -1/2, B = 1/2, so the partial fractions are -1 / (2x) + 1 / (2(x + 2)).",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
"If (x + 2) / (x² + 3x + 2) = A / (x + 1) + B / (x + 2), then A + B =",0,1,-1,2,B,Clearing fractions gives x + 2 = A(x + 2) + B(x + 1). Comparing coefficients or substituting values of x gives A + B = 1.,GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of (2x + 3) / ((x + 1)²(x + 2)) is,1 / (x + 1) + 1 / (x + 1)² + 1 / (x + 2),-1 / (x + 1) + 1 / (x + 1)² + 1 / (x + 2),1 / (x + 2) - 1 / (x + 1) + 1 / (x + 1)²,-1 / (x + 2) + 1 / (x + 1) + 1 / (x + 1)²,C,"Using the method of equating coefficients, we can find A, B, and C. The correct decomposition is 1 / (x + 2) - 1 / (x + 1) + 1 / (x + 1)².",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (3x + 2) / ((x + 1)(x² + 1)) into partial fractions.,1 / (2(x + 1)) + (x + 1) / (2(x² + 1)),1 / (2(x + 1)) + (-x + 1) / (2(x² + 1)),1 / (2(x + 1)) + (x - 1) / (2(x² + 1)),1 / (x + 1) + x / (x² + 1),C,"Using the method of equating coefficients, we get A = 1/2, B = 1/2, C = -1/2, giving 1 / (2(x + 1)) + (x - 1) / (2(x² + 1)).",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
The value of C in (x² + x + 1) / ((x + 1)(x² + 1)) = A / (x + 1) + (Bx + C) / (x² + 1) is,1,0,-1,2,A,"Clearing fractions and comparing coefficients, we find C = 1.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
"If (x + 1) / ((x + 2)(x + 3)) = A / (x + 2) + B / (x + 3), then A + B =",2,1,0,-1,B,Clearing fractions gives x + 1 = A(x + 3) + B(x + 2). Comparing coefficients or substituting values of x gives A + B = 1.,GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (x² + 1) / (x(x² + x + 1)) into partial fractions.,1 / x + (-x + 1) / (x² + x + 1),1 / x + (-x - 1) / (x² + x + 1),1 / x + (x + 1) / (x² + x + 1),1 / x + (x - 1) / (x² + x + 1),B,"Using the method of equating coefficients, we find A = 1, B = -1, C = -1, giving 1 / x + (-x - 1) / (x² + x + 1).",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of 1 / ((x + 1)(x + 2)²) is,1 / (x + 1) - 1 / (x + 2) + 1 / (x + 2)²,-1 / (x + 1) + 1 / (x + 2) + 1 / (x + 2)²,1 / (x + 1) + 1 / (x + 2) - 1 / (x + 2)²,-1 / (x + 1) + 1 / (x + 2) - 1 / (x + 2)²,B,"Using the method of equating coefficients, we get A = -1, B = 1, C = 1, giving -1 / (x + 1) + 1 / (x + 2) + 1 / (x + 2)².",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
"If (2x + 1) / ((x - 1)²(x + 1)) = A / (x - 1) + B / (x - 1)² + C / (x + 1), then A + B + C =",1, 3 / 2,2, 1 / 2,B,"Clearing fractions and comparing coefficients, we can find A, B, and C. Then, A + B + C = 3/2.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (x + 1) / (x² + 4x + 4) into partial fractions.,1 / (x + 2) + 1 / (x + 2)²,1 / (x + 2) - 1 / (x + 2)²,-1 / (x + 2) + 1 / (x + 2)²,-1 / (x + 2) - 1 / (x + 2)²,B,Use partial fraction decomposition for repeated linear factors: (x + 1) / (x + 2)² = A / (x + 2) + B / (x + 2)².,LUMS_SAT,Conceptual,Medium,Mathematics,Partial Fractions
Decompose (2x + 3) / (x² - 4) into partial fractions.,7 / 4(x - 2) + 1 / 4(x + 2),7 / 4(x + 2) + 1 / 4(x - 2),1 / 4(x + 2) + 7 / 4(x - 2),1 / 4(x - 2) + 7 / 4(x + 2),A,"Factor denominator as (x - 2)(x + 2), then apply partial fraction decomposition: (2x + 3) / (x² - 4) = A / (x - 2) + B / (x + 2).",LUMS_SAT,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (3x - 2) / (x² - x - 6) into partial fractions.,11 / 5(x - 3) + 4 / 5(x + 2),4 / 5(x - 3) + 11 / 5(x + 2),11 / 5(x + 2) + 4 / 5(x - 3),4 / 5(x + 2) + 11 / 5(x - 3),C,"Factor denominator as (x - 3)(x + 2), then use partial fraction decomposition: (3x - 2) / (x² - x - 6) = A / (x - 3) + B / (x + 2).",LUMS_SAT,Conceptual,Medium,Mathematics,Partial Fractions
Decompose (x + 5) / (x² + 3x + 2) into partial fractions.,4 / (x + 1) - 3 / (x + 2),-3 / (x + 1) + 4 / (x + 2),3 / (x + 1) + 4 / (x + 2),4 / (x + 2) - 3 / (x + 1),B,"Factor denominator as (x + 1)(x + 2), then apply partial fraction decomposition: (x + 5) / (x² + 3x + 2) = A / (x + 1) + B / (x + 2).",LUMS_SAT,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (2x - 1) / (x² + x - 2) into partial fractions.,1 / (x - 1) + 1 / (x + 2),1 / (x + 2) + 1 / (x - 1),2 / (x + 2) + 1 / (x - 1),1 / (x + 2) + 2 / (x - 1),A,"Factor denominator as (x - 1)(x + 2), then use partial fraction decomposition: (2x - 1) / (x² + x - 2) = A / (x - 1) + B / (x + 2).",LUMS_SAT,Conceptual,Medium,Mathematics,Partial Fractions
Decompose (x² + 2x + 1) / (x³ + 3x² + 3x + 1) into partial fractions.,1 / (x + 1) + 1 / (x + 1)² + 1 / (x + 1)³,1 / (x + 1) + 1 / (x + 1)² - 1 / (x + 1)³,1 / (x + 1) - 1 / (x + 1)² + 1 / (x + 1)³,1 / (x + 1) - 1 / (x + 1)² - 1 / (x + 1)³,A,"Recognize (x + 1)³ as the denominator, then apply partial fraction decomposition for repeated linear factors.",LUMS_SAT,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (x + 2) / (x² - 2x - 3) into partial fractions.,1 / 4(x - 3) + 3 / 4(x + 1),3 / 4(x - 3) + 1 / 4(x + 1),-1 / 4(x + 1) + 3 / 4(x - 3),3 / 4(x + 1) - 1 / 4(x - 3),D,"Factor denominator as (x - 3)(x + 1), then apply partial fraction decomposition: (x + 2) / (x² - 2x - 3) = A / (x - 3) + B / (x + 1).",LUMS_SAT,Conceptual,Medium,Mathematics,Partial Fractions
Decompose (3x + 2) / (x² + 5x + 6) into partial fractions.,7 / (x + 3) - 4 / (x + 2),-4 / (x + 3) + 7 / (x + 2),7 / (x + 2) - 4 / (x + 3),-7 / (x + 2) + 4 / (x + 3),C,"Factor denominator as (x + 2)(x + 3), then use partial fraction decomposition: (3x + 2) / (x² + 5x + 6) = A / (x + 2) + B / (x + 3).",LUMS_SAT,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (2x + 1) / (x² - x) into partial fractions.,3 / x - 1 / (x - 1),-1 / x + 3 / (x - 1),3 / (x - 1) - 1 / x,-3 / (x - 1) + 1 / x,C,"Factor denominator as x(x - 1), then apply partial fraction decomposition: (2x + 1) / (x² - x) = A / x + B / (x - 1).",LUMS_SAT,Conceptual,Medium,Mathematics,Partial Fractions
Decompose (x + 3) / (x² + 2x) into partial fractions.,3 / 2x + 1 / 2(x + 2),1 / 2x + 3 / 2(x + 2),3 / 2(x + 2) + 1 / 2x,-3 / 2x + 1 / 2(x + 2),A,"Factor denominator as x(x + 2), then use partial fraction decomposition: (x + 3) / (x² + 2x) = A / x + B / (x + 2).",LUMS_SAT,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (x² + 1) / (x³ - x) into partial fractions.,-1 / x + 1 / (x - 1) + 1 / (x + 1),1 / x + 1 / (x - 1) - 1 / (x + 1),1 / x - 1 / (x - 1) + 1 / (x + 1),-1 / x - 1 / (x - 1) + 1 / (x + 1),A,"Factor denominator as x(x - 1)(x + 1), then apply partial fraction decomposition: (x² + 1) / (x³ - x) = A / x + B / (x - 1) + C / (x + 1).",LUMS_SAT,Conceptual,Medium,Mathematics,Partial Fractions
Decompose (2x + 3) / (x² + x) into partial fractions.,3 / x - 1 / (x + 1),1 / (x + 1) + 3 / x,3 / x + 1 / (x + 1),-1 / x + 3 / (x + 1),A,"Factor denominator as x(x + 1), then use partial fraction decomposition: (2x + 3) / (x² + x) = A / x + B / (x + 1).",LUMS_SAT,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (x + 1) / (x² - 1) into partial fractions.,1 / (x - 1),1 / (x + 1) + 1 / (x - 1),1 / 2(x - 1) + 1 / 2(x + 1),1 / (x - 1) - 1 / 2(x + 1),C,"Factor denominator as (x - 1)(x + 1), then apply partial fraction decomposition: (x + 1) / (x² - 1) = A / (x - 1) + B / (x + 1).",LUMS_SAT,Conceptual,Medium,Mathematics,Partial Fractions
Decompose (x + 4) / (x² + 4x + 4) into partial fractions.,1 / (x + 2) + 2 / (x + 2)²,-1 / (x + 2) + 2 / (x + 2)²,1 / (x + 2) - 2 / (x + 2)²,-1 / (x + 2) - 2 / (x + 2)²,A,Use partial fraction decomposition for repeated linear factors: (x + 4) / (x + 2)² = A / (x + 2) + B / (x + 2)².,LUMS_SAT,Conceptual,Medium,Mathematics,Partial Fractions
